,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.91460787579,2.0853916544161546,10.000000469797298
1/24/20,0.0,0.0,0.0,99999.82556994926,2.1744290910946567,10.00000095965294
1/25/20,0.0,0.0,0.0,99999.73272497645,2.2672735531019574,10.000001470454112
1/26/20,0.0,0.0,0.0,99999.6359001248,2.364097872039062,10.000002003151792
1/27/20,0.0,0.0,0.0,99999.53493667717,2.4650607642075664,10.000002558619215
1/28/20,0.0,0.0,0.0,99999.4296669368,2.5703299254157868,10.000003137779029
1/29/20,0.0,0.0,0.0,99999.31991276208,2.680083496317707,10.000003741611357
1/30/20,0.0,0.0,0.0,99999.20548556643,2.794510062412979,10.00000437115381
1/31/20,0.0,0.0,0.0,99999.08618631845,2.913808654046921,10.000005027501475
2/1/20,0.0,0.0,0.0,99998.96180554178,3.0381887464105195,10.000005711806923
2/2/20,0.0,0.0,0.0,99998.83212331518,3.1678702595404284,10.000006425280201
2/3/20,0.0,0.0,0.0,99998.69690927249,3.3030835583189693,10.00000716918884
2/4/20,0.0,0.0,0.0,99998.55592260267,3.444069452474131,10.000007944857852
2/5/20,0.0,0.0,0.0,99998.40891204975,3.591079196579569,10.000008753669729
2/6/20,0.0,0.0,0.0,99998.25561591289,3.744374490054608,10.000009597064437
2/7/20,0.0,0.0,0.0,99998.0957620463,3.9042274771642393,10.000010476539435
2/8/20,0.0,0.0,0.0,99997.92906785934,4.070920747019121,10.00001139364965
2/9/20,0.0,0.0,0.0,99997.75524031642,4.244747333575582,10.0000123500075
2/10/20,0.0,0.0,0.0,99997.57397593708,4.426010715635613,10.000013347282877
2/11/20,0.0,0.0,0.0,99997.38496079596,4.6150248168468755,10.000014387203157
2/12/20,0.0,0.0,0.0,99997.18787052274,4.8121140057027,10.00001547155319
2/13/20,0.0,0.0,0.0,99996.98237030228,5.017613095542082,10.000016602175318
2/14/20,0.0,0.0,0.0,99996.76811487449,5.231867344549686,10.000017780969355
2/15/20,0.0,0.0,0.0,99996.54470085913,5.455280130709873,10.000019010155595
2/16/20,0.0,0.0,0.0,99996.3116079684,5.688371739009992,10.000020292599071
2/17/20,0.0,0.0,0.0,99996.06849134665,5.9314870231462224,10.000021630196766
2/18/20,0.0,0.0,0.0,99995.81499419696,6.184982778130298,10.000023024911238
2/19/20,0.0,0.0,0.0,99995.55072828461,6.44924723650851,10.000024478878181
2/20/20,0.0,0.0,0.0,99995.27527393724,6.72470006836171,10.00002599440642
2/21/20,0.0,0.0,0.0,99994.98818004472,7.011792381305314,10.00002757397791
2/22/20,0.0,0.0,0.0,99994.68896405926,7.311006720489295,10.00002922024774
2/23/20,0.0,0.0,0.0,99994.37711199536,7.6228570685981865,10.000030936044134
2/24/20,0.0,0.0,0.0,99994.05207842978,7.947888845851088,10.000032724368442
2/25/20,0.0,0.0,0.0,99993.7132865016,8.286678910001651,10.000034588395149
2/26/20,0.0,0.0,0.0,99993.3601279122,8.639835556338095,10.000036531471874
2/27/20,0.0,0.0,0.0,99992.9919629252,9.007998517683198,10.000038557119366
2/28/20,0.0,0.0,0.0,99992.60812036657,9.391838964394303,10.000040669031506
2/29/20,0.0,0.0,0.0,99992.20789762457,9.792059504363298,10.000042871075307
3/1/20,0.0,0.0,0.0,99991.7905606497,10.209394183016652,10.000045167290915
3/2/20,0.0,0.0,0.0,99991.3553439548,10.644608483315384,10.00004756189161
3/3/20,0.0,0.0,0.0,99990.90145061498,11.098499325755075,10.000050059263796
3/4/20,0.0,0.0,0.0,99990.42805226767,11.571895068365864,10.000052663967018
3/5/20,0.0,0.0,0.0,99989.93428911256,12.065655506712456,10.00005538073395
3/6/20,0.0,0.0,0.0,99989.41926991164,12.580671873894117,10.000058214470398
3/7/20,0.0,0.0,0.0,99988.8820719892,13.117866840544668,10.000061170255298
3/8/20,0.0,0.0,0.0,99988.32174123183,13.67819451483249,10.000064253340724
3/9/20,2.0,0.0,0.0,99987.7372920884,14.26264044246054,10.000067469151874
3/10/20,10.0,0.0,0.0,99987.12770757005,14.872221606666315,10.000070823287084
3/11/20,11.0,0.0,1.0,99986.49193925026,15.50798642822188,10.00007432151782
3/12/20,22.0,0.0,1.0,99985.82890726477,16.17101476543387,10.00007796978868
3/13/20,32.0,0.0,1.0,99985.13750031164,16.86241791414347,10.000081774217396
3/14/20,37.0,0.0,1.0,99984.41657565118,17.583338607726432,10.000085741094829
3/15/20,41.0,0.0,1.0,99983.66495910603,18.33495101709306,10.00008987688497
3/16/20,50.0,0.0,1.0,99982.88144506108,19.118460750688225,10.000094188224955
3/17/20,54.0,0.0,1.0,99982.06479646359,19.935104854491367,10.000098681925033
3/18/20,57.0,0.0,2.0,99981.21361684306,20.78627979126246,10.000103365679976
3/19/20,62.0,0.0,2.0,99980.32538696098,21.67450478559417,10.000108253421356
3/20/20,68.0,0.0,2.0,99979.39865499546,22.60123165140067,10.000113353139781
3/21/20,72.0,2.0,2.0,99978.43220217281,23.567679155656087,10.000118671525764
3/22/20,85.0,2.0,2.0,99977.42467689437,24.575198889615198,10.000124216003842
3/23/20,98.0,2.0,4.0,99976.37459473645,25.625275268813436,10.000129994732582
3/24/20,108.0,10.0,5.0,99975.28033845032,26.71952553306688,10.000136016604577
3/25/20,124.0,17.0,5.0,99974.14015796228,27.85969974647225,10.000142291246446
3/26/20,151.0,17.0,6.0,99972.95217037357,29.047680797406922,10.000148829018837
3/27/20,147.0,31.0,8.0,99971.71435996045,30.28548439852893,10.000155641016422
3/28/20,156.0,31.0,10.0,99970.42457817415,31.57525908677693,10.000162739067902
3/29/20,169.0,33.0,10.0,99969.08054364088,32.919286223370264,10.000170135736006
3/30/20,168.0,44.0,11.0,99967.67984216187,34.31997999380888,10.00017784431749
3/31/20,176.0,52.0,15.0,99966.21992671328,35.77988740787342,10.000185878843133
4/1/20,177.0,67.0,15.0,99964.6981174463,37.301688299625134,10.000194254077748
4/2/20,185.0,76.0,16.0,99963.11160168707,38.88819532740595,10.000202985520167
4/3/20,198.0,89.0,17.0,99961.45743393675,40.54235397383842,10.000212089403254
4/4/20,214.0,99.0,20.0,99959.73253587147,42.26724254582578,10.000221582693902
4/5/20,237.0,104.0,20.0,99957.93369634236,44.06607217455188,10.000231483093025
4/6/20,240.0,116.0,21.0,99956.05757137548,45.94218681548122,10.000241809035568
4/7/20,230.0,131.0,22.0,99954.10068417195,47.899063248358985,10.000252579690503
4/8/20,224.0,154.0,22.0,99952.05942510783,49.94031107721098,10.000263814960828
4/9/20,221.0,165.0,23.0,99949.93005173416,52.06967273034365,10.000275535483569
4/10/20,211.0,182.0,23.0,99947.70868877703,54.29102346034411,10.000287762629776
4/11/20,213.0,197.0,23.0,99945.39132813741,56.60837134408011,10.000300518504531
4/12/20,206.0,217.0,23.0,99942.97382889135,59.02585728270007,10.00031382594694
4/13/20,212.0,232.0,23.0,99940.45191728983,61.547755001633035,10.000327708530135
4/14/20,203.0,248.0,24.0,99937.82118675884,64.1784710505887,10.000342190561277
4/15/20,218.0,251.0,25.0,99935.07709789935,66.92254480355743,10.000357297081553
4/16/20,215.0,277.0,26.0,99932.21497848732,69.7846484588102,10.00037305386618
4/17/20,230.0,283.0,26.0,99929.23002347368,72.76958703889869,10.0003894874244
4/18/20,220.0,302.0,26.0,99926.11729498435,75.8822983906552,10.000406624999476
4/19/20,222.0,314.0,26.0,99922.87172232024,79.12785318519262,10.00042449456871
4/20/20,231.0,327.0,26.0,99919.48810195725,82.51145491790462,10.000443124843422
4/21/20,238.0,345.0,26.0,99915.96109754626,86.03843990846539,10.000462545268961
4/22/20,251.0,356.0,27.0,99912.28523991314,89.71427730082985,10.000482786024705
4/23/20,251.0,385.0,27.0,99908.45492705874,93.54456906323355,10.000503878024057
4/24/20,257.0,394.0,27.0,99904.46362904062,97.53584510185645,10.00052585751593
4/25/20,282.0,403.0,27.0,99900.2985331296,101.70091807340854,10.000548796991575
4/26/20,288.0,410.0,28.0,99895.95288367903,106.04654358729348,10.000572733667214
4/27/20,286.0,422.0,28.0,99891.42119572892,110.57820657377428,10.000597697291198
4/28/20,289.0,431.0,30.0,99886.6973521111,115.30202416770702,10.000623721169609
4/29/20,281.0,455.0,30.0,99881.77460344929,120.22474570854082,10.000650842166264
4/30/20,272.0,470.0,31.0,99876.64556815897,125.35375274031787,10.000679100702719
5/1/20,263.0,488.0,31.0,99871.30223244756,130.69705901167342,10.00070854075826
5/2/20,239.0,519.0,31.0,99865.73595031428,136.26331047583577,10.000739209869907
5/3/20,233.0,531.0,31.0,99859.93744355022,142.06178529062635,10.00077115913242
5/4/20,229.0,543.0,31.0,99853.89680173833,148.1023938184595,10.000804443198284
5/5/20,219.0,570.0,31.0,99847.60348225337,154.39567862634277,10.000839120277726
5/6/20,206.0,595.0,31.0,99841.04631026197,160.95281448587667,10.000875252138705
5/7/20,206.0,605.0,31.0,99834.21347872262,167.7856083732549,10.000912904106912
5/8/20,199.0,620.0,31.0,99827.09254838566,174.906499469264,10.000952145065776
5/9/20,198.0,627.0,31.0,99819.67044779325,182.32855915928377,10.00099304745646
5/10/20,187.0,650.0,31.0,99811.93347327942,190.065491033287,10.001035687277856
5/11/20,187.0,654.0,31.0,99803.86728897007,198.13163088583957,10.001080144086597
5/12/20,163.0,682.0,31.0,99795.45692678289,206.5419467161003,10.001126500997046
5/13/20,161.0,688.0,31.0,99786.68678642748,215.31203872782126,10.001174844681303
5/14/20,173.0,694.0,31.0,99777.54063540527,224.45813932934743,10.001225265369202
5/15/20,180.0,705.0,31.0,99768.00160900953,233.9971131336169,10.001277856848308
5/16/20,188.0,714.0,31.0,99758.05221032536,243.9464569581608,10.001332716463924
5/17/20,200.0,715.0,31.0,99747.67431022976,254.32429982510337,10.001389945119087
5/18/20,190.0,727.0,31.0,99736.84914739155,265.14940296116185,10.001449647274567
5/19/20,176.0,742.0,31.0,99725.55732827139,276.4411597976467,10.001511930948867
5/20/20,175.0,758.0,31.0,99713.77882712182,288.2195959704611,10.001576907718228
5/21/20,167.0,771.0,31.0,99701.49298598718,300.50536932010164,10.001644692716622
5/22/20,173.0,777.0,31.0,99688.6785147037,313.31976989165776,10.001715404635759
5/23/20,175.0,783.0,31.0,99675.31349089945,326.68471993481205,10.001789165725079
5/24/20,177.0,789.0,32.0,99661.37535999436,340.6227739038402,10.001866101791757
05/25/20,,,,99646.84093520018,355.1571184576108,10.001946342200705
05/26/20,,,,99631.68639752053,370.31157245958565,10.002030019874567
05/27/20,,,,99615.88729575087,386.11058697781965,10.002117271293725
05/28/20,,,,99599.41854647853,402.57924528496045,10.00220823649629
05/29/20,,,,99582.25443408266,419.7432628582492,10.00230305907811
05/30/20,,,,99564.36861073428,437.6289873795196,10.002401886192768
05/31/20,,,,99545.73409639623,456.263398735199,10.002504868551581
06/01/20,,,,99526.32327882326,475.67410901630745,10.002612160423597
06/02/20,,,,99506.10736914084,495.88990693537573,10.002723923787523
06/03/20,,,,99485.03387980646,516.9632796958316,10.002840497707519
06/04/20,,,,99463.06230599602,538.9347318832387,10.002962120738484
06/05/20,,,,99440.16302995833,561.8338810980845,10.003088943572063
06/06/20,,,,99416.30367737326,585.6931014925826,10.0032211341467
06/07/20,,,,99391.44911735167,610.5475237706719,10.003358877647653
06/08/20,,,,99365.56146243548,636.4350351880172,10.00350237650698
06/09/20,,,,99338.60006859759,663.396279552009,10.003651850403546
06/10/20,,,,99310.52153524198,691.4746572217634,10.003807536263027
06/11/20,,,,99281.27970520362,720.7163251081226,10.003969688257895
06/12/20,,,,99250.82566474854,751.1701966736541,10.004138577807437
06/13/20,,,,99219.10774357377,782.8879419326515,10.004314493577738
06/14/20,,,,99186.07151480738,815.9239874511338,10.004497741481693
06/15/20,,,,99151.65979500847,850.3355163468457,10.004688644679002
06/16/20,,,,99115.81264416716,886.1824682892582,10.00488754357617
06/17/20,,,,99078.46736570461,923.5275394995672,10.00509479582651
06/18/20,,,,99039.55850647297,962.436182750695,10.005310776330138
06/19/20,,,,98999.01785675547,1002.9766073672894,10.005535877233974
06/20/20,,,,98956.77445026634,1045.2197792257236,10.00577050793175
06/21/20,,,,98912.75456415083,1089.2394207540974,10.006015095063997
06/22/20,,,,98866.88171898524,1135.1120109322353,10.006270082518055
06/23/20,,,,98819.07667877688,1182.9167852916878,10.006535931428068
06/24/20,,,,98769.25745096408,1232.735735915732,10.00681312017499
06/25/20,,,,98717.33928641625,1284.6536114393693,10.007102144386575
06/26/20,,,,98663.23467943374,1338.757917049328,10.007403516937385
06/27/20,,,,98606.85336774799,1395.1389144840614,10.007717767948789
06/28/20,,,,98548.10233252146,1453.8896220337492,10.008045444788959
06/29/20,,,,98486.88579834762,1515.1058145402965,10.008387112072874
06/30/20,,,,98423.105233251,1578.8860233973332,10.00874335166232
07/01/20,,,,98356.65934868711,1645.3315365502167,10.009114762665888
07/02/20,,,,98287.44409954252,1714.5463984960288,10.009501961438973
07/03/20,,,,98215.35268413484,1786.6374102835778,10.009905581583775
07/04/20,,,,98140.27554421265,1861.7141295133972,10.010326273949305
07/05/20,,,,98062.10036495561,1939.8888703377463,10.010764706631374
07/06/20,,,,97980.7120749744,2021.2767034606102,10.011221564972601
07/07/20,,,,97895.99284631074,2105.9954561377,10.011697551562412
07/08/20,,,,97807.8220944373,2194.1657121764515,10.012193386237033
07/09/20,,,,97716.07647825788,2285.9108119360285,10.012709806079505
07/10/20,,,,97620.62990010725,2381.356852327318,10.013247565419665
07/11/20,,,,97521.35350575122,2480.632686812934,10.013807435834162
07/12/20,,,,97418.11568438663,2583.8699254072158,10.014390206146448
07/13/20,,,,97310.76865209399,2691.216351039836,10.014996866175851
07/14/20,,,,97199.12504556085,2802.85932567799,10.015628761147745
07/15/20,,,,97083.0110848512,2918.9726282767856,10.016286872015968
07/16/20,,,,96962.24950993573,3039.7335178553376,10.01697220892136
07/17/20,,,,96836.65817591092,3165.324138254699,10.017685834371838
07/18/20,,,,96706.0500529989,3295.9315181378624,10.018428863242399
07/19/20,,,,96570.23322654747,3431.74757098976,10.019202462775118
07/20/20,,,,96429.01089703015,3572.9690951172634,10.020007852579148
07/21/20,,,,96282.18138004618,3719.797773649182,10.020846304630721
07/22/20,,,,96129.53810632045,3872.4401745362666,10.021719143273149
07/23/20,,,,95970.86962170358,4031.1077505512058,10.022627745216818
07/24/20,,,,95805.95958717183,4196.016839288627,10.023573539539194
07/25/20,,,,95634.58677882722,4367.388663165098,10.024558007684828
07/26/20,,,,95456.5250878974,4545.449329419125,10.025582683465338
07/27/20,,,,95271.54352073578,4730.429830111154,10.026649153059427
07/28/20,,,,95079.40619882141,4922.56604212357,10.02775905501288
07/29/20,,,,94879.87235875906,5122.098727160698,10.02891408023855
07/30/20,,,,94672.69635227918,5329.2735317487995,10.030115972016377
07/31/20,,,,94457.62764623792,5544.340987236079,10.031366525993377
08/01/20,,,,94234.41082261714,5767.556509792676,10.032667590183644
08/02/20,,,,94002.78557852434,5999.180400410674,10.03402106496835
08/03/20,,,,93762.4867261928,6239.477844904093,10.035428903095747
08/04/20,,,,93513.24419298142,6488.718913908891,10.036893109681163
08/05/20,,,,93254.78302137481,6747.1785628829675,10.038415742207006
08/06/20,,,,92986.8233689833,7015.136632106161,10.039998910522762
08/07/20,,,,92709.08050854289,7292.877846680249,10.041644776844995
08/08/20,,,,92421.26482791528,7580.691816528948,10.043355555757348
