,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.7861835105,2.147489513274471,10.066326976233208
1/24/20,0.0,0.0,0.0,99999.55659977872,2.305855031175863,10.13754519010917
1/25/20,0.0,0.0,0.0,99999.31001782573,2.4759456054891196,10.214036568779479
1/26/20,0.0,0.0,0.0,99999.04518662131,2.658624134644214,10.296189244047238
1/27/20,0.0,0.0,0.0,99998.76087417609,2.8547404338535807,10.384385390053877
1/28/20,0.0,0.0,0.0,99998.45570203658,3.065245325637821,10.479052637793696
1/29/20,0.0,0.0,0.0,99998.1281445541,3.291191143695372,10.580664302213204
1/30/20,0.0,0.0,0.0,99997.77652888489,3.5337317329025035,10.68973938221112
1/31/20,0.0,0.0,0.0,99997.39903499006,3.7941224493133205,10.806842560638373
2/1/20,0.0,0.0,0.0,99996.99369563554,4.073720160159761,10.932584204298102
2/2/20,0.0,0.0,0.0,99996.55839639221,4.373983243851599,11.067620363945663
2/3/20,0.0,0.0,0.0,99996.09087563574,4.69647158997644,11.212652774288614
2/4/20,0.0,0.0,0.0,99995.58872454672,5.042846599299725,11.368428853986728
2/5/20,0.0,0.0,0.0,99995.04938711059,5.41487118376473,11.53574170565199
2/6/20,0.0,0.0,0.0,99994.47016011766,5.814409766492565,11.715430115848594
2/7/20,0.0,0.0,0.0,99993.84819316312,6.24342828178217,11.908378555092943
2/8/20,0.0,0.0,0.0,99993.18048864703,6.703994175110325,12.115517177853654
2/9/20,0.0,0.0,0.0,99992.46356281433,7.1985097018260085,12.337927483840335
2/10/20,0.0,0.0,0.0,99991.69310921952,7.729943719285643,12.57694706119397
2/11/20,0.0,0.0,0.0,99990.8658577546,8.300552342334479,12.833589903058284
2/12/20,0.0,0.0,0.0,99989.97815526188,8.912855797354307,13.108988940766544
2/13/20,0.0,0.0,0.0,99989.0258361285,9.569727483890372,13.404436387614872
2/14/20,0.0,0.0,0.0,99988.00422228649,10.274393974651371,13.721383738862245
2/15/20,0.0,0.0,0.0,99986.90812321276,11.030435015509447,14.06144177173049
2/16/20,0.0,0.0,0.0,99985.7318359291,11.841783525500201,14.426380545404289
2/17/20,0.0,0.0,0.0,99984.46914500215,12.712725596822686,14.818129401031179
2/18/20,0.0,0.0,0.0,99983.11332254343,13.647900494839398,15.238776961721548
2/19/20,0.0,0.0,0.0,99981.65712820938,14.652300658076292,15.69057113254864
2/20/20,0.0,0.0,0.0,99980.09280920123,15.731271698222773,16.17591910054855
2/21/20,0.0,0.0,0.0,99978.41210026515,16.890512400131698,16.69738733472023
2/22/20,0.0,0.0,0.0,99976.60622369216,18.136074721819366,17.25770158602548
2/23/20,0.0,0.0,0.0,99974.66588931814,19.47436379446555,17.85974688738896
2/24/20,0.0,0.0,0.0,99972.58129452389,20.91213792241345,18.506567553698183
2/25/20,1.0,0.0,0.0,99970.34212423503,22.456508583169732,19.201367181803505
2/26/20,1.0,0.0,0.0,99967.93755092207,24.114940427404512,19.947508650518152
2/27/20,1.0,0.0,0.0,99965.35623460043,25.89525127895135,20.74851412061819
2/28/20,1.0,0.0,0.0,99962.58632283035,27.80561213480726,21.608065034842543
2/29/20,1.0,0.0,0.0,99959.61342574777,29.855931593429084,22.53064265878956
3/1/20,1.0,0.0,0.0,99956.41811420539,32.059571908669376,23.52231388593724
3/2/20,3.0,0.0,0.0,99952.98728310043,34.42558385648968,24.587133043074118
3/3/20,5.0,0.0,0.0,99949.30636634964,36.96402460832552,25.72960904202654
3/4/20,12.0,0.0,0.0,99945.3585830885,39.686472854628754,26.954944056865276
3/5/20,12.0,0.0,0.0,99941.12493767122,42.60602880486757,28.26903352390555
3/6/20,17.0,0.0,0.0,99936.58421967075,45.73731418752651,29.678466141707023
3/7/20,17.0,0.0,0.0,99931.71300387882,49.09647225010649,31.19052387107379
3/8/20,19.0,0.0,0.0,99926.48565030581,52.70116775912471,32.813181935054395
3/9/20,20.0,0.0,0.0,99920.87430418094,56.57058700011478,34.555108818941804
3/10/20,20.0,0.0,0.0,99914.84889595209,60.72543777762661,36.42566627027346
3/11/20,20.0,0.0,0.0,99908.37714128594,65.18794941522647,38.4349092988312
3/12/20,15.0,8.0,1.0,99901.42454106786,69.98187275549698,40.59358617664133
3/13/20,16.0,8.0,2.0,99893.95438140199,75.1324801600371,42.913138437974595
3/14/20,22.0,12.0,3.0,99885.92773361118,80.66656550946216,45.40570087934617
3/15/20,32.0,12.0,4.0,99877.30345423707,86.61244420340375,48.084101559515666
3/16/20,38.0,12.0,4.0,99868.03818504,92.99995316050993,50.96186179948715
3/17/20,44.0,12.0,4.0,99858.08635299905,99.860450818445,54.05319618250914
3/18/20,55.0,12.0,7.0,99847.40017031203,107.22681713388967,57.37301255407455
3/19/20,46.0,32.0,9.0,99835.92963439554,115.13345358254091,60.93691202192075
3/20/20,47.0,32.0,11.0,99823.62252788486,123.6162831591122,64.76118895602957
3/21/20,92.0,32.0,15.0,99810.42435172765,132.7127944278666,68.86285384447747
3/22/20,119.0,65.0,17.0,99796.25439588135,142.47785411560903,73.26775000303665
3/23/20,148.0,65.0,17.0,99781.03717263673,152.9631987820182,77.99962858124789
3/24/20,221.0,24.0,19.0,99764.71008851992,164.21228299001933,83.07762849005039
3/25/20,216.0,65.0,21.0,99747.20097778349,176.27503232678083,88.52398988972163
3/26/20,313.0,29.0,25.0,99728.4281024064,189.20784340371455,94.36405418987744
3/27/20,354.0,29.0,26.0,99708.30015209405,203.07358385647555,100.62626404947189
3/28/20,394.0,31.0,29.0,99686.71624427823,217.94159234496226,107.3421633767974
3/29/20,449.0,31.0,31.0,99663.5659241172,233.88767855331633,114.5463973294847
