,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.9163659375,2.083633885487964,10.000000177005706
1/24/20,0.0,0.0,0.0,99999.82923463544,2.1707650031388743,10.000000361413235
1/25/20,0.0,0.0,0.0,99999.73845485065,2.261544595802672,10.00000055354271
1/26/20,0.0,0.0,0.0,99999.64386432314,2.3561349231219375,10.000000753737584
1/27/20,0.0,0.0,0.0,99999.54531383609,2.4546852015886933,10.000000962313678
1/28/20,0.0,0.0,0.0,99999.44264605144,2.557352768953042,10.000001179603997
1/29/20,0.0,0.0,0.0,99999.33569408188,2.664304512152028,10.000001405961768
1/30/20,0.0,0.0,0.0,99999.22428149093,2.77571686730964,10.000001641760434
1/31/20,0.0,0.0,0.0,99999.10822229287,2.891775819736808,10.00000188739365
2/1/20,0.0,0.0,0.0,99998.98732095279,3.012676903931407,10.00000214327529
2/2/20,0.0,0.0,0.0,99998.86137238657,3.1386252035782514,10.000002409839443
2/3/20,0.0,0.0,0.0,99998.7301619609,3.2698353515491023,10.000002687540414
2/4/20,0.0,0.0,0.0,99998.59346549324,3.4065315299026597,10.000002976852725
2/5/20,0.0,0.0,0.0,99998.45104925185,3.5489474698845704,10.000003278271112
2/6/20,0.0,0.0,0.0,99998.30266995575,3.697326451927421,10.000003592310527
2/7/20,0.0,0.0,0.0,99998.14807477484,3.851921305650742,10.00000391950614
2/8/20,0.0,0.0,0.0,99997.98700132972,4.012994409861007,10.000004260413334
2/9/20,0.0,0.0,0.0,99997.81917769184,4.180817692551633,10.000004615607713
2/10/20,0.0,0.0,0.0,99997.6443223834,4.355672630902976,10.00000498568509
2/11/20,0.0,0.0,0.0,99997.46214437745,4.537850251282341,10.000005371261498
2/12/20,0.0,0.0,0.0,99997.27234309778,4.727651129243974,10.000005772973187
2/13/20,0.0,0.0,0.0,99997.07460841899,4.9253853895290565,10.00000619147662
2/14/20,0.0,0.0,0.0,99996.86862066649,5.131372706065722,10.000006627448478
2/15/20,0.0,0.0,0.0,99996.65401865062,5.345974267725874,10.00000708165349
2/16/20,0.0,0.0,0.0,99996.43031324084,5.56967920403178,10.000007555127825
2/17/20,0.0,0.0,0.0,99996.19717713648,5.802814814966884,10.000008048564146
2/18/20,0.0,0.0,0.0,99995.95428319728,6.045708240070094,10.000008562654676
2/19/20,0.0,0.0,0.0,99995.70127583755,6.298715064296514,10.0000090981519
2/20/20,0.0,0.0,0.0,99995.43777102612,6.562219318017445,10.000009655868558
2/21/20,0.0,0.0,0.0,99995.1633562863,6.836633477020382,10.000010236677664
2/22/20,0.0,0.0,0.0,99994.87759069598,7.122398462509018,10.000010841512484
2/23/20,0.0,0.0,0.0,99994.58000488754,7.419983641103243,10.000011471366552
2/24/20,0.0,0.0,0.0,99994.27010104786,7.72988682483914,10.000012127293656
2/25/20,0.0,0.0,0.0,99993.94735291842,8.05263427116899,10.000012810407858
2/26/20,0.0,0.0,0.0,99993.61120579515,8.388780682961272,10.000013521883469
2/27/20,0.0,0.0,0.0,99993.26107652855,8.738909208500658,10.000014262955071
2/28/20,0.0,0.0,0.0,99992.8963535236,9.103631441488018,10.000015034917503
2/29/20,0.0,0.0,0.0,99992.51639673984,9.483587421040419,10.00001583912587
3/1/20,0.0,0.0,0.0,99992.12053769131,9.87944563169112,10.000016676995534
3/2/20,1.0,0.0,0.0,99991.70807944662,10.291903003389582,10.000017550002122
3/3/20,1.0,0.0,0.0,99991.27829662882,10.721684911501455,10.000018459681522
3/4/20,1.0,0.0,0.0,99990.83043541557,11.169545176808597,10.000019407629885
3/5/20,1.0,0.0,0.0,99990.36371353899,11.636266065509048,10.000020395503624
3/6/20,1.0,0.0,0.0,99989.87732028577,12.122658289217055,10.00002142501941
3/7/20,1.0,0.0,0.0,99989.37041649708,12.629561004963055,10.000022497954179
3/8/20,1.0,0.0,0.0,99988.84213456867,13.157841815193684,10.000023616145132
3/9/20,1.0,0.0,0.0,99988.29157845073,13.70839676777177,10.000024781489724
3/10/20,1.0,0.0,0.0,99987.71782364808,14.282150355976347,10.00002599594568
3/11/20,1.0,0.0,0.0,99987.11991721997,14.880055518502632,10.000027261530981
3/12/20,0.0,1.0,0.0,99986.49687778021,15.503093639462051,10.000028580323875
3/13/20,1.0,0.0,0.0,99985.84769549716,16.152274548382213,10.000029954462864
3/14/20,0.0,1.0,0.0,99985.17133209365,16.828636520206942,10.000031386146722
3/15/20,0.0,1.0,0.0,99984.46672084706,17.533246275296232,10.000032877634476
3/16/20,1.0,1.0,0.0,99983.73276658932,18.267198979426297,10.000034431245421
3/17/20,38.0,1.0,0.0,99982.96834570685,19.031618243789534,10.000036049359112
3/18/20,38.0,1.0,0.0,99982.1723061406,19.827656124994547,10.000037734415363
3/19/20,52.0,1.0,0.0,99981.34300204956,20.656958460532895,10.000039489908975
3/20/20,74.0,1.0,0.0,99980.47823696781,21.521721711675095,10.000041320509744
3/21/20,87.0,1.0,0.0,99979.5769146141,22.42304215736961,10.000043228533192
3/22/20,111.0,1.0,1.0,99978.6378706087,23.362084174859557,10.00004521643895
3/23/20,131.0,1.0,1.0,99977.65982086417,24.34013184889483,10.000047286941111
3/24/20,162.0,1.0,1.0,99976.64136158525,25.358588971732097,10.000049443008232
3/25/20,186.0,1.0,1.0,99975.580969269,26.418979043134797,10.000051687863326
3/26/20,220.0,1.0,3.0,99974.47700070465,27.522945270373143,10.000054024983871
3/27/20,263.0,1.0,3.0,99973.32769297367,28.672250568224122,10.000056458101808
3/28/20,304.0,1.0,3.0,99972.13116344983,29.868777558971505,10.000058991203534
3/29/20,327.0,1.0,6.0,99970.88540979906,31.11452857240582,10.000061628529908
3/30/20,352.0,10.0,8.0,99969.58830997959,32.41162564582438,10.000064374576255
3/31/20,354.0,10.0,12.0,99968.23762224187,33.762310524031264,10.000067234092352
4/1/20,366.0,10.0,14.0,99966.83098512857,35.16894465933733,10.000070212082449
4/2/20,403.0,10.0,15.0,99965.36591747463,36.63400921156021,10.000073313805245
