,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.80486970802,2.149230498232898,10.045899793748623
1/24/20,0.0,0.0,0.0,99999.59518022876,2.3095953788766757,10.095224392367092
1/25/20,0.0,0.0,0.0,99999.36978174941,2.4819739429474383,10.14824430764301
1/26/20,0.0,0.0,0.0,99999.12750631776,2.6672593743273145,10.205234307912182
1/27/20,0.0,0.0,0.0,99998.86720027582,2.866333956996569,10.266465767171395
1/28/20,0.0,0.0,0.0,99998.5875713826,3.0801859447166366,10.33224267268537
1/29/20,0.0,0.0,0.0,99998.28718819922,3.309910030982356,10.402901769796154
1/30/20,0.0,0.0,0.0,99997.96448008905,3.556707349021971,10.478812561923123
1/31/20,0.0,0.0,0.0,99997.61773721763,3.8218854717971285,10.56037731056297
2/1/20,0.0,0.0,0.0,99997.2451105527,4.106858412002881,10.648031035289717
2/2/20,0.0,0.0,0.0,99996.84461186417,4.413146622067682,10.742241513754708
2/3/20,0.0,0.0,0.0,99996.41411372415,4.742376994153391,10.843509281686611
2/4/20,0.0,0.0,0.0,99995.95134950696,5.096282860155274,10.952367632891418
2/5/20,0.0,0.0,0.0,99995.45391338905,5.476703991701996,11.069382619252446
2/6/20,0.0,0.0,0.0,99994.91926034911,5.885586600155628,11.195153050730333
2/7/20,0.0,0.0,0.0,99994.34470616802,6.324983336611649,11.330310495363047
2/8/20,0.0,0.0,0.0,99993.72742742884,6.797053291898937,11.475519279265875
2/9/20,0.0,0.0,0.0,99993.06397197461,7.304435877786005,11.631592147612531
2/10/20,0.0,0.0,0.0,99992.35045314915,7.850102613177294,11.799444237677125
2/11/20,0.0,0.0,0.0,99991.5838181362,8.43638853694451,11.979793326859724
2/12/20,0.0,0.0,0.0,99990.76056476377,9.065972176784983,12.173463059451501
2/13/20,0.0,0.0,0.0,99989.87670466687,9.741903682033925,12.381391651109004
2/14/20,0.0,0.0,0.0,99988.92776328749,10.467604823664429,12.604631888854154
2/15/20,0.0,0.0,0.0,99987.90877987465,11.24686899428746,12.844351131074246
2/16/20,0.0,0.0,0.0,99986.81430748432,12.083861208151866,13.101831307521946
2/17/20,0.0,0.0,0.0,99985.63841297955,12.983118101144376,13.378468919315292
2/18/20,0.0,0.0,0.0,99984.37467703028,13.949547930789592,13.6757750389377
2/19/20,0.0,0.0,0.0,99983.01619411352,14.988430576249998,13.995375310237957
2/20/20,0.0,0.0,0.0,99981.55557251324,16.10541753832596,14.339009948430217
2/21/20,0.0,0.0,0.0,99979.98493432046,17.30653193945571,14.708533740094015
2/22/20,0.0,0.0,0.0,99978.29591543312,18.598168523715376,15.105916043174258
2/23/20,0.0,0.0,0.0,99976.47966555621,19.987093656818956,15.533240786981219
2/24/20,0.0,0.0,0.0,99974.5268482017,21.480445326118325,15.992706472190552
2/25/20,0.0,0.0,0.0,99972.42764068856,23.085733140603235,16.48662617084328
2/26/20,0.0,0.0,0.0,99970.17173414276,24.810838330901323,17.0174275263458
2/27/20,0.0,0.0,0.0,99967.74833349725,26.664013749278105,17.587652753469882
2/28/20,0.0,0.0,0.0,99965.14615749201,28.653883869636964,18.19995863835267
2/29/20,0.0,0.0,0.0,99962.34911822333,30.792730886602516,18.858150890066522
3/1/20,0.0,0.0,0.0,99959.34093866721,33.09298828606652,19.566073046718213
3/2/20,0.0,0.0,0.0,99956.10939767516,35.56401182771607,20.326590497125302
3/3/20,1.0,0.0,0.0,99952.64015752853,38.216771860773505,21.14307061069791
3/4/20,1.0,0.0,0.0,99948.91675403611,41.063860853372,22.01938511052822
3/5/20,1.0,0.0,0.0,99944.92059653405,44.11949339255555,22.959910073390425
3/6/20,2.0,0.0,0.0,99940.63096788598,47.399506184278984,23.969525929740794
3/7/20,8.0,0.0,0.0,99936.02502448288,50.921358053407964,25.05361746371763
3/8/20,11.0,0.0,1.0,99931.07779624315,54.70412994371898,26.218073813141277
3/9/20,11.0,0.0,1.0,99925.76218661258,58.768524917899356,27.469288469514126
3/10/20,16.0,0.0,1.0,99920.04897256443,63.136868157547255,28.814159278020618
3/11/20,18.0,0.0,1.0,99913.9068045993,67.83310696317164,30.260088437527234
3/12/20,18.0,0.0,1.0,99907.30220674523,72.88281075419232,31.814982500582502
3/13/20,29.0,0.0,2.0,99900.19957655764,78.31317106893997,33.487252373416986
3/14/20,31.0,1.0,2.0,99892.5611851194,84.15300156465601,35.28581331594331
3/15/20,42.0,1.0,2.0,99884.34717704075,90.43273801749278,37.220084941756134
3/16/20,53.0,1.0,2.0,99875.51557045936,97.18443832251339,39.29999121813216
3/17/20,63.0,3.0,2.0,99866.02225704028,104.44178249369183,41.53596046603015
3/18/20,74.0,3.0,2.0,99855.821001976,112.24007266391287,43.938925360090884
3/19/20,91.0,3.0,3.0,99844.8634439864,120.61623308497215,46.52032292863721
3/20/20,122.0,3.0,3.0,99833.09909531876,129.60881012757608,49.29209455367402
3/21/20,151.0,3.0,4.0,99820.47146734805,139.26085273905113,52.26767991290963
3/22/20,259.0,3.0,4.0,99806.89483310106,149.63726389315545,55.467903005788955
3/23/20,294.0,3.0,4.0,99792.30763154788,160.7851919872496,58.9071764648775
3/24/20,329.0,52.0,6.0,99776.64713270044,172.75277504057496,62.60009225899051
3/25/20,327.0,52.0,8.0,99759.84119491033,185.59525793096483,66.56354715870745
3/26/20,430.0,63.0,9.0,99741.8082648688,199.37499239484436,70.81674273637205
3/27/20,504.0,72.0,13.0,99722.45737760668,214.16143702723048,75.38118536609225
3/28/20,600.0,72.0,18.0,99701.68815649454,230.03115728173213,80.28068622374026
3/29/20,654.0,72.0,19.0,99679.39081324251,247.06782547055,85.54136128695248
3/30/20,569.0,228.0,23.0,99655.44614790041,265.3622207644767,91.1916313351296
3/31/20,787.0,240.0,27.0,99629.72554885768,285.0122291928967,97.26222194943651
