,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.00843604415,2.159978341553569,10.831585614297236
1/24/20,0.0,0.0,0.0,99997.93756793582,2.3327422874765458,11.729689776713697
1/25/20,0.0,0.0,0.0,99996.7807237946,2.519364062679696,12.699912142728925
1/26/20,0.0,0.0,0.0,99995.5312715853,2.720911518051159,13.74781689665539
1/27/20,0.0,0.0,0.0,99994.1822256475,2.9385104166465608,14.87926393586097
1/28/20,0.0,0.0,0.0,99992.725778531,3.173417681990054,16.100803787011337
1/29/20,0.0,0.0,0.0,99991.15330099587,3.4270213980743183,17.419677606069968
1/30/20,0.0,0.0,0.0,99989.45534201236,3.7008408093605594,18.84381717829813
1/31/20,0.0,0.0,0.0,99987.62162876097,3.996526320778508,20.38184491825489
2/1/20,0.0,0.0,0.0,99985.64106663248,4.315859497726423,22.04307386979712
2/2/20,0.0,0.0,0.0,99983.50173922785,4.660753066071089,23.83750770607948
2/3/20,0.0,0.0,0.0,99981.1909083583,5.033250912147814,25.77584072955443
2/4/20,0.0,0.0,0.0,99978.69501404528,5.435528082760436,27.869457871972234
2/5/20,0.0,0.0,0.0,99975.99967452044,5.869890785181319,30.13043469438095
2/6/20,0.0,0.0,0.0,99973.08968622574,6.338776387151351,32.571537387126426
2/7/20,0.0,0.0,0.0,99969.94664250294,6.845101776587283,35.208255720479016
2/8/20,0.0,0.0,0.0,99966.55146040655,7.391907221525084,38.05663237192485
2/9/20,0.0,0.0,0.0,99962.88653465953,7.982044000834076,41.131421339641705
2/10/20,0.0,0.0,0.0,99958.93175271613,8.618752456612889,44.4494948272575
2/11/20,0.0,0.0,0.0,99954.66448211929,9.30566383274388,48.02985404797688
2/12/20,0.0,0.0,0.0,99950.05957050053,10.04680027489313,51.893629224581254
2/13/20,0.0,0.0,0.0,99945.08934558007,10.846574830510438,56.06407958942876
2/14/20,0.0,0.0,0.0,99939.72361516672,11.709791448829336,60.566593384454265
2/15/20,0.0,0.0,0.0,99933.92966715797,12.641644980867076,65.42868786116942
2/16/20,0.0,0.0,0.0,99927.67226953992,13.647721179424629,70.68000928066257
2/17/20,0.0,0.0,0.0,99920.91367038732,14.733996699086703,76.35233291359886
2/18/20,0.0,0.0,0.0,99913.61359786356,15.906839096221713,82.47956304022011
2/19/20,0.0,0.0,0.0,99905.72926022067,17.173006828981812,89.09773295034493
2/20/20,0.0,0.0,0.0,99897.21534579933,18.53964925730287,96.24500494336867
2/21/20,0.0,0.0,0.0,99888.02402302883,20.014306642904486,103.9616703282634
2/22/20,0.0,0.0,0.0,99878.10494042713,21.604910149289978,112.29014942357794
2/23/20,0.0,0.0,0.0,99867.40522660082,23.319781841746384,121.27499155743786
2/24/20,0.0,0.0,0.0,99855.85880869084,25.16866605305241,130.97252525611518
2/25/20,2.0,0.0,0.0,99843.39551741164,27.162228896006024,141.4422536923634
2/26/20,2.0,0.0,0.0,99829.9519328507,29.310978242733754,152.73708890657184
2/27/20,3.0,0.0,0.0,99815.4561471856,31.62656228946181,164.91729052495023
2/28/20,3.0,0.0,0.0,99799.8277283174,34.1217728221591,178.0504988604457
2/29/20,9.0,0.0,0.0,99782.97771987073,36.81054521653726,192.2117349127426
3/1/20,14.0,0.0,0.0,99764.8086411937,39.70795843805061,207.48340036826244
3/2/20,18.0,0.0,0.0,99745.21448735794,42.8302350418962,223.95527760016404
3/3/20,21.0,0.0,0.0,99724.08072915865,46.1947411730138,241.72452966834345
3/4/20,29.0,0.0,0.0,99701.28431311449,49.81998656608586,260.89570031943396
3/5/20,41.0,0.0,0.0,99676.69366146767,53.72562454553754,281.58071398680613
3/6/20,55.0,0.0,0.0,99650.1686721839,57.93245202553674,303.8988757905677
3/7/20,79.0,0.0,0.0,99621.56071895245,62.462409509994046,327.9768715375637
3/8/20,104.0,0.0,0.0,99590.71265118607,67.33858109256278,353.9487677213764
3/9/20,129.0,2.0,0.0,99557.45879402105,72.5851944566389,381.9560115223253
3/10/20,178.0,4.0,0.0,99521.62494831717,78.2276208753612,412.14743080746723
3/11/20,242.0,4.0,0.0,99483.0283906578,84.29237521161103,444.67923413059606
3/12/20,297.0,4.0,1.0,99441.47787334975,90.80711591801258,479.71501073224306
3/13/20,497.0,6.0,1.0,99396.77412354761,97.79925852078378,517.4266179316015
3/14/20,648.0,6.0,1.0,99348.70395792428,105.28436352807367,558.0116785476351
3/15/20,853.0,6.0,1.0,99297.01199687018,113.30195425525919,601.6860488745692
3/16/20,1009.0,6.0,3.0,99241.42186900294,121.8985086936279,648.6796223034319
3/17/20,1328.0,1.0,3.0,99181.64124901005,131.1199678826087,699.2387831073436
3/18/20,1633.0,9.0,4.0,99117.3618576487,141.0117359097718,753.6264064415171
3/19/20,1998.0,9.0,6.0,99048.25946174591,151.61867991082872,812.121858343258
3/20/20,2373.0,9.0,6.0,98973.99387419841,162.98513006963222,875.0209957319644
3/21/20,2797.0,9.0,8.0,98894.2089539727,175.15487961817644,942.6361664091266
3/22/20,3557.0,9.0,16.0,98808.53260610507,188.1711848365968,1015.296209058328
3/23/20,4444.0,9.0,21.0,98716.57678170159,202.0767650531701,1093.3464532452435
3/24/20,5246.0,9.0,28.0,98617.93747793805,216.91380264431433,1177.1487194176414
3/25/20,5549.0,9.0,30.0,98512.19473806003,232.72394303458879,1267.0813189053827
3/26/20,6748.0,112.0,49.0,98398.91265138288,249.5482946966942,1363.5390539204195
3/27/20,7374.0,225.0,58.0,98277.63935329173,267.42742915147255,1466.9332175567981
3/28/20,7978.0,225.0,68.0,98147.90702524144,286.401380967907,1577.6915937906558
3/29/20,8223.0,479.0,86.0,98009.23189475665,306.5096477631223,1696.2584574802243
3/30/20,8874.0,636.0,108.0,97861.11423543179,327.7911902023842,1823.0945743658253
3/31/20,8957.0,1095.0,128.0,97703.03836693102,350.2844319991,1958.6772010698753
4/1/20,9129.0,1436.0,146.0,97534.4726549883,374.027259914818,2103.5000850968822
4/2/20,9222.0,1749.0,158.0,97355.02584833243,399.019665086131,2257.9544865814505
4/3/20,9334.0,2022.0,168.0,97164.61371653355,425.17320375404336,2422.213079712412
4/4/20,9088.0,2507.0,186.0,96962.44492489278,452.5508001635327,2597.0042749436807
4/5/20,8849.0,2998.0,204.0,96747.72997873461,481.21042069610894,2783.059600569281
4/6/20,8614.0,3463.0,220.0,96519.75619354768,511.18780283932625,2981.0560036129923
4/7/20,8350.0,4046.0,243.0,96277.88769498488,542.4964551867827,3191.6158498283507
4/8/20,8157.0,4512.0,273.0,96021.56541886323,575.1276574381203,3415.3069236986494
4/9/20,7709.0,5240.0,295.0,95750.30711116405,609.0504603990253,3652.6424284369364
4/10/20,7172.0,6064.0,319.0,95463.70732803276,644.211685981228,3904.0809859860174
4/11/20,6865.0,6604.0,337.0,95161.43743577905,680.5359272025025,4170.0266370184545
4/12/20,6608.0,6987.0,350.0,94843.24561087678,717.9255481866671,4450.828840936565
4/13/20,6330.0,7343.0,368.0,94508.956839964,756.2606841635844,4746.782475872424
4/14/20,6209.0,7633.0,384.0,94158.47291984298,795.3992414691606,5058.127838687862
4/15/20,5845.0,8098.0,393.0,93791.7724574802,835.176897545346,5385.050644974466
4/16/20,5080.0,8986.0,410.0,93408.9108700063,875.4071009401355,5727.68202905358
4/17/20,4460.0,9704.0,431.0,93010.02038471615,915.8810713075673,6086.098543976303
4/18/20,4014.0,10214.0,443.0,92595.3100390688,956.3677994077239,6460.3221615234925
4/19/20,3796.0,10501.0,452.0,92165.06568068752,996.6140471067321,6850.3202722057595
4/20/20,3694.0,10631.0,470.0,91719.64996735979,1036.3443473767625,7256.005685263473
4/21/20,3411.0,10971.0,491.0,91259.50236703723,1075.2610042960298,7677.236628666762
4/22/20,3087.0,11328.0,510.0,90785.13915783573,1113.0440930487925,8113.816749115504
4/23/20,2786.0,11694.0,522.0,90297.15342803534,1149.3514599253538,8565.49511203934
4/24/20,2669.0,11872.0,530.0,89796.21462096652,1183.825730507667,9031.959648525806
4/25/20,2509.0,12103.0,536.0,89283.22862437277,1216.296853501476,9512.474522125753
4/26/20,2401.0,12282.0,542.0,88759.59738500201,1246.551308203254,10005.851306794733
4/27/20,2363.0,12362.0,549.0,88226.79053658622,1274.32448565135,10510.884977762418
4/28/20,2208.0,12580.0,569.0,87686.26552110759,1299.380021500622,11026.354457391793
4/29/20,2043.0,12779.0,580.0,87139.46758879842,1321.5097960224355,11551.022615179147
4/30/20,1961.0,12907.0,584.0,86587.82979814125,1340.533934104664,12083.636267754082
5/1/20,1832.0,13110.0,589.0,86032.77301586879,1356.3008052516886,12622.926178879516
5/2/20,1782.0,13180.0,596.0,85475.70591696393,1368.6870235843985,13167.607059451671
5/3/20,1771.0,13228.0,598.0,84918.02498465973,1377.5974478401909,13716.37756750008
5/4/20,1705.0,13316.0,600.0,84361.11451043944,1382.9651813729704,14267.92030818759
5/5/20,1582.0,13462.0,606.0,83806.3465940365,1384.7515721531502,14820.901833810356
5/6/20,1437.0,13639.0,608.0,83255.08114343451,1382.9462127676506,15373.972643797842
5/7/20,1445.0,13698.0,609.0,82708.66587486726,1377.5669404199002,15925.767184712831
5/8/20,1324.0,13836.0,614.0,82168.43631281875,1368.6598369298356,16474.903850251405
5/9/20,1290.0,13928.0,615.0,81635.71579002313,1356.299228733901,17019.98498124296
5/10/20,1262.0,13991.0,618.0,81111.81544746473,1340.5876868850485,17559.596865650215
5/11/20,1201.0,14061.0,620.0,80598.03423437808,1321.6560270527382,18092.309738569173
5/12/20,1190.0,14148.0,623.0,80095.62793076775,1299.703045133112,18616.669024099137
5/13/20,1069.0,14304.0,624.0,79605.43087460614,1275.2164660331894,19131.352659360662
5/14/20,1027.0,14405.0,626.0,79128.07170658249,1248.449882537075,19635.478410880427
5/15/20,1010.0,14471.0,628.0,78664.12795445696,1219.5953398027837,20128.27670574026
5/16/20,1048.0,14524.0,629.0,78214.1051263248,1188.8472666571213,20609.047607018074
5/17/20,1050.0,14563.0,629.0,77778.43671061643,1156.4024755956852,21077.160813787876
5/18/20,1026.0,14614.0,629.0,77357.48417609738,1122.460162782864,21532.05566111975
5/19/20,1011.0,14678.0,632.0,76951.53697186828,1087.2219080518375,21973.241120079874
5/20/20,838.0,14882.0,633.0,76560.8125273649,1050.8916749045768,22400.295797730512
5/21/20,820.0,14951.0,633.0,76185.45625235814,1013.6758105118442,22812.86793713001
