,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88749251995,2.1125058431316392,10.000001636909285
1/24/20,0.0,0.0,0.0,99999.76865632371,2.2313403103932807,10.000003365899197
1/25/20,0.0,0.0,0.0,99999.64311286493,2.356881942590234,10.000005192478032
1/26/20,0.0,0.0,0.0,99999.51046636066,2.4895265169214897,10.000007122404975
1/27/20,0.0,0.0,0.0,99999.37035735007,2.629633489018091,10.000009160909926
1/28/20,0.0,0.0,0.0,99999.2223935835,2.777595102783906,10.000011313699982
1/29/20,0.0,0.0,0.0,99999.0661483461,2.9338380669116164,10.00001358698386
1/30/20,0.0,0.0,0.0,99998.90116045764,3.0988235548827148,10.000015987471896
1/31/20,0.0,0.0,0.0,99998.72693427265,3.273047204967505,10.000018522376037
2/1/20,0.0,0.0,0.0,99998.54293968037,3.4570391202251023,10.000021199409854
2/2/20,0.0,0.0,0.0,99998.3486121047,3.6513638685034353,10.000024026788536
2/3/20,0.0,0.0,0.0,99998.14335250432,3.8566204824392427,10.000027013228882
2/4/20,0.0,0.0,0.0,99997.92652737259,4.073442459458075,10.000030167949314
2/5/20,0.0,0.0,0.0,99997.69746873755,4.302497761774294,10.000033500669872
2/6/20,0.0,0.0,0.0,99997.455474162,4.544488816391076,10.000037021612211
2/7/20,0.0,0.0,0.0,99997.19980674339,4.800152515100405,10.000040741499605
2/8/20,0.0,0.0,0.0,99996.92969511395,5.070260214483078,10.000044671556942
2/9/20,0.0,0.0,0.0,99996.64433344058,5.355617735908705,10.000048823510735
2/10/20,0.0,0.0,0.0,99996.34288142488,5.657065365535708,10.000053209589105
2/11/20,0.0,0.0,0.0,99996.02446430316,5.975477854311315,10.000057842521796
2/12/20,0.0,0.0,0.0,99995.68817284648,6.311764417971575,10.00006273554017
2/13/20,0.0,0.0,0.0,99995.33306234676,6.666869750843419,10.000067902392004
2/14/20,0.0,0.0,0.0,99994.95779222566,7.042134411728622,10.000073362602057
2/15/20,0.0,0.0,0.0,99994.56116267451,7.438758191847034,10.0000791336364
2/16/20,0.0,0.0,0.0,99994.14221504387,7.857699726676042,10.000085229436955
2/17/20,0.0,0.0,0.0,99993.69987057174,8.300037762552606,10.000091665695518
2/18/20,0.0,0.0,0.0,99993.23293038347,8.766971156673248,10.000098459853765
2/19/20,0.0,0.0,0.0,99992.74007549179,9.259818877094066,10.000105631103251
2/20/20,0.0,0.0,0.0,99992.21986679688,9.780020002730726,10.000113200385403
2/21/20,0.0,0.0,0.0,99991.67074508625,10.329133723358462,10.000121190391535
2/22/20,0.0,0.0,0.0,99991.09103103481,10.908839339612076,10.00012962556283
2/23/20,0.0,0.0,0.0,99990.47892520492,11.52093626298594,10.000138532090354
2/24/20,0.0,0.0,0.0,99989.83250804624,12.167344015833997,10.000147937915049
2/25/20,0.0,0.0,0.0,99989.14973989589,12.850102231369757,10.000157872727735
2/26/20,0.0,0.0,0.0,99988.42846097835,13.5713706536663,10.000168367969112
2/27/20,0.0,0.0,0.0,99987.66639140551,14.333429137656278,10.000179456829752
2/28/20,0.0,0.0,0.0,99986.86113117661,15.138677649131907,10.000191174250112
2/29/20,0.0,0.0,0.0,99986.01016017832,15.989636264744975,10.000203556920521
3/1/20,3.0,0.0,0.0,99985.1108381847,16.888945172006842,10.000216643281192
3/2/20,3.0,0.0,0.0,99984.16040485718,17.839364669288436,10.000230473522208
3/3/20,3.0,0.0,0.0,99983.1559797446,18.84377516582024,10.000245089583538
3/4/20,3.0,0.0,0.0,99982.09456228315,19.905177181692334,10.000260535155022
3/5/20,6.0,0.0,0.0,99980.97303179646,21.026691347854346,10.00027685567638
3/6/20,6.0,0.0,0.0,99979.78814749554,22.211558406115476,10.000294098337214
3/7/20,9.0,0.0,0.0,99978.53654847878,23.4631392091445,10.000312312076998
3/8/20,9.0,0.0,0.0,99977.21475373194,24.784914720469764,10.000331547585086
3/9/20,9.0,0.0,0.0,99975.81916212822,26.18048601447917,10.00035185730071
3/10/20,11.0,0.0,0.0,99974.34605242815,27.653574276420198,10.000373295412981
3/11/20,8.0,3.0,0.0,99972.78966568717,29.209938366663675,10.000395946145968
3/12/20,8.0,3.0,0.0,99971.144078206,30.85550189792623,10.000419896058078
3/13/20,11.0,3.0,1.0,99969.40565362731,32.59390117479718,10.000445197875845
3/14/20,11.0,3.0,1.0,99967.57022721066,34.42930087726707,10.000471912060345
3/15/20,16.0,6.0,1.0,99965.63309679135,36.36640310168729,10.000500106940635
3/16/20,21.0,6.0,1.0,99963.5890227805,38.41044736077011,10.00052985871374
3/17/20,21.0,6.0,1.0,99961.43222816495,40.56721058358861,10.000561251444665
3/18/20,21.0,6.0,1.0,99959.15639850734,42.84300711557676,10.000594377066381
3/19/20,37.0,6.0,1.0,99956.75468194607,45.24468871852936,10.000629335379836
3/20/20,37.0,6.0,1.0,99954.21968919534,47.779644570602045,10.00066623405395
3/21/20,41.0,11.0,1.0,99951.54349354505,50.455801266311326,10.00070518862562
3/22/20,54.0,10.0,1.0,99948.71763086095,53.281622816534565,10.000746322499712
3/23/20,61.0,10.0,1.0,99945.73309958453,56.26611064850995,10.000789766949067
3/24/20,76.0,10.0,1.0,99942.58036073303,59.41880360583655,10.000835661114502
3/25/20,81.0,10.0,2.0,99939.24933789951,62.74977794847426,10.000884152004803
3/26/20,104.0,15.0,3.0,99935.72941725275,66.26964735274382,10.00093539449673
3/27/20,147.0,15.0,3.0,99932.00944753732,69.98956291132683,10.00098955133502
3/28/20,163.0,15.0,4.0,99928.07774007358,73.92121313326577,10.001046793132382
3/29/20,190.0,15.0,4.0,99923.92206875765,78.07682394396394,10.001107298369494
3/30/20,243.0,26.0,4.0,99919.5296700614,82.46915868518548,10.001171253395015
3/31/20,267.0,26.0,5.0,99914.8872430325,87.11151811505539,10.001238852425569
4/1/20,328.0,26.0,5.0,99909.98094929438,92.01774040805954,10.001310297545762
4/2/20,369.0,26.0,5.0,99904.79641304624,97.20220115504462,10.001385798708167
4/3/20,406.0,32.0,5.0,99899.31872106303,102.6798133632182,10.001465573733334
4/4/20,484.0,32.0,5.0,99893.53242269553,108.46602745614868,10.001549848309782
4/5/20,545.0,32.0,7.0,99887.42152987023,114.57683127376531,10.00163885599401
4/6/20,590.0,44.0,7.0,99880.96951708941,121.02875007235819,10.001732838210483
4/7/20,665.0,44.0,8.0,99874.15932143116,127.8388465245783,10.001832044251646
4/8/20,751.0,63.0,8.0,99866.97334254927,135.02472071943743,10.001936731277913
4/9/20,816.0,101.0,9.0,99859.3817755638,142.61617708966955,10.002047346521957
4/10/20,822.0,159.0,10.0,99851.35649129743,150.64134439455518,10.002164308012334
4/11/20,847.0,200.0,11.0,99842.88008173759,159.11763039858087,10.002287863816282
4/12/20,837.0,250.0,11.0,99833.93254759244,168.0650341065971,10.002418300945466
4/13/20,847.0,289.0,12.0,99824.49129828937,177.50614576525362,10.002555945356018
4/14/20,833.0,351.0,13.0,99814.53115197504,187.46614686299947,10.00270116194853
4/15/20,836.0,404.0,13.0,99804.02433551534,197.97281013008268,10.002854354568052
4/16/20,808.0,460.0,15.0,99792.94048449543,209.05649953855055,10.003015966004098
4/17/20,797.0,528.0,15.0,99781.24664321974,220.7501703022497,10.00318647799064
4/18/20,765.0,590.0,18.0,99768.90726471196,233.08936887682574,10.003366411206112
4/19/20,667.0,712.0,19.0,99755.88421071498,246.11223295972366,10.003556325273413
4/20/20,626.0,791.0,19.0,99742.13675169104,259.85949149018745,10.003756818759895
4/21/20,595.0,865.0,20.0,99727.62156682154,274.3744646492604,10.003968529177374
4/22/20,591.0,907.0,20.0,99712.29274400722,289.70306385978506,10.004192132982128
4/23/20,580.0,948.0,20.0,99696.10177986801,305.8937917864031,10.004428345574897
4/24/20,558.0,1013.0,21.0,99678.99757974313,322.99774233555524,10.004677921300878
4/25/20,516.0,1080.0,21.0,99660.92645769105,341.06860065548153,10.004941653449732
4/26/20,485.0,1139.0,21.0,99641.83213648951,360.1626431362214,10.005220374255577
4/27/20,494.0,1162.0,22.0,99621.65574763548,380.33873740961303,10.005514954896997
4/28/20,474.0,1221.0,22.0,99600.33583134519,401.6583423492941,10.005826305497031
4/29/20,476.0,1267.0,23.0,99577.80833655417,424.18550807070164,10.006155375123184
4/30/20,455.0,1325.0,24.0,99554.00662091713,447.98687593107127,10.006503151787419
5/1/20,464.0,1365.0,25.0,99528.86145080811,473.13167852943843,10.00687066244616
5/2/20,458.0,1411.0,25.0,99502.30100132035,499.6917397066376,10.00725897300029
5/3/20,466.0,1441.0,25.0,99474.25085626639,527.741474545302,10.007669188295159
5/4/20,478.0,1480.0,26.0,99444.634008178,557.3578893698648,10.008102452120571
5/5/20,526.0,1508.0,26.0,99413.37085830623,588.6205817465575,10.008559947210795
5/6/20,563.0,1536.0,28.0,99380.37921662132,621.6117404834117,10.009042895244557
5/7/20,625.0,1551.0,28.0,99345.57430181289,656.4161456302575,10.009552556845048
5/8/20,675.0,1576.0,28.0,99308.86874128968,693.1211684787244,10.010090231579914
5/9/20,771.0,1620.0,31.0,99270.15610479229,731.8332375445989,10.01065766309846
5/10/20,837.0,1650.0,32.0,99229.29440724838,772.694335395907,10.011257355704418
5/11/20,877.0,1680.0,32.0,99186.18138292027,815.8067263927205,10.011890686993045
5/12/20,980.0,1680.0,33.0,99140.70783854116,861.279602329032,10.012559129799607
5/13/20,934.0,1789.0,35.0,99092.75414884617,909.2325868127092,10.01326434111178
5/14/20,1011.0,1833.0,35.0,99042.19025657242,959.7957352654954,10.014008162069668
5/15/20,1058.0,1886.0,36.0,98988.87567245902,1013.1095349230089,10.01479261796579
5/16/20,1158.0,1944.0,36.0,98932.659475247,1069.3249048347434,10.015619918245088
5/17/20,1220.0,2015.0,39.0,98873.38031167942,1128.6031958640674,10.01649245650492
5/18/20,1292.0,2055.0,40.0,98810.86639650127,1191.1161906882248,10.017412810495067
5/19/20,1279.0,2198.0,41.0,98744.93551245953,1257.046103798335,10.018383742117729
5/20/20,1335.0,2253.0,43.0,98675.39501030317,1326.585581499392,10.019408197427527
5/21/20,1365.0,2340.0,44.0,98602.04180878309,1399.9377019102658,10.020489306631497
5/22/20,1410.0,2399.0,46.0,98524.6623946522,1477.3159749637011,10.0216303840891
5/23/20,1427.0,2506.0,49.0,98443.03282266537,1558.9443424063174,10.022834928312216
5/24/20,1466.0,2607.0,49.0,98356.91871557942,1645.0571777986102,10.02410662196514
05/25/20,,,,98266.07526415317,1735.8992865149498,10.025449331864596
05/26/20,,,,98170.24722714743,1831.7259057435822,10.026867108979719
05/27/20,,,,98069.16893132494,1932.802704486628,10.028364188432066
05/28/20,,,,97962.5642714504,2039.405783560082,10.029944989495617
05/29/20,,,,97850.14671029057,2151.8216755938174,10.03161411559677
05/30/20,,,,97731.6192786141,2270.347345031579,10.03337635431434
05/31/20,,,,97606.67457519162,2395.29018813099,10.035236677379567
06/01/20,,,,97474.99476679577,2526.968032963545,10.037200240676107
06/02/20,,,,97336.25158820114,2665.7091394146178,10.039272384240038
06/03/20,,,,97190.10634218428,2811.8521991834555,10.041458632259854
06/04/20,,,,97036.20989952373,2965.74633578318,10.043764693076472
06/05/20,,,,96874.20269900002,3127.7511045407878,10.046196459183232
06/06/20,,,,96703.71474739561,3298.2364925971547,10.048760007225885
06/07/20,,,,96524.36561949497,3477.5829189070264,10.051461598002609
06/08/20,,,,96335.76445808451,3666.181234239026,10.054307676464001
06/09/20,,,,96137.64849483289,3864.294200248871,10.057304918236628
06/10/20,,,,95930.07685284279,4071.8626862221995,10.060460935000611
06/11/20,,,,95712.40341232953,4289.532803381111,10.063784289348263
06/12/20,,,,95483.91028373792,4518.022432236708,10.067284025362536
06/13/20,,,,95243.88686355556,4758.042166789217,10.070969655216839
06/14/20,,,,94991.62983431283,5010.295314527992,10.07485115917504
06/15/20,,,,94726.44316458289,5275.477896431511,10.078938985591456
06/16/20,,,,94447.6381089817,5554.27864696738,10.083244050910869
06/17/20,,,,94154.533208168,5847.37901409233,10.087777739668505
06/18/20,,,,93846.45428884329,6155.453159252218,10.092551904490055
06/19/20,,,,93522.73446375187,6479.167957382027,10.097578866091661
06/20/20,,,,93182.71413168086,6819.182996905866,10.102871413279923
06/21/20,,,,92825.74097746008,7176.150579736969,10.108442802951894
06/22/20,,,,92451.1699719622,7550.715721277698,10.114306760095081
06/23/20,,,,92058.36337210267,7943.5161504195385,10.120477477787455
06/24/20,,,,91646.6907208397,8355.182309543103,10.126969617197432
06/25/20,,,,91215.52884717428,8786.337354518131,10.133798307583891
06/26/20,,,,90764.26186615022,9237.597154703486,10.140979146296164
06/27/20,,,,90292.28117885407,9709.57029294716,10.148528198774038
06/28/20,,,,89798.98547241518,10202.858065586268,10.156461998547757
06/29/20,,,,89283.78072000571,10718.054482447049,10.164797547238019
06/30/20,,,,88746.08018084057,11255.746266844879,10.173552314555977
07/01/20,,,,88185.30440017745,11816.512855584244,10.182744238303242
07/02/20,,,,87600.88120931687,12400.92639895877,10.192391724371879
07/03/20,,,,86992.24572560206,13009.5517607512,10.20251364674441
07/04/20,,,,86358.84035241911,13642.946518233404,10.213129347493812
07/05/20,,,,85700.11477919684,14301.660962166385,10.224258636783516
07/06/20,,,,85015.52598140687,14986.238096800264,10.235921792867408
07/07/20,,,,84304.53822056364,15697.213639874286,10.248139562089834
07/08/20,,,,83566.62304422428,16435.116022616836,10.260933158885594
07/09/20,,,,82801.25928598882,17200.46638974541,10.274324265779939
07/10/20,,,,82007.9330655,17993.778599466634,10.288335033388579
07/11/20,,,,81186.26535424542,18815.43166115267,10.302984601902311
07/12/20,,,,80336.50290267834,19665.178817822587,10.318279499063122
07/13/20,,,,79458.38846046769,20543.277292435472,10.334247096837192
07/14/20,,,,78551.66683981646,21449.982243083563,10.350917099976112
07/15/20,,,,77616.19703378953,22385.43464808195,10.368318128507477
07/16/20,,,,76651.95221631367,23349.661305968584,10.386477717734897
07/17/20,,,,75659.01974217751,24342.574835504252,10.40542231823798
07/18/20,,,,74637.60114703151,25363.973675672605,10.425177295872349
07/19/20,,,,73588.01214738809,26413.542085680143,10.445766931769628
07/20/20,,,,72510.68264062144,27490.850144956217,10.467214422337452
07/21/20,,,,71406.15670496771,28595.353753153027,10.489541879259464
07/22/20,,,,70275.09259952487,29726.394630145638,10.51277032949531
07/23/20,,,,69118.26276425278,30883.200316031944,10.53691971528065
07/24/20,,,,67936.55381997315,32064.88417113272,10.562008894127143
07/25/20,,,,66730.96656836961,33270.44537599156,10.588055638822459
07/26/20,,,,65502.61599198762,34498.76893137495,10.615076637430278
07/27/20,,,,64252.73125423453,35748.62565827218,10.643087493290281
07/28/20,,,,62982.65569937955,37018.67219789543,10.672102725018165
07/29/20,,,,61693.846852553776,38307.45101167973,10.702135766505625
07/30/20,,,,60387.876419750166,39613.39038128292,10.733198966920368
07/31/20,,,,59066.43028782355,40934.80440858577,10.76530359070611
08/01/20,,,,57731.30852449063,42269.89301569181,10.798459817582568
08/02/20,,,,56384.425378329994,43616.74194492749,10.832676742545473
08/03/20,,,,55027.809278782086,44973.322758842085,10.867962375866558
08/04/20,,,,53663.602836149235,46337.49284020772,10.904323643093567
08/05/20,,,,52294.062841595616,47706.99539201938,10.94176638505025
08/06/20,,,,50921.5602671473,49079.45943749491,10.980295357836361
08/07/20,,,,49548.580265692246,50452.39982007499,11.019914232827668
08/08/20,,,,48177.72217098024,51823.21720342315,11.06062559667594
