,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.89245288313,2.0586373667272317,10.048909750139368
1/24/20,0.0,0.0,0.0,99999.78175275263,2.1189937800798044,10.09925346728457
1/25/20,0.0,0.0,0.0,99999.66780590125,2.181120326109923,10.151073772635788
1/26/20,0.0,0.0,0.0,99999.55051170962,2.245071857147544,10.20441643321711
1/27/20,0.0,0.0,0.0,99999.42977511254,2.310900200752622,10.259324686693416
1/28/20,0.0,0.0,0.0,99999.30549857207,2.378658532543338,10.315842895372546
1/29/20,0.0,0.0,0.0,99999.17758071319,2.4484021194689216,10.374017167325011
1/30/20,0.0,0.0,0.0,99999.0459163238,2.5201883198096495,10.43389535638399
1/31/20,0.0,0.0,0.0,99998.91039635467,2.594076583176846,10.495527062145335
2/1/20,0.0,0.0,0.0,99998.7709079195,2.670128450512884,10.558963629967566
2/2/20,0.0,0.0,0.0,99998.62733429493,2.7484075540911825,10.624258150971878
2/3/20,0.0,0.0,0.0,99998.47955492043,2.8289796175162105,10.69146546204213
2/4/20,0.0,0.0,0.0,99998.32744539843,2.9119124557234826,10.760642145824857
2/5/20,0.0,0.0,0.0,99998.17087749428,2.9972759749795626,10.83184653072926
2/6/20,0.0,0.0,0.0,99998.00971913619,3.085142172882062,10.905138690927215
2/7/20,0.0,0.0,0.0,99997.84383441528,3.1755851383596383,10.980580446353265
2/8/20,0.0,0.0,0.0,99997.67308358561,3.268681051671999,11.058235362704625
2/9/20,0.0,0.0,0.0,99997.49732306413,3.3645081844098983,11.138168751441178
2/10/20,0.0,0.0,0.0,99997.31640543071,3.4631468994951384,11.220447669785482
2/11/20,0.0,0.0,0.0,99997.13017942809,3.564679651180569,11.305140920722764
2/12/20,0.0,0.0,0.0,99996.93848996193,3.6691909850500872,11.392319053000916
2/13/20,0.0,0.0,0.0,99996.74117810084,3.776767538018639,11.482054361130507
2/14/20,0.0,0.0,0.0,99996.53808107627,3.8874980383322173,11.574420885384775
2/15/20,0.0,0.0,0.0,99996.32903228262,4.001473305567862,11.669494411799628
2/16/20,0.0,0.0,0.0,99996.11386127718,4.118786250633664,11.767352472173643
2/17/20,0.0,0.0,0.0,99995.89234499473,4.239558388656952,11.868096616597485
2/18/20,0.0,0.0,0.0,99995.66425075896,4.363916461681308,11.971832779353884
2/19/20,0.0,0.0,0.0,99995.42942031175,4.491946776646073,12.07863291160587
2/20/20,0.0,0.0,0.0,99995.18768634151,4.62374057199522,12.188573086480357
2/21/20,0.0,0.0,0.0,99994.93887179396,4.759394392289589,12.30173381374534
2/22/20,0.0,0.0,0.0,99994.68278987198,4.899010088206893,12.418200039809909
2/23/20,0.0,0.0,0.0,99994.41924403573,5.042694816541711,12.538061147724237
2/24/20,0.0,0.0,0.0,99994.1480280026,5.190561040205491,12.661410957179594
2/25/20,0.0,0.0,0.0,99993.86892574726,5.342726528226554,12.788347724508332
2/26/20,0.0,0.0,0.0,99993.58171150155,5.499314355750085,12.918974142683897
2/27/20,0.0,0.0,0.0,99993.28614975463,5.6604529040381415,13.053397341320817
2/28/20,0.0,0.0,0.0,99992.98199525285,5.826275860469648,13.19172888667472
2/29/20,0.0,0.0,0.0,99992.66899299981,5.9969222185404,13.334084781642312
3/1/20,0.0,0.0,0.0,99992.34687825637,6.172536277863059,13.480585465761395
3/2/20,0.0,0.0,0.0,99992.01537654061,6.3532676441671585,13.631355815210858
3/3/20,0.0,0.0,0.0,99991.67420362789,6.5392712292991,13.78652514281068
3/4/20,0.0,0.0,0.0,99991.32306555075,6.730707251222154,13.946227198021925
3/5/20,0.0,0.0,0.0,99990.96165859903,6.927741234016461,14.11060016694675
3/6/20,0.0,0.0,0.0,99990.58966931979,7.130544007879026,14.279786672328402
3/7/20,0.0,0.0,0.0,99990.20677451731,7.3392917091237315,14.453933773551213
3/8/20,0.0,0.0,0.0,99989.81264125317,7.554165780181321,14.633192966640607
3/9/20,0.0,0.0,0.0,99989.40692684613,7.775352969599412,14.817720184263099
3/10/20,0.0,0.0,0.0,99988.98927887222,8.003045332042486,15.007675795726286
3/11/20,0.0,0.0,0.0,99988.55933516473,8.237440228291902,15.203224606978859
3/12/20,0.0,0.0,0.0,99988.11672381414,8.47874032524588,15.404535860610599
3/13/20,0.0,0.0,0.0,99987.66106316821,8.72715359591951,15.611783235852373
3/14/20,0.0,0.0,0.0,99987.19196183197,8.982893319444758,15.82514484857614
3/15/20,0.0,0.0,0.0,99986.70901866762,9.246178081070447,16.044803251294947
3/16/20,0.0,0.0,0.0,99986.21182279466,9.517231772162283,16.27094543316293
