,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.77062538768,2.179354192146568,10.050020420163168
1/24/20,0.0,0.0,0.0,99999.52068187851,2.3747916285681745,10.104526492925471
1/25/20,0.0,0.0,0.0,99999.24822716013,2.587830986089531,10.163941853776508
1/26/20,0.0,0.0,0.0,99998.95129804256,2.8200072942110515,10.228694663226662
1/27/20,0.0,0.0,0.0,99998.62785070331,3.0729186601898766,10.2992306364963
1/28/20,0.0,0.0,0.0,99998.27555794883,3.348384738137954,10.376057313035847
1/29/20,0.0,0.0,0.0,99997.89180920999,3.64844673250939,10.459744057500144
1/30/20,0.0,0.0,0.0,99997.47371054215,3.975367398100448,10.550922059748435
1/31/20,0.0,0.0,0.0,99997.0180846251,4.331631040049553,10.650284334844383
2/1/20,0.0,0.0,0.0,99996.52147076311,4.719943513837287,10.758585723056052
2/2/20,0.0,0.0,0.0,99995.98012488485,5.1432322252863925,10.876642889855924
2/3/20,0.0,0.0,0.0,99995.39001954351,5.604646130561768,11.005334325920892
2/4/20,0.0,0.0,0.0,99994.7468439167,6.107555736170477,11.14560034713225
2/5/20,0.0,0.0,0.0,99994.04600380646,6.655553098961733,11.298443094575713
2/6/20,0.0,0.0,0.0,99993.28255074126,7.252507193292524,11.464942065439326
2/7/20,0.0,0.0,0.0,99992.44992304807,7.903547145489263,11.646529806436337
2/8/20,0.0,0.0,0.0,99991.54250532888,8.61306370694066,11.844430964175377
2/9/20,0.0,0.0,0.0,99990.55448773122,9.385600089409124,12.059912179359765
2/10/20,0.0,0.0,0.0,99989.4790656475,10.226476936164962,12.294457416337876
2/11/20,0.0,0.0,0.0,99988.3084397149,11.141792321986372,12.549767963103134
2/12/20,0.0,0.0,0.0,99987.03381581554,12.138421753159442,12.827762431294019
2/13/20,0.0,0.0,0.0,99985.64540507633,13.224018167478153,13.13057675619406
2/14/20,0.0,0.0,0.0,99984.13242386901,14.407011934244375,13.46056419673184
2/15/20,0.0,0.0,0.0,99982.48309381024,15.696610854267874,13.820295335480994
2/16/20,0.0,0.0,0.0,99980.68464176147,17.10280015986631,14.212558078660207
2/17/20,0.0,0.0,0.0,99978.723299829,18.636342514865223,14.64035765613322
2/18/20,0.0,0.0,0.0,99976.58430536398,20.308778014598055,15.106916621408821
2/19/20,0.0,0.0,0.0,99974.25190096245,22.132424185906146,15.615674851640858
2/20/20,0.0,0.0,0.0,99971.70933446522,24.120375987138708,16.17028954762822
2/21/20,0.0,0.0,0.0,99968.93885895802,26.286505808152864,16.774635233814855
2/22/20,0.0,0.0,0.0,99965.92173277138,28.645463470313622,17.43280375828977
2/23/20,0.0,0.0,0.0,99962.63584846217,31.21452071487732,18.1496308229303
2/24/20,0.0,0.0,0.0,99959.05143190424,34.016922703057304,18.931645392693582
2/25/20,0.0,0.0,0.0,99955.1467944852,37.06963901213501,19.783566502649986
2/26/20,0.0,0.0,0.0,99950.89724280417,40.39198649181155,20.710770703999977
2/27/20,0.0,0.0,0.0,99946.27371765565,44.006687729581685,21.719594614753156
2/28/20,1.0,0.0,0.0,99941.24279402953,47.93987105073387,22.817334919728243
2/29/20,1.0,0.0,0.0,99935.76668111108,52.221070518350245,24.01224837055309
3/1/20,1.0,0.0,0.0,99929.80322228101,56.883225933306626,25.313551785664664
3/2/20,1.0,0.0,0.0,99923.30589511541,61.962682834272485,26.73142205030907
3/3/20,1.0,0.0,0.0,99916.22381138573,67.49919249771101,28.276996116541536
3/4/20,6.0,0.0,0.0,99908.50171705888,73.53591193787905,29.962371003226412
3/5/20,6.0,0.0,0.0,99900.07999229712,80.11940390682712,31.800603796037176
3/6/20,6.0,0.0,0.0,99890.89465145813,87.29963689439943,33.805711647456434
3/7/20,6.0,0.0,0.0,99880.87734309498,95.12998512823386,35.99267177677592
3/8/20,6.0,0.0,0.0,99869.95534995613,103.66722857376197,38.37742147009648
3/9/20,5.0,1.0,0.0,99858.05158898544,112.97155293420903,40.97685808032809
3/10/20,6.0,3.0,0.0,99845.0846113222,123.10654965059393,43.80883902718989
3/11/20,6.0,3.0,0.0,99830.96860230104,134.1392159017293,46.892181797210085
3/12/20,9.0,3.0,0.0,99815.6056258553,146.1458649488017,50.24850919587985
3/13/20,24.0,3.0,0.0,99798.85667260228,159.23433222919695,53.90899516851519
3/14/20,24.0,3.0,0.0,99780.61655493549,173.48704980271708,57.896395261783994
3/15/20,24.0,3.0,0.0,99760.76981215701,188.99450072254965,62.2356871204286
3/16/20,33.0,3.0,0.0,99739.1816010951,205.86214724169952,66.95625166318614
3/17/20,33.0,3.0,0.0,99715.69769610421,224.21043081298893,72.09187308278854
3/18/20,46.0,5.0,0.0,99690.14448906497,244.17477208905746,77.68073884596251
3/19/20,46.0,5.0,0.0,99662.3289893842,265.905570922362,83.76543969342961
3/20/20,64.0,5.0,0.0,99632.03882399491,289.5682063651768,90.39296963990616
3/21/20,61.0,15.0,0.0,99599.04223735629,315.3430366695935,97.61472597410328
3/22/20,61.0,15.0,0.0,99563.08809145374,343.42539928752115,105.48650925872693
3/23/20,66.0,15.0,0.0,99523.90586579882,374.02561087068585,114.06852333047782
3/24/20,59.0,22.0,0.0,99481.20565742931,407.3689672706314,123.42537530005148
3/25/20,57.0,29.0,0.0,99434.67818090913,443.6957435387187,133.62607555213825
3/26/20,57.0,29.0,0.0,99383.99476832844,483.2611939261262,144.74403774542327
3/27/20,62.0,32.0,0.0,99328.80736930355,526.3355518838495,156.85707881258648
3/28/20,62.0,32.0,0.0,99268.74855097699,573.2040300627016,170.0474189603026
3/29/20,62.0,32.0,0.0,99203.43149801744,624.1668203133129,184.40168166924119
3/30/20,120.0,32.0,0.0,99132.44515404252,679.5419634726591,200.01288248480637
3/31/20,104.0,47.0,1.0,99055.2627085091,739.7238878591907,217.0134036317139
4/1/20,108.0,53.0,2.0,98971.35921810112,805.1224976876299,235.51828421123642
4/2/20,247.0,53.0,4.0,98880.18073945724,876.174963635668,255.64429690707976
