,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.7540310063,2.2058072349687183,10.040161758725272
1/24/20,0.0,0.0,0.0,99999.48275145766,2.4327922088605254,10.084456333471486
1/25/20,0.0,0.0,0.0,99999.18343279358,2.6832378957275282,10.133329310690058
1/26/20,0.0,0.0,0.0,99998.85330529246,2.959461743228444,10.187232964297582
1/27/20,0.0,0.0,0.0,99998.48937613808,3.263967881379668,10.246655980538867
1/28/20,0.0,0.0,0.0,99998.08819458797,3.59964356312579,10.312161848898356
1/29/20,0.0,0.0,0.0,99997.64585197356,3.969759164339594,10.384388862100126
1/30/20,0.0,0.0,0.0,99997.15798170006,4.37796818382206,10.464050116107895
1/31/20,0.0,0.0,0.0,99996.61975924656,4.82830724330236,10.55193351012501
2/1/20,0.0,0.0,0.0,99996.02590216596,5.325196087437864,10.648901746594458
2/2/20,0.0,0.0,0.0,99995.37067008499,5.873437583814134,10.755892331198861
2/3/20,0.0,0.0,0.0,99994.6478647042,6.478217722944925,10.873917572860474
2/4/20,1.0,0.0,0.0,99993.85082979799,7.1451056182721935,11.00406458374119
2/5/20,1.0,0.0,0.0,99992.97155705866,7.880801051567081,11.14764188976694
2/6/20,1.0,0.0,0.0,99992.00117631092,8.692724907565221,11.306098781509094
2/7/20,1.0,0.0,0.0,99990.9317409716,9.587526660282222,11.48073236811302
2/8/20,1.0,0.0,0.0,99989.7537473652,10.573158215830471,11.673094418962325
2/9/20,1.0,0.0,0.0,99988.4560758134,11.65892316172554,11.885001024863746
2/10/20,1.0,0.0,0.0,99987.02599063505,12.855476766886182,12.118532598047159
2/11/20,1.0,0.0,0.0,99985.4491401462,14.174825981634353,12.376033872165575
2/12/20,1.0,0.0,0.0,99983.70955666,15.63032943769519,12.660113902295135
2/13/20,1.0,0.0,0.0,99981.78965648686,17.23669744819702,12.973646064935124
2/14/20,1.0,0.0,0.0,99979.67023993432,19.00999200767136,13.319768058007952
2/15/20,1.0,0.0,0.0,99977.33049130708,20.967626792052908,13.701881900859172
2/16/20,1.0,0.0,0.0,99974.74797890706,23.128367158679566,14.123653934257465
2/17/20,0.0,1.0,0.0,99971.8986550333,25.51233014629242,14.589014820394654
2/18/20,0.0,1.0,0.0,99968.75685598208,28.14098447503573,15.10215954288569
2/19/20,0.0,1.0,0.0,99965.29507394662,31.037340721218698,15.667585332153159
2/20/20,0.0,1.0,0.0,99961.47389838459,34.234340343238856,16.29176127216126
2/21/20,0.0,1.0,0.0,99957.2589974931,37.760706039824726,16.98029646706186
2/22/20,0.0,1.0,0.0,99952.6165007574,41.64478882318221,17.73871041940266
2/23/20,0.0,1.0,0.0,99947.50538260108,45.920916977775626,18.57370042112875
2/24/20,0.0,1.0,0.0,99941.87746238608,50.62939606032762,19.49314155358256
2/25/20,0.0,1.0,0.0,99935.67740441267,55.816508899819254,20.506086687503917
2/26/20,0.0,1.0,0.0,99928.84271791947,61.534515597489914,21.622766483030002
2/27/20,0.0,1.0,0.0,99921.30375708346,67.84165352683739,22.854589389695363
2/28/20,0.0,1.0,0.0,99912.98372101995,74.80213733361785,24.214141646431926
2/29/20,0.0,1.0,0.0,99903.79865378258,82.4861589358458,25.71518728156898
3/1/20,1.0,1.0,0.0,99893.65744436336,90.96988752379413,27.372668112833175
3/2/20,7.0,1.0,0.0,99882.46182669266,100.33546955999415,29.202703747348558
3/3/20,12.0,1.0,0.0,99870.10637963912,110.67102877923546,31.222591581636504
3/4/20,22.0,1.0,0.0,99856.47852700981,122.07066618856604,33.450806801615784
3/5/20,49.0,1.0,0.0,99841.45853755009,134.63446006729234,35.90700238260255
3/6/20,108.0,1.0,0.0,99824.91816828414,148.4695808492126,38.61225086663446
3/7/20,168.0,1.0,0.0,99806.67201274802,163.73036179296636,41.59762545899903
3/8/20,199.0,1.0,0.0,99786.55614827534,180.55389908888537,44.88995263576517
3/9/20,238.0,1.0,0.0,99764.40698060392,199.07731962966147,48.51569976641254
3/10/20,266.0,1.0,0.0,99740.02863544437,219.46454405165258,52.5068205039708
3/11/20,310.0,1.0,3.0,99713.1929584801,241.90628673488263,56.90075478501964
3/12/20,310.0,1.0,3.0,99683.63951536726,266.62005580304157,61.74042882968874
3/13/20,555.0,1.0,3.0,99651.07559173486,293.8501531234853,67.07425514165779
3/14/20,684.0,1.0,4.0,99615.1761931846,323.8676743072359,72.95613250815649
3/15/20,881.0,1.0,4.0,99575.58404529105,356.97050870898147,79.44544599996453
3/16/20,1052.0,1.0,5.0,99531.90959360151,393.483339427076,86.60706697141163
3/17/20,1232.0,1.0,10.0,99483.73100363607,433.75764330353945,94.5113530603775
3/18/20,1441.0,31.0,14.0,99430.59416088765,478.1716909240582,103.23414818829188
3/19/20,1743.0,31.0,21.0,99372.01267082187,527.1305466179842,112.85678256013448
3/20/20,2219.0,1.0,37.0,99307.46785887722,581.0660684583358,123.46607266443505
3/21/20,2485.0,263.0,67.0,99236.40877046493,640.436908261797,135.1543212732733
3/22/20,3063.0,263.0,75.0,99158.25186054116,705.7287268682536,148.01941259057682
3/23/20,3392.0,263.0,88.0,99072.27335818025,777.5321190102417,162.1945228095057
3/24/20,3686.0,461.0,122.0,98977.69041275763,856.4972506117681,177.81233663060738
3/25/20,4212.0,547.0,178.0,98873.69289644502,943.3067381466219,195.00036540835265
3/26/20,5340.0,675.0,220.0,98759.35966485529,1038.7316405921028,213.90869455260417
3/27/20,6137.0,858.0,289.0,98633.65855704236,1143.6314594290225,234.70998352861656
3/28/20,7718.0,1063.0,353.0,98495.44639550126,1258.9541386417031,257.59946585703625
3/29/20,9046.0,1359.0,431.0,98343.46898616811,1385.7360647179787,282.79494911390157
3/30/20,9859.0,1527.0,513.0,98176.36111842016,1525.1020666491943,310.5368149306426
3/31/20,10374.0,1696.0,705.0,97992.6465650757,1678.265415930206,341.0880189940815
4/1/20,11004.0,2132.0,828.0,97790.73808239418,1846.5278265593813,374.73409104643196
4/2/20,11842.0,2495.0,1011.0,97568.93741007609,2031.2794550385993,411.78313488529994
4/3/20,12755.0,2872.0,1143.0,97325.43527126306,2233.99890037325,452.565828363683
4/4/20,13901.0,3247.0,1283.0,97058.31137253779,2456.253204072234,497.43542338997065
4/5/20,14493.0,3751.0,1447.0,96765.53440392409,2699.697850147964,546.7677459279441
4/6/20,15196.0,3986.0,1632.0,96444.96203888685,2966.076765116365,600.961195996777
4/7/20,16002.0,4157.0,2035.0,96094.34093433208,3257.2223179968696,660.4367476710338
