,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.81035916158,2.1281245808857574,10.061516257525374
1/24/20,0.0,0.0,0.0,99999.60856995075,2.2644566810129803,10.126973368227349
1/25/20,0.0,0.0,0.0,99999.39380616788,2.4095544441795873,10.196639387946277
1/26/20,0.0,0.0,0.0,99999.16521842674,2.5639916816829538,10.270789891571317
1/27/20,0.0,0.0,0.0,99998.92200410891,2.7283106557510384,10.349685235331082
1/28/20,0.0,0.0,0.0,99998.66327655388,2.9031103954849353,10.433613050638995
1/29/20,0.0,0.0,0.0,99998.38806343585,3.0890477927065394,10.522888771437701
1/30/20,0.0,0.0,0.0,99998.09530676385,3.286837601958543,10.617855634199065
1/31/20,0.0,0.0,0.0,99997.78386288157,3.4972524405044356,10.718884677924176
2/1/20,0.0,0.0,0.0,99997.45250246752,3.7211227883285076,10.826374744143346
2/2/20,0.0,0.0,0.0,99997.09991053495,3.9593369881358473,10.940752476916106
2/3/20,0.0,0.0,0.0,99996.72468643181,4.21284124535234,11.06247232283121
2/4/20,0.0,0.0,0.0,99996.32534384087,4.482639628124671,11.192016531006638
2/5/20,0.0,0.0,0.0,99995.90031077959,4.769794067320325,11.329895153089588
2/6/20,0.0,0.0,0.0,99995.44792960021,5.075424356527583,11.476646043256482
2/7/20,0.0,0.0,0.0,99994.96645698973,5.400708152055527,11.632834858212963
2/8/20,0.0,0.0,0.0,99994.45406396987,5.746880972934034,11.799055057193897
2/9/20,0.0,0.0,0.0,99993.90883589712,6.115236200913783,11.975927901963374
2/10/20,0.0,0.0,0.0,99993.32877246272,6.507125080466251,12.164102456814701
2/11/20,0.0,0.0,0.0,99992.71167303098,6.924034002439224,12.364292966577402
2/12/20,0.0,0.0,0.0,99992.05450849215,7.368007956656878,12.577483551195781
2/13/20,0.0,0.0,0.0,99991.35504746244,7.840554586945643,12.80439795061378
2/14/20,0.0,0.0,0.0,99990.61101407245,8.343211813603503,13.045774113953048
2/15/20,0.0,0.0,0.0,99989.81983528222,8.877718139077091,13.302446578697682
2/16/20,0.0,0.0,0.0,99988.97864088134,9.446012647961696,13.575346470694232
2/17/20,0.0,0.0,0.0,99988.08426348884,10.050235007001262,13.865501504151705
2/18/20,0.0,0.0,0.0,99987.13323855327,10.692725465088383,14.174035981641554
2/19/20,0.0,0.0,0.0,99986.12180435263,11.376024853264305,14.502170794097688
2/20/20,0.0,0.0,0.0,99985.04590199447,12.10287458471893,14.851223420816467
2/21/20,0.0,0.0,0.0,99983.90117541575,12.876216654790813,15.222607929456702
2/22/20,0.0,0.0,0.0,99982.682971383,13.699193640967163,15.61783497603966
2/23/20,0.0,0.0,0.0,99981.38633949216,14.57514870288384,16.038511804949053
2/24/20,0.0,0.0,0.0,99980.00603216875,15.507625582325357,16.48634224893106
2/25/20,0.0,0.0,0.0,99978.53650466767,16.500368603224878,16.963126729094288
2/26/20,0.0,0.0,0.0,99976.97191507343,17.55732267166423,17.470762254909822
2/27/20,0.0,0.0,0.0,99975.30612429991,18.682633275873883,18.011242424211183
2/28/20,0.0,0.0,0.0,99973.53269609057,19.880646486232962,18.586657423194346
2/29/20,0.0,0.0,0.0,99971.64489701831,21.155908955269247,19.199194026417747
3/1/20,0.0,0.0,0.0,99969.63569648554,22.513167917659167,19.851135596802266
3/2/20,0.0,0.0,0.0,99967.49776672415,23.95737119022782,20.544862085631237
3/3/20,0.0,0.0,0.0,99965.2234827955,25.493667171948935,21.282850032550442
3/4/20,0.0,0.0,0.0,99962.80492259048,27.12740484394491,22.06767256556813
3/5/20,2.0,0.0,0.0,99960.23274274863,28.864885984221196,22.902371267149395
3/6/20,2.0,0.0,0.0,99957.49317170004,30.715380624148555,23.79144767580883
3/7/20,3.0,0.0,0.0,99954.57742946724,32.68482642779486,24.73774410495487
3/8/20,3.0,0.0,0.0,99951.47635635246,34.77941989541341,25.74422375211492
3/9/20,3.0,0.0,0.0,99948.17951188468,37.00621908685198,26.814269028459197
3/10/20,5.0,0.0,0.0,99944.67517481964,39.37314362155281,27.951681558800754
3/11/20,7.0,0.0,0.0,99940.95034313985,41.88897467855265,29.160682181595455
3/12/20,11.0,0.0,0.0,99936.99073405458,44.56335499648269,30.445910948942
3/13/20,13.0,0.0,0.0,99932.78078399984,47.406788873568615,31.812427126581916
3/14/20,18.0,0.0,0.0,99928.30364863847,50.430642167630594,33.26570919389953
3/15/20,24.0,0.0,0.0,99923.54120285998,53.64714229608326,34.811654843922014
3/16/20,25.0,0.0,0.0,99918.47404078074,57.06937823593572,36.45658098331937
