,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.84844294871,2.0722843427206175,10.079272708560262
1/24/20,0.0,0.0,0.0,99999.69140855389,2.1471809490577916,10.161410497053634
1/25/20,0.0,0.0,0.0,99999.52869403291,2.2247865175881203,10.246519449498981
1/26/20,0.0,0.0,0.0,99999.36008155912,2.3052049144021747,10.334713526471873
1/27/20,0.0,0.0,0.0,99999.18536834279,2.3885328488815665,10.426098808331002
1/28/20,0.0,0.0,0.0,99999.0043431552,2.4748710539193133,10.520785790878723
1/29/20,0.0,0.0,0.0,99998.81678409233,2.564325350929162,10.618890556740496
1/30/20,0.0,0.0,0.0,99998.62245857478,2.6570066498455898,10.720534775364882
1/31/20,0.0,0.0,0.0,99998.42112334786,2.7530309491238043,10.825845703023548
2/1/20,0.0,0.0,0.0,99998.21252448145,2.8525193357397414,10.934956182811266
2/2/20,0.0,0.0,0.0,99997.99639737017,2.955597985190069,11.048004644645909
2/3/20,0.0,0.0,0.0,99997.77246673324,3.0623981614921836,11.165135105268455
2/4/20,0.0,0.0,0.0,99997.54044661457,3.1730562171842114,11.286497168242983
2/5/20,0.0,0.0,0.0,99997.30004038272,3.2877135933250097,11.412246023956682
2/6/20,0.0,0.0,0.0,99997.05094073089,3.4065168194941657,11.542542449619841
2/7/20,0.0,0.0,0.0,99996.79282967694,3.5296175137919947,11.677552809265851
2/8/20,0.0,0.0,0.0,99996.52537856341,3.657172382839543,11.81744905375121
2/9/20,0.0,0.0,0.0,99996.24824805747,3.789343221778587,11.96240872075552
2/10/20,0.0,0.0,0.0,99995.96108815094,3.9262969142716346,12.112614934781483
2/11/20,0.0,0.0,0.0,99995.66353816034,4.06820543250192,12.268256407154908
2/12/20,0.0,0.0,0.0,99995.3552267268,4.215245837173411,12.42952743602471
2/13/20,0.0,0.0,0.0,99995.03577181612,4.367600277510801,12.596627906362901
2/14/20,0.0,0.0,0.0,99994.70478071878,4.525455991259518,12.769763289964605
2/15/20,0.0,0.0,0.0,99994.36185004987,4.689005304685717,12.94914464544804
2/16/20,0.0,0.0,0.0,99994.00644382187,4.858503468366498,13.135052709764315
2/17/20,0.0,0.0,0.0,99993.63803507831,5.034201478473643,13.3277634432122
2/18/20,0.0,0.0,0.0,99993.2562397181,5.216282613285622,13.527477668608995
2/19/20,0.0,0.0,0.0,99992.86064460895,5.404943970878265,13.734411420174592
2/20/20,0.0,0.0,0.0,99992.45080732457,5.600396593774601,13.948796081660879
2/21/20,0.0,0.0,0.0,99992.0262561447,5.802865468944853,14.170878386351745
2/22/20,0.0,0.0,0.0,99991.58649005512,6.012589527806446,14.400920417063082
2/23/20,0.0,0.0,0.0,99991.13097874763,6.229821646223997,14.639199606142775
2/24/20,0.0,0.0,0.0,99990.65916262002,6.454828644509325,14.886008735470709
2/25/20,0.0,0.0,0.0,99990.17045277612,6.687891287421443,15.141655936458775
2/26/20,0.0,0.0,0.0,99989.66423102579,6.929304284166562,15.406464690050857
2/27/20,0.0,0.0,0.0,99989.13984988487,7.179376288398093,15.680773826722838
2/28/20,0.0,0.0,0.0,99988.5966325753,7.43842989821664,15.964937526482606
2/29/20,0.0,0.0,0.0,99988.03387302496,7.706801656170006,16.259325318870044
3/1/20,0.0,0.0,0.0,99987.45083586778,7.984842049253194,16.564322082957034
3/2/20,0.0,0.0,0.0,99986.84675644375,8.2729155089084,16.880328047347458
3/3/20,0.0,0.0,0.0,99986.2208407988,8.571400411025019,17.2077587901772
3/4/20,0.0,0.0,0.0,99985.57226568494,8.880689075939646,17.547045239114134
3/5/20,0.0,0.0,0.0,99984.9001785602,9.201187768436066,17.89863367135815
3/6/20,0.0,0.0,0.0,99984.20369758861,9.53331669774527,18.26298571364113
3/7/20,0.0,0.0,0.0,99983.48191164022,9.877510017545443,18.640578342226938
3/8/20,0.0,0.0,0.0,99982.73388029113,10.234215825961964,19.031903882911465
3/9/20,1.0,0.0,0.0,99981.95863382341,10.603896165567411,19.437470011022583
3/10/20,1.0,0.0,0.0,99981.1551732252,10.987027023381565,19.857799751420178
3/11/20,11.0,0.0,0.0,99980.32247019063,11.384098330871394,20.293431478496114
3/12/20,11.0,0.0,0.0,99979.45946711987,11.795613963951073,20.74491891617427
3/13/20,37.0,0.0,0.0,99978.56507711911,12.222091742981966,21.212831137910527
3/14/20,40.0,0.0,0.0,99977.63818400053,12.664063432772647,21.697752566692756
3/15/20,50.0,0.0,0.0,99976.67764228238,13.122074742578864,22.200282975040835
