,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.84075765622,2.1208155221984044,10.038426821584546
1/24/20,0.0,0.0,0.0,99999.67189615605,2.248928932193288,10.079174911761339
1/25/20,0.0,0.0,0.0,99999.49279810679,2.3848086144191702,10.12239327880505
1/26/20,0.0,0.0,0.0,99999.30282432864,2.528939481916847,10.168236189448859
1/27/20,0.0,0.0,0.0,99999.10138158972,2.681771613851306,10.216846796440638
1/28/20,0.0,0.0,0.0,99998.88781810045,2.8437995104827496,10.268382389075658
1/29/20,0.0,0.0,0.0,99998.66142170953,3.015563461337316,10.323014829137804
1/30/20,0.0,0.0,0.0,99998.4214199039,3.1976495452070792,10.380930550899588
1/31/20,0.0,0.0,0.0,99998.16697980874,3.390689630150047,10.442330561122132
2/1/20,0.0,0.0,0.0,99997.89720818747,3.595361373490161,10.507430439055181
2/2/20,0.0,0.0,0.0,99997.61115144176,3.8123882218173,10.576460336437101
2/3/20,0.0,0.0,0.0,99997.30779561153,4.042539410987277,10.649664977494872
2/4/20,0.0,0.0,0.0,99996.98606637494,4.286629966121838,10.727303658944098
2/5/20,0.0,0.0,0.0,99996.64482904841,4.545520701608667,10.809650249988998
2/6/20,0.0,0.0,0.0,99996.28288858659,4.820118221101381,10.89699319232241
2/7/20,0.0,0.0,0.0,99995.89898958236,5.111374917519532,10.989635500125797
2/8/20,0.0,0.0,0.0,99995.49181626689,5.420288973048606,11.087894760069233
2/9/20,0.0,0.0,0.0,99995.05999250956,5.747904359140026,11.192103131311413
2/10/20,0.0,0.0,0.0,99994.602081818,6.095310836511149,11.302607345499656
2/11/20,0.0,0.0,0.0,99994.1165873381,6.463643955145267,11.419768706769892
2/12/20,0.0,0.0,0.0,99993.60187411275,6.854143953290059,11.543981933970354
2/13/20,0.0,0.0,0.0,99993.05563753482,7.268558504940177,11.67580396025013
2/14/20,0.0,0.0,0.0,99992.47619991252,7.708160470409506,11.815639617075972
2/15/20,0.0,0.0,0.0,99991.86189833755,8.174211647094342,11.963890015368293
2/16/20,0.0,0.0,0.0,99991.21086003608,8.668132966053507,12.12100699787116
2/17/20,0.0,0.0,0.0,99990.52100236884,9.191504492008356,12.287493139152302
2/18/20,0.0,0.0,0.0,99989.79003283106,9.74606542334277,12.463901745603101
2/19/20,0.0,0.0,0.0,99989.01544905247,10.333714092103161,12.650836855438596
2/20/20,0.0,0.0,0.0,99988.19453879731,10.95650796399847,12.848953238697487
2/21/20,0.0,0.0,0.0,99987.32437996437,11.61666363840017,13.058956397242122
2/22/20,0.0,0.0,0.0,99986.40184058691,12.316556848342255,13.281602564758515
2/23/20,0.0,0.0,0.0,99985.42357883274,13.05872246052126,13.517698706756335
2/24/20,0.0,0.0,0.0,99984.38604300414,13.845854475296239,13.7681025205689
2/25/20,0.0,0.0,0.0,99983.28547153797,14.680806026688778,14.033722435353198
2/26/20,0.0,0.0,0.0,99982.11789300553,15.566589382382993,14.31551761208986
2/27/20,0.0,0.0,0.0,99980.8791261127,16.506375943725537,14.614497943583183
2/28/20,0.0,0.0,0.0,99979.56477969982,17.50349624572558,14.931724054461117
2/29/20,0.0,0.0,0.0,99978.17025274178,18.56143995705482,15.268307301175275
3/1/20,0.0,0.0,0.0,99976.69073434795,19.683855880047496,15.625409772000914
3/2/20,0.0,0.0,0.0,99975.12120376228,20.874551950700376,16.00424428703696
3/3/20,0.0,0.0,0.0,99973.45643036313,22.137495238672745,16.406074398205995
3/4/20,0.0,0.0,0.0,99971.69097366347,23.476811947286425,16.832214389254247
3/5/20,0.0,0.0,0.0,99969.81918331073,24.89678741352577,17.284029275751614
3/6/20,0.0,0.0,0.0,99967.83519908688,26.40186610803765,17.76293480509164
3/7/20,0.0,0.0,0.0,99965.73292530197,27.996670949733357,18.27040374829991
3/8/20,4.0,0.0,0.0,99963.50251965593,29.688652426923447,18.808827917151408
3/9/20,4.0,0.0,0.0,99961.13564425892,31.484130013893946,19.380225727191583
3/10/20,4.0,0.0,0.0,99958.62601909335,33.3878736031034,19.986107303544077
3/11/20,6.0,0.0,1.0,99955.96644785044,35.40534647753571,20.628205672028198
3/12/20,6.0,0.0,1.0,99953.14881793015,37.542705310700114,21.30847675915888
3/13/20,22.0,0.0,1.0,99950.16410044122,39.8068001666312,22.02909939214671
3/14/20,39.0,0.0,2.0,99947.00235020122,42.20517449988887,22.79247529889793
3/15/20,49.0,0.0,2.0,99943.65270573643,44.74606515555841,23.601229108014422
3/16/20,50.0,0.0,2.0,99940.10338928195,47.438402369250426,24.45820834879371
3/17/20,65.0,0.0,2.0,99936.34170678168,50.29180976710086,25.366483451228977
3/18/20,90.0,0.0,2.0,99932.35404788822,53.316604365770985,26.329347746009038
3/19/20,91.0,0.0,3.0,99928.12588596303,56.523796572447466,27.35031746451837
3/20/20,124.0,0.0,3.0,99923.64177807633,59.925090184842254,28.43313173883708
3/21/20,157.0,3.0,3.0,99918.88536500707,63.53288239119267,29.581752601740938
3/22/20,181.0,3.0,3.0,99913.83937124304,67.36026377026138,30.800364986701346
3/23/20,195.0,3.0,3.0,99908.48560498079,71.42101829133637,32.093376727885364
3/24/20,212.0,3.0,3.0,99902.80495812562,75.72962331423099,33.4654185601557
3/25/20,235.0,4.0,3.0,99896.77740629166,80.30124958928394,34.92134411907069
3/26/20,253.0,8.0,3.0,99890.38200880177,85.15176125735923,36.46622994088433
3/27/20,281.0,9.0,3.0,99883.59690868761,90.29771584984618,38.10537546254628
