,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.9227162248,2.0772836158770467,10.000000159335622
1/24/20,0.0,0.0,0.0,99999.84244613307,2.15755354209686,10.00000032482825
1/25/20,0.0,0.0,0.0,99999.75907105848,2.2409284448094042,10.000000496722558
1/26/20,0.0,0.0,0.0,99999.67246337351,2.3275359512094096,10.000000675281706
1/27/20,0.0,0.0,0.0,99999.58250506083,2.4174940784310066,10.000000860749017
1/28/20,0.0,0.0,0.0,99999.4890725814,2.5109263652330944,10.000001053379204
1/29/20,0.0,0.0,0.0,99999.39203559584,2.607963150723536,10.000001253441004
1/30/20,0.0,0.0,0.0,99999.29125696444,2.7087415743591583,10.000001461217176
1/31/20,0.0,0.0,0.0,99999.18659274706,2.8134055759457537,10.000001677004503
2/1/20,0.0,0.0,0.0,99999.07789220326,2.9221058956380768,10.000001901113794
2/2/20,0.0,0.0,0.0,99998.9649977922,3.0350000739398486,10.00000213386988
2/3/20,0.0,0.0,0.0,99998.8477451727,3.152252451703753,10.000002375611619
2/4/20,0.0,0.0,0.0,99998.7259632032,3.2740341701314386,10.00000262669189
2/5/20,0.0,0.0,0.0,99998.59947394177,3.4005231707735186,10.000002887477596
2/6/20,0.0,0.0,0.0,99998.46809264613,3.53190419552957,10.000003158349665
2/7/20,0.0,0.0,0.0,99998.33162777366,3.668368786648134,10.00000343970305
2/8/20,0.0,0.0,0.0,99998.18988098134,3.8101152867267163,10.00000373194673
2/9/20,0.0,0.0,0.0,99998.0426471258,3.9573488387117868,10.000004035503702
2/10/20,0.0,0.0,0.0,99997.8897142633,4.11028138589878,10.00000435081099
2/11/20,0.0,0.0,0.0,99997.73086364976,4.269131671932095,10.000004678319645
2/12/20,0.0,0.0,0.0,99997.5658697407,4.434125240805093,10.000005018494738
2/13/20,0.0,0.0,0.0,99997.39450019134,4.605494436860102,10.000005371815366
2/14/20,0.0,0.0,0.0,99997.21651585645,4.783478404788414,10.000005738774648
2/15/20,0.0,0.0,0.0,99997.03166849309,4.968325387041135,10.00000611988448
2/16/20,0.0,0.0,0.0,99996.83960108404,5.160392400081705,10.000006515881546
2/17/20,0.0,0.0,0.0,99996.64002650589,5.359966566764073,10.000006927358024
2/18/20,0.0,0.0,0.0,99996.43270837201,5.567284273185396,10.00000735480116
2/19/20,0.0,0.0,0.0,99996.21739078993,5.782601411335517,10.000007798738451
2/20/20,0.0,0.0,0.0,99995.99379836117,6.006193379096963,10.000008259737651
2/21/20,0.0,0.0,0.0,99995.76163618136,6.2383550802449435,10.000008738406763
2/22/20,0.0,0.0,0.0,99995.52058984016,6.4794009244473525,10.000009235394037
2/23/20,0.0,0.0,0.0,99995.27032542136,6.729664827264767,10.000009751387982
2/24/20,0.0,0.0,0.0,99995.01048950273,6.989500210150447,10.000010287117355
2/25/20,0.0,0.0,0.0,99994.7407091562,7.259280000450339,10.000010843351168
2/26/20,0.0,0.0,0.0,99994.4605919477,7.53939663140307,10.000011420898684
2/27/20,0.0,0.0,0.0,99994.16972593726,7.830262042139955,10.000012020609413
2/28/20,0.0,0.0,0.0,99993.86767967895,8.132307677684988,10.000012643373125
2/29/20,0.0,0.0,0.0,99993.55400222093,8.44598448895485,10.000013290119837
3/1/20,0.0,0.0,0.0,99993.22822310543,8.771762932758902,10.000013961819816
3/2/20,0.0,0.0,0.0,99992.88985236872,9.110132971799196,10.000014659483588
