,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.998350768,1.3419564235096009,10.659692808498038
1/24/20,0.0,0.0,0.0,99999.9972431002,0.8999969593975077,11.102759940415659
1/25/20,0.0,0.0,0.0,99999.9965003237,0.6036291295940488,11.399870546711345
1/26/20,0.0,0.0,0.0,99999.99600483257,0.4059281624869286,11.598067004944738
1/27/20,1.0,0.0,0.0,99999.99566932944,0.2720624059292025,11.732268264637755
1/28/20,1.0,0.0,0.0,99999.99544561998,0.18280232284955156,11.821752057188741
1/29/20,1.0,0.0,0.0,99999.99529505215,0.12272576292523318,11.881979184925394
1/30/20,1.0,0.0,0.0,99999.99519374852,0.08230561057341408,11.922500640912359
1/31/20,1.0,0.0,0.0,99999.99512619324,0.055351052839781784,11.949522753925239
2/1/20,1.0,0.0,0.0,99999.99508044703,0.037098311862570676,11.967821241118193
2/2/20,1.0,0.0,0.0,99999.99504993578,0.024924320931339512,11.98002574330338
2/3/20,1.0,0.0,0.0,99999.9950294116,0.016735174558990026,11.98823541385108
2/4/20,1.0,0.0,0.0,99999.99501559541,0.01122251471423184,11.993761889885235
2/5/20,1.0,0.0,0.0,99999.99500638465,0.007547423599952023,11.997446191753728
2/6/20,1.0,0.0,0.0,99999.9950001473,0.005058722057722757,11.999941130642867
2/7/20,1.0,0.0,0.0,99999.99499598592,0.003398326813680478,12.001605687278289
2/8/20,1.0,0.0,0.0,99999.99499318821,0.00228204644582746,12.00272476534116
2/9/20,1.0,0.0,0.0,99999.99499130393,0.0015302149154700787,12.003478481160972
2/10/20,1.0,0.0,0.0,99999.99499004806,0.0010291235452014138,12.003980828399275
2/11/20,1.0,0.0,0.0,99999.99498919732,0.0006896765870592351,12.00432112610163
2/12/20,0.0,1.0,0.0,99999.99498862986,0.0004632559423654002,12.004548114216583
2/13/20,0.0,1.0,0.0,99999.99498824896,0.00031127978319363877,12.004700471268364
2/14/20,0.0,1.0,0.0,99999.99498799127,0.00020846137885273692,12.004803547362929
2/15/20,0.0,1.0,0.0,99999.9949878206,0.00014035944279804173,12.00487181998052
2/16/20,0.0,1.0,0.0,99999.9949877049,9.419219507774455e-05,12.004918102935623
2/17/20,0.0,1.0,0.0,99999.99498762665,6.297667374062289e-05,12.004949396691346
2/18/20,0.0,1.0,0.0,99999.99498757545,4.254760420741935e-05,12.004969876961551
2/19/20,0.0,1.0,0.0,99999.99498754062,2.8648939904408705e-05,12.004983810459597
2/20/20,0.0,1.0,0.0,99999.99498751645,1.90034050384701e-05,12.004993480168736
2/21/20,0.0,1.0,0.0,99999.99498750086,1.2783878868844511e-05,12.004999715282688
2/22/20,0.0,1.0,0.0,99999.99498749098,8.843858826064356e-06,12.005003665177467
2/23/20,0.0,1.0,0.0,99999.99498748365,5.910831385473567e-06,12.005006605555854
2/24/20,0.0,1.0,0.0,99999.99498747836,3.8035825435744207e-06,12.005008718086023
2/25/20,0.0,1.0,0.0,99999.99498747515,2.522671516168353e-06,12.005010002207353
2/26/20,0.0,1.0,0.0,99999.99498747347,1.8561597835958983e-06,12.00501067038954
2/27/20,0.0,1.0,0.0,99999.99498747234,1.4016401338913227e-06,12.005011126048338
2/28/20,0.0,1.0,0.0,99999.994987471,8.705748803072215e-07,12.005011658444582
2/29/20,0.0,1.0,0.0,99999.99498746997,4.597668971292849e-07,12.00501207028216
3/1/20,0.0,1.0,0.0,99999.99498746943,2.4309727268655716e-07,12.005012287494814
3/2/20,0.0,1.0,0.0,99999.99498746936,2.159601140182691e-07,12.005012314699988
3/3/20,0.0,1.0,0.0,99999.99498746956,2.956974698404263e-07,12.005012234762788
3/4/20,0.0,1.0,0.0,99999.99498746962,3.21599330545811e-07,12.00501220879601
3/5/20,0.0,1.0,0.0,99999.99498746924,1.6592616085541704e-07,12.005012364859338
3/6/20,0.0,1.0,0.0,99999.99498746874,-2.94613806250591e-08,12.005012560736573
3/7/20,0.0,1.0,0.0,99999.9949874684,-1.7037986704766907e-07,12.005012702008237
3/8/20,1.0,1.0,0.0,99999.99498746831,-2.050563506036012e-07,12.00501273677163
3/9/20,1.0,1.0,0.0,99999.99498746851,-1.2212399255436227e-07,12.005012653631422
