,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.68480455017,2.2226528732878026,10.09254257655038
1/24/20,0.0,0.0,0.0,99999.33451961802,2.470092481238875,10.195387900736598
1/25/20,0.0,0.0,0.0,99998.94506806241,2.7451986876705194,10.309733249910565
1/26/20,1.0,0.0,0.0,99998.51228636425,3.050912485800856,10.436801149951151
1/27/20,1.0,0.0,0.0,99998.0315826637,3.3904774679753364,10.577939868327055
1/28/20,2.0,0.0,0.0,99997.4976242061,3.767660475949409,10.734715317946158
1/29/20,2.0,0.0,0.0,99996.90433734196,4.186751600888517,10.908911057155525
1/30/20,2.0,0.0,0.0,99996.24490752688,4.652564183368096,11.10252828974141
1/31/20,4.0,0.0,0.0,99995.51177932169,5.170434813373577,11.317785864929256
2/1/20,4.0,0.0,0.0,99994.69665639232,5.746223330300387,11.557120277383683
2/2/20,4.0,0.0,0.0,99993.79050150984,6.386312822953944,11.823185667208504
2/3/20,4.0,0.0,0.0,99992.7835365505,7.097609629549667,12.118853819946716
2/4/20,4.0,0.0,0.0,99991.66448787581,7.888075278562351,12.44743684561921
2/5/20,5.0,0.0,0.0,99990.41987934858,8.767225535888988,12.812895115517337
2/6/20,5.0,0.0,0.0,99989.03773185019,9.743523456966983,13.218744692837692
2/7/20,7.0,0.0,0.0,99987.5037822592,10.827044408859662,13.66917333194149
2/8/20,7.0,0.0,0.0,99985.80115857463,12.029705058518424,14.169136366840183
2/9/20,7.0,0.0,0.0,99983.91037991601,13.36526337278276,14.724356711195455
2/10/20,7.0,0.0,0.0,99981.8093565233,14.84931861838023,15.34132485831923
2/11/20,7.0,0.0,0.0,99979.4733897569,16.499311361926488,16.027298881173664
2/12/20,6.0,1.0,0.0,99976.8751720977,18.33452346992525,16.79030443237115
2/13/20,6.0,1.0,0.0,99973.98478714706,20.37607810876834,17.63913474417432
2/14/20,6.0,1.0,0.0,99970.76970962677,22.646939744735626,18.583350628496035
2/15/20,6.0,1.0,0.0,99967.1948053791,25.17191414399509,19.6332804768994
2/16/20,6.0,1.0,0.0,99963.2223313668,27.977648372602765,20.800020260597748
2/17/20,7.0,1.0,0.0,99958.81185712692,31.092685786698624,22.0954570863751
2/18/20,7.0,1.0,0.0,99953.90770368198,34.556267887875634,23.536028430146953
2/19/20,7.0,1.0,0.0,99948.45727141807,38.40553077639653,25.137197805525933
2/20/20,7.0,1.0,0.0,99942.40884162288,42.67703720254982,26.914121174566013
2/21/20,6.0,3.0,0.0,99935.69937143383,47.41531737977674,28.885311186382957
2/22/20,6.0,3.0,0.0,99928.25449383818,52.672868984671354,31.07263717715432
2/23/20,6.0,3.0,0.0,99919.9885176729,58.51015715698048,33.50132517011946
2/24/20,7.0,3.0,0.0,99910.80442762481,64.99561449960373,36.199957875579486
2/25/20,8.0,3.0,0.0,99900.5938842305,72.20564107859347,39.200474690897366
2/26/20,8.0,3.0,0.0,99889.23722387635,80.2246044231549,42.53817170049781
2/27/20,7.0,6.0,0.0,99876.60345879848,89.14483952564593,46.25170167586734
2/28/20,8.0,6.0,0.0,99862.55027708286,99.0666488415773,50.38307407555424
2/29/20,14.0,6.0,0.0,99846.92404266521,110.09830228961253,54.977655045168646
3/1/20,18.0,6.0,0.0,99829.55979533105,122.35603725156788,60.08416741738244
3/2/20,21.0,6.0,0.0,99810.28125071565,135.96405857241243,65.7546907119293
3/3/20,24.0,6.0,0.0,99788.88780141079,151.06332968070163,72.0488689084999
3/4/20,27.0,6.0,0.0,99765.10893202938,167.84288655698154,79.04818141362391
3/5/20,31.0,6.0,0.0,99738.71632174266,186.46454190067476,86.81913635666646
3/6/20,43.0,6.0,0.0,99709.44688124715,207.1144593980755,95.43865935477834
3/7/20,46.0,8.0,0.0,99676.98863467143,230.01265861450884,104.99870671404794
3/8/20,56.0,8.0,0.0,99640.98071957617,255.4130149943303,115.6062654295012
3/9/20,68.0,8.0,1.0,99601.01338695397,283.6032598609263,127.38335318510177
3/10/20,70.0,8.0,1.0,99556.62800122953,314.9049804167138,140.46701835375083
3/11/20,99.0,8.0,1.0,99507.31704025957,349.6736197431403,155.00933999728719
3/12/20,108.0,8.0,1.0,99452.52409533282,388.2984768006844,171.17742786648728
3/13/20,184.0,8.0,1.0,99391.64387117008,431.202706428855,189.15342240106517
3/14/20,189.0,8.0,1.0,99324.02218592413,478.8433193461917,209.1344947296725
3/15/20,243.0,8.0,1.0,99248.95597117984,531.7111821502649,231.3328466698985
3/16/20,402.0,9.0,4.0,99165.69327195405,590.3310173176758,255.97571072827003
3/17/20,464.0,9.0,5.0,99073.43324669568,655.2614032040558,283.30535010025164
3/18/20,640.0,9.0,8.0,98971.26197184996,727.1219540526027,313.6160740974333
3/19/20,782.0,9.0,9.0,98858.09331409917,806.6532205939532,347.2534653068668
3/20/20,922.0,9.0,12.0,98732.7907072066,894.6690107462806,384.5402820471126
3/21/20,1248.0,10.0,19.0,98594.06937835948,992.0760706473174,425.85455099320757
3/22/20,1439.0,10.0,20.0,98440.49381949604,1099.8748786326416,471.63130187131424
3/23/20,2054.0,10.0,24.0,98270.4777873056,1219.159645235677,522.3625674587203
3/24/20,2655.0,110.0,25.0,98082.28430322846,1351.1183131876933,578.597383583839
3/25/20,3039.0,183.0,29.0,97874.02565345599,1497.0325574178046,640.941789126209
3/26/20,3817.0,184.0,37.0,97643.66338893052,1658.2777850529724,710.0588260164944
3/27/20,4369.0,256.0,53.0,97389.00832534551,1836.323135418003,786.6685392364848
3/28/20,5045.0,466.0,60.0,97107.72054314535,2032.7314800355477,871.5479768190953
3/29/20,5746.0,466.0,63.0,96797.30938752553,2249.1594226261045,965.531189848366
3/30/20,6848.0,466.0,79.0,96455.13346843251,2487.3572991080164,1069.509232459463
3/31/20,6829.0,1592.0,100.0,96078.40066056384,2749.169177597472,1184.4301618386776
4/1/20,8121.0,1324.0,108.0,95664.19809483574,3036.504925065764,1311.2969800984959
4/2/20,9403.0,1735.0,138.0,95210.70002640875,3350.178451550798,1451.121522040447
4/3/20,10076.0,2175.0,178.0,94714.01874343437,3692.751467456869,1605.2297891087642
4/4/20,10174.0,2577.0,217.0,94169.23396809665,4067.6423070939654,1775.1237248093867
4/5/20,12476.0,3012.0,258.0,93571.65401178904,4477.9691124054925,1962.3768758054714
4/6/20,12958.0,3256.0,338.0,92916.81577511433,4926.5498329682705,2168.6343919173946
4/7/20,13695.0,3791.0,374.0,92200.48474788471,5415.902225992535,2395.6130261227518
4/8/20,14569.0,4154.0,406.0,91418.6550091217,5948.243856321941,2645.1011345563547
4/9/20,14978.0,5162.0,502.0,90567.54922705621,6525.492096433556,2918.9586765102367
4/10/20,15635.0,5855.0,556.0,89643.6186591285,7149.264126437864,3219.1172144336483
4/11/20,16061.0,6589.0,653.0,88643.54315198817,7820.876934078772,3547.579913933059
4/12/20,16450.0,7123.0,713.0,87564.23114149425,8541.347314733594,3906.4215437721577
4/13/20,17129.0,7758.0,780.0,86402.8196527151,9311.391871413061,4297.78847587185
4/14/20,17912.0,8210.0,900.0,85156.67429992842,10131.427014761328,4723.8986853102615
4/15/20,18223.0,8966.0,1007.0,83823.38928662131,11001.568963055957,5187.041750322737
4/16/20,19840.0,9698.0,1258.0,82400.7868749169,11921.635481508636,5689.5776435744465
4/17/20,20901.0,10545.0,1355.0,80886.88525761027,12892.35332507508,6232.761417314645
4/18/20,21978.0,10964.0,1400.0,79282.24518531794,13911.345429162002,6818.409385520054
4/19/20,22208.0,11847.0,1564.0,77589.20176091041,14973.552081592316,7449.246157497267
4/20/20,23373.0,12543.0,1726.0,75810.92349030683,16073.48823276233,8127.588276930839
4/21/20,24289.0,13188.0,1909.0,73951.41228247495,17205.243495641756,8855.34422188329
4/22/20,25116.0,14454.0,2077.0,72015.5034494312,18362.482145773698,9634.014404795098
