,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.91383535191,2.0860563326721144,10.000108315423342
1/24/20,0.0,0.0,0.0,99999.82396328374,2.1758154248065216,10.000221291451131
1/25/20,0.0,0.0,0.0,99999.73021844732,2.26944241670651,10.000339135957425
1/26/20,0.0,0.0,0.0,99999.63242367588,2.367114252426619,10.000462071680884
1/27/20,0.0,0.0,0.0,99999.53041635579,2.468993341151842,10.000590303045533
1/28/20,0.0,0.0,0.0,99999.42402454061,2.575251413176069,10.000724046209909
1/29/20,0.0,0.0,0.0,99999.31306547018,2.6860709988814806,10.000863530930072
1/30/20,0.0,0.0,0.0,99999.19734557069,2.8016454287385493,10.00100900055959
1/31/20,0.0,0.0,0.0,99999.07666045464,2.9221788333060394,10.001160712049542
2/1/20,0.0,0.0,0.0,99998.95079492082,3.047886143231007,10.001318935948522
2/2/20,0.0,0.0,0.0,99998.81952295433,3.1789930892488005,10.001483956402637
2/3/20,0.0,0.0,0.0,99998.68260772666,3.315736202183059,10.001656071155509
2/4/20,0.0,0.0,0.0,99998.5398015955,3.4583628129457145,10.001835591548268
2/5/20,0.0,0.0,0.0,99998.39084610494,3.6071310525369897,10.00202284251956
2/6/20,0.0,0.0,0.0,99998.23547198535,3.7623098520453997,10.002218162605544
2/7/20,0.0,0.0,0.0,99998.0733991534,3.9241789426477505,10.00242190393989
2/8/20,0.0,0.0,0.0,99997.90433671213,4.093028855609141,10.002634432253783
2/9/20,0.0,0.0,0.0,99997.72798295083,4.269160922282962,10.00285612687592
2/10/20,0.0,0.0,0.0,99997.54402534515,4.4528872741108945,10.003087380732511
2/11/20,0.0,0.0,0.0,99997.35214055702,4.644530842622913,10.003328600347277
2/12/20,0.0,0.0,0.0,99997.15199443471,4.844425359437282,10.003580205841457
2/13/20,0.0,0.0,0.0,99996.9432420128,5.052915356260559,10.003842630933798
2/14/20,0.0,0.0,0.0,99996.72552751217,5.270356164887593,10.00411632294056
2/15/20,0.0,0.0,0.0,99996.49842965942,5.497168528871209,10.004401811699713
2/16/20,0.0,0.0,0.0,99996.26141652743,5.733883706085546,10.004699766481874
2/17/20,0.0,0.0,0.0,99996.01413531601,5.980854053281876,10.005010630701848
2/18/20,0.0,0.0,0.0,99995.75621698776,6.238448144049861,10.005334868171046
2/19/20,0.0,0.0,0.0,99995.48725983026,6.507067185915822,10.005672983817293
2/20/20,0.0,0.0,0.0,99995.20682945596,6.787145020342736,10.006025523684835
2/21/20,0.0,0.0,0.0,99994.91445880233,7.07914812273024,10.006393074934339
2/22/20,0.0,0.0,0.0,99994.60964813174,7.383575602414627,10.00677626584288
2/23/20,0.0,0.0,0.0,99994.29186503153,7.700959202668846,10.007175765803964
2/24/20,0.0,0.0,0.0,99993.96054441396,8.031863300702508,10.007592285327506
2/25/20,0.0,0.0,0.0,99993.6150885163,8.376884907661875,10.008026576039843
2/26/20,0.0,0.0,0.0,99993.25486690068,8.736653668629874,10.008479430683726
2/27/20,0.0,0.0,0.0,99992.87921645425,9.111831862626085,10.00895168311833
2/28/20,0.0,0.0,0.0,99992.48744138906,9.503114402606746,10.009444208319243
2/29/20,0.0,0.0,0.0,99992.07881324214,9.911228835464751,10.009957922378472
3/1/20,0.0,0.0,0.0,99991.65257087546,10.336935342029658,10.010493782504444
3/2/20,0.0,0.0,0.0,99991.2079204759,10.781026737067675,10.011052787022
3/3/20,0.0,0.0,0.0,99990.74403555534,11.24432846928167,10.011635975372409
3/4/20,0.0,0.0,0.0,99990.26005695057,11.727698621311173,10.012244428113343
3/5/20,0.0,0.0,0.0,99989.75509282334,12.232027909732365,10.012879266918903
3/6/20,0.0,0.0,0.0,99989.22821866036,12.758239685058086,10.013541654579605
3/7/20,0.0,0.0,0.0,99988.67847727325,13.307289931737841,10.014232795002382
3/8/20,0.0,0.0,0.0,99988.10487879862,13.880167268157777,10.014953933210588
3/9/20,0.0,0.0,0.0,99987.50640069801,14.477892946640718,10.015706355343989
