,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88383519877,2.0873253813046615,10.028839419930078
1/24/20,0.0,0.0,0.0,99999.76259848615,2.1784634704251817,10.058938043431167
1/25/20,0.0,0.0,0.0,99999.63606004837,2.2735870198334935,10.09035293178994
1/26/20,0.0,0.0,0.0,99999.50397389464,2.3728809401190234,10.123145165236489
1/27/20,0.0,0.0,0.0,99999.36611438857,2.476514848231228,10.157370763199904
1/28/20,0.0,0.0,0.0,99999.22224258093,2.584668367934559,10.193089051131654
1/29/20,0.0,0.0,0.0,99999.07210422574,2.6975326206957067,10.23036315356943
1/30/20,0.0,0.0,0.0,99998.91542978017,2.815310225683595,10.26925999413715
1/31/20,0.0,0.0,0.0,99998.75193440469,2.938215299769387,10.30985029554495
2/1/20,0.0,0.0,0.0,99998.58131796289,3.0664734575264805,10.352208579589195
2/2/20,0.0,0.0,0.0,99998.40326502161,3.20032181123051,10.39641316715248
2/3/20,0.0,0.0,0.0,99998.21744485093,3.340008970859347,10.442546178203616
2/4/20,0.0,0.0,0.0,99998.02351142411,3.4857950440930985,10.490693531797639
2/5/20,0.0,0.0,0.0,99997.8211034176,3.637951636314109,10.540944946075818
2/6/20,0.0,0.0,0.0,99997.60984421113,3.7967618506069596,10.593393938265638
2/7/20,0.0,0.0,0.0,99997.38934188755,3.962520287758466,10.648137824680813
2/8/20,0.0,0.0,0.0,99997.15918923302,4.135533046257683,10.705277720721279
2/9/20,0.0,0.0,0.0,99996.91896373683,4.316117722295899,10.764918540873198
2/10/20,0.0,0.0,0.0,99996.66822759152,4.5046034097666405,10.827168998708958
2/11/20,0.0,0.0,0.0,99996.40652769284,4.701330700265672,10.89214160688717
2/12/20,0.0,0.0,0.0,99996.13339563976,4.90665168309099,10.95995267715267
2/13/20,0.0,0.0,0.0,99995.84834773441,5.120929945242832,11.030722320336517
2/14/20,0.0,0.0,0.0,99995.55088498222,5.34454057142367,11.104574446355999
2/15/20,0.0,0.0,0.0,99995.24039903762,5.577940763212069,11.181660199166815
2/16/20,0.0,0.0,0.0,99994.91616133024,5.821678009366051,11.262160660393414
2/17/20,0.0,0.0,0.0,99994.57768221838,6.076120429109907,11.346197352505683
2/18/20,0.0,0.0,0.0,99994.22443925166,6.341660801886294,11.433899946448474
2/19/20,0.0,0.0,0.0,99993.85586353758,6.618726803758002,11.525409658660456
2/20/20,0.0,0.0,0.0,99993.47133974152,6.907781007407956,11.620879251074122
2/21/20,0.0,0.0,0.0,99993.07020608675,7.2093208821392105,11.720473031115782
