,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.4619814019,2.15997339918221,10.3780451989189
1/24/20,0.0,0.0,0.0,99998.88093233242,2.3327391102464925,10.786328557325204
1/25/20,0.0,0.0,0.0,99998.25322002887,2.5193762049000368,11.22740376623167
1/26/20,0.0,0.0,0.0,99997.57519103646,2.720970306391261,11.703838657138208
1/27/20,0.0,0.0,0.0,99996.84310814296,2.9386324442104312,12.218259412828694
1/28/20,0.0,0.0,0.0,99996.05277016378,3.1736112220502877,12.773618614172948
1/29/20,0.0,0.0,0.0,99995.19951191569,3.4272928255833426,13.373195258726987
1/30/20,0.0,0.0,0.0,99994.27820421681,3.7012010224618805,14.020594760733022
1/31/20,0.0,0.0,0.0,99993.28325388656,3.99699716231796,14.719748951119465
2/1/20,0.0,0.0,0.0,99992.20860374573,4.31648017676341,15.474916077500913
2/2/20,0.0,0.0,0.0,99991.04773261643,4.6615865793898354,16.290680804178166
2/3/20,0.0,0.0,0.0,99989.7936553221,5.0343904657686105,17.171954212138218
2/4/20,0.0,0.0,0.0,99988.43892268749,5.437103513450886,18.123973799054255
2/5/20,0.0,0.0,0.0,99986.97562153875,5.872074981967579,19.152303479285663
2/6/20,0.0,0.0,0.0,99985.3953747033,6.3417917128293855,20.262833583878013
2/7/20,0.0,0.0,0.0,99983.68929966778,6.848890107591238,21.461810224631677
2/8/20,0.0,0.0,0.0,99981.84581178271,7.396793617877233,22.757394599402808
2/9/20,0.0,0.0,0.0,99979.85441522233,7.988617909968177,24.156966867698344
2/10/20,0.0,0.0,0.0,99977.70484790832,8.627418219716715,25.667733871960895
2/11/20,0.0,0.0,0.0,99975.38531360796,9.316701227727506,27.29798516430967
2/12/20,0.0,0.0,0.0,99972.8824819341,10.060425059357224,29.057093006540473
2/13/20,0.0,0.0,0.0,99970.18148834516,10.862999284714554,30.955512370125714
2/14/20,0.0,0.0,0.0,99967.26593414512,11.729284918660209,33.004780936214395
2/15/20,0.0,0.0,0.0,99964.11788648355,12.6645944208069,35.21751909563211
2/16/20,0.0,0.0,0.0,99960.7178783556,13.67469169551936,37.60742994888107
2/17/20,0.0,0.0,0.0,99957.04490860194,14.765792091914342,40.18929930614006
2/18/20,0.0,0.0,0.0,99953.07644190887,15.944562403860612,42.97899568726447
2/19/20,0.0,0.0,0.0,99948.78840880824,17.218120869978943,45.99347032178631
2/20/20,0.0,0.0,0.0,99944.15520567744,18.594037173642125,49.25075714891416
2/21/20,0.0,0.0,0.0,99939.14969473949,20.080332442974974,52.7699728175332
2/22/20,0.0,0.0,0.0,99933.74320406294,21.685479250854318,56.571316686205236
2/23/20,0.0,0.0,0.0,99927.90552756192,23.41840161490898,60.67607082316862
2/24/20,0.0,0.0,0.0,99921.60492499614,25.288474997519824,65.10660000633837
2/25/20,0.0,0.0,0.0,99914.8060246584,27.306087060434912,69.88788828114433
