,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.86972134282,2.1131832162461377,10.017095440930843
1/24/20,0.0,0.0,0.0,99999.73207021721,2.2327714458287584,10.035158336959778
1/25/20,0.0,0.0,0.0,99999.58660302366,2.359150069690366,10.054246906651448
1/26/20,0.0,0.0,0.0,99999.43285639778,2.492721638863502,10.074421963369623
1/27/20,0.0,0.0,0.0,99999.27040869113,2.633852472379987,10.095738836498679
1/28/20,0.0,0.0,0.0,99999.09879952669,2.782942534050462,10.118257939268027
1/29/20,0.0,0.0,0.0,99998.91752790134,2.9404270806336674,10.142045018031542
1/30/20,0.0,0.0,0.0,99998.7260521859,3.106776661836445,10.167171152267567
1/31/20,0.0,0.0,0.0,99998.52379012511,3.282497120313735,10.193712754578911
2/1/20,0.0,0.0,0.0,99998.31011883765,3.4681295916685775,10.221751570692849
2/2/20,0.0,0.0,0.0,99998.0843748161,3.664250504452111,10.251374679461128
2/3/20,0.0,0.0,0.0,99997.84585392698,3.8714715801635755,10.282674492859954
2/4/20,0.0,0.0,0.0,99997.59381141077,4.090439833250309,10.31574875599001
2/5/20,0.0,0.0,0.0,99997.32746188183,4.32183757110775,10.350700547076435
2/6/20,0.0,0.0,0.0,99997.04597932845,4.566382394079435,10.387638277468845
2/7/20,0.0,0.0,0.0,99996.74849711292,4.824827195457001,10.426675691641318
2/8/20,0.0,0.0,0.0,99996.43410797133,5.097960161480188,10.4679318671924
2/9/20,0.0,0.0,0.0,99996.10186401382,5.386604771336828,10.511531214845103
2/10/20,0.0,0.0,0.0,99995.7507767244,5.6916197971628595,10.557603478446905
2/11/20,0.0,0.0,0.0,99995.379816961,6.013899304042317,10.606283734969757
2/12/20,0.0,0.0,0.0,99994.98791495549,6.3543726500073365,10.657712394510071
2/13/20,0.0,0.0,0.0,99994.57394827396,6.714014939817315,10.712036786235112
2/14/20,0.0,0.0,0.0,99994.13628342476,7.094245041438418,10.769471533815482
2/15/20,0.0,0.0,0.0,99993.67360133103,7.496208872177799,10.83018979680062
2/16/20,0.0,0.0,0.0,99993.18475972603,7.920898874668527,10.89434139930228
2/17/20,0.0,0.0,0.0,99992.66847490425,8.369430342082278,10.962094753679086
2/18/20,0.0,0.0,0.0,99992.12332172134,8.843041418129328,11.03363686053653
2/19/20,0.0,0.0,0.0,99991.54773359423,9.343093097058553,11.109173308726985
2/20/20,0.0,0.0,0.0,99990.940002501,9.871069223657438,11.188928275349692
2/21/20,0.0,0.0,0.0,99990.298278981,10.428576493252065,11.273144525750766
2/22/20,0.0,0.0,0.0,99989.62057213478,11.017344451707121,11.362083413523195
2/23/20,0.0,0.0,0.0,99988.90474962407,11.639225495425896,11.456024880506835
2/24/20,0.0,0.0,0.0,99988.14853767186,12.296194871350277,11.555267456788423
2/25/20,0.0,0.0,0.0,99987.34952106234,12.990350676960766,11.660128260701562
2/26/20,0.0,0.0,0.0,99986.50514314091,13.72391386027645,11.77094299882673
2/27/20,0.0,0.0,0.0,99985.61270581416,14.499228219855038,11.888065965991279
2/28/20,0.0,0.0,0.0,99984.66936954994,15.318760404792826,12.011870045269431
2/29/20,0.0,0.0,0.0,99983.6721533773,16.185099914724717,12.142746707982283
3/1/20,0.0,0.0,0.0,99982.61793488648,17.100959099824223,12.281106013697805
3/2/20,0.0,0.0,0.0,99981.50345022898,18.06917316080345,12.427376610230834
3/3/20,0.0,0.0,0.0,99980.32529411744,19.09270014891311,12.582005733643088
3/4/20,0.0,0.0,0.0,99979.07991982582,20.174620965942523,12.745459208243153
3/5/20,0.0,0.0,0.0,99977.7636391892,21.318139364219597,12.918221446586488
