,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88887154554,2.1111282520613326,10.000000202404623
1/24/20,0.0,0.0,0.0,99999.77156848946,2.228431094490712,10.000000416055645
1/25/20,0.0,0.0,0.0,99999.64772599436,2.3522733640232425,10.000000641617651
1/26/20,0.0,0.0,0.0,99999.51696191895,2.4830372012634605,10.000000879786754
1/27/20,0.0,0.0,0.0,99999.37893045788,2.6210684109265032,10.000001131192787
1/28/20,0.0,0.0,0.0,99999.2332547216,2.766743881875129,10.000001396522217
1/29/20,0.0,0.0,0.0,99999.07952501233,2.920473311144658,10.000001676521283
1/30/20,0.0,0.0,0.0,99998.91729882406,3.0826992039429726,10.000001971996001
1/31/20,0.0,0.0,0.0,99998.74610084253,3.253896873650517,10.000002283812165
2/1/20,0.0,0.0,0.0,99998.56542294528,3.434574441820298,10.000002612895345
2/2/20,0.0,0.0,0.0,99998.3747242016,3.6252728381778847,10.000002960230882
2/3/20,0.0,0.0,0.0,99998.17343087251,3.8265658006214074,10.000003326863897
2/4/20,0.0,0.0,0.0,99997.96093641088,4.039059875221559,10.000003713899288
2/5/20,0.0,0.0,0.0,99997.73660146128,4.263394416221596,10.000004122501721
2/6/20,0.0,0.0,0.0,99997.49975386006,4.500241586037333,10.000004553895648
2/7/20,0.0,0.0,0.0,99997.24968863538,4.750306355257152,10.00000500936529
2/8/20,0.0,0.0,0.0,99996.9856680071,5.0143265026419925,10.000005490254647
2/9/20,0.0,0.0,0.0,99996.70692138691,5.29307261512536,10.000005997967493
2/10/20,0.0,0.0,0.0,99996.41264537822,5.58734808781332,10.000006533967378
2/11/20,0.0,0.0,0.0,99996.10200377624,5.897989123984499,10.000007099777626
2/12/20,0.0,0.0,0.0,99995.77412756793,6.225864735090088,10.000007696981344
2/13/20,0.0,0.0,0.0,99995.42811493202,6.571876740753838,10.000008327221405
2/14/20,0.0,0.0,0.0,99995.06281290155,6.937178105847263,10.00000899259944
2/15/20,0.0,0.0,0.0,99994.676914193,7.323076111506296,10.000009695498683
2/16/20,0.0,0.0,0.0,99994.269512287,7.7304772754305615,10.000010437569538
2/17/20,0.0,0.0,0.0,99993.83959871379,8.16039006556214,10.000011220648295
2/18/20,0.0,0.0,0.0,99993.38605069226,8.613937260955751,10.000012046779723
2/19/20,0.0,0.0,0.0,99992.90763113,9.09235595177875,10.000012918217072
2/20/20,0.0,0.0,0.0,99992.40298862327,9.59699753931112,10.000013837422062
2/21/20,0.0,0.0,0.0,99991.870657457,10.129327735945488,10.000014807064897
2/22/20,0.0,0.0,0.0,99991.3090576048,10.690926565187109,10.000015830024259
2/23/20,0.0,0.0,0.0,99990.71649472896,11.28348836165388,10.0000169093873
2/24/20,0.0,0.0,0.0,99990.09116018048,11.908821771076333,10.00001804844966
2/25/20,0.0,0.0,0.0,99989.43113099899,12.56884975029763,10.000019250715448
2/26/20,0.0,0.0,0.0,99988.73436991284,13.265609567273572,10.000020519897255
2/27/20,0.0,0.0,0.0,99987.99872533901,14.001252801072592,10.00002185991615
2/28/20,0.0,0.0,0.0,99987.22193138323,14.778045341875764,10.000023274901677
2/29/20,0.0,0.0,0.0,99986.40160783984,15.59836739097679,10.000024769191858
3/1/20,0.0,0.0,0.0,99985.53526019189,16.464713460782015,10.000026347333195
3/2/20,0.0,0.0,0.0,99984.62027961112,17.379692374810418,10.000028014080666
3/3/20,0.0,0.0,0.0,99983.65394295791,18.346027267693604,10.000029774397724
3/4/20,0.0,0.0,0.0,99982.63341278138,19.366555585175824,10.000031633456306
3/5/20,0.0,0.0,0.0,99981.55573731926,20.444229084113964,10.000033596636822
3/6/20,0.0,0.0,0.0,99980.417850498,21.582113832477535,10.000035669528158
3/7/20,0.0,0.0,0.0,99979.21657193273,22.783390209348696,10.00003785792768
3/8/20,0.0,0.0,0.0,99977.94860692724,24.051352904922226,10.000040167841235
3/9/20,0.0,0.0,0.0,99976.61054647401,25.389410920505558,10.000042605483142
3/10/20,0.0,0.0,0.0,99975.1988672542,26.80108756851876,10.0000451772762
3/11/20,1.0,0.0,0.0,99973.7096000063,28.29035210324163,10.00004789046421
3/12/20,1.0,0.0,0.0,99972.1360067321,29.86394251051741,10.000050757398162
3/13/20,1.0,0.0,0.0,99970.47399137272,31.52595484174776,10.000053785536787
3/14/20,1.0,0.0,0.0,99968.71983915399,33.28010386439827,10.000056981626628
3/15/20,1.0,0.0,0.0,99966.86932387672,35.130615769941244,10.000060353351522
3/16/20,1.0,0.0,0.0,99964.91770791681,37.08222817385567,10.000063909332596
3/17/20,4.0,1.0,0.0,99962.85974222525,39.14019011562726,10.000067659128272
3/18/20,5.0,1.0,0.0,99960.68966632802,41.31026205874845,10.000071613234265
3/19/20,8.0,1.0,0.0,99958.4012083262,43.59871589071833,10.000075783083577
3/20/20,8.0,1.0,0.0,99955.98758489592,46.01233492304275,10.00008018104651
3/21/20,13.0,1.0,0.0,99953.44150128834,48.55841389123425,10.000084820430649
3/22/20,13.0,1.0,0.0,99950.75515132972,51.24475895481207,10.000089715480879
3/23/20,24.0,1.0,0.0,99947.92021742133,54.07968769730216,10.000094881379374
3/24/20,71.0,2.0,0.0,99944.92787053953,57.072029126237176,10.000100334245598
3/25/20,77.0,3.0,0.0,99941.76877023572,60.23112367315648,10.000106091136313
3/26/20,93.0,3.0,0.0,99938.43306463635,63.56682319360616,10.000112170045567
3/27/20,98.0,3.0,0.0,99934.91039044296,67.08949096713897,10.000118589904703
3/28/20,98.0,3.0,0.0,99931.18987293211,70.81000169731442,10.000125370582358
3/29/20,160.0,4.0,1.0,99927.26012595542,74.73974151169871,10.000132532884457
3/30/20,161.0,6.0,1.0,99923.10925193959,78.8906079618647,10.000140098554223
3/31/20,171.0,7.0,1.0,99918.72484188635,83.27501002339204,10.000148090272162
4/1/20,180.0,9.0,1.0,99914.09397537248,87.90586809586702,10.000156531656083
4/2/20,178.0,15.0,1.0,99909.20322054987,92.79661400288269,10.00016544726108
4/3/20,198.0,19.0,1.0,99904.03863414539,97.96119099203871,10.000174862579541
4/4/20,219.0,25.0,1.0,99898.58576146103,103.41405373494162,10.000184804041146
4/5/20,221.0,37.0,3.0,99892.82963637379,109.17016832720446,10.00019529901287
4/6/20,279.0,41.0,3.0,99886.75478133577,115.24501228844713,10.000206375798975
4/7/20,305.0,41.0,3.0,99880.34520737408,121.65457456229619,10.00021806364102
4/8/20,333.0,48.0,3.0,99873.5844140909,128.41535551638486,10.000230392717851
4/9/20,389.0,52.0,3.0,99866.45526595492,135.5444906506956,10.000243394388052
4/10/20,389.0,52.0,3.0,99858.92686960209,143.07287327107971,10.000257126830787
4/11/20,471.0,58.0,4.0,99850.97433691329,151.02539145062485,10.000271636093297
4/12/20,484.0,85.0,5.0,99842.5806971503,159.41901589722676,10.000286952470958
4/13/20,531.0,89.0,6.0,99833.72651356073,168.2731833283715,10.00030311089846
4/14/20,518.0,114.0,6.0,99824.38988337792,177.60979647113533,10.000320150949822
4/15/20,518.0,114.0,6.0,99814.54643782099,187.45322406218474,10.000338116838375
4/16/20,502.0,146.0,6.0,99804.16934209481,197.83030084777658,10.000357057416776
4/17/20,489.0,193.0,6.0,99793.22929539006,208.77032758375776,10.000377026177004
4/18/20,554.0,239.0,8.0,99781.6945308832,220.30507103556562,10.000398081250353
4/19/20,578.0,260.0,9.0,99769.53081573636,232.46876397822757,10.000420285407442
4/20/20,578.0,260.0,9.0,99756.70145109759,245.2981051963614,10.00044370605821
4/21/20,600.0,303.0,13.0,99743.16727210057,258.83225948417504,10.000468415251916
4/22/20,628.0,310.0,14.0,99728.88664786486,273.1128576454668,10.000494489677141
4/23/20,631.0,359.0,14.0,99713.81548149572,288.18399649362516,10.000522010661786
4/24/20,644.0,419.0,14.0,99697.9072100842,304.0922388516287,10.000551064173072
4/25/20,644.0,419.0,14.0,99681.11280470714,320.8866135520464,10.000581740817543
4/26/20,668.0,468.0,14.0,99663.38077042713,338.6186154370376,10.00061413584106
4/27/20,651.0,499.0,14.0,99644.65714629252,357.34220535835163,10.00064834912881
4/28/20,644.0,525.0,14.0,99624.88550533747,377.1138101773281,10.000684485205293
4/29/20,667.0,557.0,14.0,99604.00695458187,397.99232276489715,10.000722653234337
4/30/20,687.0,574.0,14.0,99581.9601350314,420.0391020015789,10.00076296701909
5/1/20,721.0,597.0,15.0,99558.68122167751,443.3179727774836,10.000805545002017
5/2/20,725.0,622.0,15.0,99534.10392349743,467.8952259923119,10.000850510264904
5/3/20,728.0,653.0,17.0,99508.15948345412,493.83961855535506,10.00089799052886
5/4/20,722.0,693.0,17.0,99480.77667849636,521.2223733854939,10.000948118154318
5/5/20,745.0,701.0,18.0,99451.88181955866,550.1171794111999,10.001001030141023
5/6/20,777.0,721.0,18.0,99421.39875156134,580.6001915705347,10.001056868128048
5/7/20,809.0,742.0,20.0,99389.24885341046,612.75003081115,10.001115778393784
5/8/20,828.0,754.0,20.0,99355.35103799785,646.6477840902883,10.001177911855942
5/9/20,877.0,769.0,21.0,99319.62175220116,682.3770043747816,10.001243424071555
5/10/20,885.0,794.0,21.0,99281.96883363479,720.0298538709169,10.0013124943018
5/11/20,891.0,818.0,21.0,99242.25354043677,759.7450741272556,10.001385435988766
5/12/20,1016.0,820.0,21.0,99200.37184808907,801.6266894752151,10.001462435724768
5/13/20,986.0,902.0,24.0,99156.22149592894,845.7769604063604,10.001543664700705
5/14/20,1017.0,930.0,24.0,99109.69029048183,892.308080202131,10.001629316049176
5/15/20,1051.0,942.0,24.0,99060.65610546133,941.3421749338407,10.00171960484448
5/16/20,1049.0,987.0,25.0,99008.98688176922,993.0113034626775,10.001814768102625
5/17/20,1078.0,1004.0,27.0,98954.54062749552,1047.457457439704,10.001915064781311
5/18/20,1051.0,1040.0,28.0,98897.16541791837,1104.8325613058569,10.002020775779947
5/19/20,1075.0,1050.0,28.0,98836.69939550413,1165.2984722919473,10.002132203939642
5/20/20,1119.0,1083.0,29.0,98772.9707699073,1229.0269804186607,10.002249674043204
5/21/20,1172.0,1100.0,29.0,98705.79781797064,1296.1998084965571,10.002373532815147
5/22/20,1166.0,1146.0,29.0,98634.98888372502,1367.0086121260701,10.002504148921684
5/23/20,1148.0,1188.0,30.0,98560.34237838953,1441.6549796975091,10.00264191297073
5/24/20,1127.0,1219.0,30.0,98481.64678037143,1520.3504323910565,10.002787237511905
05/25/20,,,,98398.6806352662,1603.3164241767697,10.002940557036524
