,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90234998526,2.097649811116862,10.000000203621614
1/24/20,0.0,0.0,0.0,99999.7999323325,2.200067250308776,10.000000417185007
1/25/20,0.0,0.0,0.0,99999.6925030037,2.3074963551048766,10.000000641199108
1/26/20,0.0,0.0,0.0,99999.5798027063,2.4201964174928636,10.000000876204666
1/27/20,0.0,0.0,0.0,99999.46159531242,2.5384035648810084,10.000001122694073
1/28/20,0.0,0.0,0.0,99999.33762769058,2.662370928225842,10.000001381195174
1/29/20,0.0,0.0,0.0,99999.20762804076,2.7923703069599415,10.000001652274767
1/30/20,0.0,0.0,0.0,99999.07130589447,2.928692168991926,10.000001936538581
1/31/20,0.0,0.0,0.0,99998.92835211466,3.0716456507064613,10.000002234631287
2/1/20,0.0,0.0,0.0,99998.7784388958,3.221558556964255,10.0000025472365
2/2/20,0.0,0.0,0.0,99998.62121976382,3.3787773611020606,10.000002875076769
2/3/20,0.0,0.0,0.0,99998.45632957615,3.5436672049326745,10.000003218913585
2/4/20,0.0,0.0,0.0,99998.28338452171,3.7166118987449384,10.000003579547386
2/5/20,0.0,0.0,0.0,99998.10198212088,3.898013921303739,10.000003957817537
2/6/20,0.0,0.0,0.0,99997.91170122554,4.088294419850003,10.000004354602355
2/7/20,0.0,0.0,0.0,99997.71210201908,4.287893210100709,10.00000477081909
2/8/20,0.0,0.0,0.0,99997.50272601632,4.49726877624887,10.000005207423932
2/9/20,0.0,0.0,0.0,99997.28309606362,4.7168982709635525,10.000005665412017
2/10/20,0.0,0.0,0.0,99997.05271633879,4.947277515389861,10.000006145817414
2/11/20,0.0,0.0,0.0,99996.81107235113,5.188920999148946,10.000006649713137
2/12/20,0.0,0.0,0.0,99996.55763094145,5.442361880338004,10.000007178211138
2/13/20,0.0,0.0,0.0,99996.291840282,5.708151985530273,10.000007732462308
2/14/20,0.0,0.0,0.0,99996.01311905935,5.986872626964741,10.000008313679103
2/15/20,0.0,0.0,0.0,99995.72062142722,6.2793696491551225,10.000008923627105
2/16/20,0.0,0.0,0.0,99995.41369653774,6.586293898580165,10.000009563663832
2/17/20,0.0,0.0,0.0,99995.09177246584,6.908217299178621,10.000010234981506
2/18/20,0.0,0.0,0.0,99994.75421695354,7.245772107555684,10.0000109388983
2/19/20,0.0,0.0,0.0,99994.40033741014,7.5996509129829946,10.000011676858335
2/20/20,0.0,0.0,0.0,99994.02938091216,7.970606637398635,10.000012450431687
2/21/20,0.0,0.0,0.0,99993.64053420327,8.359452535407131,10.00001326131438
2/22/20,0.0,0.0,0.0,99993.23292369438,8.767062194279456,10.000014111328394
2/23/20,0.0,0.0,0.0,99992.80561546361,9.194369533953022,10.000015002421655
2/24/20,0.0,0.0,0.0,99992.35761525629,9.64236880703169,10.000015936668042
2/25/20,1.0,0.0,0.0,99991.88786848493,10.112114598785762,10.000016916267388
2/26/20,3.0,0.0,0.0,99991.3952602293,10.604721827151986,10.000017943545473
2/27/20,3.0,0.0,0.0,99990.8786152363,11.121365742733552,10.00001902095403
2/28/20,5.0,0.0,0.0,99990.33669792012,11.663281928800094,10.000020151070746
2/29/20,6.0,0.0,0.0,99989.7682123621,12.231766301287692,10.000021336599255
3/1/20,7.0,0.0,0.0,99989.17180231083,12.828175108798867,10.000022580369144
3/2/20,7.0,0.0,0.0,99988.54605118206,13.45392493260259,10.000023885335953
3/3/20,9.0,0.0,0.0,99987.88948205877,14.11049268663427,10.000025254581171
3/4/20,10.0,0.0,0.0,99987.20055769119,14.799415617495757,10.000026691312238
3/5/20,10.0,0.0,0.0,99986.47768049667,15.522291304455361,10.000028198862548
3/6/20,11.0,0.0,0.0,99985.71919255985,16.28077765944781,10.000029780691442
3/7/20,12.0,0.0,0.0,99984.92337563253,17.0765929270743,10.000031440384218
3/8/20,12.0,0.0,0.0,99984.08845113374,17.911515684602463,10.00003318165212
3/9/20,12.0,0.0,0.0,99983.21258014969,18.787384841966375,10.000035008332345
3/10/20,14.0,0.0,0.0,99982.29386343384,19.706099641766546,10.000036924388043
3/11/20,19.0,0.0,0.0,99981.3303414068,20.669619659269944,10.000038933908312
3/12/20,19.0,0.0,0.0,99980.31999415647,21.67996480240998,10.000041041108206
3/13/20,31.0,1.0,0.0,99979.26074143787,22.739215311786502,10.000043250328726
3/14/20,37.0,1.0,0.0,99978.15041701659,23.849537417319894,10.000045566090972
3/15/20,48.0,1.0,0.0,99976.98517581631,25.014776187218473,10.000047996456397
3/16/20,55.0,2.0,0.0,99975.76206719001,26.237882262390908,10.000050547592513
3/17/20,61.0,4.0,0.0,99974.47902393766,27.52092283853911,10.00005322379805
3/18/20,77.0,4.0,0.0,99973.13371684082,28.866227129253875,10.000056029920968
3/19/20,99.0,5.0,1.0,99971.72355466262,30.27638636601489,10.000058971358468
3/20/20,122.0,5.0,1.0,99970.24568414774,31.754253798190724,10.000062054056984
3/21/20,200.0,5.0,1.0,99968.69699002244,33.30294469303884,10.000065284512186
3/22/20,248.0,5.0,1.0,99967.07409499452,34.92583633570559,10.00006866976898
3/23/20,309.0,5.0,1.0,99965.37335975334,36.626568029226206,10.00007221742151
3/24/20,376.0,5.0,1.0,99963.59088296986,38.40904109452483,10.00007593561315
3/25/20,419.0,22.0,1.0,99961.72250129654,40.277418870414465,10.000079833036521
3/26/20,470.0,22.0,3.0,99959.76378936745,42.23612671359702,10.000083918933466
3/27/20,546.0,37.0,3.0,99957.71005979824,44.28985199866328,10.000088203095075
3/28/20,607.0,45.0,5.0,99955.55636318604,46.44354411809294,10.00009269586167
