,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.80969988949,2.1283268154375494,10.061973295074239
1/24/20,0.0,0.0,0.0,99999.60718993277,2.2648870787072384,10.127922988526558
1/25/20,0.0,0.0,0.0,99999.39163845993,2.4102415660055763,10.198119974075471
1/26/20,0.0,0.0,0.0,99999.16219060674,2.5649666967666507,10.272842696502025
1/27/20,0.0,0.0,0.0,99998.91803819222,2.7296074585684975,10.352354349219928
1/28/20,0.0,0.0,0.0,99998.65828828188,2.904765978018726,10.436945740114316
1/29/20,0.0,0.0,0.0,99998.38196157217,3.0911026093693668,10.526935818470784
1/30/20,0.0,0.0,0.0,99998.08799239052,3.289335934516874,10.622671674975376
1/31/20,0.0,0.0,0.0,99997.77522869529,3.5002427630021247,10.724528541714582
2/1/20,0.0,0.0,0.0,99997.44243207583,3.7246581320104184,10.832909792175352
2/2/20,0.0,0.0,0.0,99997.0882777524,3.963475306371476,10.948246941245083
2/3/20,0.0,0.0,0.0,99996.71135457624,4.217645778559444,11.070999645211621
2/4/20,0.0,0.0,0.0,99996.31016502956,4.48817926869289,11.201655701763272
2/5/20,0.0,0.0,0.0,99995.88312522549,4.776143724534801,11.340731049988783
2/6/20,0.0,0.0,0.0,99995.42856490814,5.082665321492595,11.488769770377361
2/7/20,0.0,0.0,0.0,99994.94472745257,5.408928462618104,11.646344084818663
2/8/20,0.0,0.0,0.0,99994.4297698648,5.756175778607586,11.814054356602792
2/9/20,0.0,0.0,0.0,99993.88176278179,6.125708127801724,11.992529090420307
2/10/20,0.0,0.0,0.0,99993.29869047146,6.518884596185622,12.18242493236222
2/11/20,0.0,0.0,0.0,99992.67832063878,6.937210082570996,12.384469278667462
2/12/20,0.0,0.0,0.0,99992.01760492832,7.3827386744524635,12.599656397234325
2/13/20,0.0,0.0,0.0,99991.3143124382,7.856974874202275,12.828712687599532
2/14/20,0.0,0.0,0.0,99990.56614306702,8.361470032365876,13.0723869006215
2/15/20,0.0,0.0,0.0,99989.77049711143,8.897977338770911,13.331525549809383
2/16/20,0.0,0.0,0.0,99988.92447526616,9.468451822527221,13.607072911323081
2/17/20,0.0,0.0,0.0,99988.02487862401,10.075050352026846,13.900071023973235
2/18/20,0.0,0.0,0.0,99987.06820867585,10.720131634944021,14.211659689221223
2/19/20,0.0,0.0,0.0,99986.0506673106,11.406256218235178,14.543076471179173
2/20/20,0.0,0.0,0.0,99984.96815681526,12.136186488138947,14.895656696609947
2/21/20,0.0,0.0,0.0,99983.81627987491,12.912886670176157,15.270833454927153
2/22/20,0.0,0.0,0.0,99982.59033957266,13.739522829149823,15.670137598195137
2/23/20,0.0,0.0,0.0,99981.28533938974,14.619462869145178,16.09519774112899
2/24/20,0.0,0.0,0.0,99979.89598320538,15.556276533529633,16.547740261094546
2/25/20,0.0,0.0,0.0,99978.41667529695,16.553735404952803,17.029589298108373
2/26/20,0.0,0.0,0.0,99976.84152033982,17.615812905346495,17.542666754837786
2/27/20,0.0,0.0,0.0,99975.16432340749,18.746684295924734,18.088992296600843
2/28/20,0.0,0.0,0.0,99973.37858997146,19.95072667718371,18.670683351366343
2/29/20,0.0,0.0,0.0,99971.47752590135,21.23251898890183,19.28995510975382
3/1/20,0.0,0.0,0.0,99969.45403746483,22.596842010139703,19.94912052503356
3/2/20,0.0,0.0,0.0,99967.30073132765,24.048678359240114,20.65059031312658
3/3/20,0.0,0.0,0.0,99965.00991455358,25.593212493828055,21.396872952604646
3/4/20,0.0,0.0,0.0,99962.5735946045,27.23583071081074,22.19057468469027
3/5/20,0.0,0.0,0.0,99959.98207610323,28.983058352046587,23.034865544738604
3/6/20,0.0,0.0,0.0,99957.22161759593,30.84412844785643,23.934253956231117
3/7/20,0.0,0.0,0.0,99954.28353165783,32.824906445804544,24.8915618963845
3/8/20,0.0,0.0,0.0,99951.15851140468,34.93167623510509,25.909812360234618
3/9/20,0.0,0.0,0.0,99947.835958972,37.171588458919885,26.992452569086304
3/10/20,0.0,0.0,0.0,99944.30398551514,39.55266051435849,28.143353970513324
3/11/20,0.0,0.0,0.0,99940.54941120918,42.0837765524781,29.366812238358406
3/12/20,3.0,0.0,0.0,99936.557765249,44.77468747828364,30.667547272733223
3/13/20,4.0,0.0,0.0,99932.31328584928,47.6360109507277,32.05070320001841
3/14/20,4.0,0.0,0.0,99927.79892024444,50.67923138271058,33.521848372863545
3/15/20,4.0,0.0,0.0,99922.99632468875,53.91669994108023,35.086975370187155
3/16/20,4.0,0.0,0.0,99917.88586445621,57.361634546632345,36.752500997176725
3/17/20,5.0,0.0,0.0,99912.44661384061,61.02811987411027,38.52526628528868
3/18/20,6.0,0.0,1.0,99906.65635615557,64.93110735220506,40.412536492248414
3/19/20,10.0,0.0,1.0,99900.49158373442,69.08641516355542,42.42200110205026
3/20/20,15.0,0.0,1.0,99893.92749793032,73.51072824474778,44.5617738249575
3/21/20,20.0,0.0,1.0,99886.9380091162,78.2215982863163,46.840392597502365
3/22/20,34.0,0.0,1.0,99879.49573668478,83.23744373274272,49.266819582486065
3/23/20,39.0,0.0,1.0,99871.57200904858,88.57754978245657,51.850441168978726
3/24/20,46.0,1.0,1.0,99863.13686363985,94.262068387835,54.601067972319456
3/25/20,55.0,1.0,1.0,99854.1590469107,100.31201825520291,57.52893483411627
3/26/20,64.0,1.0,2.0,99844.60601433294,106.74928484483286,60.64470082224619
3/27/20,74.0,4.0,2.0,99834.44393039822,113.59662037094508,63.95944923085515
3/28/20,112.0,4.0,3.0,99823.63766861794,120.8776438017075,67.48468758035804
3/29/20,132.0,4.0,3.0,99812.15081152334,128.61684085923577,71.2323476174387
3/30/20,162.0,4.0,4.0,99799.93020627167,136.84950061679976,75.2202931115462
3/31/20,172.0,8.0,6.0,99786.92107579128,145.6121536255909,79.46677058314835
4/1/20,194.0,12.0,6.0,99773.08341718903,154.9319917865124,83.98459102447617
4/2/20,214.0,13.0,6.0,99758.37169301785,164.83985990490078,88.78844707727454
4/3/20,248.0,15.0,6.0,99742.73480439669,175.37027292815762,93.89492267517244
4/4/20,267.0,15.0,6.0,99726.1160910106,186.5614159457498,99.32249304368312
4/5/20,297.0,15.0,8.0,99708.4533311106,198.45514418920928,105.09152470020408
