,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.84156151296,2.111290824323475,10.047147662703848
1/24/20,0.0,0.0,0.0,99999.67430695705,2.22877417642823,10.096918866514736
1/25/20,0.0,0.0,0.0,99999.49771468919,2.352816442373713,10.149468868437085
1/26/20,0.0,0.0,0.0,99999.31123874328,2.483801088652298,10.204960168065204
1/27/20,0.0,0.0,0.0,99999.11438442997,2.622075597156581,10.263539972877943
1/28/20,0.0,0.0,0.0,99998.9066125209,2.768018729251157,10.325368749832384
1/29/20,0.0,0.0,0.0,99998.68733685021,2.922042209604107,10.39062094017963
1/30/20,0.0,0.0,0.0,99998.45592431434,3.0845907261869976,10.459484959464799
1/31/20,0.0,0.0,0.0,99998.2116948722,3.2561419302748797,10.532163197527023
2/1/20,0.0,0.0,0.0,99997.95392154505,3.43720643644629,10.608872018499447
2/2/20,0.0,0.0,0.0,99997.68183041661,3.62832782258325,10.689841760809236
2/3/20,0.0,0.0,0.0,99997.39460063295,3.830082629871267,10.775316737177562
2/4/20,0.0,0.0,0.0,99997.09136440257,4.0430803627993335,10.86555523461962
2/5/20,0.0,0.0,0.0,99996.77120699639,4.267963489159925,10.960829514444617
2/6/20,0.0,0.0,0.0,99996.4331667477,4.505407440049005,11.061425812255772
2/7/20,0.0,0.0,0.0,99996.07623505218,4.756120609866024,11.167644337950325
2/8/20,0.0,0.0,0.0,99995.69935636796,5.02084435631391,11.279799275719524
2/9/20,0.0,0.0,0.0,99995.30142821555,5.3003530003990855,11.398218784048638
2/10/20,0.0,0.0,0.0,99994.88130117785,5.595453826431452,11.523244995716947
2/11/20,0.0,0.0,0.0,99994.43777890017,5.906987082024399,11.65523401779775
2/12/20,0.0,0.0,0.0,99993.96961809024,6.235825978094799,11.794555931658355
2/13/20,0.0,0.0,0.0,99993.47552851817,6.5828766888630135,11.94159479296009
2/14/20,0.0,0.0,0.0,99992.95383145615,6.9493178008857495,12.096850742956423
2/15/20,0.0,0.0,0.0,99992.40270231613,7.336430288750762,12.26086739510516
2/16/20,0.0,0.0,0.0,99991.82084051598,7.745127939613346,12.434031544394625
2/17/20,0.0,0.0,0.0,99991.20679234149,8.176432026664967,12.61677563183838
2/18/20,0.0,0.0,0.0,99990.55894147579,8.631477948156798,12.809580576052971
2/19/20,0.0,0.0,0.0,99989.87550899934,9.111515227399725,13.012975773257926
2/20/20,0.0,0.0,0.0,99989.15455338996,9.617907512764345,13.227539097275757
2/21/20,0.0,0.0,0.0,99988.39397052278,10.152132577680966,13.453896899531959
2/22/20,0.0,0.0,0.0,99987.5914936703,10.715782320639605,13.692724009055008
2/23/20,0.0,0.0,0.0,99986.74469350233,11.310562765189992,13.944743732476361
2/24/20,0.0,0.0,0.0,99985.85097808602,11.938294059941567,14.210727854030464
2/25/20,0.0,0.0,0.0,99984.90759288588,12.600910478563481,14.491496635554743
2/26/20,0.0,0.0,0.0,99983.91162076373,13.300460419784596,14.787918816489604
2/27/20,0.0,0.0,0.0,99982.85998197872,14.039106407393483,15.100911613878441
2/28/20,0.0,0.0,0.0,99981.74943418738,14.81912509023843,15.431440722367626
2/29/20,0.0,0.0,0.0,99980.57657244356,15.642907242227428,15.780520314206514
3/1/20,0.0,0.0,0.0,99979.33782919843,16.51295776232818,16.14921303924745
3/2/20,0.0,0.0,0.0,99978.02947430048,17.43189567456811,16.538630024945746
3/3/20,0.0,0.0,0.0,99976.6476149956,18.402454128034343,16.949930876359723
3/4/20,0.0,0.0,0.0,99975.18819592697,19.42748039687371,17.384323676150657
3/5/20,0.0,0.0,0.0,99973.64699913512,20.50993588029277,17.84306498458282
3/6/20,0.0,0.0,0.0,99972.01964405792,21.652896102557776,18.327459839523474
3/7/20,0.0,0.0,0.0,99970.30158753056,22.859550712994704,18.838861756442846
3/8/20,0.0,0.0,0.0,99968.48812378559,24.133203485989227,19.378672728414163
3/9/20,2.0,0.0,0.0,99966.57438445289,25.47727232098675,19.94834322611362
3/10/20,3.0,0.0,0.0,99964.55533855969,26.89528924249236,20.54937219782041
3/11/20,6.0,0.0,0.0,99962.42470433701,28.391658669137858,21.183636993842473
3/12/20,6.0,0.0,0.0,99960.17338233798,29.97275118098113,21.853866481034245
3/13/20,14.0,0.0,0.0,99957.79606096588,31.64230189981833,22.561637134301776
3/14/20,26.0,0.0,0.0,99955.28716130403,33.40423446314831,23.308604232815085
3/15/20,26.0,0.0,0.0,99952.64040081874,35.26296495183901,24.096634229419447
3/16/20,33.0,0.0,0.0,99949.84879335923,37.22340189012741,24.927804750635353
3/17/20,46.0,0.0,0.0,99946.90464915772,39.29094624561961,25.80440459665854
3/18/20,49.0,0.0,0.0,99943.79957482935,41.471491429290744,26.728933741359974
3/19/20,67.0,0.0,0.0,99940.52447337222,43.77142329548504,27.704103332285854
3/20/20,67.0,0.0,0.0,99937.06954416742,46.197620141915806,28.732835690657616
3/21/20,84.0,0.0,0.0,99933.42428297896,48.75745270966539,29.818264311371927
3/22/20,91.0,3.0,1.0,99929.5774819538,51.458784183185244,30.963733863000698
3/23/20,112.0,3.0,1.0,99925.51722962191,54.3099701902959,32.17280018779106
3/24/20,118.0,3.0,3.0,99921.23091089613,57.31985880218694,33.449230301665395
3/25/20,126.0,3.0,3.0,99916.70520707236,60.49779053341704,34.797002394221295
3/26/20,139.0,4.0,3.0,99911.92609582935,63.853598341913916,36.220305828731604
3/27/20,142.0,15.0,5.0,99906.87885122887,67.3976076289744,37.7235411421444
3/28/20,159.0,15.0,5.0,99901.54804371565,71.14063623926435,39.311320045082994
3/29/20,194.0,15.0,5.0,99895.91754011733,75.09399446081878,40.988465421845916
3/30/20,201.0,22.0,7.0,99889.97050364454,79.26948502504167,42.760011330406954
3/31/20,231.0,23.0,8.0,99883.68939389088,83.67940310670616,44.63120300241512
