,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.77514671818,2.1577923088748756,10.067060972944624
1/24/20,0.0,0.0,0.0,99999.53255405952,2.328033176134754,10.139412764340992
1/25/20,0.0,0.0,0.0,99999.2707428207,2.511760561869047,10.21749661741602
1/26/20,0.0,0.0,0.0,99998.98821463827,2.7100258950850606,10.301759466632392
1/27/20,0.0,0.0,0.0,99998.68346490027,2.9238850392095492,10.392650060510123
1/28/20,0.0,0.0,0.0,99998.35479993827,3.1545265009305976,10.49067356079898
1/29/20,0.0,0.0,0.0,99998.00033665558,3.403271690897972,10.59639165351682
1/30/20,0.0,0.0,0.0,99997.61800252732,3.6715749237231217,10.710422548949593
1/31/20,0.0,0.0,0.0,99997.20553560037,3.9610234179791814,10.833440981651338
2/1/20,0.0,0.0,0.0,99996.76048449335,4.273337296200967,10.96617821044418
2/2/20,0.0,0.0,0.0,99996.2802083967,4.610369584884978,11.109422018418341
2/3/20,0.0,0.0,0.0,99995.76187707258,4.974106214489398,11.264016712932127
2/4/20,0.0,0.0,0.0,99995.20247085496,5.366666019434091,11.430863125611939
2/5/20,0.0,0.0,0.0,99994.59878064954,5.790300738100608,11.610918612352263
2/6/20,0.0,0.0,0.0,99993.94740793385,6.247395012832181,11.80519705331568
2/7/20,0.0,0.0,0.0,99993.24476475712,6.740466389933727,12.014768852932857
2/8/20,0.0,0.0,0.0,99992.48673617076,7.272401722284542,12.240862106950145
2/9/20,0.0,0.0,0.0,99991.66818554145,7.846803783199272,12.4850106753478
2/10/20,0.0,0.0,0.0,99990.78512088013,8.466474404686917,12.748404715168906
2/11/20,0.0,0.0,0.0,99989.8330721282,9.134550790344953,13.03237708144508
2/12/20,0.0,0.0,0.0,99988.80690836938,9.854633515846789,13.338458114756365
2/13/20,0.0,0.0,0.0,99987.70083782982,10.630786528941751,13.668375641231231
2/14/20,0.0,0.0,0.0,99986.50840787799,11.467537149455103,14.024054972546574
2/15/20,0.0,0.0,0.0,99985.22250502478,12.369876069288024,14.407618905927713
2/16/20,0.0,0.0,0.0,99983.83535492343,13.343257352417629,14.82138772414839
