,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.74448133363,2.165707487827522,10.089811178533633
1/24/20,0.0,0.0,0.0,99999.46779287962,2.345143625138933,10.187063495245447
1/25/20,0.0,0.0,0.0,99999.16808344559,2.5395088076024455,10.292407746801366
1/26/20,0.0,0.0,0.0,99998.84348090622,2.7500170494124005,10.406502044374147
1/27/20,0.0,0.0,0.0,99998.49207806605,2.9779051769417815,10.53001675701323
1/28/20,0.0,0.0,0.0,99998.11171888618,3.224571346956482,10.663709766855199
1/29/20,0.0,0.0,0.0,99997.69999830781,3.491575160935866,10.808426531243795
1/30/20,0.0,0.0,0.0,99997.2542622522,3.780637665072766,10.965100082729922
1/31/20,0.0,0.0,0.0,99996.77160762066,4.0936413502734865,11.134751029071655
2/1/20,0.0,0.0,0.0,99996.2488822946,4.432630152157797,11.318487553234228
2/2/20,0.0,0.0,0.0,99995.68268513554,4.799809451058941,11.517505413390037
2/3/20,0.0,0.0,0.0,99995.06936598505,5.197546072023627,11.733087942918646
2/4/20,0.0,0.0,0.0,99994.40502566478,5.628368284812039,11.96660605040678
2/5/20,0.0,0.0,0.0,99993.68551597645,6.094965803897823,12.219518219648329
2/6/20,0.0,0.0,0.0,99992.90643970188,6.600189788468102,12.493370509644347
2/7/20,0.0,0.0,0.0,99992.06306984587,7.147105063098361,12.789825091037535
2/8/20,0.0,0.0,0.0,99991.14908155019,7.739810270471329,13.1111081793469
2/9/20,0.0,0.0,0.0,99990.1591741783,8.381742793550416,13.459083028143295
2/10/20,0.0,0.0,0.0,99989.08793614573,9.076412760135387,13.835651094138166
2/11/20,0.0,0.0,0.0,99987.9290885464,9.827892113673686,14.24301933992496
2/12/20,0.0,0.0,0.0,99986.67548515277,10.64081461326043,14.683700233979126
2/13/20,0.0,0.0,0.0,99985.3191124157,11.520375833638413,15.160511750658127
2/14/20,0.0,0.0,0.0,99983.8510894646,12.472333165198101,15.676577370201423
2/15/20,0.0,0.0,0.0,99982.2616681073,13.503005813977643,16.235326078730484
2/16/20,0.0,0.0,0.0,99980.54023283008,14.619274801662854,16.840492368248785
2/17/20,0.0,0.0,0.0,99978.67530079777,15.828582965587234,17.4961162366418
2/18/20,0.0,0.0,0.0,99976.65452185359,17.13893495873195,18.20654318767702
2/19/20,0.0,0.0,0.0,99974.46467851927,18.558897249725852,18.976424231003925
2/20/20,0.0,0.0,0.0,99972.09168599501,20.097598122845465,19.810715882154014
2/21/20,0.0,0.0,0.0,99969.52059215945,21.76472767801498,20.71468016254078
2/22/20,0.0,0.0,0.0,99966.73557756974,23.57053783080628,21.693884599459736
2/23/20,0.0,0.0,0.0,99963.71995546148,25.525842312438904,22.75420222608839
2/24/20,0.0,0.0,0.0,99960.45617174874,27.642016669780084,23.90181158148625
2/25/20,0.0,0.0,0.0,99956.92468176792,29.93171827155258,25.143599960518554
2/26/20,0.0,0.0,0.0,99953.09705464094,32.413313843564254,26.489631515499592
2/27/20,1.0,0.0,0.0,99948.95221821232,35.10047738835431,27.947304399327166
2/28/20,1.0,0.0,0.0,99944.46806789056,38.00756098042037,29.52437112901079
2/29/20,3.0,0.0,0.0,99939.61877591733,41.151318464221035,31.229905618441464
3/1/20,4.0,0.0,0.0,99934.37479136743,44.55090545417577,33.07430317839167
3/2/20,4.0,0.0,0.0,99928.70284014882,48.22787933466499,35.06928051651539
3/3/20,6.0,0.0,0.0,99922.56592500262,52.20619926003004,37.2278757373481
3/4/20,11.0,0.0,0.0,99915.92332550311,56.51222615457317,39.56444834230673
3/5/20,11.0,0.0,0.0,99908.73059805775,61.17472271255757,42.09467922968974
3/6/20,23.0,1.0,0.0,99900.9395759071,66.22485339820733,44.83557069467706
3/7/20,23.0,1.0,0.0,99892.49836912495,71.69618444570747,47.8054464293301
3/8/20,36.0,1.0,0.0,99883.3513646182,77.62468385920397,51.02395152259177
3/9/20,91.0,1.0,0.0,99873.43922612691,84.04872141280364,54.51205246028648
3/10/20,263.0,1.0,0.0,99862.6988942243,91.00906865057433,58.2920371251201
3/11/20,443.0,1.0,0.0,99851.06358631677,98.54889888654475,62.387514796680016
3/12/20,616.0,1.0,0.0,99838.46279664386,106.71378720470449,66.82341615143508
3/13/20,803.0,1.0,0.0,99824.82229627826,115.55171045900417,71.62599326273568
3/14/20,834.0,1.0,1.0,99810.06413312582,125.11304727335525,76.82281960081359
3/15/20,872.0,1.0,2.0,99794.10523580792,135.45143040896215,82.44333378311431
3/16/20,929.0,1.0,3.0,99776.822872255,146.64498323461652,88.5321445103892
3/17/20,1020.0,1.0,4.0,99758.11350404107,158.76071507397114,95.12578088494931
3/18/20,1111.0,1.0,4.0,99737.87754568258,171.8636091207416,102.25884519667669
3/19/20,1218.0,1.0,6.0,99715.99956753943,186.02865844501014,109.97177401555291
3/20/20,1327.0,1.0,9.0,99692.34829581511,201.34086599322586,118.31083819165906
3/21/20,1406.0,1.0,13.0,99666.77661255663,217.8952445882046,127.32814285517573
3/22/20,1500.0,1.0,13.0,99639.12155565449,235.79681692912885,137.08162741638301
3/23/20,1547.0,1.0,24.0,99609.20431884279,255.16061559154815,147.63506556566062
3/24/20,1650.0,36.0,32.0,99576.83025169914,276.1116830273784,159.0580652734876
3/25/20,1787.0,41.0,34.0,99541.78885964466,298.78507156490264,171.42606879044263
3/26/20,1932.0,50.0,41.0,99503.85380394403,323.32584340877054,184.82035264720386
3/27/20,2091.0,57.0,52.0,99462.78290170545,349.8890706399984,199.32802765454898
3/28/20,2244.0,57.0,65.0,99418.31812588067,378.63983521596936,215.0420389033552
3/29/20,2419.0,73.0,72.0,99370.18560526497,409.7532289704336,232.0611657645992
3/30/20,2605.0,73.0,77.0,99318.09562449713,443.4143536135077,250.4900218893572
3/31/20,2872.0,77.0,90.0,99261.74262405952,479.81832073167527,270.4390552088049
4/1/20,2215.0,971.0,104.0,99200.805200278,519.1702517877861,292.0245479342176
4/2/20,2278.0,1172.0,123.0,99134.94610532197,561.6852781210578,315.3686165569699
4/3/20,2520.0,1287.0,139.0,99063.81224720439,607.588540947074,340.59921184853636
4/4/20,2729.0,1379.0,161.0,98986.99940009917,657.1244250361945,367.87617486462915
4/5/20,2953.0,1429.0,179.0,98904.0362216559,710.5803230751804,397.3834552689131
4/6/20,3199.0,1489.0,187.0,98814.4522195082,768.2687067443488,429.2790737474583
4/7/20,3442.0,1621.0,203.0,98717.73031122015,830.5278010277974,463.7418877520546
4/8/20,3616.0,1763.0,218.0,98613.30599839616,897.7217023804824,500.97229922336453
4/9/20,3710.0,1883.0,237.0,98500.56736668086,970.2403787282185,541.1922545909237
4/10/20,3838.0,1929.0,247.0,98378.85508575918,1048.4996694676797,584.6452447731399
4/11/20,3820.0,2111.0,260.0,98247.4624093563,1132.9412854663974,631.5963051772943
4/12/20,3805.0,2291.0,273.0,98105.6351752377,1224.0328090627631,682.3320156995403
4/13/20,3825.0,2403.0,285.0,97952.57180520907,1322.2676940660256,737.1605007249043
4/14/20,3718.0,2689.0,299.0,97787.42330511642,1428.1652657562927,796.4114291272854
4/15/20,3642.0,2925.0,309.0,97609.29326484601,1542.2707208845313,860.4360142694552
4/16/20,3550.0,3203.0,321.0,97417.23785832438,1665.1551276725659,929.6070140030583
4/17/20,3361.0,3571.0,336.0,97210.26584351831,1797.4154258130811,1004.3187306686125
4/18/20,3060.0,4031.0,346.0,96987.33856243487,1939.6744264696176,1084.9870110955067
4/19/20,2897.0,4328.0,355.0,96747.36994112142,2092.5808122765784,1172.0492466020046
4/20/20,2848.0,4499.0,364.0,96489.22648966554,2256.8091373392213,1265.9643729952418
4/21/20,2632.0,4889.0,370.0,96211.72730219511,2433.059827233665,1367.2128705712257
4/22/20,2448.0,5276.0,384.0,95913.64405687829,2622.0591790068866,1476.2967641148377
4/23/20,2304.0,5573.0,394.0,95593.85104560897,2824.424428222912,1593.7245261681164
4/24/20,2290.0,5715.0,403.0,95251.8517149336,3040.1615419464088,1719.9867431199996
4/25/20,2367.0,5858.0,418.0,94885.75541074455,3270.45774925688,1855.7868399985691
4/26/20,2357.0,5994.0,422.0,94493.47501980151,3516.643407836916,2001.88157236158
4/27/20,2321.0,6148.0,427.0,94073.0054753252,3779.9453952638805,2159.0491294109133
4/28/20,2302.0,6313.0,434.0,93622.42375699751,4061.4871090099105,2328.0891339925747
4/29/20,2205.0,6558.0,443.0,93139.88889096139,4362.288466441916,2509.822642596697
4/30/20,2163.0,6741.0,452.0,92623.64194982089,4683.265904821582,2705.092145357536
5/1/20,2125.0,6924.0,460.0,92072.00605264117,5025.2323813053645,2914.7615660534757
5/2/20,2046.0,7084.0,475.0,91483.38636494848,5388.897372944493,3139.716262107024
5/3/20,2054.0,7183.0,484.0,90856.27009873021,5774.866876684975,3380.8630245848144
5/4/20,2091.0,7284.0,493.0,90189.2265124348,6183.643409367585,3639.130078197607
5/5/20,2024.0,7492.0,503.0,89480.90691097184,6615.626007727873,3915.4670813002863
5/6/20,1941.0,7689.0,506.0,88730.04464571198,7071.1102283961645,4210.845125891862
