,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.81722871808,2.118748775134507,10.064022506788982
1/24/20,0.0,0.0,0.0,99999.62360591578,2.244547790390956,10.13184629383955
1/25/20,0.0,0.0,0.0,99999.4184468948,2.3778418557642738,10.203711249446146
1/26/20,0.0,0.0,0.0,99999.20104162002,2.519092240032313,10.279866139957589
1/27/20,0.0,0.0,0.0,99998.97073393977,2.6687252536533608,10.36054080658758
1/28/20,0.0,0.0,0.0,99998.72680413298,2.827208498005847,10.445987369019793
1/29/20,0.0,0.0,0.0,99998.46846674182,2.9950522723734965,10.536480985818036
1/30/20,0.0,0.0,0.0,99998.19487057163,3.1728095739453344,10.632319854426237
1/31/20,0.0,0.0,0.0,99997.90509869103,3.3610760978156806,10.73382521116845
2/1/20,0.0,0.0,0.0,99997.59816843178,3.560490236984154,10.841341331248854
2/2/20,0.0,0.0,0.0,99997.2730313889,3.7717330823556705,10.955235528751755
2/3/20,0.0,0.0,0.0,99996.92857342062,3.995528422740442,11.075898156641587
2/4/20,0.0,0.0,0.0,99996.56361464839,4.23264274485398,11.203742606762903
2/5/20,0.0,0.0,0.0,99996.17690945684,4.483885233317091,11.339205309840388
2/6/20,0.0,0.0,0.0,99995.76714649388,4.750107770655882,11.48274573547885
2/7/20,0.0,0.0,0.0,99995.33294867055,5.032204937301754,11.634846392163222
2/8/20,0.0,0.0,0.0,99994.87287316116,5.331114011591406,11.796012827258563
2/9/20,0.0,0.0,0.0,99994.38541140323,5.647814969766836,11.96677362701006
2/10/20,0.0,0.0,0.0,99993.8689890975,5.983330485975339,12.14768041654302
2/11/20,0.0,0.0,0.0,99993.32196620788,6.338725932269504,12.339307859862883
2/12/20,0.0,0.0,0.0,99992.74263189465,6.715112661545223,12.54225544380795
2/13/20,0.0,0.0,0.0,99992.12857599306,7.114055271673897,12.757368735279904
2/14/20,0.0,0.0,0.0,99991.47769560422,7.536919543173966,12.985384852616871
2/15/20,0.0,0.0,0.0,99990.78821806086,7.984857551414736,13.2269243877324
2/16/20,0.0,0.0,0.0,99990.05814329423,8.459168954888995,13.482687750894728
2/17/20,0.0,0.0,0.0,99989.28524383408,8.961300995213012,13.75345517072678
2/18/20,0.0,0.0,0.0,99988.46706480868,9.492848497126538,14.040086694206169
2/19/20,0.0,0.0,0.0,99987.60092394485,10.055553868492805,14.343522186665194
2/20/20,0.0,0.0,0.0,99986.68391156792,10.651307100298528,14.66478133179084
2/21/20,0.0,0.0,0.0,99985.71289060173,11.282145766653901,15.004963631624783
2/22/20,0.0,0.0,0.0,99984.68449656866,11.950255024792602,15.365248406563387
2/23/20,0.0,0.0,0.0,99983.59513758958,12.657967615071787,15.746894795357697
2/24/20,0.0,0.0,0.0,99982.44099438393,13.407763860972093,16.151241755113453
2/25/20,0.0,0.0,0.0,99981.21802026962,14.202271669097644,16.579708061291072
