,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.80137483336,2.1555227161135235,10.0431024505342
1/24/20,0.0,0.0,0.0,99999.58730483911,2.3231385750059244,10.089556585893334
1/25/20,0.0,0.0,0.0,99999.35652012289,2.5038418536439297,10.139638023469256
1/26/20,0.0,0.0,0.0,99999.10773338958,2.6986404659627494,10.193626144458303
1/27/20,0.0,0.0,0.0,99998.83965784336,2.9085419638310066,10.251800192810919
1/28/20,0.0,0.0,0.0,99998.55084677269,3.1346790968631733,10.314474130447412
1/29/20,0.0,0.0,0.0,99998.23969314313,3.378310131132481,10.381996725742393
1/30/20,0.0,0.0,0.0,99997.9044295973,3.6408188491709197,10.45475155352477
1/31/20,0.0,0.0,0.0,99997.54312845496,3.923714549969242,10.533156995077759
2/1/20,0.0,0.0,0.0,99997.15370171289,4.228632048976959,10.617666238138865
2/2/20,0.0,0.0,0.0,99996.733901045,4.557331678102338,10.708767276899904
2/3/20,0.0,0.0,0.0,99996.28131780228,4.911699285712412,10.806982912006987
2/4/20,0.0,0.0,0.0,99995.7933830128,5.29374623663297,10.91287075056053
2/5/20,0.0,0.0,0.0,99995.26736738173,5.705609412148558,11.02702320611524
2/6/20,0.0,0.0,0.0,99994.70038129132,6.149551210002489,11.150067498680139
2/7/20,0.0,0.0,0.0,99994.08937480088,6.62795954439683,11.282665654718539
2/8/20,0.0,0.0,0.0,99993.43101064907,7.143447163423226,11.425542187490887
2/9/20,0.0,0.0,0.0,99992.72082360978,7.699509134781975,11.579667255428394
2/10/20,0.0,0.0,0.0,99991.95529867576,8.298897771638213,11.74580355259146
2/11/20,0.0,0.0,0.0,99991.1307395632,8.944507480700779,11.924752956084998
2/12/20,0.0,0.0,0.0,99990.24288915865,9.639671580461789,12.11743926088161
2/13/20,0.0,0.0,0.0,99989.28692951897,10.388162301196633,12.324908179821584
2/14/20,1.0,0.0,0.0,99988.25748187142,11.194190784963983,12.548327343612886
2/15/20,1.0,0.0,0.0,99987.14860661355,12.06240708560578,12.788986300831175
2/16/20,1.0,0.0,0.0,99985.95380331333,12.997900168747243,13.048296517919784
2/17/20,1.0,0.0,0.0,99984.66601070901,14.006197911796866,13.327791379189739
2/18/20,1.0,0.0,0.0,99983.27760670923,15.093267103946424,13.629126186819745
2/19/20,1.0,0.0,0.0,99981.78040839297,16.26551344617096,13.954078160856195
2/20/20,1.0,0.0,0.0,99980.16567200955,17.529781551228808,14.304546439213162
2/21/20,1.0,0.0,0.0,99978.42409297866,18.893354943661553,14.682552077672408
2/22/20,1.0,0.0,0.0,99976.54580589032,20.36395605979408,15.090238049883375
2/23/20,1.0,0.0,0.0,99974.5203845049,21.949746247734538,15.529869247363191
2/24/20,1.0,0.0,0.0,99972.33684175312,23.659325767374348,16.00383247949667
