,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.89554993813,2.10067234206339,10.003777719808742
1/24/20,0.0,0.0,0.0,99999.78584239204,2.206412012916824,10.007745595043804
1/25/20,0.0,0.0,0.0,99999.67059905443,2.31748725298799,10.011913692592401
1/26/20,0.0,0.0,0.0,99999.54952504757,2.4341822734663063,10.016292678981216
1/27/20,0.0,0.0,0.0,99999.42235229781,2.556755452241331,10.020892249948714
1/28/20,0.0,0.0,0.0,99999.28879237433,2.685484787968649,10.025722837710473
1/29/20,0.0,0.0,0.0,99999.14853473089,2.8206695945151354,10.030795674606063
1/30/20,0.0,0.0,0.0,99999.00124670594,2.9626305009589573,10.036122793099029
1/31/20,0.0,0.0,0.0,99998.84657352263,3.1117094515895722,10.041717025776903
2/1/20,0.0,0.0,0.0,99998.68413828875,3.2682697059077297,10.047592005351195
2/2/20,0.0,0.0,0.0,99998.51354199673,3.432695838625472,10.053762164657403
2/3/20,0.0,0.0,0.0,99998.33436352368,3.6053937396661304,10.060242736655002
2/4/20,0.0,0.0,0.0,99998.14615963142,3.786790614164329,10.067049754427455
2/5/20,0.0,0.0,0.0,99997.94846496636,3.9773349824659823,10.074200051182201
2/6/20,0.0,0.0,0.0,99997.74079205963,4.177496680128297,10.08171126025067
2/7/20,0.0,0.0,0.0,99997.522631327,4.387766857919773,10.089601815088264
2/8/20,0.0,0.0,0.0,99997.29345106891,4.608657981820196,10.097890949274374
2/9/20,0.0,0.0,0.0,99997.05269747047,4.840703833020649,10.106598696512377
2/10/20,0.0,0.0,0.0,99996.79979460145,5.084459507923505,10.115745890629624
2/11/20,0.0,0.0,0.0,99996.53414441629,5.340501418142425,10.125354165577452
2/12/20,0.0,0.0,0.0,99996.25512675407,5.609427290502365,10.135445955431182
2/13/20,0.0,0.0,0.0,99995.96209933858,5.891856167039572,10.146044494390118
2/14/20,0.0,0.0,0.0,99995.65436604846,6.188458983531765,10.15717496801203
2/15/20,0.0,0.0,0.0,99995.33092513894,6.500201213628532,10.16887364742647
2/16/20,0.0,0.0,0.0,99994.99106357545,6.827770101376807,10.181166323176107
2/17/20,0.0,0.0,0.0,99994.63410462756,7.171817909062291,10.194077463378969
2/18/20,0.0,0.0,0.0,99994.25929885836,7.53306697262322,10.207634169014502
2/19/20,0.0,0.0,0.0,99993.86582412443,7.912309701650357,10.221866173923573
2/20/20,0.0,0.0,0.0,99993.4527855758,8.310408579386996,10.23680584480846
2/21/20,0.0,0.0,0.0,99993.01921565604,8.72829616272896,10.252488181232865
2/22/20,0.0,0.0,0.0,99992.56407410215,9.166975082224601,10.26895081562191
2/23/20,0.0,0.0,0.0,99992.08624794467,9.627518042074808,10.286234013262128
2/24/20,0.0,0.0,0.0,99991.58455150756,10.11106782013299,10.304380672301477
2/25/20,0.0,0.0,0.0,99991.05772640835,10.618837267905093,10.323436323749329
2/26/20,0.0,0.0,0.0,99990.50444155798,11.152109310549589,10.343449131476476
2/27/20,0.0,0.0,0.0,99989.92329316091,11.712236946877486,10.364469892215126
2/28/20,0.0,0.0,0.0,99989.3128047151,12.300643249352316,10.38655203555891
2/29/20,0.0,0.0,0.0,99988.67142701196,12.918821364090139,10.409751623962872
3/1/20,0.0,0.0,0.0,99987.9975381364,13.568334510859557,10.434127352743475
3/2/20,0.0,0.0,0.0,99987.28944346684,14.250815983081687,10.459740550078605
3/3/20,0.0,0.0,0.0,99986.54537567517,14.967969147830189,10.486655177007558
3/4/20,0.0,0.0,0.0,99985.76349472674,15.721567445831248,10.514937827431055
3/5/20,0.0,0.0,0.0,99984.94188788043,16.51345439146357,10.544657728111233
3/6/20,0.0,0.0,0.0,99984.07856968857,17.34554357275841,10.575886738671645
3/7/20,0.0,0.0,0.0,99983.17148199701,18.21981865139953,10.608699351597267
3/8/20,0.0,0.0,0.0,99982.21849394504,19.138333362723248,10.643172692234488
3/9/20,0.0,0.0,0.0,99981.21740196549,20.103211515718392,10.679386518791118
3/10/20,0.0,0.0,0.0,99980.16592978463,21.116646993026325,10.717423222336382
3/11/20,0.0,0.0,0.0,99979.06172842225,22.18090375094095,10.757367826800932
3/12/20,0.0,0.0,0.0,99977.90237619162,23.298315819408682,10.799307988976826
