,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.82693423105,2.126276671408192,10.046789097533207
1/24/20,0.0,0.0,0.0,99999.64294175575,2.2605258768850813,10.096532367353163
1/25/20,0.0,0.0,0.0,99999.44728999997,2.4032821012000367,10.149427898833208
1/26/20,0.0,0.0,0.0,99999.23922449272,2.555095806831694,10.205679700451467
1/27/20,0.0,0.0,0.0,99999.01803563858,2.7164847468119317,10.26547961460057
1/28/20,0.0,0.0,0.0,99998.7829405719,2.888020126555949,10.32903930154601
1/29/20,0.0,0.0,0.0,99998.53308154746,3.0703277774234627,10.396590675110183
1/30/20,0.0,0.0,0.0,99998.26752594061,3.2640881567187106,10.468385902672386
1/31/20,0.0,0.0,0.0,99997.98526624714,3.4700363476904483,10.544697405168822
2/1/20,0.0,0.0,0.0,99997.68522008337,3.688962059531951,10.62581785709259
2/2/20,0.0,0.0,0.0,99997.36623018612,3.9217096273810137,10.712060186493693
2/3/20,0.0,0.0,0.0,99997.0270644127,4.169178012319948,10.803757574979038
2/4/20,0.0,0.0,0.0,99996.66641574091,4.432320801375589,10.901263457712428
2/5/20,0.0,0.0,0.0,99996.28290226906,4.712146207519285,11.004951523414574
2/6/20,0.0,0.0,0.0,99995.87506721597,5.009717069666909,11.115215714363083
2/7/20,0.0,0.0,0.0,99995.44137892092,5.326150852678851,11.23247022639247
2/8/20,0.0,0.0,0.0,99994.98023084374,5.662619647360019,11.357149508894144
2/9/20,0.0,0.0,0.0,99994.48994156472,6.020350170459842,11.489708264816421
2/10/20,0.0,0.0,0.0,99993.96875478466,6.400623764672265,11.630621450664517
2/11/20,0.0,0.0,0.0,99993.41482349386,6.804787929917849,11.780388576219412
2/12/20,0.0,0.0,0.0,99992.82554096945,7.234743652924991,11.939715377611348
2/13/20,0.0,0.0,0.0,99992.19873893044,7.692072771628408,12.109188297924359
2/14/20,0.0,0.0,0.0,99991.53247646954,8.178191708892328,12.289331821559676
2/15/20,0.0,0.0,0.0,99990.82455238151,8.694706683454402,12.4807409350345
2/16/20,0.0,0.0,0.0,99990.07250516309,9.243413709925708,12.684081126981988
2/17/20,0.0,0.0,0.0,99989.27361301305,9.826298598790745,12.900088388151257
2/18/20,0.0,0.0,0.0,99988.42489383218,10.445536956407434,13.129569211407382
2/19/20,0.0,0.0,0.0,99987.52310522326,11.103494185007122,13.373400591731405
2/20/20,0.0,0.0,0.0,99986.56474449109,11.802725482694575,13.632530026220321
2/21/20,0.0,0.0,0.0,99985.54604864246,12.54597584344799,13.907975514087088
2/22/20,0.0,0.0,0.0,99984.46299438621,13.336180057118979,14.200825556660625
2/23/20,0.0,0.0,0.0,99983.31129813318,14.176462709432581,14.512239157385807
2/24/20,0.0,0.0,0.0,99982.08641599618,15.07013818198726,14.843445821823474
2/25/20,0.0,0.0,0.0,99980.7835437901,16.020710652254902,15.195745557650422
2/26/20,0.0,0.0,0.0,99979.39761703176,17.031874093580814,15.570508874659414
2/27/20,1.0,0.0,0.0,99977.92331094005,18.10751227518373,15.96917678475916
2/28/20,1.0,0.0,0.0,99976.35504043587,19.2516987621558,16.393260801974346
2/29/20,1.0,0.0,0.0,99974.68696014209,20.46869691546261,16.844342942445603
3/1/20,1.0,0.0,0.0,99972.91296438362,21.76295989194316,17.324075724429537
3/2/20,1.0,0.0,0.0,99971.02668718739,23.139130644309873,17.8341821682987
3/3/20,2.0,0.0,0.0,99969.02150228231,24.602041921148604,18.376455796541613
3/4/20,2.0,0.0,0.0,99966.89052309931,26.15671626691862,18.952760633762754
3/5/20,3.0,0.0,0.0,99964.62660277136,27.80836602195261,19.565031206682562
3/6/20,10.0,0.0,0.0,99962.21948719183,29.564456542579105,20.216056265591664
3/7/20,10.0,0.0,0.0,99959.65811707867,31.433041551837405,20.90884136949732
3/8/20,10.0,0.0,0.0,99956.9351049064,33.41951866450874,21.64537642909186
3/9/20,10.0,0.0,0.0,99954.04196716675,35.53008277960172,22.427950053646896
3/10/20,12.0,0.0,0.0,99950.9690887031,37.77175191948728,23.259159377413766
3/11/20,16.0,0.0,0.0,99947.70572271048,40.152367229898665,24.14191005962354
3/12/20,16.0,0.0,0.0,99944.23999073559,42.68059297993144,25.079416284487024
3/13/20,79.0,0.0,0.0,99940.55888267676,45.36591656204351,26.075200761194758
3/14/20,115.0,0.0,0.0,99936.64825678403,48.21864849205507,27.133094723917004
3/15/20,170.0,1.0,0.0,99932.49283965905,51.24992240914867,28.257237931803772
3/16/20,204.0,1.0,0.0,99928.07622625514,54.47169507586915,29.45207866898479
3/17/20,224.0,1.0,0.0,99923.38087987731,57.896746378123694,30.72237374456953
3/18/20,257.0,1.0,0.0,99918.38813218217,61.53867932518179,32.07318849264719
3/19/20,266.0,1.0,0.0,99913.07818317803,65.41192004967525,33.509896772286694
3/20/20,282.0,1.0,0.0,99907.43010122486,69.5317178075982,35.038180967536725
3/21/20,305.0,1.0,0.0,99901.42182303427,73.91414497830714,36.66403198742566
3/22/20,324.0,2.0,0.0,99895.03015366952,78.5760970645208,38.39374926596163
3/23/20,350.0,2.0,0.0,99888.23076654554,83.53529269232028,40.23394076213252
3/24/20,362.0,7.0,0.0,99880.99820342894,88.81027361114903,42.191522959905896
3/25/20,395.0,8.0,1.0,99873.30587443795,94.42040469381276,44.27372086822909
3/26/20,529.0,8.0,1.0,99865.12605804249,100.38587393647954,46.48806802102917
3/27/20,563.0,11.0,1.0,99856.42990106411,106.72769245867975,48.84240647721292
3/28/20,624.0,20.0,1.0,99847.18741867603,113.46769450330609,51.34488682066687
3/29/20,656.0,20.0,3.0,99837.36749440314,120.62853743661358,54.00396816025727
3/30/20,692.0,20.0,3.0,99826.93788012196,128.23370174821957,56.82841812983012
3/31/20,715.0,26.0,4.0,99815.85738670696,136.31299834954598,59.829614943489915
4/1/20,741.0,33.0,5.0,99804.070734109,144.9062806784413,63.022985212553856
4/2/20,802.0,45.0,11.0,99791.54236742595,154.03962525885382,66.41800731519324
4/3/20,901.0,48.0,12.0,99778.23329439694,163.74160048456662,70.02510511849498
4/4/20,967.0,59.0,13.0,99764.09955971065,174.0443403635541,73.856099925796
4/5/20,1020.0,62.0,15.0,99749.09224500533,184.98354451798178,77.9242104766833
4/6/20,1027.0,62.0,19.0,99733.1574688688,196.59847818420644,82.24405294699389
4/7/20,1059.0,69.0,21.0,99716.23638683841,208.93197221277592,86.83164094881482
4/8/20,1089.0,72.0,24.0,99698.26519140108,222.03042306842943,91.70438553048318
4/9/20,1100.0,83.0,24.0,99679.17511199332,235.94379283009724,96.88109517658611
4/10/20,1141.0,93.0,24.0,99658.89241500113,250.72560919090097,102.3819758079608
4/11/20,1187.0,93.0,24.0,99637.33840376015,266.43296545815326,108.22863078169442
4/12/20,1186.0,98.0,25.0,99614.42941855552,283.12652055335803,114.44406089112422
4/13/20,1202.0,102.0,28.0,99590.07683662194,300.87049901221053,121.05266436583751
4/14/20,1227.0,115.0,31.0,99564.18707214373,319.732690984597,128.08023687167162
4/15/20,1248.0,117.0,35.0,99536.66157625469,339.78445223459494,135.55397151071384
4/16/20,1265.0,133.0,36.0,99507.39683703822,361.100704140473,143.50245882130162
4/17/20,1276.0,145.0,38.0,99476.28437952728,383.7599336946913,151.95568677802237
4/18/20,1312.0,162.0,38.0,99443.21076570438,407.84419350390084,160.94504079171358
4/19/20,1324.0,164.0,40.0,99408.05759450159,433.43910178894396,170.50330370946278
4/20/20,1330.0,165.0,40.0,99370.70150180053,460.63384238485406,180.66465581460747
4/21/20,1340.0,169.0,43.0,99331.0141604324,489.52116474085614,191.46467482673526
4/22/20,1331.0,184.0,44.0,99288.86228017794,520.1973839203657,202.94033590168377
4/23/20,1355.0,192.0,45.0,99244.10760776747,552.7623806009902,215.1300116315406
4/24/20,1353.0,206.0,46.0,99196.60692688082,587.319601074528,228.07347204464364
4/25/20,1361.0,228.0,46.0,99146.2090918056,623.9775166518965,241.81339154250276
4/26/20,1361.0,233.0,49.0,99092.71212840501,662.8727394299596,256.41513216502426
4/27/20,1364.0,233.0,50.0,99035.92912719646,704.1408643305376,271.9300084729953
4/28/20,1370.0,240.0,50.0,98975.67256761927,747.9210957023287,288.4063366783935
4/29/20,1380.0,236.0,50.0,98911.73860526203,794.3634665579364,305.89792818003
4/30/20,1388.0,249.0,52.0,98843.90707186257,843.6288385738708,324.4640895635499
5/1/20,1389.0,253.0,52.0,98771.94147530802,895.8889020905484,344.16962260143197
5/2/20,1390.0,256.0,53.0,98695.58899963473,951.3261761122916,365.0848242529884
5/3/20,1386.0,259.0,55.0,98614.58050502831,1010.1340083073292,387.28548666436535
5/4/20,1389.0,259.0,55.0,98528.63052782365,1072.5165750077963,410.85289716854254
5/5/20,1395.0,261.0,55.0,98437.43728050494,1138.6888812097336,435.87383828533336
5/6/20,1394.0,264.0,55.0,98340.68265170553,1208.8767605730893,462.4405877213851
5/7/20,1391.0,273.0,56.0,98238.03220620811,1283.3168754217168,490.6509183701784
5/8/20,965.0,704.0,56.0,98129.1351849446,1362.2567167433758,520.6080983120278
5/9/20,926.0,747.0,60.0,98013.62450499619,1445.9546041897324,552.4208908140815
5/10/20,929.0,750.0,60.0,97891.11675959332,1534.6796860763593,586.2035543303216
5/11/20,929.0,751.0,61.0,97761.2122181157,1628.7119393827347,622.0758425015634
5/12/20,908.0,777.0,61.0,97623.4948260923,1728.342169752244,660.1630041554563
5/13/20,913.0,777.0,61.0,97477.53220520134,1833.8720114921778,700.5957833064833
5/14/20,787.0,909.0,62.0,97322.87565327031,1945.613927573733,743.5104191559608
5/15/20,780.0,923.0,63.0,97159.06014427595,2063.8912096320137,789.0486460920397
5/16/20,773.0,934.0,63.0,96985.60432834427,2189.0379779660298,837.3576936897034
5/17/20,773.0,938.0,63.0,96802.01053175054,2321.399181538696,888.5902867107699
5/18/20,782.0,938.0,64.0,96607.76475691928,2461.3305979768365,942.9046451038907
5/19/20,789.0,938.0,64.0,96402.33668242427,2609.198833571178,1000.4644840045507
5/20/20,774.0,956.0,64.0,96185.17966298858,2765.381323276356,1061.439013735069
5/21/20,248.0,1488.0,64.0,95956.0039078281,2930.000589884308,1125.9955022875956
5/22/20,235.0,1508.0,64.0,95714.42053415385,3103.2494731087863,1194.3299927373612
5/23/20,231.0,1526.0,64.0,95459.52243584172,3285.8030630001153,1266.6745011581697
5/24/20,227.0,1532.0,64.0,95190.41347915398,3478.316322606184,1343.2701982398237
05/25/20,,,,94906.21221129375,3681.42053165381,1424.3672570524436
05/26/20,,,,94606.05186040478,3895.723286548744,1510.2248530464701
05/27/20,,,,94289.08033557166,4121.808500375666,1601.111164052662
05/28/20,,,,93954.4602268197,4360.236402898189,1697.3033702820967
05/29/20,,,,93601.36880511497,4611.543540558855,1799.0876543261716
05/30/20,,,,93228.99802236425,4876.242776479139,1906.7592011566023
05/31/20,,,,92836.55451141513,5154.823290459445,2020.622198125424
06/01/20,,,,92423.2595860559,5447.75057897911,2140.9898349649898
06/02/20,,,,91988.34924101562,5755.4664551964,2268.184303787973
06/03/20,,,,91531.07415196412,6078.389048948514,2402.5367990873647
06/04/20,,,,91050.69967551193,6416.912806751581,2544.387517736476
06/05/20,,,,90546.5058492104,6771.408491800661,2694.0856589889368
06/06/20,,,,90017.78739155155,7142.223183969747,2851.9894244786947
06/07/20,,,,89463.85370196823,7529.680279811759,3018.466018220017
06/08/20,,,,88884.02886083395,7934.079492558551,3193.8916466074916
06/09/20,,,,88277.65162946307,8355.696852120907,3378.6515184160235
06/10/20,,,,87644.07545011061,8794.784705088547,3573.139844800836
06/11/20,,,,86982.6684459724,9251.571714730111,3777.7598392974724
06/12/20,,,,86292.81342118503,9726.262860993178,3992.9237178217973
06/13/20,,,,85573.90786082576,10219.03944050426,4219.052698669988
06/14/20,,,,84825.36393091266,10730.059066568794,4456.5770025185475
06/15/20,,,,84046.60847840455,11259.455669171151,4705.935852424294
06/16/20,,,,83237.46543201571,11807.299437506666,4967.235130477626
06/17/20,,,,82398.00020343618,12373.38345241881,5240.616344145014
06/18/20,,,,81527.97659205884,12957.336768199257,5526.686639741905
06/19/20,,,,80627.28549876196,13558.700009095262,5826.014492142776
06/20/20,,,,79695.94627416524,14176.92541599894,6139.128309835827
06/21/20,,,,78734.10671862979,14811.376846447238,6466.51643492298
06/22/20,,,,77742.04308225817,15461.329774621956,6808.6271431198775
06/23/20,,,,76720.16006489439,16125.97129134974,7165.8686437558845
06/24/20,,,,75668.99081612383,16804.400104102086,7538.609079774089
06/25/20,,,,74589.19693527339,17495.626536995325,7927.176527731299
06/26/20,,,,73481.56847141132,18198.572530790643,8331.858997798045
06/27/20,,,,72347.02392334734,18912.071642894072,8752.904433758582
06/28/20,,,,71186.61023963263,19634.86904735649,9190.52071301088
06/29/20,,,,70001.50281855973,20365.621534873615,9644.87564656664
06/30/20,,,,68793.00550816269,21102.897512786025,10116.096979051277
07/01/20,,,,67562.55060621694,21845.177005079124,10604.272388703932
07/02/20,,,,66311.69886023935,22590.851652383175,11109.449487377464
07/03/20,,,,65042.13946748823,23338.224711973293,11631.635820538462
07/04/20,,,,63755.69007496333,24085.51105776943,12170.798867267225
07/05/20,,,,62454.296779405806,24830.83718033638,12726.866040257788
07/06/20,,,,61140.034127298284,25572.241186883795,13299.724685817895
07/07/20,,,,59815.10511486479,26307.672801266162,13889.222083869015
07/08/20,,,,58481.84118807079,27034.993363982823,14495.165447946343
07/09/20,,,,57142.702242623185,27751.97583217797,15117.321925198801
07/10/20,,,,55800.27662397031,28456.30477964062,15755.418596389012
07/11/20,,,,54457.28112730193,29145.576396804667,16409.142475893346
07/12/20,,,,53116.56099754924,29817.298490748817,17078.140511701873
07/13/20,,,,51781.089929384885,30468.890485196647,17762.019585418402
07/14/20,,,,50453.97006722289,31097.68342051658,18460.346512260458
07/15/20,,,,49138.43200521877,31700.919953721866,19172.64804105928
07/16/20,,,,47836.748246970026,32276.770152918034,19898.481600111943
07/17/20,,,,46548.11394758031,32826.453325139904,20637.432727279785
07/18/20,,,,45274.017362466206,33349.21341379068,21388.769223743107
07/19/20,,,,44016.07089554085,33844.18352980689,22151.74557465226
07/20/20,,,,42775.7805522443,34310.59576812768,22925.623679628017
07/21/20,,,,41554.54593954359,34747.78120769484,23709.67285276157
07/22/20,,,,40353.660265932696,35155.16991145279,24503.16982261452
07/23/20,,,,39174.31034143256,35532.290926348556,25305.398732218888
07/24/20,,,,38017.57657759106,35878.772283331826,26115.651139077116
07/25/20,,,,36884.43298748305,36194.3409973549,26933.226015162054
07/26/20,,,,35775.74718571033,36478.823067372694,27757.429746916983
07/27/20,,,,34692.28038840164,36732.14347634279,28587.57613525558
07/28/20,,,,33634.6874132127,36954.32619122536,29422.98639556195
07/29/20,,,,32603.51667932616,37145.49416298323,30262.989157690623
07/30/20,,,,31599.21020745164,37305.869326581844,31106.92046596653
07/31/20,,,,30622.10361982571,37435.77260098929,31954.123779185018
08/01/20,,,,29672.42614021189,37535.62388917626,32803.94997061187
08/02/20,,,,28750.300593900658,37605.942078116095,33655.75732798327
08/03/20,,,,27855.74340770945,37647.34503878476,34508.911553505815
08/04/20,,,,26988.664609982654,37660.54962616086,35362.785763856526
08/05/20,,,,26148.8678305916,37646.371679225595,36216.760490182845
08/06/20,,,,25336.05030093459,37605.72602096284,37070.22367810262
08/07/20,,,,24549.802853936868,37539.62645835906,37922.57068770412
08/08/20,,,,23789.60992405065,37449.18578240338,38773.204293546034
