,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90294350861,2.0739142166367315,10.023142274761973
1/24/20,0.0,0.0,0.0,99999.80230019602,2.1505599844755627,10.047139819506267
1/25/20,0.0,0.0,0.0,99999.69793413828,2.2300408142046653,10.072025047519293
1/26/20,0.0,0.0,0.0,99999.58969906103,2.312468097377502,10.097832841598464
1/27/20,0.0,0.0,0.0,99999.47745923932,2.3979451946452346,10.124595566051223
1/28/20,0.0,0.0,0.0,99999.36107312974,2.486579897461818,10.152346972815065
1/29/20,0.0,0.0,0.0,99999.24039181511,2.5784856122478046,10.18112257264895
1/30/20,0.0,0.0,0.0,99999.1152590045,2.673781360390342,10.210959635133309
1/31/20,0.0,0.0,0.0,99998.9855110331,2.772591778243175,10.241897188670027
2/1/20,0.0,0.0,0.0,99998.8509768624,2.8750471171266447,10.27397602048246
2/2/20,0.0,0.0,0.0,99998.71147808006,2.981283243327689,10.307238676615427
2/3/20,0.0,0.0,0.0,99998.56682889997,3.0914416380998415,10.341729461935211
2/4/20,0.0,0.0,0.0,99998.41683616221,3.2056693976632324,10.377494440129563
2/5/20,0.0,0.0,0.0,99998.2612993331,3.324119233204589,10.414581433707692
2/6/20,0.0,0.0,0.0,99998.10001050514,3.446949470877234,10.453040024000277
2/7/20,0.0,0.0,0.0,99997.93275439706,3.5743240518010873,10.492921551159458
2/8/20,0.0,0.0,0.0,99997.7593083538,3.706412532062665,10.534279114158844
2/9/20,0.0,0.0,0.0,99997.5794423465,3.8433900827150795,10.5771675707935
2/10/20,0.0,0.0,0.0,99997.39291897256,3.9854374897780405,10.621643537679967
2/11/20,0.0,0.0,0.0,99997.19949345551,4.132741154237852,10.66776539025624
2/12/20,0.0,0.0,0.0,99996.99891364518,4.2854930920474175,10.715593262781786
2/13/20,0.0,0.0,0.0,99996.79092001755,4.443890934126235,10.76518904833753
2/14/20,0.0,0.0,0.0,99996.57524567483,4.608137926360397,10.816616398825868
2/15/20,0.0,0.0,0.0,99996.35161634543,4.778442929602598,10.869940724970654
2/16/20,0.0,0.0,0.0,99996.11966379234,4.955086297990052,10.925249909681884
2/17/20,0.0,0.0,0.0,99995.87902723858,5.138342716067335,10.98263004536851
2/18/20,0.0,0.0,0.0,99995.62944689453,5.328410047282928,11.042143058203136
2/19/20,0.0,0.0,0.0,99995.3706424572,5.525501771692861,11.10385577112701
2/20/20,0.0,0.0,0.0,99995.10231293846,5.7298471166291325,11.167839944934208
2/21/20,0.0,0.0,0.0,99994.82413666505,5.941691056699707,11.234172278271616
2/22/20,0.0,0.0,0.0,99994.53577127859,6.16129431378851,11.302934407638947
2/23/20,0.0,0.0,0.0,99994.23685373557,6.388933357055439,11.374212907388737
2/24/20,0.0,0.0,0.0,99993.92700030735,6.624900402936353,11.448099289726336
2/25/20,0.0,0.0,0.0,99993.60580658016,6.86950341514308,11.52469000470992
2/26/20,0.0,0.0,0.0,99993.2728474551,7.123066104663409,11.60408644025048
2/27/20,0.0,0.0,0.0,99992.92767714814,7.385927929761101,11.68639492211184
2/28/20,0.0,0.0,0.0,99992.56982919014,7.658444095975876,11.77172671391063
2/29/20,0.0,0.0,0.0,99992.19881642678,7.940985556123426,11.860198017116309
3/1/20,0.0,0.0,0.0,99991.81413101866,8.233939010295407,11.951929971051156
3/2/20,0.0,0.0,0.0,99991.41524444126,8.537706905859437,12.047048652890268
3/3/20,0.0,0.0,0.0,99991.0016074849,8.852707437459102,12.14568507766157
3/4/20,0.0,0.0,0.0,99990.57265025476,9.179374547013959,12.247975198245797
3/5/20,0.0,0.0,0.0,99990.12778217092,9.518157923719523,12.354059905376513
3/6/20,0.0,0.0,0.0,99989.66639196833,9.869523004047277,12.464085027640099
3/7/20,0.0,0.0,0.0,99989.1878476968,10.233950971744674,12.578201331475759
3/8/20,0.0,0.0,0.0,99988.691496721,10.611938757835127,12.696564521175516
3/9/20,0.0,0.0,0.0,99988.17666572052,11.00399904061802,12.819335238884214
3/10/20,0.0,0.0,0.0,99987.64266068974,11.410660245668694,12.946679064599522
3/11/20,0.0,0.0,0.0,99987.088766938,11.83246654583847,13.078766516171921
