,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88106229567,2.0829884428912893,10.035949261445252
1/24/20,0.0,0.0,0.0,99999.75718952602,2.1694202680256005,10.07339020595487
1/25/20,0.0,0.0,0.0,99999.62817003495,2.2594431497709824,10.11238681527428
1/26/20,0.0,0.0,0.0,99999.49377677978,2.3532154950418604,10.153007725176055
1/27/20,0.0,0.0,0.0,99999.35380076352,2.45088312768694,10.195316108791245
1/28/20,0.0,0.0,0.0,99999.20802176015,2.552599705642904,10.239378534212749
1/29/20,0.0,0.0,0.0,99999.0562063161,2.658528114704617,10.285265569194605
1/30/20,0.0,0.0,0.0,99998.89810775033,2.7688404685251213,10.33305178115199
1/31/20,0.0,0.0,0.0,99998.73346615423,2.883718108615642,10.38281573716122
2/1/20,0.0,0.0,0.0,99998.56200839169,3.003351604345581,10.43464000395975
2/2/20,0.0,0.0,0.0,99998.3834480991,3.127940752942524,10.488611147946175
2/3/20,0.0,0.0,0.0,99998.19748568532,3.2576945794922345,10.544819735180226
2/4/20,0.0,0.0,0.0,99998.00380833168,3.392831336938656,10.60336033138278
2/5/20,0.0,0.0,0.0,99997.80208999198,3.533578506083913,10.664331501935843
2/6/20,0.0,0.0,0.0,99997.59199139253,3.6801727955883106,10.727835811882567
2/7/20,0.0,0.0,0.0,99997.3731600321,3.8328601419703325,10.793979825927247
2/8/20,0.0,0.0,0.0,99997.14523018195,3.991895709606643,10.862874108435305
2/9/20,0.0,0.0,0.0,99996.90782288583,4.157543890732088,10.934633223433313
2/10/20,0.0,0.0,0.0,99996.66054595995,4.33007830543969,11.009375734608975
2/11/20,0.0,0.0,0.0,99996.402993993,4.509781801680655,11.087224205311141
2/12/20,0.0,0.0,0.0,99996.13474834619,4.696946455264369,11.168305198549795
2/13/20,0.0,0.0,0.0,99995.85537715314,4.8918735698583955,11.25274927699606
2/14/20,0.0,0.0,0.0,99995.56443532003,5.094873676988481,11.3406910029822
2/15/20,0.0,0.0,0.0,99995.2614234916,5.306295120467284,11.43228138792426
2/16/20,0.0,0.0,0.0,99994.94566210265,5.526611795926052,11.527726101413757
2/17/20,0.0,0.0,0.0,99994.61669237976,5.756143819826947,11.627163800406509
2/18/20,0.0,0.0,0.0,99994.27405888059,5.995209016400821,11.730732103009021
2/19/20,0.0,0.0,0.0,99993.91726706251,6.244152475571468,11.838580461915722
2/20/20,0.0,0.0,0.0,99993.54578328264,6.50334655295561,11.950870164408967
2/21/20,0.0,0.0,0.0,99993.15903479778,6.773190869862905,12.067774332359038
2/22/20,0.0,0.0,0.0,99992.75640976448,7.054112313295947,12.189477922224143
2/23/20,0.0,0.0,0.0,99992.33725723899,7.34656503595026,12.316177725050412
2/24/20,0.0,0.0,0.0,99991.90088717731,7.651030456214305,12.448082366471908
2/25/20,0.0,0.0,0.0,99991.44657043512,7.968017258169475,12.58541230671061
2/26/20,0.0,0.0,0.0,99990.97353876782,8.2980613915901,12.728399840576435
2/27/20,0.0,0.0,0.0,99990.48098483059,8.641726071943438,12.877289097467212
2/28/20,0.0,0.0,0.0,99989.96806217823,8.999601780389687,13.032336041368708
2/29/20,0.0,0.0,0.0,99989.43388526536,9.37230626378198,13.19380847085461
3/1/20,0.0,0.0,0.0,99988.87752944624,9.760484534666372,13.361986019086528
3/2/20,0.0,0.0,0.0,99988.2980309749,10.164808871281867,13.537160153814003
3/3/20,0.0,0.0,0.0,99987.69438700506,10.585978817560395,13.719634177374504
3/4/20,0.0,0.0,0.0,99987.06555559018,11.024721183126822,13.909723226693417
3/5/20,0.0,0.0,0.0,99986.4104556834,11.481790043298943,14.107754273284058
3/6/20,0.0,0.0,0.0,99985.72796713766,11.957966739087496,14.314066123247676
3/7/20,0.0,0.0,0.0,99985.01693070552,12.454059877196148,14.529009417273432
3/8/20,0.0,0.0,0.0,99984.27614803934,12.970905330021498,14.752946630638423
