Date,Restrict_Mass_Gatherings,Lockdown,No Measure
2/29/2020,102,102,102
3/1/2020,105,105,105
3/2/2020,109,109,109
3/3/2020,113,113,113
3/4/2020,119,119,119
3/5/2020,125,125,125
3/6/2020,132,132,132
3/7/2020,141,141,141
3/8/2020,150,150,150
3/9/2020,161,161,161
3/10/2020,174,174,174
3/11/2020,188,188,188
3/12/2020,204,204,204
3/13/2020,222,222,222
3/14/2020,242,242,242
3/15/2020,264,264,264
3/16/2020,288,288,288
3/17/2020,315,315,315
3/18/2020,344,344,344
3/19/2020,375,375,375
3/20/2020,409,409,409
3/21/2020,445,445,445
3/22/2020,484,484,484
3/23/2020,525,525,525
3/24/2020,568,568,568
3/25/2020,613,613,613
3/26/2020,660,660,660
3/27/2020,709,709,709
3/28/2020,759,759,759
3/29/2020,811,811,811
3/30/2020,864,864,864
3/31/2020,918,918,918
4/1/2020,973,973,973
4/2/2020,1028,1028,1028
4/3/2020,1084,1084,1084
4/4/2020,1140,1140,1140
4/5/2020,1196,1196,1196
4/6/2020,1252,1252,1252
4/7/2020,1307,1307,1307
4/8/2020,1362,1362,1362
4/9/2020,1417,1417,1417
4/10/2020,1470,1470,1470
4/11/2020,1522,1522,1522
4/12/2020,1574,1574,1574
4/13/2020,1624,1624,1624
4/14/2020,1673,1673,1673
4/15/2020,1721,1721,1721
4/16/2020,1767,1767,1767
4/17/2020,1812,1812,1812
4/18/2020,1855,1855,1855
4/19/2020,1897,1897,1897
4/20/2020,1937,1937,1937
4/21/2020,1976,1976,1976
4/22/2020,2013,2013,2013
4/23/2020,2048,2048,2048
4/24/2020,2082,2082,2082
4/25/2020,2114,2114,2114
4/26/2020,2145,2145,2145
4/27/2020,2175,2175,2175
4/28/2020,2203,2203,2203
4/29/2020,2229,2229,2229
4/30/2020,2254,2254,2254
5/1/2020,2278,2278,2278
5/2/2020,2300,2300,2300
5/3/2020,2322,2322,2322
5/4/2020,2342,2342,2342
5/5/2020,2360,2360,2360
5/6/2020,2378,2378,2378
5/7/2020,2395,2395,2395
5/8/2020,2410,2410,2410
5/9/2020,2425,2425,2425
5/10/2020,2439,2439,2439
5/11/2020,2451,2451,2451
5/12/2020,2463,2463,2463
5/13/2020,2474,2474,2474
5/14/2020,2485,2485,2485
5/15/2020,2495,2495,2495
5/16/2020,2504,2504,2504
5/17/2020,2512,2512,2512
5/18/2020,2520,2520,2520
5/19/2020,2527,2527,2527
5/20/2020,2534,2534,2534
5/21/2020,2540,2540,2540
5/22/2020,2546,2546,2546
5/23/2020,2552,2552,2552
5/24/2020,2557,2557,2557
5/25/2020,2561,2561,2561
5/26/2020,2565,2565,2565
5/27/2020,2569,2569,2569
5/28/2020,2573,2573,2573
5/29/2020,2576,2576,2576
5/30/2020,2579,2579,2579
5/31/2020,2582,2582,2582
6/1/2020,2585,2585,2585
6/2/2020,2587,2587,2587
6/3/2020,2590,2590,2590
6/4/2020,2592,2592,2592
6/5/2020,2594,2594,2594
6/6/2020,2595,2595,2595
6/7/2020,2597,2597,2597
6/8/2020,2598,2598,2598
6/9/2020,2600,2600,2600
6/10/2020,2601,2601,2601
6/11/2020,2602,2602,2602
6/12/2020,2603,2603,2603
6/13/2020,2604,2604,2604
6/14/2020,2605,2605,2605
6/15/2020,2606,2606,2606
6/16/2020,2606,2606,2606
6/17/2020,2607,2607,2607
6/18/2020,2608,2608,2608
6/19/2020,2608,2608,2608
6/20/2020,2609,2609,2609
6/21/2020,2609,2609,2609
6/22/2020,2609,2609,2609
6/23/2020,2610,2610,2610
6/24/2020,2610,2610,2610
6/25/2020,2611,2611,2611
6/26/2020,2611,2611,2611
6/27/2020,2611,2611,2611
6/28/2020,2611,2611,2611
6/29/2020,2612,2612,2612
6/30/2020,2612,2612,2612
7/1/2020,2612,2612,2612
7/2/2020,2612,2612,2612
7/3/2020,2612,2612,2612
7/4/2020,2612,2612,2612
7/5/2020,2613,2612,2613
7/6/2020,2613,2613,2613
7/7/2020,2613,2613,2613
7/8/2020,2613,2613,2613
7/9/2020,2613,2613,2613
7/10/2020,2613,2613,2613
7/11/2020,2613,2613,2613
7/12/2020,2614,2613,2614
7/13/2020,2614,2613,2614
7/14/2020,2614,2613,2614
7/15/2020,2614,2613,2614
7/16/2020,2614,2613,2614
7/17/2020,2614,2613,2614
7/18/2020,2614,2613,2614
7/19/2020,2614,2613,2614
7/20/2020,2614,2613,2615
7/21/2020,2615,2613,2615
7/22/2020,2615,2613,2615
7/23/2020,2615,2613,2615
7/24/2020,2615,2613,2615
7/25/2020,2615,2613,2615
7/26/2020,2615,2613,2615
7/27/2020,2615,2613,2615
7/28/2020,2615,2613,2615
7/29/2020,2615,2614,2615
7/30/2020,2615,2614,2616
7/31/2020,2615,2614,2616
8/1/2020,2615,2614,2616
8/2/2020,2615,2614,2616
8/3/2020,2616,2614,2616
8/4/2020,2616,2614,2616
8/5/2020,2616,2614,2616
8/6/2020,2616,2614,2616
8/7/2020,2616,2614,2616
8/8/2020,2616,2614,2616
8/9/2020,2616,2614,2616
8/10/2020,2616,2614,2616
8/11/2020,2616,2614,2616
8/12/2020,2616,2614,2617
8/13/2020,2616,2614,2617
8/14/2020,2616,2614,2617
8/15/2020,2616,2614,2617
8/16/2020,2616,2614,2617
8/17/2020,2616,2614,2617
8/18/2020,2616,2614,2617
8/19/2020,2616,2614,2617
8/20/2020,2616,2614,2617
8/21/2020,2616,2614,2617
8/22/2020,2616,2614,2617
8/23/2020,2616,2614,2617
8/24/2020,2617,2614,2617
8/25/2020,2617,2614,2617
8/26/2020,2617,2614,2617
8/27/2020,2617,2614,2617
8/28/2020,2617,2614,2617
8/29/2020,2617,2614,2617
8/30/2020,2617,2614,2617
8/31/2020,2617,2614,2617
9/1/2020,2617,2614,2617
