,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.4653710602,2.250842019170123,10.283786920626326
1/24/20,2.0,0.0,0.0,99998.86368549253,2.5331444462859176,10.603170061174898
1/25/20,3.0,0.0,0.0,99998.18622646107,2.85099591952062,10.962777619411897
1/26/20,3.0,0.0,0.0,99997.4239643341,3.2086325055671683,11.367403160324566
1/27/20,3.0,0.0,0.0,99996.56663216304,3.6108706911184187,11.822497145832898
1/28/20,4.0,0.0,0.0,99995.6021822039,4.063361719957464,12.334456076134547
1/29/20,5.0,0.0,0.0,99994.51678591734,4.572591592957638,12.910622489704828
1/30/20,5.0,0.0,0.0,99993.29483396861,5.145881068082509,13.559284963296715
1/31/20,5.0,0.0,0.0,99991.91893622767,5.791385660385889,14.289678111940843
2/1/20,6.0,0.0,0.0,99990.36992176903,6.518095642011824,15.1119825889455
2/2/20,6.0,0.0,0.0,99988.6268388719,7.335836042194607,16.037325085896644
2/3/20,6.0,0.0,0.0,99986.66477713294,8.25628001142792,17.078942855608815
2/4/20,6.0,0.0,0.0,99984.45585993853,9.292492884931368,18.251647176522994
2/5/20,6.0,0.0,0.0,99981.97279569179,10.457283756283884,19.569920551917637
2/6/20,6.0,0.0,0.0,99979.1822866254,11.766270087164768,21.051443287431248
2/7/20,6.0,0.0,0.0,99976.04486928877,13.23795188219091,22.717178829021748
2/8/20,11.0,0.0,0.0,99972.5149145481,14.893711688916792,24.591373762966505
2/9/20,11.0,0.0,0.0,99968.54062758629,16.757814597834486,26.701557815862294
2/10/20,11.0,0.0,0.0,99964.06404790298,18.85740824237365,29.078543854625323
2/11/20,11.0,0.0,0.0,99959.0210493146,21.22252279890155,31.756427886491224
2/12/20,9.0,2.0,0.0,99953.34133995425,23.886070986723016,34.772589059015054
2/13/20,9.0,2.0,0.0,99946.94846227183,26.883848068080496,38.1676896600713
2/14/20,9.0,2.0,0.0,99939.75979303398,30.254531848154006,41.98567511785387
2/15/20,7.0,4.0,1.0,99931.67056190946,34.04694200232625,46.28249608821624
2/16/20,7.0,4.0,1.0,99922.56701899461,38.31424249451703,51.11873851086512
2/17/20,7.0,4.0,1.0,99912.33863092323,43.1084103392584,56.55295873750539
2/18/20,7.0,4.0,1.0,99900.84952601891,48.493123695218884,62.657350285864354
2/19/20,7.0,4.0,1.0,99887.9383645928,54.54382053181085,69.51781487537733
2/20/20,7.0,4.0,1.0,99873.41833894362,61.34769862919053,77.23396242718763
2/21/20,7.0,4.0,1.0,99857.0771733576,69.003715578258,85.91911106414662
2/22/20,7.0,4.0,1.0,99838.67712410852,77.62258878065717,95.70028711081366
2/23/20,7.0,4.0,1.0,99817.95497945776,87.3267954487758,106.71822509345614
2/24/20,7.0,4.0,1.0,99794.6220596542,98.25057260574555,119.12736774004946
2/25/20,2.0,11.0,1.0,99768.36421693428,110.53991708544183,133.09586598027704
2/26/20,5.0,11.0,2.0,99738.84183552198,124.352585532484,148.8055789455303
2/27/20,25.0,11.0,2.0,99705.6842733054,139.8602161170417,166.45551057754585
2/28/20,44.0,11.0,2.0,99668.40102742436,157.28406163806173,186.31491093756816
2/29/20,86.0,12.0,2.0,99626.51923523686,176.8463099188994,208.63445484423187
3/1/20,116.0,12.0,2.0,99579.51085834688,198.79572379057035,233.6934178625405
3/2/20,176.0,12.0,3.0,99526.74862089501,223.42399823820344,261.8273808667792
3/3/20,188.0,12.0,4.0,99467.50600955843,251.06576040104085,293.4282300405146
3/4/20,272.0,12.0,4.0,99400.95727355096,282.09856957243784,328.944156876595
3/5/20,362.0,12.0,6.0,99326.17742462298,316.94291719986313,368.8796581771503
