,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.86492654185,2.109118051381215,10.02595540676699
1/24/20,0.0,0.0,0.0,99999.7224838303,2.2241892593131753,10.053326910393263
1/25/20,0.0,0.0,0.0,99999.5722452015,2.3455582883370365,10.082196510143097
1/26/20,0.0,0.0,0.0,99999.41376274094,2.4735869678427975,10.112650291206778
1/27/20,0.0,0.0,0.0,99999.24663085841,2.608602950768192,10.14476619080435
1/28/20,0.0,0.0,0.0,99999.07040859567,2.750962459425762,10.178628944892761
1/29/20,0.0,0.0,0.0,99998.88461749622,2.90105200578129,10.214330497987374
1/30/20,0.0,0.0,0.0,99998.68874160537,3.0592883914538023,10.251970003161956
1/31/20,0.0,0.0,0.0,99998.48222747022,3.226118707715563,10.291653822048687
2/1/20,0.0,0.0,0.0,99998.26448413965,3.402020335492081,10.33349552483816
2/2/20,0.0,0.0,0.0,99998.03488316435,3.5875009453621045,10.377615890279372
2/3/20,0.0,0.0,0.0,99997.79275859676,3.7830984975576225,10.424142905679735
2/4/20,0.0,0.0,0.0,99997.53740699112,3.9893812419638666,10.473211766905068
2/5/20,0.0,0.0,0.0,99997.26808740348,4.20694771811931,10.524964878379603
2/6/20,0.0,0.0,0.0,99996.98402139169,4.436426755215667,10.57955185308598
2/7/20,0.0,0.0,0.0,99996.68439301533,4.6784774720978906,10.637129512565245
2/8/20,0.0,0.0,0.0,99996.36834883581,4.933789277264179,10.697861886916865
2/9/20,0.0,0.0,0.0,99996.03499791631,5.2030818688659695,10.761920214798707
2/10/20,0.0,0.0,0.0,99995.68341182185,5.487105234707942,10.82948294342705
2/11/20,0.0,0.0,0.0,99995.31262461917,5.786639652248016,10.900735728576588
2/12/20,0.0,0.0,0.0,99994.92163287681,6.102495688597353,10.975871434580421
2/13/20,0.0,0.0,0.0,99994.50939566514,6.435514200520355,11.055090134330058
2/14/20,0.0,0.0,0.0,99994.07463779519,6.7867251348126665,11.138637069980057
2/15/20,0.0,0.0,0.0,99993.61580215754,7.157386020017459,11.226811822429042
2/16/20,0.0,0.0,0.0,99993.13183375742,7.548349214342621,11.319817028216274
2/17/20,0.0,0.0,0.0,99992.6215815264,7.960544674447486,11.41787379913068
2/18/20,0.0,0.0,0.0,99992.08376537492,8.39500654591895,11.521228079149402
2/19/20,0.0,0.0,0.0,99991.51697619227,8.852873163271468,11.630150644437803
2/20/20,0.0,0.0,0.0,99990.91967584669,9.335387049947059,11.744937103349471
2/21/20,0.0,0.0,0.0,99990.29019718524,9.843894918315309,11.86590789642621
2/22/20,0.0,0.0,0.0,99989.62674403391,10.37984766967336,11.993408296398052
2/23/20,0.0,0.0,0.0,99988.92739119756,10.944800394245917,12.127808408183242
2/24/20,0.0,0.0,0.0,99988.19008445991,11.54041237118525,12.269503168888253
2/25/20,0.0,0.0,0.0,99987.4126405836,12.168447068571188,12.418912347807776
2/26/20,0.0,0.0,0.0,99986.59274731015,12.830772143411128,12.576480546424726
2/27/20,0.0,0.0,0.0,99985.72796335994,13.529359441640024,12.742677198410234
