,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.9775243253,2.022475654599265,10.00000002011217
1/24/20,0.0,0.0,0.0,99999.95479607802,2.045203881541154,10.000000040450354
1/25/20,0.0,0.0,0.0,99999.93181241996,2.068187519025602,10.000000061017097
1/26/20,0.0,0.0,0.0,99999.90857043584,2.091429482337788,10.000000081815006
1/27/20,0.0,0.0,0.0,99999.88506719704,2.114932700115289,10.000000102846702
1/28/20,0.0,0.0,0.0,99999.86129979792,2.1387000779652015,10.000000124114784
1/29/20,0.0,0.0,0.0,99999.83726529473,2.162734559646411,10.000000145621888
1/30/20,0.0,0.0,0.0,99999.81296070555,2.1870391270838825,10.00000016737068
1/31/20,0.0,0.0,0.0,99999.78838301027,2.2116168003686614,10.000000189363867
2/1/20,0.0,0.0,0.0,99999.76352915064,2.2364706377578747,10.000000211604181
2/2/20,0.0,0.0,0.0,99999.73839603022,2.26160373567473,10.000000234094397
2/3/20,0.0,0.0,0.0,99999.71298051445,2.287019228708515,10.000000256837318
2/4/20,0.0,0.0,0.0,99999.68727943055,2.312720289614599,10.000000279835785
2/5/20,0.0,0.0,0.0,99999.6612895676,2.3387101293144306,10.000000303092667
2/6/20,0.0,0.0,0.0,99999.6350076765,2.36499199689554,10.000000326610877
2/7/20,0.0,0.0,0.0,99999.60843046999,2.3915691796115386,10.000000350393355
2/8/20,0.0,0.0,0.0,99999.58155462268,2.4184450028821174,10.000000374443077
2/9/20,0.0,0.0,0.0,99999.55437677095,2.4456228302930483,10.000000398763051
2/10/20,0.0,0.0,0.0,99999.52689351304,2.4731060635961843,10.000000423356324
2/11/20,0.0,0.0,0.0,99999.49910140906,2.5008981427094596,10.000000448225974
2/12/20,0.0,0.0,0.0,99999.4709969809,2.5290025457168874,10.000000473375112
2/13/20,0.0,0.0,0.0,99999.44257671233,2.557422788868563,10.000000498806887
2/14/20,0.0,0.0,0.0,99999.4138370489,2.586162426580662,10.000000524524477
2/15/20,0.0,0.0,0.0,99999.38477439803,2.615225051435441,10.0000005505311
2/16/20,0.0,0.0,0.0,99999.35538512899,2.644614294181236,10.000000576830004
2/17/20,0.0,0.0,0.0,99999.32566557285,2.6743338237324656,10.000000603424471
2/18/20,0.0,0.0,0.0,99999.29561202251,2.704387347169628,10.000000630317821
2/19/20,0.0,0.0,0.0,99999.26522073275,2.7347786097393016,10.000000657513405
2/20/20,0.0,0.0,0.0,99999.23448792013,2.7655113948541468,10.000000685014607
2/21/20,0.0,0.0,0.0,99999.20340976308,2.7965895240929037,10.00000071282485
2/22/20,0.0,0.0,0.0,99999.17198160973,2.828017649315987,10.000000740948295
2/23/20,0.0,0.0,0.0,99999.14019606575,2.8598031648579667,10.000000769391566
2/24/20,0.0,0.0,0.0,99999.10804930347,2.891949898367107,10.000000798158085
2/25/20,0.0,0.0,0.0,99999.07553792371,2.9244612490422637,10.000000827250899
2/26/20,0.0,0.0,0.0,99999.04265845036,2.9573406929622315,10.000000856673115
2/27/20,0.0,0.0,0.0,99999.00940733048,2.9905917830857445,10.00000088642791
2/28/20,0.0,0.0,0.0,99998.97578093423,3.0242181492514755,10.000000916518536
2/29/20,0.0,0.0,0.0,99998.94177555486,3.058223498178037,10.000000946948308
3/1/20,0.0,0.0,0.0,99998.9073874088,3.0926116134639807,10.000000977720612
3/2/20,0.0,0.0,0.0,99998.87261263558,3.127386355587797,10.000001008838902
3/3/20,0.0,0.0,0.0,99998.83744729779,3.1625516619079157,10.000001040306703
3/4/20,0.0,0.0,0.0,99998.80188738121,3.198111546662706,10.000001072127604
3/5/20,0.0,0.0,0.0,99998.76592879472,3.234070100970476,10.000001104305268
3/6/20,0.0,0.0,0.0,99998.72956737032,3.2704314928294735,10.000001136843425
3/7/20,0.0,0.0,0.0,99998.69279886314,3.307199967117885,10.000001169745873
3/8/20,0.0,0.0,0.0,99998.6556189514,3.3443798455938363,10.00000120301648
3/9/20,0.0,0.0,0.0,99998.61802323644,3.381975526895392,10.00000123665918
3/10/20,0.0,0.0,0.0,99998.58000724278,3.419991486540557,10.000001270677982
3/11/20,0.0,0.0,0.0,99998.54156641799,3.458432276927274,10.000001305076957
3/12/20,0.0,0.0,0.0,99998.5026961328,3.497302527333427,10.00000133986025
3/13/20,0.0,0.0,0.0,99998.46339168104,3.5366069439168357,10.000001375032069
3/14/20,0.0,0.0,0.0,99998.42364827968,3.576350309715263,10.000001410596697
3/15/20,0.0,0.0,0.0,99998.38346106879,3.6165374846464076,10.000001446558482
3/16/20,0.0,0.0,0.0,99998.34282511157,3.6571734055079097,10.000001482921844
3/17/20,1.0,0.0,0.0,99998.30173539433,3.6982630859773478,10.000001519691269
3/18/20,1.0,0.0,0.0,99998.26018682652,3.7398116166122395,10.000001556871311
3/19/20,1.0,0.0,0.0,99998.21817424068,3.7818241648500415,10.000001594466596
3/20/20,1.0,0.0,0.0,99998.17569239251,3.8243059750081505,10.000001632481817
3/21/20,1.0,0.0,0.0,99998.1327359608,3.8672623682839014,10.000001670921737
3/22/20,1.0,0.0,0.0,99998.08929954746,3.910698742754569,10.000001709791187
3/23/20,1.0,0.0,1.0,99998.04537767752,3.9546205733773663,10.000001749095066
