,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.84345042214,2.106140680105968,10.050408897767419
1/24/20,0.0,0.0,0.0,99999.67859299993,2.2179139968733264,10.103493003193854
1/25/20,0.0,0.0,0.0,99999.50496135984,2.335636125548827,10.159402514611363
1/26/20,0.0,0.0,0.0,99999.32206447177,2.4596399526932826,10.21829557554106
1/27/20,0.0,0.0,0.0,99999.12945681594,2.5902275399567998,10.28031564411252
1/28/20,0.0,0.0,0.0,99998.92665580116,2.727726078396776,10.345618120452711
1/29/20,0.0,0.0,0.0,99998.7131392742,2.872489575979832,10.414371149817494
1/30/20,0.0,0.0,0.0,99998.48834551983,3.024898857581813,10.486755622591634
1/31/20,0.0,0.0,0.0,99998.25167326073,3.185361564987785,10.56296517428879
2/1/20,0.0,0.0,0.0,99998.00248165756,3.35431215689204,10.64320618555152
2/2/20,0.0,0.0,0.0,99997.74009030896,3.532211908898091,10.727697782151276
2/3/20,0.0,0.0,0.0,99997.4637792515,3.7195489135186754,10.816671834988416
2/4/20,0.0,0.0,0.0,99997.17278895974,3.9168380801757543,10.910372960092184
2/5/20,0.0,0.0,0.0,99996.86632034618,4.1246211352005115,11.009058518620733
2/6/20,0.0,0.0,0.0,99996.54353476131,4.343466621833355,11.112998616861105
2/7/20,0.0,0.0,0.0,99996.20355399355,4.573969900223914,11.222476106229244
2/8/20,0.0,0.0,0.0,99995.8454602693,4.816753147431042,11.337786583269992
2/9/20,0.0,0.0,0.0,99995.46829625292,5.072465357422818,11.459238389657084
2/10/20,0.0,0.0,0.0,99995.07106504674,5.341782341076539,11.587152612193158
2/11/20,0.0,0.0,0.0,99994.65273019101,5.625406726178731,11.721863082809747
2/12/20,0.0,0.0,0.0,99994.21221566401,5.924067957425142,11.863716378567283
2/13/20,0.0,0.0,0.0,99993.74840588192,6.23852229642074,12.013071821655092
2/14/20,0.0,0.0,0.0,99993.25999305949,6.569656082804726,12.170350857717033
2/15/20,0.0,0.0,0.0,99992.7452737209,6.918623437312523,12.336102841802244
2/16/20,0.0,0.0,0.0,99992.20309681358,7.2862049082102915,12.510698278218726
2/17/20,0.0,0.0,0.0,99991.6322443679,7.6732264353909,12.694529196718848
2/18/20,0.0,0.0,0.0,99991.03136508926,8.080604273968856,12.888030636778582
2/19/20,0.0,0.0,0.0,99990.39897435813,8.50934499428031,13.091680647597487
2/20/20,0.0,0.0,0.0,99989.73345423002,8.960545481883052,13.306000288098726
2/21/20,0.0,0.0,0.0,99989.03305343552,9.435392937556509,13.531553626929053
2/22/20,0.0,0.0,0.0,99988.29588738024,9.935164877301753,13.768947742458819
2/23/20,0.0,0.0,0.0,99987.51993814488,10.461229132341495,14.018832722781973
2/24/20,0.0,0.0,0.0,99986.70305448517,11.015043849120085,14.28190166571606
2/25/20,0.0,0.0,0.0,99985.8429518319,11.598157489303514,14.558890678802216
2/26/20,1.0,0.0,0.0,99984.93721229093,12.212208829779414,14.850578879305182
2/27/20,1.0,0.0,0.0,99983.98328464314,12.858926962657055,15.157788394213288
2/28/20,1.0,0.0,0.0,99982.9784843445,13.54013129526735,15.48138436023846
2/29/20,1.0,0.0,0.0,99981.91999352603,14.257731550162852,15.822274923816225
3/1/20,3.0,0.0,0.0,99980.80486099378,15.013727765117752,16.1814112411057
3/2/20,3.0,0.0,0.0,99979.63000222889,15.810210293127884,16.55978747798961
3/3/20,3.0,0.0,0.0,99978.39219938753,16.649359802410725,16.958440810074258
3/4/20,3.0,0.0,0.0,99977.0881013009,17.533447276405376,17.37845142268955
3/5/20,4.0,0.0,0.0,99975.71422347534,18.464834013772602,17.820942510889004
3/6/20,4.0,0.0,0.0,99974.26694809216,19.4459716283948,18.28708027944971
3/7/20,4.0,0.0,0.0,99972.74252400776,20.479402049376,18.778073942872368
3/8/20,13.0,0.0,0.0,99971.13706675358,21.56775752104187,19.29517572538127
3/9/20,15.0,0.0,0.0,99969.44655853615,22.713760602939736,19.839680860924304
3/10/20,15.0,0.0,0.0,99967.666848237,23.920224169838548,20.41292759317296
3/11/20,24.0,0.0,0.0,99965.79365141275,25.190051411728902,21.01629717552231
3/12/20,24.0,0.0,0.0,99963.82205345313,26.526569731107315,21.651376815767506
3/13/20,25.0,0.0,0.0,99961.74407001493,27.935171528814358,22.32075845625478
3/14/20,30.0,0.0,0.0,99959.5548344448,29.41915752808449,23.026008027114973
3/15/20,33.0,0.0,0.0,99957.24972947183,30.9816628876168,23.768607640554837
3/16/20,32.0,1.0,0.0,99954.82356824081,32.626207418015376,24.55022434116553
3/17/20,33.0,1.0,0.0,99952.27059431229,34.3566955817893,25.372710105922657
3/18/20,37.0,1.0,0.0,99949.58448166246,36.177416493352645,26.23810184418622
3/19/20,39.0,1.0,0.0,99946.75833468327,38.09304391902447,27.148621397700666
3/20/20,42.0,1.0,0.0,99943.78468818238,40.108636277028836,28.106675540594846
3/21/20,48.0,1.0,0.0,99940.65550738313,42.22963663749478,29.114855979382053
3/22/20,51.0,3.0,0.0,99937.36218792459,44.461872722456334,30.175939352959993
3/23/20,58.0,3.0,0.0,99933.89555586154,46.81155690585254,31.292887232610788
3/24/20,61.0,9.0,0.0,99930.24586766447,49.285286213527414,32.468846122001004
3/25/20,65.0,10.0,0.0,99926.40281021959,51.89004232322997,33.707147457181605
3/26/20,68.0,11.0,0.0,99922.3555008288,54.63319156461421,35.011307606588005
3/27/20,69.0,14.0,0.0,99918.09248720972,57.52248491923912,36.385027871040016
3/28/20,76.0,14.0,0.0,99913.60174749569,60.56605802056871,37.83219448374189
3/29/20,73.0,18.0,0.0,99908.87069023575,63.77243115397194,39.356878610282294
3/30/20,83.0,20.0,0.0,99903.88615439464,67.15050925672277,40.96333634863433
3/31/20,89.0,21.0,0.0,99898.63440935285,70.7095819180002,42.65600872915549
4/1/20,94.0,23.0,0.0,99893.10115490653,74.45932337888814,44.439521714587734
4/2/20,108.0,26.0,0.0,99887.27152126757,78.40979253237555,46.318686200057414
4/3/20,127.0,28.0,0.0,99881.13006906357,82.57143292335638,48.29849801307533
4/4/20,125.0,36.0,1.0,99874.66078933784,86.95507274862953,50.38413791353668
