,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.47630299162,2.386563263730982,10.137133744654882
1/24/20,0.0,0.0,0.0,99998.85134359528,2.847871684191318,10.300784720539513
1/25/20,0.0,0.0,0.0,99998.1052937506,3.3985604142123997,10.496145835190033
1/26/20,0.0,0.0,0.0,99997.21580484943,4.0551254663558,10.729069684210717
1/27/20,1.0,0.0,0.0,99996.15496715336,4.838167104400586,11.006865742242034
1/28/20,4.0,0.0,0.0,99994.8886056597,5.7729093009734616,11.338485039335872
1/29/20,4.0,0.0,0.0,99993.3762801015,6.88919973754877,11.73452016095553
1/30/20,4.0,0.0,0.0,99991.57128494758,8.221509804448488,12.207205247975722
1/31/20,5.0,0.0,0.0,99989.41661623816,9.8119062852268,12.771477476615264
2/1/20,8.0,0.0,0.0,99986.84705003054,11.708526900356201,13.444423069117311
2/2/20,10.0,0.0,0.0,99983.78760390605,13.966718175585472,14.245677918368123
2/3/20,12.0,0.0,0.0,99980.14090071655,16.658343730220267,15.200755553233897
2/4/20,12.0,0.0,0.0,99975.78701145669,19.871900022630747,16.34108852068859
2/5/20,12.0,0.0,0.0,99970.58345526394,23.71251635025158,17.704028385813935
2/6/20,12.0,0.0,0.0,99964.36519941862,28.30195484958194,19.33284573179941
2/7/20,13.0,0.0,0.0,99956.94465934388,33.77861049618551,21.276730159942268
2/8/20,13.0,0.0,0.0,99948.09527589059,40.309541475386425,23.59518263403486
2/9/20,14.0,0.0,0.0,99937.53839629375,48.10022490472621,26.36137880152734
2/10/20,14.0,0.0,0.0,99924.97757676068,57.369538069787716,29.652885169548995
2/11/20,16.0,0.0,0.0,99910.0218308204,68.4058950779658,33.572274101641554
2/12/20,16.0,0.0,0.0,99892.1814489293,81.57030550156044,38.24824556915111
2/13/20,15.0,1.0,0.0,99870.867998471,97.29637437777683,43.83562715122809
2/14/20,15.0,1.0,0.0,99845.39432375645,116.09030220872528,50.51537403482731
2/15/20,15.0,1.0,0.0,99814.97454602388,138.53088496142126,58.49456901470793
2/16/20,15.0,1.0,0.0,99778.72406343879,165.2695140677854,68.00642249343346
2/17/20,15.0,1.0,0.0,99735.52513902835,197.12595376703882,79.34890720462174
2/18/20,4.0,12.0,0.0,99684.08627605173,235.05128015811732,92.8624437901563
2/19/20,4.0,12.0,0.0,99622.92649234664,280.13890229409185,108.93460535928213
2/20/20,4.0,12.0,0.0,99550.14030710435,333.7896776817742,128.0700152138894
2/21/20,2.0,14.0,0.0,99463.39714544525,397.7123324318769,150.8905221228817
2/22/20,2.0,14.0,0.0,99359.94133841882,473.9234612590136,178.1352003221757
2/23/20,2.0,14.0,0.0,99236.59212300362,564.747527481699,210.66034951470166
2/24/20,2.0,14.0,0.0,99089.74364210726,672.8168630223483,249.43949487040302
2/25/20,3.0,14.0,0.0,98915.35985120396,801.0732700635363,295.56687873250513
2/26/20,12.0,15.0,0.0,98708.56423091883,952.9934628236301,350.4423062575555
2/27/20,30.0,16.0,0.0,98463.42154378186,1132.9434176138898,415.6350386042512
2/28/20,32.0,16.0,0.0,98172.87097345846,1346.1011442943463,493.02788224720064
2/29/20,63.0,16.0,0.0,97828.5978636425,1598.4596479199604,584.9424884375509
