,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.82344627708,2.128685709454601,10.047868013462894
1/24/20,0.0,0.0,0.0,99999.63553297939,2.265651043511686,10.098815977102719
1/25/20,0.0,0.0,0.0,99999.43548420805,2.411461499013235,10.153054292934401
1/26/20,0.0,0.0,0.0,99999.22250247863,2.566698307811417,10.210799213559179
1/27/20,0.0,0.0,0.0,99998.99583352353,2.7319112368251264,10.272255239644771
1/28/20,0.0,0.0,0.0,99998.75464373734,2.907707870589906,10.33764839207569
1/29/20,0.0,0.0,0.0,99998.49801867841,3.0947547028171356,10.40722661878137
1/30/20,0.0,0.0,0.0,99998.22496306887,3.2937771363940325,10.481259794736147
1/31/20,0.0,0.0,0.0,99997.93440079466,3.505559483383649,10.560039721959269
2/1/20,0.0,0.0,0.0,99997.62517490546,3.7309449650248743,10.643880129514898
2/2/20,0.0,0.0,0.0,99997.29604761476,3.9708357117324358,10.733116673512104
2/3/20,0.0,0.0,0.0,99996.9457002998,4.226192763096894,10.828106937104865
2/4/20,0.0,0.0,0.0,99996.57273350163,4.49803606788465,10.929230430492074
2/5/20,0.0,0.0,0.0,99996.17566692505,4.7874444840379375,11.036888590917535
2/6/20,0.0,0.0,0.0,99995.75293943865,5.0955557786748304,11.151504782669956
2/7/20,0.0,0.0,0.0,99995.30290907483,5.423566628089235,11.273524297082961
2/8/20,0.0,0.0,0.0,99994.82385302971,5.772732617750899,11.403414352535085
2/9/20,0.0,0.0,0.0,99994.31396766324,6.144368242305401,11.54166409444977
2/10/20,0.0,0.0,0.0,99993.77136849913,6.539846905574159,11.688784595295369
2/11/20,0.0,0.0,0.0,99993.19394699374,6.960705139996587,11.845347866268831
2/12/20,0.0,0.0,0.0,99992.57885670895,7.409016542217594,12.012126748832337
2/13/20,0.0,0.0,0.0,99991.92403543617,7.88628432524432,12.189680238593162
2/14/20,0.0,0.0,0.0,99991.22732684918,8.394080398692681,12.378592752132871
2/15/20,0.0,0.0,0.0,99990.48629352008,8.934181419714346,12.579525060208102
2/16/20,0.0,0.0,0.0,99989.69821691926,9.508568792996744,12.793214287750578
2/17/20,0.0,0.0,0.0,99988.86009741537,10.119428670763059,13.020473913867104
2/18/20,0.0,0.0,0.0,99987.96865427539,10.769151952772226,13.262193771839563
2/19/20,0.0,0.0,0.0,99987.02032566456,11.46033428631895,13.519340049124926
2/20/20,0.0,0.0,0.0,99986.01126864641,12.195776066233673,13.792955287355237
2/21/20,0.0,0.0,0.0,99984.93735918279,12.978482434882611,14.084158382337627
2/22/20,0.0,0.0,0.0,99983.79419213378,13.811663282167721,14.394144584054308
2/23/20,0.0,0.0,0.0,99982.57708125781,14.69873324552673,14.724185496662571
2/24/20,0.0,0.0,0.0,99981.28105921157,15.643311709933112,15.075629078494787
2/25/20,0.0,0.0,0.0,99979.90087755006,16.649222807896102,15.449899642058416
2/26/20,0.0,0.0,0.0,99978.4310067265,17.720495419460683,15.84849785403599
2/27/20,0.0,0.0,0.0,99976.86563609251,18.86136317220761,16.273000735285127
2/28/20,0.0,0.0,0.0,99975.19867389792,20.07626444125338,16.725061660838527
2/29/20,0.0,0.0,0.0,99973.42374729084,21.36984234925024,17.20641035990397
3/1/20,0.0,0.0,0.0,99971.53420231775,22.74694476638623,17.71885291586432
3/2/20,0.0,0.0,0.0,99969.52310392335,24.21262431038509,18.264271766277517
3/3/20,0.0,0.0,0.0,99967.38323595062,25.772138346506367,18.844625702876584
3/4/20,0.0,0.0,0.0,99965.1071011409,27.430948987545335,19.46194987156963
3/5/20,0.0,0.0,0.0,99962.68539078621,29.195830833610298,20.118778380182796
3/6/20,0.0,0.0,0.0,99960.10526301764,31.07612002379505,20.818616958571656
3/7/20,0.0,0.0,0.0,99957.35869686079,33.077668858438045,21.563634280787785
3/8/20,0.0,0.0,0.0,99954.43695942064,35.20684841073348,22.35619216863881
3/9/20,0.0,0.0,0.0,99951.33009577807,37.47091765461556,23.19898656732183
3/10/20,0.0,0.0,0.0,99948.02692898983,39.878023464758506,24.095047545423405
3/11/20,0.0,0.0,0.0,99944.51506008851,42.43720061657655,25.04773929491957
3/12/20,0.0,0.0,0.0,99940.7808680826,45.15837178622391,26.060760131175808
3/13/20,1.0,0.0,0.0,99936.80950995647,48.05234755059485,27.13814249294709
3/14/20,1.0,0.0,0.0,99932.5849206703,51.13082638732364,28.284252942377826
3/15/20,1.0,0.0,0.0,99928.08981316022,54.40639467478452,29.50379216500191
3/16/20,1.0,0.0,0.0,99923.30567833818,57.892526692091785,30.8017949697427
3/17/20,1.0,0.0,0.0,99918.212785092,61.603584619099735,32.18363028891301
3/18/20,1.0,0.0,0.0,99912.79018028539,65.55481853640266,33.65500117821513
3/19/20,1.0,0.0,0.0,99907.01568875794,69.76236642533487,35.221944816740816
3/20/20,1.0,0.0,0.0,99900.86591332506,74.24325416797072,36.890832506971265
3/21/20,2.0,0.0,0.0,99894.3162347781,79.01539554712448,38.66836967477718
3/22/20,2.0,0.0,0.0,99887.34081188423,84.09759224635053,40.56159586941868
3/23/20,4.0,0.0,0.0,99879.91258138651,89.50953384994327,42.57788476354541
3/24/20,4.0,0.0,0.0,99872.00325800387,95.27179784293699,44.72494415319643
3/25/20,4.0,0.0,0.0,99863.5833344311,101.40584961110608,47.010815957800276
3/26/20,4.0,0.0,0.0,99854.62208133886,107.93404244096494,49.443876220174964
3/27/20,8.0,0.0,0.0,99845.08754737371,114.879617519768,52.03283510652797
3/28/20,8.0,0.0,0.0,99834.94655915804,122.26670393550961,54.78673690645621
3/29/20,16.0,0.0,0.0,99824.16472129013,130.12031867692423,57.71496003294614
3/30/20,22.0,0.0,0.0,99812.69311734637,138.47573779283408,60.83114486079701
3/31/20,22.0,0.0,0.0,99800.47775940098,147.37194862722606,64.15029197179572
4/1/20,30.0,0.0,0.0,99787.4811956362,156.83641597498396,67.68238838881963
4/2/20,52.0,0.0,0.0,99773.66079033173,166.90032705460115,71.4388826136744
4/3/20,71.0,2.0,0.0,99758.96855078443,177.59871319884877,75.43273601672324
4/4/20,106.0,5.0,0.0,99743.35112730834,188.97044985477572,79.67842283688694
4/5/20,116.0,5.0,0.0,99726.74981323465,201.05825658370884,84.19193018164381
4/6/20,123.0,5.0,0.0,99709.10054491172,213.90869706125255,88.99075802702968
4/7/20,139.0,5.0,0.0,99690.33390170507,227.57217907728926,94.09391921763799
4/8/20,159.0,5.0,0.0,99670.3751059974,242.1029545359791,99.52193946661961
4/9/20,183.0,11.0,0.0,99649.14402318856,257.55911945576,105.2968573556831
4/10/20,197.0,15.0,0.0,99626.55516169556,274.00261396934775,111.44222433509445
4/11/20,233.0,17.0,0.0,99602.51767295258,291.4992223237358,117.98310472367723
4/12/20,233.0,17.0,0.0,99576.935351411,310.1185728801956,124.94607570881259
4/13/20,302.0,17.0,0.0,99549.70663453928,329.9341381142761,132.35922734643913
4/14/20,332.0,31.0,0.0,99520.72460282315,351.0232346158044,140.25216256105313
4/15/20,372.0,31.0,1.0,99489.87697976541,373.46702308888524,148.65599714570823
4/16/20,388.0,49.0,1.0,99457.04613188609,397.3505083519011,157.60335976201583
4/17/20,415.0,59.0,3.0,99422.10906872235,422.7625393375123,167.12839194014472
4/18/20,450.0,65.0,3.0,99384.93744282852,449.795809092657,177.26674807882125
4/19/20,487.0,87.0,5.0,99345.39754977613,478.54685477855116,188.0555954453294
4/20/20,495.0,122.0,5.0,99303.3503281538,509.11605767068863,199.5336141755106
4/21/20,555.0,127.0,6.0,99258.6513595674,541.6076431588406,211.7409972737638
4/22/20,591.0,164.0,6.0,99211.1508686399,576.1296807470567,224.7194506130457
4/23/20,686.0,170.0,6.0,99160.69372301147,612.794084053664,238.5121929348702
4/24/20,757.0,191.0,6.0,99107.08703211836,651.7332237573468,253.17974412430385
4/25/20,781.0,208.0,7.0,99050.11936579393,693.0951815803546,268.78545262571805
4/26/20,781.0,208.0,7.0,98989.59717711397,737.0239083040816,285.3789145819492
4/27/20,910.0,246.0,7.0,98925.30936854912,783.6749823326152,303.01564911827603
4/28/20,964.0,269.0,7.0,98857.02725342491,833.2156280801618,321.7571184949332
4/29/20,1031.0,313.0,7.0,98784.50455592186,885.8247159710468,341.6707281071108
4/30/20,1159.0,329.0,7.0,98707.47741107534,941.692762439715,362.8298264849548
5/1/20,1188.0,342.0,7.0,98625.66436477572,1001.0219299307302,385.31370529356684
5/2/20,1174.0,405.0,7.0,98538.76637376823,1064.026026898775,409.20759933300417
5/3/20,1174.0,405.0,7.0,98446.46680565308,1130.9305078086513,434.60268653827984
5/4/20,1251.0,450.0,9.0,98348.43143888537,1201.9724731352803,461.59608797936244
5/5/20,1303.0,498.0,10.0,98244.30846277512,1277.400669363702,490.2908678611763
5/6/20,1248.0,597.0,11.0,98133.72847748733,1357.475488989076,520.7960335236016
5/7/20,1287.0,629.0,11.0,98016.30449404185,1442.46897051668,553.226535441474
5/8/20,1335.0,663.0,11.0,97891.63193431351,1532.6647984619117,587.703267224585
