,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90691243559,2.09218779429781,10.000899770119807
1/24/20,0.0,0.0,0.0,99999.80953420531,2.1886247806368946,10.00184101405403
1/25/20,0.0,0.0,0.0,99999.70765910341,2.289515171430768,10.002825725154098
1/26/20,0.0,0.0,0.0,99999.60106706295,2.395076906237625,10.003856030823153
1/27/20,0.0,0.0,0.0,99999.48955698384,2.505509141248616,10.004933874911389
1/28/20,0.0,0.0,0.0,99999.37291468756,2.6210239847376653,10.006061327713711
1/29/20,0.0,0.0,0.0,99999.25091131104,2.741848087453099,10.007240601505563
1/30/20,0.0,0.0,0.0,99999.12330330684,2.8682226426176456,10.008474050542931
1/31/20,0.0,0.0,0.0,99998.98983244301,3.0004033859284367,10.009764171062345
2/1/20,0.0,0.0,0.0,99998.85022580317,3.1386605955570075,10.011113601280874
2/2/20,0.0,0.0,0.0,99998.70419578646,3.2832790921492947,10.012525121396132
2/3/20,0.0,0.0,0.0,99998.55144010759,3.4345582388256384,10.014001653586273
2/4/20,0.0,0.0,0.0,99998.39164179681,3.592811941180781,10.015546262009996
2/5/20,0.0,0.0,0.0,99998.22446919991,3.758368647283868,10.017162152806542
2/6/20,0.0,0.0,0.0,99998.04957597822,3.9315713476784495,10.018852674095688
2/7/20,0.0,0.0,0.0,99997.86660110865,4.112777575382474,10.020621315977762
2/8/20,0.0,0.0,0.0,99997.67516888358,4.302359405888296,10.022471710533628
2/9/20,0.0,0.0,0.0,99997.47488891102,4.5007034571626745,10.024407631824694
2/10/20,0.0,0.0,0.0,99997.26535611447,4.708210889646766,10.026432995892913
2/11/20,0.0,0.0,0.0,99997.04615073299,4.925297406256133,10.028551860760773
2/12/20,0.0,0.0,0.0,99996.81683832119,5.152393252380743,10.030768426431312
2/13/20,0.0,0.0,0.0,99996.57696974924,5.38994321588496,10.033087034888105
2/14/20,0.0,0.0,0.0,99996.3260812028,5.638406627107557,10.035512170095272
2/15/20,0.0,0.0,0.0,99996.06354399462,5.89840609152619,10.03804991385487
2/16/20,0.0,0.0,0.0,99995.78874621357,6.170547601745311,10.040706184672924
2/17/20,0.0,0.0,0.0,99995.50123557473,6.455279072403218,10.043485352867274
2/18/20,0.0,0.0,0.0,99995.2005139764,6.7530937915023,10.046392232092549
2/19/20,0.0,0.0,0.0,99994.88603733067,7.064530588344667,10.04943208098405
2/20/20,0.0,0.0,0.0,99994.5572155633,7.390173833532142,10.052610603157738
2/21/20,0.0,0.0,0.0,99994.21341261381,7.730653438966273,10.05593394721025
2/22/20,0.0,0.0,0.0,99993.85394643543,8.086644857848322,10.059408706718878
2/23/20,0.0,0.0,0.0,99993.47808899508,8.458869084679268,10.063041920241586
2/24/20,0.0,0.0,0.0,99993.08506627342,8.848092655259812,10.066841071317002
2/25/20,0.0,0.0,0.0,99992.67405826483,9.255127646690369,10.070814088464422
2/26/20,0.0,0.0,0.0,99992.24419897744,9.680831677371074,10.074969345183804
2/27/20,0.0,0.0,0.0,99991.79457643304,10.126107907001781,10.079315659955775
2/28/20,0.0,0.0,0.0,99991.32423266718,10.59190503658206,10.083862296241627
2/29/20,0.0,0.0,0.0,99990.8321637291,11.079217308411202,10.088618962483318
3/1/20,0.0,0.0,0.0,99990.31731968181,11.589084506088211,10.093595812103473
3/2/20,0.0,0.0,0.0,99989.77860460198,12.122591954511813,10.09880344350538
3/3/20,0.0,0.0,0.0,99989.21487658004,12.680870519880454,10.104252900072995
3/4/20,0.0,0.0,0.0,99988.62494772013,13.265096609692293,10.10995567017094
3/5/20,0.0,0.0,0.0,99988.00758414011,13.876492172745209,10.115923687144502
3/6/20,0.0,0.0,0.0,99987.36150597154,14.516324699136801,10.122169329319634
3/7/20,0.0,0.0,0.0,99986.68538735973,15.185907220264385,10.128705420002957
3/8/20,0.0,0.0,0.0,99985.9778564637,15.886598308824993,10.135545227481755
3/9/20,0.0,0.0,0.0,99985.23749545615,16.619802078815376,10.142702465023977
3/10/20,0.0,0.0,0.0,99984.46284052359,17.386968185532005,10.150191290878244
3/11/20,0.0,0.0,0.0,99983.65238186615,18.18959182557107,10.158026308273834
3/12/20,0.0,0.0,0.0,99982.80456369775,19.029213736828474,10.166222565420702
3/13/20,0.0,0.0,0.0,99981.91778424599,19.90742019849984,10.174795555509457
3/14/20,0.0,0.0,0.0,99980.9903957522,20.82584303108051,10.183761216711382
3/15/20,0.0,0.0,0.0,99980.02070447145,21.78615959636555,10.193135932178423
3/16/20,0.0,0.0,0.0,99979.0065881535,22.790471577371367,10.2029402691253
3/17/20,0.0,0.0,0.0,99977.94471065201,23.84208270152582,10.213206646456229
3/18/20,0.0,0.0,0.0,99976.83332143974,24.942726597852804,10.223951962395523
3/19/20,0.0,0.0,0.0,99975.67069161456,26.09411549429787,10.235192891126683
3/20/20,2.0,0.0,0.0,99974.45489501809,27.298156958989296,10.24694802290322
3/21/20,2.0,0.0,0.0,99973.1838082357,28.556953900238085,10.259237864048675
3/22/20,2.0,0.0,0.0,99971.8551105965,29.872804566537972,10.2720848369566
3/23/20,6.0,0.0,0.0,99970.46628417334,31.248202546565416,10.285513280090566
3/24/20,7.0,0.0,0.0,99969.01461378283,32.6858367691796,10.29954944798417
3/25/20,8.0,0.0,0.0,99967.49718698533,34.18859150342244,10.314221511241021
3/26/20,8.0,0.0,0.0,99965.91089408494,35.759546358518584,10.329559556534752
3/27/20,8.0,0.0,0.0,99964.2524281295,37.401976283875385,10.345595586609013
3/28/20,8.0,0.0,0.0,99962.51828491063,39.119351569082966,10.362363520277473
3/29/20,14.0,1.0,0.0,99960.70476296365,40.915337843914116,10.379899192423823
3/30/20,14.0,1.0,0.0,99958.80796356767,42.79379607832441,10.398240354001768
3/31/20,14.0,1.0,0.0,99956.8237907455,44.75878258245211,10.417426672035035
4/1/20,15.0,1.0,0.0,99954.74795126375,46.81454900661825,10.437499729617373
4/2/20,15.0,1.0,0.0,99952.57595463275,48.96554234132653,10.458503025912547
4/3/20,17.0,1.0,0.0,99950.30311310657,51.21640491726343,10.480481976154339
4/4/20,19.0,1.0,0.0,99947.92454168304,53.57197440529813,10.503483911646557
4/5/20,19.0,1.0,1.0,99945.43515810375,56.037283816482535,10.52755807976302
4/6/20,23.0,0.0,1.0,99942.82968285399,58.6175615020513,10.552755643947572
4/7/20,24.0,0.0,1.0,99940.10263916285,61.3182311534218,10.579129683714074
4/8/20,26.0,0.0,1.0,99937.24835300315,64.14491180219412,10.606735194646408
4/9/20,28.0,0.0,2.0,99934.26095309143,67.10341782015108,10.635629088398472
4/10/20,29.0,0.0,2.0,99931.13437088803,70.19975891925823,10.665870192694186
4/11/20,31.0,0.0,2.0,99927.862340597,73.44014015166387,10.697519251327488
4/12/20,30.0,0.0,3.0,99924.43839916613,76.830961909699,10.730638924162333
4/13/20,37.0,0.0,3.0,99920.85588628698,80.37881992587731,10.765293787132702
4/14/20,37.0,0.0,3.0,99917.10794439485,84.09050527289531,10.801550332242588
4/15/20,38.0,0.0,3.0,99913.1875186688,87.97300436363219,10.839476967566005
4/16/20,38.0,0.0,3.0,99909.08735703159,92.03349895114982,10.879144017246988
4/17/20,40.0,0.0,3.0,99904.8000101498,96.27936612869289,10.920623721499592
4/18/20,41.0,0.0,3.0,99900.3178314337,100.71817832968875,10.963990236607886
4/19/20,44.0,0.0,3.0,99895.63296089384,105.35771930608324,11.009319800075692
4/20/20,54.0,0.0,3.0,99890.73056597308,110.21267427032427,11.056759756594568
4/21/20,54.0,0.0,3.0,99885.5979262099,115.29563855645188,11.106435233651885
4/22/20,56.0,2.0,4.0,99880.22763808435,120.6139453338594,11.158416581784568
4/23/20,65.0,2.0,5.0,99874.61135678925,126.175859729383,11.212783481363457
4/24/20,65.0,2.0,5.0,99868.7397962301,131.99057882730165,11.2696249425933
4/25/20,60.0,6.0,6.0,99862.60272902515,138.06823166933714,11.329039305512756
4/26/20,61.0,7.0,6.0,99856.18898650535,144.41987925465406,11.391134239994395
4/27/20,62.0,8.0,6.0,99849.4864587144,151.05751453985982,11.4560267457447
4/28/20,62.0,8.0,6.0,99842.48209440868,157.99406243900467,11.523843152304059
4/29/20,62.0,8.0,6.0,99835.16190105736,165.2433798235816,11.594719119046779
4/30/20,65.0,8.0,8.0,99827.51094484229,172.82025552252645,11.66879963518107
5/1/20,67.0,10.0,8.0,99819.51335065803,180.74041032221788,11.746239019749058
5/2/20,67.0,10.0,8.0,99811.15230211189,189.02049696647742,11.827200921626778
5/3/20,69.0,10.0,9.0,99802.41004152391,197.67810015656926,11.911858319524177
5/4/20,79.0,10.0,11.0,99793.26786992681,206.73173655120047,12.000393521985107
5/5/20,79.0,10.0,12.0,99783.70614706608,216.20085476652105,12.09299816738734
5/6/20,79.0,10.0,12.0,99773.70429139993,226.10583537612362,12.189873223942548
5/7/20,101.0,16.0,12.0,99763.24078009925,236.46799091104373,12.291228989696327
5/8/20,117.0,17.0,12.0,99752.2931490477,247.30956585975974,12.397285092528174
5/9/20,122.0,17.0,12.0,99740.83799284165,258.6537366681928,12.508270490151498
5/10/20,150.0,17.0,15.0,99728.85096479018,270.52461173970676,12.62442347011362
5/11/20,176.0,17.0,16.0,99716.3067769151,282.9472314351085,12.745991649795773
5/12/20,176.0,17.0,16.0,99703.17919995093,295.9475680726475,12.8732319764131
5/13/20,199.0,17.0,18.0,99689.44106334496,309.5525259280163,13.006410727014654
5/14/20,235.0,18.0,20.0,99675.06425525717,323.78994123434995,13.1458035084834
5/15/20,261.0,29.0,20.0,99660.01972256023,338.6885821822266,13.291695257536212
5/16/20,309.0,29.0,20.0,99644.2774708396,354.27814891966693,13.444380240723877
5/17/20,415.0,21.0,20.0,99627.80656439342,370.5892735521346,13.60416205443109
5/18/20,491.0,21.0,21.0,99610.57512623258,387.6535201425362,13.77135362487646
5/19/20,491.0,21.0,21.0,99592.55033808066,405.50338471122075,13.946277208112502
5/20/20,553.0,21.0,22.0,99573.69844037399,424.1722952359805,14.12926439002565
5/21/20,688.0,21.0,25.0,99553.98473226161,443.6946116520502,14.320656086336239
5/22/20,765.0,22.0,25.0,99533.37357160529,464.1056258521078,14.520802542598524
5/23/20,817.0,22.0,26.0,99511.82837497952,485.44156168627353,14.730063334200665
5/24/20,817.0,22.0,26.0,99489.31161767153,507.73957496211074,14.948807366364727
05/25/20,,,,99465.78483368122,531.0377534446257,15.177412874146704
05/26/20,,,,99441.20119384011,555.3824361096855,15.416370050207604
05/27/20,,,,99415.48818626767,580.8453065328617,15.66650719947246
05/28/20,,,,99388.60157701466,607.4701868695628,15.928236115774485
05/29/20,,,,99360.49730806686,635.3007373356238,16.201954597513435
05/30/20,,,,99331.12733021897,664.3845648491465,16.488104931886035
05/31/20,,,,99300.43960307461,694.7732230304998,16.78717389488596
06/01/20,,,,99268.37809504637,726.5222122023191,17.09969275130386
06/02/20,,,,99234.88278335576,759.6909793895068,17.426237254727337
06/03/20,,,,99199.88965403322,794.3429183192324,17.767427647540956
06/04/20,,,,99163.33070191814,830.5453694209317,18.123928660926243
06/05/20,,,,99125.13393065883,868.3696198263078,18.496449514861695
06/06/20,,,,99085.22335271255,907.8909033693308,18.885743918122756
06/07/20,,,,99043.51898934548,949.1884005862366,19.292610068281842
06/08/20,,,,98999.93687063277,992.3452387155296,19.71789065170833
06/09/20,,,,98954.38903545844,1037.4484916979798,20.16247284356855
06/10/20,,,,98906.78353151555,1084.5891801766243,20.62728830782581
06/11/20,,,,98857.02441530599,1133.862271496767,21.113313197240362
06/12/20,,,,98805.01175214065,1185.3666797059793,21.621568153369427
06/13/20,,,,98750.64161613933,1239.2052655540988,22.15311830656719
06/14/20,,,,98693.80609023078,1295.48483649323,22.709073275984796
06/15/20,,,,98634.39326615268,1354.3161466777442,23.290587169570347
06/16/20,,,,98572.28724445165,1415.8138969642803,23.89885858406892
06/17/20,,,,98507.36813448323,1480.0967349117427,24.53513060502253
06/18/20,,,,98439.51205441193,1547.287254781304,25.20069080677018
06/19/20,,,,98368.59113121114,1617.5119975364028,25.896871252447816
06/20/20,,,,98294.47350066327,1690.901450842745,26.62504849398836
06/21/20,,,,98217.02330735957,1767.5900490683027,27.386643572121677
06/22/20,,,,98136.10070470031,1847.716173283316,28.183122016374615
06/23/20,,,,98051.56185489464,1931.4221512602908,29.015993845070966
06/24/20,,,,97963.25892896067,2018.8542574740002,29.886813565331494
06/25/20,,,,97871.04010672544,2110.1627131014843,30.797180173073922
06/26/20,,,,97774.74957682494,2205.5016860220494,31.748737153012932
06/27/20,,,,97674.22753670407,2305.0292908172696,32.74317247866017
06/28/20,,,,97569.31019261669,2408.9075887709855,33.78221861232424
06/29/20,,,,97459.82975962559,2517.3025878693043,34.86765250511072
06/30/20,,,,97345.61446160248,2630.3842428006,36.001295596922134
07/01/20,,,,97226.48853122802,2748.3264549555142,37.18501381645797
07/02/20,,,,97102.29428276369,2871.284909509676,38.42080772663059
07/03/20,,,,96972.99158752018,2999.296992209993,39.711420269826235
07/04/20,,,,96838.34067647519,3132.6000837220804,41.05923980273072
07/05/20,,,,96698.0555491058,3271.4778065649193,42.46664432927236
07/06/20,,,,96551.84735954752,3416.2164911045547,43.93614934792208
07/07/20,,,,96399.42441659421,3567.1051755540975,45.47040785169343
07/08/20,,,,96240.49218369814,3724.4356059737233,47.07221032814261
07/09/20,,,,96074.75327896996,3888.502236270673,48.74448475936843
07/10/20,,,,95901.90747517873,4059.602228199252,50.490296622012366
07/11/20,,,,95721.6516997519,4238.035451360831,52.31284888725847
07/12/20,,,,95533.68003477532,4424.104483203844,54.21548202083346
07/13/20,,,,95337.6837169932,4618.114609023795,56.2016739830067
07/14/20,,,,95133.35113780816,4820.373821963248,58.27504022859014
07/15/20,,,,94920.36784328123,5031.192823011834,60.4393337069384
07/16/20,,,,94698.4165341318,5250.8850210062465,62.698444861948694
