,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.85931972113,2.124876943470051,10.01580333540668
1/24/20,0.0,0.0,0.0,99999.70985583331,2.2575507637917984,10.032593402896705
1/25/20,0.0,0.0,0.0,99999.55102585243,2.398538502246293,10.050435645313101
1/26/20,0.0,0.0,0.0,99999.38222896036,2.548373474634642,10.069397565010691
1/27/20,0.0,0.0,0.0,99999.20290224129,2.7075553615197063,10.08954239718498
1/28/20,0.0,0.0,0.0,99999.01242527457,2.8766348861906224,10.110939839235057
1/29/20,0.0,0.0,0.0,99998.81011873488,3.056215056930706,10.133666208180527
1/30/20,0.0,0.0,0.0,99998.59524439232,3.246951167017451,10.1578044406615
1/31/20,0.0,0.0,0.0,99998.36700511233,3.4495507947225326,10.183444092938595
2/1/20,0.0,0.0,0.0,99998.12454485579,3.664773803311803,10.210681340892936
2/2/20,0.0,0.0,0.0,99997.86694867893,3.893432341045296,10.23961898002616
2/3/20,0.0,0.0,0.0,99997.59324273336,4.136390841177222,10.27036642546041
2/4/20,0.0,0.0,0.0,99997.3023942661,4.394566021955972,10.303039711938332
2/5/20,0.0,0.0,0.0,99996.99331161955,4.668926886624116,10.33776149382309
2/6/20,0.0,0.0,0.0,99996.66484423148,4.960494723418405,10.374661045098346
2/7/20,0.0,0.0,0.0,99996.31578263505,5.270343105569765,10.41387425936828
2/8/20,0.0,0.0,0.0,99995.94485845884,5.599597891303304,10.45554364985757
2/9/20,0.0,0.0,0.0,99995.55074442674,5.949437223838311,10.499818349411408
2/10/20,0.0,0.0,0.0,99995.13205435811,6.32109153138825,10.546854110495493
2/11/20,0.0,0.0,0.0,99994.68734316764,6.715843527160768,10.596813305196033
2/12/20,0.0,0.0,0.0,99994.21468515122,7.135402373897569,10.649912474867524
2/13/20,0.0,0.0,0.0,99993.71216749502,7.581465850515083,10.70636665446244
2/14/20,0.0,0.0,0.0,99993.17829549251,8.055360832158264,10.76634367531548
2/15/20,0.0,0.0,0.0,99992.61136989195,8.558595727097476,10.830034380942777
2/16/20,0.0,0.0,0.0,99992.00948591686,9.092861345648801,10.897652737478422
2/17/20,0.0,0.0,0.0,99991.37053326615,9.660030900174025,10.969435833674451
2/18/20,0.0,0.0,0.0,99990.692196114,10.26216000508065,11.045643880900851
2/19/20,0.0,0.0,0.0,99989.97195311003,10.901486676821891,11.12656021314556
2/20/20,0.0,0.0,0.0,99989.20707737908,11.580431333896676,11.212491287014462
2/21/20,0.0,0.0,0.0,99988.3946365214,12.301596796849637,11.303766681731396
2/22/20,0.0,0.0,0.0,99987.53149261259,13.067768288271127,11.400739099138148
2/23/20,0.0,0.0,0.0,99986.6143022035,13.881913432797207,11.503784363694455
2/24/20,0.0,0.0,0.0,99985.6395163204,14.747182257109648,11.613301422478
2/25/20,0.0,0.0,0.0,99984.60338046488,15.666907189935936,11.72971234518442
2/26/20,0.0,0.0,0.0,99983.50193461381,16.64460306204927,11.853462324127301
2/27/20,0.0,0.0,0.0,99982.33101321949,17.683967106268554,11.985019674238178
2/28/20,0.0,0.0,0.0,99981.08624520946,18.788878957458408,12.124875833066534
2/29/20,0.0,0.0,0.0,99979.76305398668,19.963400652529167,12.273545360779808
3/1/20,0.0,0.0,0.0,99978.3566574294,21.21177663043688,12.431565940163381
3/2/20,0.0,0.0,0.0,99976.86206789118,22.5384337321833,12.599498376620588
3/3/20,0.0,0.0,0.0,99975.274092201,23.94798120081589,12.777926598172714
3/4/20,0.0,0.0,0.0,99973.5873316631,25.44521068142783,12.967457655458992
3/5/20,0.0,0.0,0.0,99971.79618205709,27.03509622115802,13.168721721736606
3/6/20,0.0,0.0,0.0,99969.89444264161,28.723140642997397,13.382416715383286
3/7/20,0.0,0.0,0.0,99967.87196535071,30.518344384715625,13.609690264559925
3/8/20,0.0,0.0,0.0,99965.72209609521,32.42661416723456,13.851289737537728
3/9/20,0.0,0.0,0.0,99963.43867065682,34.453423736012326,14.107905607152329
3/10/20,0.0,0.0,0.0,99961.01461186333,36.605056507146784,14.380331629520876
3/11/20,2.0,0.0,0.0,99958.44192958857,38.88860556737552,14.66946484404204
3/12/20,2.0,0.0,0.0,99955.71172075252,41.31197367407583,14.976305573396004
3/13/20,2.0,0.0,0.0,99952.81416932118,43.883873255264746,15.301957423544476
3/14/20,2.0,0.0,0.0,99949.73854630666,46.61382640959903,15.647627283730678
3/15/20,3.0,0.0,0.0,99946.47320976714,49.51216490637513,16.014625326479354
3/16/20,6.0,0.0,0.0,99943.00560480687,52.59003018552929,16.40436500759676
3/17/20,8.0,0.0,0.0,99939.32226357618,55.85937335763741,16.818363066170676
3/18/20,9.0,0.0,0.0,99935.40880527151,59.33295520391515,17.2582395245704
3/19/20,12.0,0.0,0.0,99931.24993613533,63.02434617621788,17.725717688446743
3/20/20,24.0,0.0,0.0,99926.82944945621,66.9479263970407,18.222624146732038
3/21/20,24.0,0.0,0.0,99922.13022556884,71.11888565951844,18.75088877164014
3/22/20,26.0,0.0,0.0,99917.1342318539,75.55322342742565,19.31254471866641
3/23/20,30.0,0.0,0.0,99911.82252273822,80.26774883517659,19.909728426587748
3/24/20,30.0,0.0,0.0,99906.1752396947,85.28008068782526,20.544679617462545
3/25/20,36.0,0.0,0.0,99900.17161124229,90.6086474610654,21.21974129663074
3/26/20,51.0,0.0,1.0,99893.78995294604,96.27268730123043,21.937359752713764
3/27/20,67.0,0.0,1.0,99887.00766741709,102.29224802529355,22.70008455761458
3/28/20,91.0,3.0,1.0,99879.8012443126,108.68818712086762,23.510568566517673
3/29/20,104.0,3.0,3.0,99872.1462603359,115.48217174620528,24.371567917889028
3/30/20,129.0,3.0,7.0,99864.01737923632,122.69667873019888,25.28594203347617
3/31/20,131.0,3.0,7.0,99855.3883518093,130.35499457238046,26.25665361830813
4/1/20,159.0,3.0,10.0,99846.22979812331,138.48316415424782,27.28703772241876
4/2/20,202.0,3.0,14.0,99836.49293529202,147.12430362317573,28.382761084789376
4/3/20,204.0,3.0,15.0,99826.14585814545,156.30674150566256,29.54740034887809
4/4/20,246.0,3.0,15.0,99815.15857201451,166.0571509693586,30.7842770161193
4/5/20,240.0,6.0,22.0,99803.49686707831,176.4059297906927,32.09720313098425
4/6/20,270.0,6.0,22.0,99791.12231836413,187.38720035487253,33.49048128098102
4/7/20,277.0,6.0,22.0,99777.99228574744,199.03880965588434,34.96890459665454
4/8/20,284.0,6.0,22.0,99764.0599139519,211.402329296493,36.53775675158656
4/9/20,314.0,6.0,23.0,99749.27413254934,224.52305548824225,38.202811962395685
4/10/20,352.0,7.0,23.0,99733.5796559598,238.45000905145434,39.97033498873737
4/11/20,361.0,7.0,24.0,99716.91698345145,253.23593541523036,41.8470811333039
4/12/20,361.0,7.0,25.0,99699.22239914071,268.93730461744985,43.84029624182439
4/13/20,365.0,7.0,25.0,99680.42797199215,285.61431130477126,45.95771670306481
4/14/20,374.0,7.0,26.0,99660.46155581852,303.3308747326316,48.20756944882797
4/15/20,379.0,9.0,31.0,99639.24678928079,322.1546387652466,50.59857195395351
4/16/20,382.0,9.0,35.0,99616.70309588805,342.1569718756107,53.13993223631795
4/17/20,391.0,10.0,41.0,99592.74568399765,363.41296714549696,55.84134885683458
4/18/20,401.0,10.0,46.0,99567.28554681507,386.00144226545706,58.71301091945357
4/19/20,411.0,15.0,46.0,99540.229462394,410.00493953482135,61.76559807116196
4/20/20,406.0,25.0,46.0,99511.4799936363,435.5097258616993,65.01028050198357
4/21/20,419.0,29.0,46.0,99480.93548829203,462.60579276297835,68.45871894497913
4/22/20,434.0,30.0,46.0,99448.49007895941,491.38685636432524,72.12306467624612
4/23/20,441.0,31.0,47.0,99414.03368308488,521.9503574001849,76.01595951491896
4/24/20,478.0,58.0,55.0,99377.45200296304,554.3974612137815,80.15053582316884
4/25/20,503.0,65.0,59.0,99338.62652573666,588.8330577571172,84.54041650620381
4/26/20,503.0,65.0,59.0,99297.43452339675,625.3657615909734,89.19971501226878
4/27/20,521.0,79.0,61.0,99253.74905278243,664.10791188491,94.14303533264547
4/28/20,559.0,79.0,64.0,99207.40134768622,705.2063008446369,99.39235146912672
4/29/20,599.0,73.0,66.0,99158.21307261016,748.8172406711412,104.9696867186806
4/30/20,621.0,79.0,71.0,99106.03064296619,795.0781615618339,110.89119547195675
5/1/20,617.0,112.0,75.0,99050.68501246684,844.1398471079832,117.17514042515762
5/2/20,818.0,116.0,76.0,98991.99166861518,896.1664379419241,123.84189344287381
5/3/20,855.0,118.0,82.0,98929.75063270483,951.3354317370578,130.91393555808415
5/4/20,973.0,122.0,83.0,98863.74645981997,1009.8376832078519,138.41585697215555
5/5/20,1055.0,122.0,93.0,98793.7482388353,1071.8774041098407,146.37435705484322
5/6/20,1230.0,132.0,99.0,98719.50959241607,1137.6721632396245,154.81824434429035
5/7/20,1426.0,154.0,105.0,98640.76867701809,1207.4528864348706,163.7784365470285
5/8/20,1472.0,192.0,107.0,98557.24818288769,1281.463856574312,173.28796053797726
5/9/20,1527.0,195.0,108.0,98468.65533406178,1359.9627135777487,183.38195236044442
5/10/20,1661.0,203.0,108.0,98374.6818883678,1443.2204544060469,194.097657226126
5/11/20,1778.0,206.0,116.0,98275.00413742373,1531.5214330611393,205.47442951510612
5/12/20,1748.0,211.0,121.0,98169.2829066381,1625.1633605860247,217.55373277585704
5/13/20,1895.0,237.0,123.0,98057.16355520998,1724.4573050647691,230.37913972523936
5/14/20,1932.0,253.0,133.0,97938.27597612898,1829.7276916225037,243.9963322485016
5/15/20,2062.0,264.0,134.0,97812.23459617527,1941.3123024254278,258.4531013992806
5/16/20,2149.0,278.0,138.0,97678.63837591957,2059.562276680805,273.79934739960146
5/17/20,2185.0,319.0,142.0,97537.07080972314,2184.8421106369674,290.08707963987723
5/18/20,2312.0,340.0,146.0,97387.09992573776,2317.5296575833127,307.37041667890924
5/19/20,2459.0,349.0,147.0,97228.27828590579,2458.0161278503037,325.705586243887
5/20/20,2459.0,349.0,147.0,97060.14298596012,2606.7060888094716,345.1509252303882
5/21/20,2651.0,397.0,156.0,96882.21565542418,2764.0174648734137,365.76687970237856
5/22/20,2871.0,439.0,167.0,96694.00245761198,2930.3815374957926,387.61600489221235
5/23/20,2871.0,439.0,167.0,96494.994089628,3106.242945171339,410.76296520063136
5/24/20,3302.0,468.0,180.0,96284.76858797386,3291.9554727963655,435.27593922976274
05/25/20,,,,96063.08766137876,3487.6773510638923,461.23498755732885
05/26/20,,,,95829.1584681654,3694.1160850695132,488.72544676506067
05/27/20,,,,95582.13556846285,3912.0272507826376,517.8371807544887
05/28/20,,,,95321.17725159808,4142.1578189729435,548.6649294289491
05/29/20,,,,95045.44553609601,4385.246155210383,581.308308693583
05/30/20,,,,94754.10616967946,4642.022019865175,615.871810455337
05/31/20,,,,94446.3286292692,4913.206568107813,652.4648026229634
06/01/20,,,,94121.2861209839,5199.512349909057,691.2015291070195
06/02/20,,,,93778.15558014017,5501.643310039941,732.201109819868
06/03/20,,,,93416.11767125253,5820.294788071769,775.5875406756775
06/04/20,,,,93034.35678803344,6156.153518376113,821.4896935904212
06/05/20,,,,92632.06105339328,6509.89763012482,870.0413164818781
06/06/20,,,,92208.42231944035,6882.196647290006,921.3810332696327
06/07/20,,,,91762.63616748084,7273.711488644054,975.6523438750745
06/08/20,,,,91293.90190801896,7685.094467759624,1033.0036242213987
06/09/20,,,,90801.42258075673,8116.989293009641,1093.5881262336056
06/10/20,,,,90284.40495459418,8570.031067567306,1157.5639778385012
06/11/20,,,,89742.0595276292,9044.846289406083,1225.0941829646965
06/12/20,,,,89173.60052715766,9542.052851299719,1296.346621542608
06/13/20,,,,88578.24590967331,10062.260040822217,1371.4940495044584
06/14/20,,,,87955.21736086784,10606.068540347864,1450.714098784274
06/15/20,,,,87303.7402956309,11174.070427051207,1534.189277317888
06/16/20,,,,86623.04385804998,11766.84917290707,1622.1069690429385
06/17/20,,,,85912.36092141057,12384.979644690542,1714.6594338988684
06/18/20,,,,85170.92808819606,13029.028103976994,1812.043807826928
06/19/20,,,,84398.02394637319,13699.520859132397,1914.4551944943928
06/20/20,,,,83594.08163623986,14396.02034930549,2021.8980144546256
06/21/20,,,,82758.76349946343,15118.67696041284,2134.5595401237088
06/22/20,,,,81891.24952754402,15868.014147901516,2252.736324554455
06/23/20,,,,80990.88737955704,16644.400609272918,2376.7120111700233
06/24/20,,,,80057.19238215328,17448.050284082783,2506.757333763918
06/25/20,,,,79089.84752955881,18279.02235394117,2643.1301164999913
06/26/20,,,,78088.70348357507,19137.22124251247,2786.075273912442
06/27/20,,,,77053.77857357875,20022.396615515412,2935.8248109058122
06/28/20,,,,75985.25879652193,20934.14338072305,3092.597822754995
06/29/20,,,,74883.49781693198,21871.901687962767,3256.600495105226
06/30/20,,,,73749.01696691161,22834.956929116284,3428.026103972089
07/01/20,,,,72582.50524613883,23822.43973811964,3607.0550157415137
07/02/20,,,,71384.81932186699,24833.325990963218,3793.8546871697763
07/03/20,,,,70156.98352892476,25866.436805691723,3988.5796653835
07/04/20,,,,68900.18986971612,26920.438542404198,4191.371587879652
07/05/20,,,,67615.7980142204,27993.84280325401,4402.359182525551
07/06/20,,,,66305.33529999225,29085.006432448863,4621.658267558854
07/07/20,,,,64970.49673216161,30192.131516250778,4849.371751587572
07/08/20,,,,63613.14498343378,31313.265382976126,5085.589633590062
07/09/20,,,,62235.31039408935,32446.3006029956,5330.389002915018
07/10/20,,,,60839.19097198426,33588.97498873421,5583.834039281493
07/11/20,,,,59427.15239254976,34738.871594671335,5845.976012778878
07/12/20,,,,58001.72799879242,35893.418717340624,6116.8532838669125
07/13/20,,,,56565.61880129416,37049.889895330125,6396.491303375684
