,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.77157341222,2.123833548744374,10.104593039044975
1/24/20,0.0,0.0,0.0,99999.52900403434,2.2553338588552263,10.215662106811223
1/25/20,0.0,0.0,0.0,99999.27136179959,2.3950050335306994,10.333633166871904
1/26/20,0.0,0.0,0.0,99998.99768811124,2.543366643436859,10.458945245328085
1/27/20,0.0,0.0,0.0,99998.70708454323,2.7009057386678372,10.592009718105583
1/28/20,0.0,0.0,0.0,99998.3985618178,2.868158596401587,10.73327958580467
1/29/20,0.0,0.0,0.0,99998.0710376528,3.0457118859856385,10.883250461216944
1/30/20,0.0,0.0,0.0,99997.72333676173,3.234202668937099,11.042460569325323
1/31/20,0.0,0.0,0.0,99997.35419085374,3.4343183989426507,11.211490747304053
2/1/20,0.0,0.0,0.0,99996.96223863363,3.6467969218585568,11.390964444518707
2/2/20,0.0,0.0,0.0,99996.54602580176,3.872426475710653,11.581547722526174
2/3/20,0.0,0.0,0.0,99996.10400505424,4.112045690694355,11.783949255074676
2/4/20,0.0,0.0,0.0,99995.63453608273,4.366543589174656,11.998920328103758
2/5/20,0.0,0.0,0.0,99995.13588557456,4.636859585686121,12.227254839744285
2/6/20,0.0,0.0,0.0,99994.60622721275,4.923983486932898,12.469789300318451
2/7/20,0.0,0.0,0.0,99994.04364167587,5.228955491788708,12.727402832339774
2/8/20,0.0,0.0,0.0,99993.4461166382,5.552866191296854,13.001017170513093
2/9/20,0.0,0.0,0.0,99992.81154676959,5.8968565686702075,13.291596661734577
2/10/20,0.0,0.0,0.0,99992.13773373561,6.262117999291224,13.600148265091711
2/11/20,0.0,0.0,0.0,99991.42238619742,6.6498922507119325,13.927721551863316
2/12/20,0.0,0.0,0.0,99990.66257021688,7.061767929076719,14.275661854033695
2/13/20,0.0,0.0,0.0,99989.8551527244,7.499441575444713,14.645405700159412
2/14/20,0.0,0.0,0.0,99988.99775038105,7.964205966168988,15.038043652781152
2/15/20,0.0,0.0,0.0,99988.08767205293,8.457520414433745,15.454807532630223
2/16/20,0.0,0.0,0.0,99987.12190713214,8.98101706889162,15.89707579897239
2/17/20,0.0,0.0,0.0,99986.09712553673,9.536500913663698,16.366373549607882
2/18/20,0.0,0.0,0.0,99985.00967771078,10.125949768339492,16.864372520871385
2/19/20,0.0,0.0,0.0,99983.85559462439,10.751514287976956,17.392891087632044
2/20/20,0.0,0.0,0.0,99982.6305877736,11.415517963102491,17.953894263293467
2/21/20,0.0,0.0,0.0,99981.3300491805,12.120457119710924,18.54949369979373
2/22/20,0.0,0.0,0.0,99979.94905139312,12.869000919265536,19.181947687605355
2/23/20,0.0,0.0,0.0,99978.48234748557,13.663991358698032,19.85366115573533
2/24/20,0.0,0.0,0.0,99976.92437105786,14.508443270408565,20.567185671725106
2/25/20,0.0,0.0,0.0,99975.26923623608,15.405544322265724,21.325219441650596
2/26/20,0.0,0.0,0.0,99973.51073767227,16.358655017606544,22.13060731012217
2/27/20,0.0,0.0,0.0,99971.64235054448,17.37130869523648,22.986340760284655
2/28/20,1.0,0.0,0.0,99969.65723055675,18.447211529429445,23.89555791381735
2/29/20,1.0,0.0,0.0,99967.54821393914,19.59024252992779,24.861543530933993
3/1/20,3.0,0.0,0.0,99965.30781744767,20.804453541942287,25.887729010382806
3/2/20,6.0,0.0,0.0,99962.9282383644,22.094069246152166,26.97769238944646
3/3/20,11.0,0.0,0.0,99960.40135449736,23.463487158705085,28.135158343942088
3/4/20,26.0,0.0,0.0,99957.71872418057,24.917277631217146,29.36399818822128
3/5/20,34.0,0.0,0.0,99954.87158627405,26.4601838507729,30.668229875170095
3/6/20,43.0,0.0,0.0,99951.84999141221,28.09758327964682,32.05242530813468
3/7/20,50.0,0.0,0.0,99948.63874225096,29.837649388481932,33.52360836054703
3/8/20,50.0,0.0,0.0,99945.22776616659,31.685848383479712,35.086385449920854
3/9/20,58.0,0.0,0.0,99941.60701235385,33.64764354756206,36.74534409858062
3/10/20,68.0,1.0,0.0,99937.76508747827,35.72921927656782,38.5056932451545
3/11/20,84.0,1.0,0.0,99933.68925567616,37.93748107925277,40.373263244574346
3/12/20,102.0,1.0,0.0,99929.36543855463,40.280055577289616,42.35450586807575
3/13/20,133.0,1.0,0.0,99924.77821519153,42.76529050526801,44.45649430319794
3/14/20,155.0,1.0,0.0,99919.91082213551,45.40225471069454,46.68692315378392
3/15/20,158.0,8.0,5.0,99914.74515340602,48.20073815399273,49.05410843998034
3/16/20,180.0,0.0,0.0,99909.26176049325,51.171251908503024,51.56698759823756
3/17/20,219.0,0.0,1.0,99903.4398523582,54.32502816048284,54.23511948130964
3/18/20,244.0,5.0,1.0,99897.25729543263,57.67402020910649,57.068684358254345
3/19/20,324.0,5.0,1.0,99890.6906136191,61.23090246646525,60.078483914433136
3/20/20,404.0,5.0,0.0,99883.71498829091,65.00907045756733,63.27594125151118
3/21/20,450.0,22.0,1.0,99876.30425829219,69.02264082033787,66.67310088745734
3/22/20,531.0,36.0,1.0,99868.43091993783,73.28645130561894,70.28262875654417
3/23/20,551.0,36.0,1.0,99860.06612701347,77.81606077716955,74.1178122093479
3/24/20,595.0,51.0,2.0,99851.17969077558,82.62774921166567,78.19256001274856
3/25/20,679.0,56.0,2.0,99841.74007995136,87.73851769870019,82.52140234992974
3/26/20,718.0,82.0,2.0,99831.71442073883,93.16608844078291,87.11949082037884
3/27/20,791.0,97.0,2.0,99821.06849680677,98.92890475334062,92.0025984398869
3/28/20,847.0,114.0,2.0,99809.76674929472,105.04613106471697,97.18711964054867
3/29/20,883.0,135.0,2.0,99797.77227681306,111.53765291617265,102.69007027076262
3/30/20,927.0,157.0,2.0,99785.04683544287,118.42407696188522,108.52908759523089
3/31/20,935.0,198.0,2.0,99771.54860770807,125.72781587749127,114.72357641443581
4/1/20,993.0,225.0,2.0,99757.21272781794,133.4826847605109,121.30458742154073
4/2/20,1031.0,284.0,4.0,99741.9917497478,141.71440069224946,128.29384955994232
4/3/20,1051.0,309.0,4.0,99725.84021754737,150.4479117563407,135.71187069627572
4/4/20,1017.0,396.0,4.0,99708.70716204302,159.71102138237245,143.58181657459457
4/5/20,1054.0,428.0,4.0,99690.53610083774,169.53438834588675,151.92951081637102
4/6/20,1096.0,460.0,6.0,99671.26503831112,179.95152676837986,160.78343492049575
4/7/20,1021.0,559.0,6.0,99650.82646561941,190.99880611730214,170.17472826327793
4/8/20,977.0,633.0,6.0,99629.14736069548,202.7154512060581,180.1371880984452
4/9/20,954.0,688.0,6.0,99606.14918824885,215.1435421940065,190.70726955714383
4/10/20,917.0,751.0,7.0,99581.7478997656,228.3280145864602,201.9240856479384
4/11/20,840.0,841.0,8.0,99555.8539335085,242.31665923468626,213.8294072568122
4/12/20,804.0,889.0,8.0,99528.37221451692,257.1601223359059,226.4676631471669
4/13/20,770.0,933.0,8.0,99499.20215460687,272.91190543329446,239.8859399598227
4/14/20,723.0,989.0,8.0,99468.237652371,289.62836541598165,254.13398221301844
4/15/20,642.0,1077.0,8.0,99435.36709317853,307.3687145190511,269.26419230241123
4/16/20,587.0,1144.0,8.0,99400.47334917537,326.1950203235405,285.3316305010768
4/17/20,521.0,1224.0,9.0,99363.43377928404,346.17220575644217,302.3940149595095
4/18/20,460.0,1291.0,9.0,99324.12022920366,367.36804909070236,320.511721705622
4/19/20,471.0,1291.0,9.0,99282.39903141002,389.8531839452213,339.7477846447455
4/20/20,401.0,1362.0,10.0,99238.1310051555,413.70109928485374,360.16789555963
4/21/20,351.0,1417.0,10.0,99191.17145646914,438.9881394204082,381.8404041104436
4/22/20,313.0,1462.0,10.0,99141.37017815658,465.7935040086477,404.8363178347731
