,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/17/20,0.0,3.0,0.0,300000.0,5.0,0.0
2/18/20,0.0,3.0,0.0,299999.14355677867,5.583935648803353,0.2725075725460221
2/19/20,0.0,3.0,0.0,299998.18705043447,6.2360948841249755,0.5768546814155624
2/20/20,0.0,3.0,0.0,299997.11893036996,6.9643527668767735,0.9167168631651916
2/21/20,0.0,3.0,0.0,299995.9261194309,7.77762506163482,1.2962555074346587
2/22/20,0.0,3.0,0.0,299994.5939454981,8.685914865135574,1.7201396367336457
2/23/20,0.0,3.0,0.0,299993.1061414873,9.70031260627588,2.193545906441769
2/24/20,0.0,3.0,0.0,299991.44413190434,10.833482049444697,2.722386046178941
2/25/20,0.0,3.0,0.0,299989.58795910457,12.09902954363179,3.3130113518035094
2/26/20,0.0,3.0,0.0,299987.5160166593,13.511685946060155,3.9722973945766324
2/27/20,0.0,3.0,0.0,299985.20310838893,15.08862883328404,4.708262777747757
2/28/20,0.0,3.0,0.0,299982.6204375337,16.84948987750859,5.530072588785632
2/29/20,0.0,3.0,0.0,299979.735606754,18.81635484658982,6.448038399378309
3/1/20,0.0,3.0,0.0,299976.51261813054,21.013763604034637,7.473618265433135
3/2/20,2.0,3.0,0.0,299972.9118731639,23.46871010900084,8.619416727076768
3/3/20,2.0,3.0,0.0,299968.890172775,26.210642416297098,9.89918480865516
3/4/20,25.0,3.0,0.0,299964.39994149207,29.27199019594869,11.328068311963431
3/5/20,27.0,3.0,0.0,299959.3823577843,32.692838367431165,12.924803848221554
3/6/20,28.0,3.0,0.0,299953.7811862903,36.51152747509089,14.707286234580272
3/7/20,31.0,3.0,0.0,299947.5322311288,40.77182343322484,16.695945437953462
3/8/20,36.0,3.0,0.0,299940.559724936,45.525372431587705,18.914902632348685
3/9/20,40.0,3.0,0.0,299932.77632886573,50.83170093539185,21.391970198867206
3/10/20,52.0,4.0,0.0,299924.08313258894,56.75821568530735,24.15865172570396
3/11/20,57.0,4.0,1.0,299914.36965429434,63.38020369746195,27.250142008147584
3/12/20,68.0,4.0,1.0,299903.5138406879,70.78083226344111,30.705327048580394
3/13/20,76.0,4.0,2.0,299891.3820669932,79.05114895028798,34.56678405647841
3/14/20,96.0,4.0,2.0,299877.82913695107,88.29008160050337,38.88078144841132
3/15/20,98.0,13.0,2.0,299862.6982828199,98.60443833204586,43.69727884804251
3/16/20,104.0,13.0,2.0,299845.8089088675,110.11718070430061,49.07391042820389
3/17/20,125.0,14.0,3.0,299826.9371306932,122.98064467710029,55.082224629701436
3/18/20,139.0,14.0,3.0,299805.880892289,137.33265906630737,61.7864486446589
3/19/20,175.0,15.0,4.0,299782.4001419499,153.33686100897904,69.26299704112873
3/20/20,219.0,20.0,5.0,299756.2107744731,171.18678094813566,77.60244457871514
3/21/20,303.0,23.0,4.0,299726.98463115864,191.10584263276064,86.90952620857418
3/22/20,362.0,27.0,7.0,299694.34949980874,213.34736311780046,97.30313707341358
3/23/20,462.0,27.0,10.0,299657.8891147283,238.1945527641647,108.91633250749292
3/24/20,486.0,40.0,10.0,299617.14315672463,265.9605152387261,121.89632803662354
3/25/20,602.0,43.0,12.0,299571.6072531075,296.98824751432045,136.40449937816857
3/26/20,662.0,45.0,20.0,299520.7329776892,331.6506398697465,152.61638244104284
3/27/20,794.0,73.0,20.0,299463.9278507845,370.3504758897663,170.72167332571303
3/28/20,879.0,84.0,24.0,299400.55533921067,413.5204324651049,190.9242283241976
3/29/20,902.0,95.0,27.0,299329.8447380874,461.68178072538524,213.47348118721615
3/30/20,1117.0,102.0,32.0,299250.89827376284,515.4422199661296,238.65950627099915
3/31/20,1239.0,123.0,35.0,299162.8781255704,575.3746612291836,266.7472132003703
4/1/20,1792.0,148.0,58.0,299064.7799957781,642.1632238892576,298.0567803326375
4/2/20,2280.0,191.0,72.0,298955.4271057904,716.6071218969903,332.96577231258226
4/3/20,2303.0,192.0,72.0,298833.4701961486,799.6206637789487,371.90914007246
4/4/20,2767.0,229.0,86.0,298697.38752653036,892.2332526376281,415.3792208319998
4/5/20,3260.0,229.0,99.0,298545.48487575015,995.5893861514523,463.9257380984049
4/6/20,4267.0,375.0,136.0,298375.89554175886,1110.9486565747734,518.1558016663521
4/7/20,4740.0,421.0,150.0,298186.5803416441,1239.6857507378718,578.7339076179921
4/8/20,5232.0,506.0,178.0,297975.3276116301,1383.2904500469558,646.3819383229493
4/9/20,5879.0,620.0,226.0,297739.7532070775,1543.3676304841624,721.8791624383223
4/10/20,6578.0,774.0,246.0,297477.30050248373,1721.6372626075577,806.0622349086832
4/11/20,7189.0,969.0,288.0,297185.1777051584,1919.958722600565,899.8635722410094
4/12/20,7794.0,1080.0,331.0,296859.96875429916,2140.545505475288,1004.4857402255244
4/13/20,8914.0,1181.0,358.0,296498.0826657904,2385.8626655824883,1121.0546686271105
4/14/20,9735.0,1359.0,393.0,296095.4795989827,2658.666163006611,1250.8542380106544
4/15/20,10485.0,1432.0,405.0,295647.5997667495,2962.0238216394882,1395.376411611017
4/16/20,11214.0,1768.0,448.0,295149.3634354866,3299.3153291803374,1556.3212353330318
4/17/20,11825.0,2041.0,486.0,294595.17092511273,3674.2322371357614,1735.5968377515064
4/18/20,12738.0,2463.0,521.0,293978.902609069,4090.7779608197484,1935.319430111222
4/19/20,14202.0,2854.0,559.0,293293.91891431937,4553.267779353675,2157.8133063269324
4/20/20,14674.0,3273.0,592.0,292533.0603213503,5066.328835666301,2405.610842983366
4/21/20,15460.0,3975.0,645.0,291688.647364171,5634.90013649377,2681.4524993352234
4/22/20,16319.0,4370.0,681.0,290752.48063031316,6264.232552379619,2988.2868173071797
4/23/20,17344.0,5012.0,721.0,289715.8407608313,6959.888817674764,3329.270421493883
4/24/20,18252.0,5498.0,780.0,288569.4884503025,7727.7435305375075,3707.768019159955
4/25/20,19519.0,5939.0,825.0,287305.6385269214,8572.092772040392,4127.268701038182
4/26/20,20486.0,6523.0,881.0,285914.82187207637,9498.256046215382,4591.922081708239
4/27/20,21375.0,7137.0,939.0,284381.55972552625,10516.70993578789,5106.730338685806
4/28/20,22569.0,7747.0,1008.0,282690.7822109278,11637.219209406614,5676.998579665538
4/29/20,23546.0,8437.0,1079.0,280827.9612069529,12868.713311450074,6308.325481596978
4/30/20,24641.0,9068.0,1154.0,278779.1103472888,14219.286362026625,7006.60329068455
5/1/20,26027.0,10007.0,1223.0,276530.78502063797,15696.197156974453,7778.017822387566
5/2/20,27557.0,10819.0,1323.0,274070.0823707182,17305.869167861572,8629.048461420227
5/3/20,29339.0,11775.0,1391.0,271384.6412962625,19053.890541985827,9566.46816175161
5/4/20,32024.0,12847.0,1566.0,268462.6424510194,20945.0141023749,10597.34344660569
5/5/20,33565.0,14142.0,1693.0,265292.80824375234,22983.157347786288,11729.034408461313
5/6/20,35871.0,15331.0,1785.0,261864.4028382404,25171.402452707334,12969.194709052226
5/7/20,37686.0,16776.0,1889.0,258167.2321532777,27511.996267355207,14325.771579367047
5/8/20,39823.0,17887.0,1985.0,254191.64386267378,30006.3503176769,15807.00581964929
5/9/20,41406.0,19301.0,2101.0,249929.44978705488,32655.497695734462,17420.05251721063
5/10/20,43980.0,20969.0,2212.0,245378.64289126493,35457.54115801693,19168.8159507181
5/11/20,45925.0,22549.0,2294.0,240539.18471905388,38402.383803258555,21063.43147768753
5/12/20,47457.0,24420.0,2415.0,235414.30500189948,41477.33328330791,23113.361714792554
5/13/20,49104.0,26400.0,2551.0,230010.85473632865,44667.58070012704,25326.564563544285
5/14/20,51379.0,27969.0,2649.0,224339.3061839173,47956.20060579136,27709.49321029128
5/15/20,52773.0,30258.0,2753.0,218413.7528712906,51324.15100248977,30267.09612621957
5/16/20,53553.0,34224.0,2871.0,212251.90959012273,54750.27334252458,33002.81706735263
5/17/20,55878.0,36795.0,3025.0,205875.11239713698,58211.292528311526,35918.595074551435
5/18/20,57939.0,39233.0,3156.0,199308.31861410578,61681.81691237977,39014.864473514375
5/19/20,60864.0,42309.0,3302.0,192580.1068278507,65134.33829737192,42290.554874777314
5/20/20,63172.0,45422.0,3434.0,185722.67689024232,68539.23193604397,45743.09117371359
5/21/20,66089.0,48553.0,3584.0,178771.84991820046,71864.75653126545,49368.393550534005
5/22/20,69244.0,51824.0,3726.0,171767.06829369394,75077.05423601915,53160.877470286796
5/23/20,73170.0,54385.0,3868.0,164751.39566374072,78140.15065340146,57113.45368285768
5/24/20,76820.0,57692.0,4024.0,157771.5169404079,81015.95483662211,61217.52822296985
05/25/20,,,,150877.73830081164,83664.25928900426,65463.00241018394
05/26/20,,,,144116.91897974015,86048.58999882897,69839.4910214308
