,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.40126723013,2.303186952459035,10.295545817412194
1/24/20,0.0,0.0,0.0,99998.71175441126,2.6523409856806173,10.635904603054144
1/25/20,0.0,0.0,0.0,99997.91734345551,3.0546096119775163,11.02804693250665
1/26/20,0.0,0.0,0.0,99997.00294722307,3.5176319305200776,11.479420846413582
1/27/20,0.0,0.0,0.0,99995.95066513937,4.050471083714767,11.998863776912254
1/28/20,0.0,0.0,0.0,99994.73910092801,4.663959006591499,12.596940065387729
1/29/20,0.0,0.0,0.0,99993.34336261071,5.3706964268036455,13.285940962472825
1/30/20,0.0,0.0,0.0,99991.73506250732,6.185052864628024,14.079884628048113
1/31/20,0.0,0.0,0.0,99989.8823172358,7.123166632964906,14.994516131241914
2/1/20,0.0,0.0,0.0,99987.74926866594,8.203185659637686,16.04754567441334
2/2/20,0.0,0.0,0.0,99985.29101471422,9.447819759715614,17.261165526051478
2/3/20,0.0,0.0,0.0,99982.46310824288,10.879576859753604,18.657314897355374
2/4/20,0.0,0.0,0.0,99979.21209334281,12.525520517749658,20.262386139430326
2/5/20,0.0,0.0,0.0,99975.47228085157,14.418890392344005,22.108828756083607
2/6/20,0.0,0.0,0.0,99971.16574835335,16.599102242819107,24.23514940382443
2/7/20,0.0,0.0,0.0,99966.20234017904,19.11174792909965,26.68591189186396
2/8/20,0.0,0.0,0.0,99960.47966740612,22.008595411752545,29.51173718211532
2/9/20,0.0,0.0,0.0,99953.88310785881,25.347588751986944,32.76930338919357
2/10/20,0.0,0.0,0.0,99946.28580610793,29.192848111654225,36.52134578041574
2/11/20,0.0,0.0,0.0,99937.54615995857,33.61590554407906,40.83793449735023
2/12/20,0.0,0.0,0.0,99927.47693078962,38.711004628201444,45.812064582176845
2/13/20,0.0,0.0,0.0,99915.89766589741,44.56957640747082,51.53275769511816
2/14/20,0.0,0.0,0.0,99902.59375716938,51.300272384102286,58.10597044652093
2/15/20,0.0,0.0,0.0,99887.29957202252,59.03723538855435,65.66319258892139
2/16/20,0.0,0.0,0.0,99869.69845340343,67.94009957952908,74.36144701704528
2/17/20,0.0,0.0,0.0,99849.42271978821,78.19399044397193,84.38328976780778
2/18/20,0.0,0.0,0.0,99826.05366518261,90.00952479707189,95.9368100203136
2/19/20,0.0,0.0,2.0,99799.12155912188,103.62281078226142,109.25563009585689
2/20/20,3.0,0.0,2.0,99768.10564667085,119.29544787121641,124.59890545792129
2/21/20,14.0,0.0,4.0,99732.43414842396,137.3145268638563,142.25132471217998
2/22/20,23.0,0.0,5.0,99691.43845840268,158.0125126104913,162.54902898681325
2/23/20,35.0,0.0,8.0,99644.28894115782,181.80048473662197,185.9105741055549
2/24/20,49.0,0.0,12.0,99590.15133476886,209.1036141998983,212.74505103123852
2/25/20,79.0,0.0,16.0,99528.00305811208,240.43684466442966,243.56009722347568
2/26/20,71.0,49.0,19.0,99456.61988207062,276.41049789366525,278.96962003570735
2/27/20,170.0,49.0,26.0,99374.57592953439,317.7302737503942,319.69379671520437
2/28/20,281.0,73.0,34.0,99280.24367540018,365.19725019674524,366.55907440306703
2/29/20,427.0,123.0,43.0,99171.79394657158,419.7078832941872,420.4981701342255
3/1/20,749.0,175.0,54.0,99047.19592195902,482.2540072035285,482.5500708374393
3/2/20,1144.0,291.0,66.0,98904.21713247978,553.9228341849174,553.8600333352979
3/3/20,1968.0,291.0,77.0,98740.42346105793,635.8969545978422,635.6795843442198
3/4/20,2278.0,552.0,92.0,98553.14829700759,729.3818918318166,729.4698111605854
3/5/20,2667.0,739.0,107.0,98339.09548424718,835.9325926973976,836.9719230554018
3/6/20,3710.0,913.0,124.0,98094.370832816,957.5346561071469,960.0945110768471
3/7/20,4009.0,1669.0,145.0,97814.65101033892,1096.2846765210647,1101.0643131400057
3/8/20,4238.0,2134.0,194.0,97495.1844889859,1254.3872763466784,1262.4282346673988
3/9/20,4530.0,2394.0,237.0,97130.79154547196,1434.1551059390422,1447.053348588985
3/10/20,5020.0,2731.0,291.0,96715.8642610571,1638.008843600738,1658.126895342159
3/11/20,5687.0,2959.0,354.0,96244.36652154636,1868.4771955818753,1899.1562828717535
3/12/20,6687.0,2959.0,429.0,95709.83401728986,2128.196896080091,2173.9690866300375
3/13/20,7891.0,2959.0,514.0,95105.37424318273,2419.9127072405486,2486.713049576717
