,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.79032900694,2.1341727203793868,10.075498272669249
1/24/20,0.0,0.0,0.0,99999.56659251083,2.2773460668211363,10.156061422334425
1/25/20,0.0,0.0,0.0,99999.32778958324,2.430160481538801,10.242049935218466
1/26/20,0.0,0.0,0.0,99999.07289599393,2.5932713257189532,10.333832680348841
1/27/20,0.0,0.0,0.0,99998.8009302925,2.7673066474556256,10.431763060040955
1/28/20,0.0,0.0,0.0,99998.51080371096,2.952963149148295,10.53623313989488
1/29/20,0.0,0.0,0.0,99998.2013187813,3.1510070713214566,10.647674147385757
1/30/20,0.0,0.0,0.0,99997.87116933551,3.3622741926246222,10.766556471863797
1/31/20,0.0,0.0,0.0,99997.51894050562,3.5876698298323193,10.89338966455428
2/1/20,0.0,0.0,0.0,99997.1431087236,3.828168837844094,11.028722438557557
2/2/20,0.0,0.0,0.0,99996.74204172146,4.084815609684508,11.17314266884905
2/3/20,0.0,0.0,0.0,99996.31399853122,4.35872407650314,11.327277392279251
2/4/20,0.0,0.0,0.0,99995.85712948485,4.651077707574588,11.491792807573724
2/5/20,0.0,0.0,0.0,99995.36947621437,4.963129510298463,11.667394275333097
2/6/20,0.0,0.0,0.0,99994.84897165177,5.296202030199396,11.854826318033076
2/7/20,0.0,0.0,0.0,99994.29344002905,5.651687350927034,12.05487262002443
2/8/20,0.0,0.0,0.0,99993.7005968782,6.031047094256042,12.268356027533006
2/9/20,0.0,0.0,0.0,99993.06804903125,6.435812420086098,12.496138548659712
2/10/20,0.0,0.0,0.0,99992.39326770575,6.867601198558656,12.739131095701271
2/11/20,0.0,0.0,0.0,99991.67273390014,7.328663336593108,12.998602763275402
2/12/20,0.0,0.0,0.0,99990.90352619263,7.820867936757023,13.275605870608167
2/13/20,0.0,0.0,0.0,99990.08293416597,8.345949921122214,13.571115912913845
2/14/20,0.0,0.0,0.0,99989.20787071984,8.905884973408623,13.886244306746136
2/15/20,0.0,0.0,0.0,99988.27487207102,9.502889538984316,14.22223838999817
2/16/20,0.0,0.0,0.0,99987.28009775323,10.139420824865482,14.580481421902496
2/17/20,0.0,0.0,0.0,99986.21933061726,10.818176799716438,14.962492583031096
2/18/20,0.0,0.0,0.0,99985.08797683085,11.542096193849627,15.369926975295371
2/19/20,0.0,0.0,0.0,99983.88106587883,12.314358499225614,15.804575621946148
2/20/20,0.0,0.0,0.0,99982.59325056298,13.138383969453091,16.26836546757368
2/21/20,0.0,0.0,0.0,99981.21880700211,14.017833619788878,16.76335937810765
2/22/20,0.0,0.0,0.0,99979.75163463205,14.956609227137914,17.29175614081716
2/23/20,0.0,0.0,0.0,99978.18525620563,15.95885333005327,17.855890464310736
2/24/20,1.0,0.0,0.0,99976.51281779273,17.02894922873614,18.458232978536333
2/25/20,1.0,0.0,0.0,99974.72708878019,18.17152098503584,19.10139023478133
2/26/20,5.0,0.0,0.0,99972.82046187187,19.39143342244982,19.78810470567253
2/27/20,7.0,0.0,0.0,99970.7849530887,20.69379212612364,20.52125478517617
2/28/20,7.0,0.0,0.0,99968.61220176856,22.083943442851005,21.303854788597892
2/29/20,13.0,0.0,0.0,99966.29347056634,23.56747448107373,22.139054952582786
3/1/20,19.0,0.0,0.0,99963.819645454,25.150213110881758,23.03014143511535
3/2/20,26.0,0.0,0.0,99961.18123572046,26.838227964013164,23.98053631551952
3/3/20,32.0,0.0,0.0,99958.36784429946,28.638163360464073,24.993992340079068
3/4/20,33.0,0.0,2.0,99955.36323702298,30.560360570111374,26.076402406907224
3/5/20,33.0,0.0,2.0,99952.1559488461,32.612156801375036,27.231894352524233
3/6/20,37.0,0.0,3.0,99948.73501679873,34.8005791660952,28.464404035176887
3/7/20,50.0,0.0,4.0,99945.08786426276,37.133681842850855,29.778453894390523
3/8/20,54.0,0.0,6.0,99941.20030097206,39.62054607695987,31.179152950969005
3/9/20,51.0,3.0,6.0,99937.05652301252,42.27128018047896,32.67219680699473
3/10/20,61.0,3.0,7.0,99932.63911282197,45.09701953220374,34.26386764582862
3/11/20,49.0,15.0,7.0,99927.92903919022,48.10992657766865,35.96103423211014
3/12/20,48.0,15.0,8.0,99922.90565725909,51.32319082914705,37.7711519117573
3/13/20,68.0,24.0,9.0,99917.54670852238,54.75102886565112,39.70226261196661
3/14/20,74.0,26.0,10.0,99911.82832082585,58.40868433293193,41.76299484121314
3/15/20,80.0,26.0,10.0,99905.72500836727,62.3124279434794,43.9625636892505
3/16/20,88.0,26.0,10.0,99899.20967169637,66.47955747652233,46.3107708271108
3/17/20,111.0,32.0,11.0,99892.25359771487,70.92839777802841,48.81800450710472
3/18/20,109.0,43.0,12.0,99884.82645967648,75.67830076070413,51.49523956282144
3/19/20,136.0,43.0,13.0,99876.89631718688,80.74964540399495,54.354037409128686
3/20/20,142.0,49.0,17.0,99868.42961620374,86.16383775408505,57.406546042172735
3/21/20,146.0,51.0,17.0,99859.39118903672,91.94331092389763,60.66550003937837
3/22/20,156.0,57.0,20.0,99849.74425434746,98.11152509309467,64.14422055944893
3/23/20,186.0,57.0,23.0,99839.45041714955,104.69296750807702,67.85661534236625
3/24/20,214.0,75.0,27.0,99828.46966880863,111.71315248198444,71.81717870939077
3/25/20,214.0,103.0,29.0,99816.76038704225,119.19862139469551,76.0409915630614
3/26/20,241.0,105.0,36.0,99804.27933591997,127.17694269282771,80.54372138719559
3/27/20,296.0,122.0,40.0,99790.96826961284,135.68479716676947,85.34693322037617
3/28/20,333.0,131.0,42.0,99776.75935249127,144.76490216765166,90.4757453410709
3/29/20,362.0,143.0,42.0,99761.60447572534,154.44832475149008,95.94719952316379
3/30/20,432.0,152.0,46.0,99745.44913568953,164.77012756062788,101.78073674983604
