,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.04142785189,2.155279811387577,10.803292336726505
1/24/20,0.0,0.0,0.0,99998.00844248243,2.3226052418309036,11.668952275753327
1/25/20,0.0,0.0,0.0,99996.89495781403,2.502958332895387,12.602083853082174
1/26/20,0.0,0.0,0.0,99995.69493208495,2.6973157731615136,13.607752141891929
1/27/20,0.0,0.0,0.0,99994.40204453222,2.906700365679587,14.691255102099678
1/28/20,0.0,0.0,0.0,99993.009247128,3.13225147196887,15.858501400045055
1/29/20,0.0,0.0,0.0,99991.5087645795,3.3752250120175846,17.116010408490247
1/30/20,0.0,0.0,0.0,99989.8920943291,3.6369934642829134,18.47091220662
1/31/20,0.0,0.0,0.0,99988.15000655428,3.9190458656909977,19.930947580041597
2/1/20,0.0,0.0,0.0,99986.27254416759,4.222987811636938,21.50446802078489
2/2/20,0.0,0.0,0.0,99984.24902281672,4.550541455984796,23.20043572730227
2/3/20,0.0,0.0,0.0,99982.06803088447,4.903545511067591,25.028423604468685
2/4/20,0.0,0.0,0.0,99979.71742948874,5.283955247687304,26.99861526358164
2/5/20,0.0,0.0,0.0,99977.18435248254,5.693842495114874,29.12180502236118
2/6/20,0.0,0.0,0.0,99974.45520645397,6.1353956410902,31.409397904949913
2/7/20,0.0,0.0,0.0,99971.5148737106,6.611036521290087,33.874089768103204
2/8/20,0.0,0.0,0.0,99968.34491573292,7.123690563729196,36.53139370335622
2/9/20,0.0,0.0,0.0,99964.9296516268,7.6759038523821665,39.39444452083498
2/10/20,0.0,0.0,0.0,99961.2517963341,8.270478585457457,42.47772508045779
2/11/20,0.0,0.0,0.0,99957.29183440418,8.910564525255811,45.79760107056116
2/12/20,0.0,0.0,0.0,99953.02801999393,9.599658998170263,49.372321007899814
2/13/20,0.0,0.0,0.0,99948.43637686767,10.341606894686134,53.222016237646685
2/14/20,0.0,0.0,0.0,99943.49069839723,11.14060066938104,57.36870093339293
2/15/20,0.0,0.0,0.0,99938.16254756194,12.001180340924877,61.83627209714787
2/16/20,0.0,0.0,0.0,99932.42125694858,12.928233492079837,66.65050955933908
2/17/20,0.0,0.0,0.0,99926.23392875149,13.926995269700399,71.83907597881232
2/18/20,0.0,0.0,0.0,99919.56543477243,15.003048384733328,77.43151684283157
2/19/20,0.0,0.0,0.0,99912.3784164207,16.162323112217685,83.45926046707902
2/20/20,0.0,0.0,0.0,99904.63328471307,17.411097291284808,89.95561799565502
2/21/20,0.0,0.0,0.0,99896.28822027377,18.755996325158343,96.95578340107821
2/22/20,0.0,0.0,0.0,99887.29917333457,20.203993181154196,104.49683348428536
2/23/20,0.0,0.0,0.0,99877.6198637347,21.762408390680598,112.61772787463153
2/24/20,0.0,0.0,0.0,99867.20173520465,23.43891425273388,121.3593505426138
2/25/20,0.0,0.0,0.0,99855.98156607233,25.242758077382707,130.77567585030064
2/26/20,0.0,0.0,0.0,99843.89732924348,27.183582317973745,140.9190884385508
2/27/20,0.0,0.0,0.0,99830.89077125146,29.27106044925496,151.83816829928054
2/28/20,0.0,0.0,0.0,99816.89608063539,31.515886790627892,163.58803257398307
2/29/20,1.0,0.0,0.0,99801.83988794012,33.929776506147654,176.23033555372865
3/1/20,1.0,0.0,0.0,99785.64126571632,36.52546560452294,189.83326867916446
3/2/20,1.0,0.0,0.0,99768.21172852037,39.31671093911602,204.47156054051464
3/3/20,2.0,0.0,0.0,99749.45523291448,42.31829020794274,220.22647687758038
3/4/20,6.0,0.0,0.0,99729.2681774666,45.546001953672516,237.18582057973978
3/5/20,6.0,0.0,0.0,99707.53940275042,49.01666556362835,255.44393168594792
3/6/20,18.0,0.0,0.0,99684.15019134548,52.74812126978681,275.1016873847369
3/7/20,18.0,0.0,0.0,99658.97426783701,56.75923014877806,296.2665020142158
3/8/20,19.0,0.0,0.0,99631.87779881604,61.0698741218858,319.0523270620706
3/9/20,21.0,0.0,0.0,99602.71939287939,65.70095595504735,343.5796511655643
3/10/20,34.0,0.0,0.0,99571.35010062961,70.67439925885358,369.9755001115369
3/11/20,42.0,0.0,1.0,99537.61341467506,76.01314848854898,398.3734368364054
3/12/20,42.0,0.0,1.0,99501.3452696298,81.74116894403153,428.9135614261637
3/13/20,89.0,0.0,1.0,99462.37404211376,87.88344676985287,461.7425111163827
3/14/20,127.0,0.0,2.0,99420.52055075258,94.46598895521815,497.01346029221014
3/15/20,127.0,0.0,2.0,99375.59842472587,101.50703135112357,534.8945439229947
3/16/20,167.0,0.0,2.0,99327.39099507211,109.03040135134266,575.5786035765383
3/17/20,216.0,5.0,2.0,99275.65349538896,117.07866410717939,619.2678405038539
3/18/20,285.0,5.0,2.0,99220.12676202483,125.69411011203616,666.1791278631385
3/19/20,549.0,5.0,3.0,99160.53730202356,134.91860875158838,716.5440892248484
3/20/20,675.0,5.0,3.0,99096.59729312452,144.79360830378442,770.6090985716992
3/21/20,777.0,5.0,3.0,99028.00458376248,155.3601359388457,828.6352802986655
3/22/20,897.0,5.0,4.0,98954.44269306774,166.6587977192666,890.8985092129818
3/23/20,1114.0,5.0,6.0,98875.58081086604,178.7297785998145,957.6894105341414
3/24/20,1317.0,5.0,7.0,98791.07379767857,191.6128424275299,1029.313359893897
3/25/20,1550.0,5.0,9.0,98700.562184722,205.3473319417261,1106.090483336261
3/26/20,1795.0,5.0,19.0,98603.6721739085,219.9721687739896,1188.3556573175044
3/27/20,2094.0,5.0,22.0,98500.01563784566,235.52585344817967,1276.4585087061578
3/28/20,2374.0,5.0,36.0,98389.19011983655,252.0464653804289,1370.7634147830117
3/29/20,2564.0,5.0,46.0,98270.77883387974,269.5716628791426,1471.6495032411142
3/30/20,2851.0,5.0,54.0,98144.35066466923,288.13868314499916,1579.510652185775
3/31/20,3159.0,5.0,71.0,98009.46016759449,307.7843422709501,1694.7554901345611
4/1/20,3357.0,5.0,85.0,97865.64756874047,328.5450352422198,1817.8073960173003
4/2/20,3746.0,5.0,98.0,97712.43876488761,350.45673593630556,1949.1044991760784
4/3/20,4148.0,5.0,120.0,97549.34532351178,373.554997122978,2089.099679365241
4/4/20,4442.0,25.0,137.0,97376.01431628948,397.8385199725224,2238.1471637379896
4/5/20,4811.0,25.0,158.0,97192.37899718217,423.22263781572656,2396.39836500211
4/6/20,5165.0,25.0,174.0,96997.70942814005,449.7679515674415,2564.5226202925064
4/7/20,5474.0,25.0,210.0,96791.27527546929,477.5310980506721,2743.193626480038
4/8/20,5814.0,25.0,235.0,96572.4138046468,506.54878808706303,2933.0374072661416
4/9/20,6286.0,25.0,263.0,96340.52988032026,536.8378064968991,3134.6323131828344
4/10/20,7777.0,25.0,287.0,96095.09596630819,568.395012099105,3348.50902159271
4/11/20,8583.0,25.0,320.0,95835.65212559981,601.1973377112452,3575.150536688941
4/12/20,9296.0,25.0,334.0,95561.8060203552,635.2017901495243,3814.9921894952786
4/13/20,10257.0,25.0,365.0,95273.23291190516,670.3454502287868,4068.421637866052
4/14/20,11048.0,25.0,406.0,94969.67566075131,706.5454727625172,4335.778866486169
4/15/20,12026.0,77.0,444.0,94650.94472656604,743.6990865628395,4617.356186871115
4/16/20,12708.0,77.0,486.0,94316.91816819253,781.6835944405182,4913.398237366953
4/17/20,13373.0,77.0,530.0,93967.54164364471,820.3563732049577,5224.101983150327
4/18/20,14110.0,77.0,571.0,93602.82841010734,859.5548736642018,5549.616716228458
4/19/20,14564.0,77.0,610.0,93222.85932393592,899.0966206249348,5890.044055439145
4/20/20,14888.0,77.0,687.0,92827.78284065674,938.7792128924807,6245.437946450765
4/21/20,6077.0,9233.0,730.0,92417.81501496692,978.3803232708033,6615.804661762273
4/22/20,6669.0,9233.0,769.0,91993.23950073429,1017.6576985625068,7001.102800703205
4/23/20,7580.0,9233.0,794.0,91554.40755099748,1056.349159568835,7401.243289433672
4/24/20,7937.0,9233.0,1014.0,91101.73801796595,1094.1726010896714,7816.089380944363
4/25/20,8265.0,9233.0,1063.0,90635.71735301989,1130.82599192354,8245.45665505655
4/26/20,8942.0,9233.0,1087.0,90156.8996067103,1165.987374867604,8689.11301842208
4/27/20,9313.0,9233.0,1102.0,89665.91959038608,1199.369111509474,9146.711298104443
4/28/20,9485.0,9233.0,1159.0,89163.79190091311,1230.855054736731,9617.35304435015
4/29/20,5677.0,13386.0,1190.0,88651.84794057113,1260.1961328734737,10099.9559265554
4/30/20,5994.0,13386.0,1232.0,88131.4216168714,1287.1501069707879,10593.4282761578
5/1/20,6182.0,13386.0,1265.0,87603.83829313418,1311.5001943128316,11096.661512552982
