,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.5437375161,2.3393697543720124,10.11689272952904
1/24/20,0.0,0.0,0.0,99999.01003221616,2.7363410785718796,10.253626705261905
1/25/20,0.0,0.0,0.0,99998.38547722179,3.2008855247057055,10.413637253486861
1/26/20,0.0,0.0,0.0,99997.655423428,3.7438988894863487,10.600677682490765
1/27/20,0.0,0.0,0.0,99996.80206566543,4.37862415582467,10.819310178741429
1/28/20,0.0,0.0,0.0,99995.80387111788,5.121076413286058,11.075052468816173
1/29/20,0.0,0.0,0.0,99994.6355793225,5.990042858090436,11.374377819401836
1/30/20,0.0,0.0,0.0,99993.26820216958,7.00708279311225,11.724715037294764
1/31/20,2.0,0.0,0.0,99991.66901395048,8.196535016459556,12.13445103305101
2/1/20,2.0,0.0,0.0,99989.79714539727,9.588789590350093,12.61406501237333
2/2/20,2.0,0.0,0.0,99987.60942226925,11.215957527802004,13.174620202936552
2/3/20,2.0,0.0,0.0,99985.05557216625,13.115430821364416,13.828997012369113
2/4/20,2.0,0.0,0.0,99982.07197657181,15.334520803827925,14.593502624346588
2/5/20,2.0,0.0,0.0,99978.58167085318,17.93045814822461,15.487870998591685
2/6/20,2.0,0.0,0.0,99974.49434426129,20.97039286782801,16.53526287087424
2/7/20,3.0,0.0,0.0,99969.70633993082,24.531394316153158,17.762265753011235
2/8/20,3.0,0.0,0.0,99964.10065488017,28.700451186956563,19.19889393286677
2/9/20,3.0,0.0,0.0,99957.5469400114,33.57447151423619,20.87858847435209
2/10/20,3.0,0.0,0.0,99949.88252733542,39.27429691778955,22.843175746787637
2/11/20,3.0,0.0,0.0,99940.92101334124,45.938472376214065,25.140514282531747
2/12/20,3.0,0.0,0.0,99930.46612906495,53.71303148810243,27.82083944693152
2/13/20,3.0,0.0,0.0,99918.26381811031,62.78684146829751,30.949340421379876
2/14/20,3.0,0.0,0.0,99904.00159196742,73.39207882219569,34.606329210371435
2/15/20,3.0,0.0,0.0,99887.30853001274,85.80422934574696,38.88724064150252
2/16/20,3.0,0.0,0.0,99867.75527950906,100.34208812545484,43.90263236547116
2/17/20,3.0,0.0,0.0,99844.85405560554,117.36775953837643,49.77818485607709
2/18/20,3.0,0.0,0.0,99818.05864133764,137.28665725212244,56.65470141022172
2/19/20,3.0,0.0,0.0,99786.76438762722,160.54750422485702,64.6881081479082
2/20/20,3.0,0.0,0.0,99750.19537800553,187.72351525996356,74.08110673448515
2/21/20,19.0,0.0,1.0,99707.493142523,219.4519347295596,85.0549227474145
2/22/20,59.0,1.0,2.0,99657.7050243961,256.4419792431048,97.85299636078207
2/23/20,150.0,2.0,3.0,99599.62536467775,299.58776653460313,112.78686878762491
2/24/20,221.0,1.0,7.0,99531.79548250546,349.9683295622288,130.23618793229318
2/25/20,311.0,1.0,10.0,99452.50367510121,408.8476165083273,150.6487083904501
2/26/20,438.0,3.0,12.0,99359.7852177715,477.674490779414,174.54029144907207
2/27/20,593.0,45.0,17.0,99251.42236390736,558.0827310061754,202.49490508644834
2/28/20,821.0,46.0,21.0,99124.94434498432,651.8910310434684,235.16462397218157
2/29/20,1053.0,46.0,29.0,98977.62649699794,761.1033193864926,273.27018361554724
3/1/20,1577.0,83.0,34.0,98806.21777970069,888.0548281409278,317.7273921583644
3/2/20,1835.0,149.0,52.0,98606.83560583957,1035.6144014963875,369.54999266401535
3/3/20,2263.0,160.0,79.0,98374.97231496286,1207.1324986775267,429.8951863596012
3/4/20,2706.0,276.0,107.0,98105.35402641058,1406.4674056361673,500.17856795323263
3/5/20,3296.0,414.0,148.0,97791.94063931465,1637.9852350513002,582.0741256340298
3/6/20,3916.0,523.0,197.0,97427.92583259878,1906.5599263290815,677.5142410721226
3/7/20,5061.0,589.0,233.0,97005.7370649785,2217.5732456028354,788.6896894186499
3/8/20,6387.0,622.0,366.0,96517.03557496116,2576.9147857330527,918.0496393057606
3/9/20,7985.0,724.0,463.0,95952.71638084597,2990.981966307393,1068.3016528466133
3/10/20,8794.0,724.0,631.0,95302.98469821339,3466.608177685431,1242.4071241011575
3/11/20,10590.0,1045.0,827.0,94559.82867928274,4008.6178960916295,1443.553424625612
3/12/20,13052.0,1045.0,1016.0,93708.82712559988,4627.222359050362,1675.9505153497366
3/13/20,14955.0,1439.0,1266.0,92733.54513174237,5334.077652037527,1944.3772162200755
3/14/20,17750.0,1966.0,1441.0,91618.91674926016,6139.1581102732725,2253.925140466552
3/15/20,20603.0,2335.0,1809.0,90351.2449866755,7050.756318722002,2609.9986946024687
3/16/20,23073.0,2749.0,2158.0,88918.2018094831,8075.483112092372,3018.315078424507
3/17/20,26062.0,2941.0,2503.0,87308.82814014996,9218.267574837286,3484.904285012728
3/18/20,28710.0,4025.0,2978.0,85513.5338581155,10482.357041153908,4016.1091007305718
3/19/20,33190.0,4440.0,3405.0,83524.09779979146,11869.317094983646,4618.585105224856
3/20/20,38549.0,4440.0,4032.0,81333.667758562,13379.031570012165,5299.300671425781
3/21/20,42681.0,6072.0,4825.0,78936.16210404228,15012.200323601646,6063.637572356068
3/22/20,46638.0,7024.0,5476.0,76335.50473568753,16759.05056848185,6917.444695830604
3/23/20,50826.0,7024.0,6077.0,73544.53829028437,18599.42069157513,7868.041018140477
3/24/20,54030.0,8326.0,6820.0,70579.83073379297,20511.20269406873,8920.966572138284
3/25/20,57521.0,9362.0,7503.0,67461.667318519,22470.357306142054,10079.975375338916
3/26/20,62013.0,10361.0,8215.0,64214.0505831137,24450.91398696673,11347.03542991955
3/27/20,66414.0,10950.0,9134.0,60864.70035257377,26424.970924706562,12722.328722719654
3/28/20,70065.0,12384.0,10023.0,57445.05373824148,28362.69503651753,14204.251225240983
3/29/20,73880.0,13030.0,10779.0,53990.265137804556,30232.321968547836,15789.41289364759
3/30/20,75528.0,14620.0,11591.0,50539.206235296326,32000.156095937862,17472.6376687658
3/31/20,77635.0,15729.0,12428.0,47134.46600109557,33630.57052282017,19246.96347608425
4/1/20,80572.0,16847.0,13155.0,43822.350691926615,35086.007082319535,21103.64222575385
4/2/20,83049.0,18278.0,13915.0,40644.59588315406,36334.11195987132,23033.292156974596
4/3/20,85388.0,19758.0,14681.0,37611.391402885405,37373.88503390688,25026.7235632077
4/4/20,88274.0,20996.0,15362.0,34735.280262757056,38205.69048631717,27071.029250925752
4/5/20,91246.0,21815.0,15887.0,32026.716796475164,38831.455900491725,29153.827303033104
4/6/20,93187.0,22837.0,16523.0,29493.021065209934,39255.46434347205,31263.51459131801
4/7/20,94067.0,24392.0,17127.0,27138.378857595657,39484.35436595166,33389.266776452685
4/8/20,95262.0,26491.0,17669.0,24963.841689730696,39527.12000227605,35521.038307993236
4/9/20,96877.0,28470.0,18279.0,22967.326805177523,39395.11077044272,37649.56242437975
4/10/20,98273.0,30455.0,18849.0,21143.617174962663,39102.03167210113,39766.3511529362
4/11/20,100269.0,32534.0,19468.0,19484.36149757672,38663.94319255277,41863.69530987051
4/12/20,102253.0,34211.0,19899.0,17978.074198974395,38099.26130075108,43934.66450027452
4/13/20,103616.0,35435.0,20465.0,16610.135432574458,37428.7574493015,45973.10711812404
4/14/20,104291.0,37130.0,21067.0,15364.81865466334,36673.976413656295,47973.204931680346
4/15/20,105418.0,38092.0,21645.0,14240.224935282105,35844.131331411816,49927.64373330606
4/16/20,106607.0,40164.0,22170.0,13224.919559346336,34953.004438967364,51834.076001686284
4/17/20,106962.0,42727.0,22745.0,12305.573942534253,34015.15915516688,53691.26690229885
4/18/20,107771.0,44927.0,23227.0,11470.378223728061,33043.50142213714,55498.120354134786
4/19/20,108257.0,47055.0,23660.0,10709.041265013944,32049.2797052877,57253.67902969834
4/20/20,108237.0,48877.0,24114.0,10012.79065168207,31042.084993310942,58957.12435500698
4/21/20,107709.0,51600.0,24648.0,9374.372692226585,30029.85079818204,60607.776509591364
4/22/20,107699.0,54543.0,25085.0,8788.052418345615,29018.853155158984,62205.09442649539
4/23/20,106848.0,57576.0,25549.0,8249.613584941279,28013.710622782564,63748.67579227614
4/24/20,106527.0,60498.0,25969.0,7756.358670119668,27017.38428287638,65238.25704700393
4/25/20,105847.0,63120.0,26384.0,7307.10887519085,26031.177740546842,66673.71338426229
4/26/20,106103.0,64928.0,26644.0,6902.204124668888,25054.73712418315,68055.05875114794
4/27/20,105813.0,66624.0,26977.0,6543.5030662718145,24086.051085457333,69382.44584827083
4/28/20,105205.0,68941.0,27359.0,6225.716469012421,23129.594702676157,70656.68882831141
4/29/20,104657.0,71252.0,27682.0,5935.188335684418,22197.137232105102,71879.67443221046
4/30/20,101551.0,75945.0,27967.0,5669.2509181792375,21289.81467308741,73052.93440873333
5/1/20,100943.0,78249.0,28236.0,5425.576787686272,20408.44450496178,74177.97870735193
5/2/20,100704.0,79914.0,28710.0,5202.01636279085,19553.68021322466,75256.30342398447
5/3/20,100179.0,81654.0,28884.0,4996.597909474235,18726.011289530255,76289.39080099549
5/4/20,99980.0,82879.0,29079.0,4807.52754111363,17925.76323169052,77278.70922719584
5/5/20,98467.0,85231.0,29315.0,4633.189218482174,17153.09754367516,78225.71323784265
5/6/20,91528.0,93245.0,29684.0,4472.144749748938,16408.011735611643,79131.8435146394
5/7/20,89624.0,96276.0,29958.0,4323.133790478936,15690.339323785181,79998.52688573586
5/8/20,87961.0,99023.0,30201.0,4185.073843633114,14999.749830638744,80827.17632572813
5/9/20,84842.0,103031.0,30395.0,4057.060259568356,14335.748784773048,81619.19095565857
5/10/20,83324.0,105186.0,30560.0,3938.366236037483,13697.67772094657,82375.95604301592
5/11/20,82488.0,106587.0,30739.0,3828.442818189252,13084.714180075542,83098.84300173518
5/12/20,81266.0,109039.0,30911.0,3726.4308266845082,12496.118518872738,83789.45065444274
5/13/20,78457.0,112541.0,31106.0,3631.0868444232315,11931.463010056585,84449.45014552017
5/14/20,76440.0,115288.0,31368.0,3542.0515214025213,11390.00998539705,85079.93849320042
5/15/20,72070.0,120205.0,31610.0,3458.9926992317637,10871.023064830622,85681.98423593759
5/16/20,70187.0,122810.0,31763.0,3381.582979218887,10373.776889615929,86256.64013116517
5/17/20,68351.0,125176.0,31908.0,3309.4997223703617,9897.557122333725,86804.9431552959
5/18/20,66553.0,127326.0,32007.0,3242.4250493912004,9441.660446886897,87327.91450372188
5/19/20,65129.0,129401.0,32169.0,3180.045840684957,9005.394568500473,87826.55959081455
5/20/20,62752.0,132282.0,32330.0,3122.053736353728,8588.078213721601,88301.86804992465
5/21/20,60960.0,134560.0,32486.0,3068.14513619815,8189.041130419569,88754.81373338227
5/22/20,59322.0,136720.0,32616.0,3018.0211997174047,7807.624087785797,89186.35471249677
5/23/20,57752.0,138840.0,32735.0,2971.387846109212,7443.178876333834,89597.43327755693
5/24/20,56594.0,140479.0,32785.0,2927.9557542698376,7095.068307899363,89988.97593783078
05/25/20,,,,2887.440362794085,6762.6662156402,90361.89342156569
05/26/20,,,,2849.561869975303,6445.357454036292,90717.08067598839
05/27/20,,,,2814.0452338053806,6142.53789888972,91055.41686730488
05/28/20,,,,2780.6201719747482,5853.614447324696,91377.76538070053
05/29/20,,,,2749.0211618723797,5578.005017787563,91684.97382034003
05/30/20,,,,2718.98744058579,5315.1385500467995,91977.87400936738
05/31/20,,,,2690.263004901036,5064.455005193018,92257.28198990593
06/01/20,,,,2662.608219670577,4825.39683590745,92523.99494442195
06/02/20,,,,2636.232748871479,4597.161399203984,92778.60585192453
06/03/20,,,,2611.2658980524197,4379.210412525945,93021.52368942162
06/04/20,,,,2587.6529427646356,4171.178294299013,93253.16876293634
06/05/20,,,,2565.3391685977567,3972.7040255280913,93473.95680587414
06/06/20,,,,2544.269871179807,3783.4311497973076,93684.29897902287
06/07/20,,,,2524.390356177201,3603.0077732700133,93884.60187055277
06/08/20,,,,2505.6459392947463,3431.086564688783,94075.26749601646
06/09/20,,,,2487.981946275644,3267.3247553754154,94256.69329834892
06/10/20,,,,2471.343712901488,3111.3841392309328,94429.27214786757
06/11/20,,,,2455.6765849922626,2962.931072735583,94593.39234227214
06/12/20,,,,2440.925918406347,2821.6364749488334,94749.4376066448
06/13/20,,,,2427.0370790405127,2687.1758275093807,94897.7870934501
