,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88225991967,2.0956750345428325,10.022065045791509
1/24/20,0.0,0.0,0.0,99999.75888761037,2.1959267639265145,10.045185625698887
1/25/20,0.0,0.0,0.0,99999.62960117936,2.3009842462021135,10.069414574450123
1/26/20,0.0,0.0,0.0,99999.49410065073,2.4110912314426844,10.094808117834745
1/27/20,0.0,0.0,0.0,99999.35211246624,2.526470010547789,10.121417523215994
1/28/20,0.0,0.0,0.0,99999.2033440607,2.6473583182808387,10.14929762102505
1/29/20,0.0,0.0,0.0,99999.04748185222,2.7740109659780203,10.178507181802662
1/30/20,0.0,0.0,0.0,99998.88419124226,2.906699841548292,10.209108916199138
1/31/20,0.0,0.0,0.0,99998.71311661556,3.0457139094733856,10.24116947497435
2/1/20,0.0,0.0,0.0,99998.5338813402,3.191359210807807,10.274759448997735
2/2/20,0.0,0.0,0.0,99998.34608776758,3.343958863178833,10.309953369248293
2/3/20,0.0,0.0,0.0,99998.14931723241,3.5038530607865157,10.346829706814587
2/4/20,0.0,0.0,0.0,99997.9431300527,3.6713990744036797,10.385470872894741
2/5/20,0.0,0.0,0.0,99997.72706552983,3.8469712513759227,10.425963218796449
2/6/20,0.0,0.0,0.0,99997.50064194844,4.030961015621614,10.46839703593696
2/7/20,0.0,0.0,0.0,99997.26335657653,4.223776867631898,10.512866555843093
2/8/20,0.0,0.0,0.0,99997.01468566539,4.425844384470691,10.559469950151227
2/9/20,0.0,0.0,0.0,99996.75408444963,4.6376062197746855,10.608309330607305
2/10/20,0.0,0.0,0.0,99996.48098714718,4.85952210375334,10.659490749066837
2/11/20,0.0,0.0,0.0,99996.19480695932,5.092068843188895,10.713124197494889
2/12/20,0.0,0.0,0.0,99995.8949360706,5.335740321436358,10.769323607966095
2/13/20,0.0,0.0,0.0,99995.58074564891,5.59104749842351,10.828206852664653
2/14/20,0.0,0.0,0.0,99995.25158110546,5.858522259143977,10.8898966353975
2/15/20,0.0,0.0,0.0,99994.90650055929,6.138929761462277,10.954569679257803
2/16/20,0.0,0.0,0.0,99994.54472878443,6.432899879821051,11.022371335763925
2/17/20,0.0,0.0,0.0,99994.16561993018,6.740957475332767,11.093422594502643
2/18/20,0.0,0.0,0.0,99993.76846110466,7.0636818691347365,11.167857026213815
2/19/20,0.0,0.0,0.0,99993.35247237483,7.401706842389114,11.245820782790375
2/20/20,0.0,0.0,0.0,99992.91680676644,7.755720636282897,11.32747259727834
2/21/20,0.0,0.0,0.0,99992.4605502641,8.126465952027925,11.41298378387681
2/22/20,0.0,0.0,0.0,99991.9827218112,8.514739950860879,11.502538237937951
2/23/20,0.0,0.0,0.0,99991.48227331,8.921394254043287,11.596332435967025
2/24/20,0.0,0.0,0.0,99990.95808962152,9.347334942861515,11.694575435622365
2/25/20,0.0,0.0,0.0,99990.40898856567,9.793522558626776,11.797488875715382
2/26/20,0.0,0.0,0.0,99989.83372092113,10.260972102675126,11.905306976210575
2/27/20,0.0,0.0,0.0,99989.23097042541,10.750753036367456,12.018276538225512
2/28/20,0.0,0.0,0.0,99988.59935377489,11.26398928108951,12.13665694403085
2/29/20,0.0,0.0,0.0,99987.9374206247,11.801859218251867,12.26072015705032
3/1/20,0.0,0.0,0.0,99987.24365358886,12.365595689289957,12.390750721860735
3/2/20,0.0,0.0,0.0,99986.51646824015,12.956485995664046,12.527045764191987
3/3/20,0.0,0.0,0.0,99985.75421311022,13.575871898859242,12.669914990927047
3/4/20,0.0,0.0,0.0,99984.95516968952,14.225149620385503,12.819680690101967
3/5/20,0.0,0.0,0.0,99984.11755242733,14.905769841777623,12.976677730905877
3/6/20,0.0,0.0,0.0,99983.23950873173,15.619237704595243,13.14125356368099
3/7/20,0.0,0.0,0.0,99982.31911896967,16.367112810422842,13.313768219922594
3/8/20,0.0,0.0,0.0,99981.35439646686,17.15100922086975,13.494594312279059
3/9/20,0.0,0.0,0.0,99980.34328750789,17.97259545757013,13.684117034551832
3/10/20,0.0,0.0,0.0,99979.28367133613,18.833594502182994,13.88273416169545
3/11/20,1.0,0.0,0.0,99978.1733601538,19.735783796392194,14.090856049817514
3/12/20,2.0,0.0,0.0,99977.01009912192,20.680995241906434,14.308905636178716
3/13/20,8.0,0.0,0.0,99975.79156636036,21.671115200459244,14.537318439192823
3/14/20,8.0,0.0,0.0,99974.51537294778,22.708084493809007,14.776542558426685
3/15/20,10.0,0.0,0.0,99973.17843703133,23.794405355844926,15.027157612852935
3/16/20,8.0,2.0,0.0,99971.77623546442,24.933747961718883,15.290016573881276
3/17/20,10.0,2.0,0.0,99970.30633917291,26.128087107638247,15.565573719464945
3/18/20,11.0,2.0,0.0,99968.76624196592,27.37946048498801,15.854297549113092
3/19/20,12.0,2.0,1.0,99967.15315171942,28.69013779991912,16.156710480678786
3/20/20,13.0,2.0,1.0,99965.46399037632,30.06262077334848,16.47338885035901
3/21/20,13.0,2.0,1.0,99963.69539394636,31.499643140958952,16.80496291269467
3/22/20,16.0,2.0,1.0,99961.84371250625,33.00417065319935,17.152116840570578
3/23/20,16.0,2.0,1.0,99959.90501019952,34.57940107528445,17.515588725215466
3/24/20,18.0,2.0,1.0,99957.87506523661,36.22876418719498,17.89617057620198
3/25/20,23.0,2.0,1.0,99955.7493698949,37.95592178367763,18.294708321446684
3/26/20,23.0,2.0,1.0,99953.52313051856,39.764767674245036,18.71210180721006
3/27/20,23.0,2.0,1.0,99951.19126751875,41.65942768317581,19.1493047980965
