,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,2.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,2.0,0.0,0.0,99999.4530421024,2.137540789592212,10.409417108010873
1/24/20,2.0,0.0,0.0,99998.86847356119,2.2845368655948715,10.846989573209623
1/25/20,2.0,0.0,0.0,99998.2435528239,2.4416765999394014,11.314770576161148
1/26/20,3.0,1.0,0.0,99997.57551966507,2.609653335402339,11.814826999527487
1/27/20,3.0,1.0,0.0,99996.86164503529,2.7891532134043624,12.3492017513083
1/28/20,6.0,1.0,0.0,99996.09890233961,2.980936898933452,12.920160761460995
1/29/20,6.0,1.0,0.0,99995.28396689663,3.1858397149283135,13.530193388432833
1/30/20,10.0,1.0,0.0,99994.41321593856,3.4047716422783787,14.182012419160928
1/31/20,14.0,1.0,0.0,99993.4827286111,3.6387173198238045,14.878554069072248
2/1/20,19.0,1.0,0.0,99992.48828597357,3.8887360443554737,15.622977982083604
2/2/20,19.0,1.0,0.0,99991.42537099878,4.155961770614994,16.41866723060167
2/3/20,19.0,1.0,0.0,99990.28916857317,4.4416031112946985,17.269228315522966
2/4/20,21.0,1.0,0.0,99989.07456549673,4.7469433370376475,18.17849116623386
2/5/20,21.0,1.0,0.0,99987.77615048295,5.073340376437628,19.150509140610595
2/6/20,21.0,1.0,0.0,99986.38821415894,5.422226816039148,20.18955902501923
2/7/20,24.0,1.0,0.0,99984.90474906535,5.795109900337444,21.3001410343157
2/8/20,24.0,1.0,0.0,99983.31944965638,6.193571531778478,22.486978811845795
2/9/20,25.0,1.0,0.0,99981.62566800187,6.619279001694373,23.7550529964356
2/10/20,22.0,4.0,0.0,99979.81457639793,7.074430983658595,25.11099261841778
2/11/20,17.0,9.0,0.0,99977.87840995555,7.560974878073145,26.56061516637798
2/12/20,19.0,9.0,0.0,99975.8097826311,8.08077193520966,28.109445433695317
2/13/20,18.0,9.0,1.0,99973.60034181803,8.635922875417133,29.763735306554754
2/14/20,19.0,9.0,1.0,99971.24076834694,9.228767889121915,31.530463763947104
2/15/20,30.0,12.0,1.0,99968.72077648551,9.86188663682771,33.41733687766903
2/16/20,46.0,12.0,1.0,99966.02911393857,10.538098249115583,35.432787812323056
2/17/20,53.0,12.0,1.0,99963.15356184804,11.26046132664395,37.585976825317545
2/18/20,60.0,13.0,1.0,99960.08093479299,12.032273940148585,39.88679126686672
2/19/20,65.0,18.0,1.0,99956.79708078958,12.857073630442615,42.34584557999065
2/20/20,75.0,18.0,1.0,99953.28688129107,13.73863740841653,44.97448130051527
2/21/20,82.0,22.0,1.0,99949.5342511879,14.680981755038168,47.784767057072344
2/22/20,99.0,22.0,1.0,99945.52213880756,15.688362621352729,50.7894985710995
2/23/20,124.0,22.0,1.0,99941.23252591469,16.765275428482767,54.00219865684022
2/24/20,136.0,22.0,1.0,99936.64642771104,17.91645506762819,57.437117221343826
2/25/20,147.0,22.0,1.0,99931.74389283547,19.146875900066263,61.109231264465514
2/26/20,165.0,22.0,2.0,99926.50400336398,20.46175175715161,65.0342448788663
2/27/20,188.0,22.0,4.0,99920.90487480968,21.866535940316204,69.22858925001309
2/28/20,202.0,22.0,4.0,99914.92365612276,23.366921221069383,73.70942265617862
2/29/20,204.0,32.0,5.0,99908.53652969057,24.968839840997838,78.49463046844144
3/1/20,218.0,32.0,6.0,99901.71182024186,26.679951674835504,83.60822808329891
3/2/20,236.0,32.0,6.0,99894.41624109444,28.508387416543634,89.07537148901291
3/3/20,244.0,43.0,6.0,99886.62305884359,30.460977141142116,94.91596401528267
3/4/20,282.0,43.0,6.0,99878.30193058147,32.5454014021963,101.15266801634188
3/5/20,311.0,43.0,6.0,99869.41887146191,34.77019815442097,107.81093038367419
3/6/20,368.0,46.0,6.0,99859.93625470031,37.144762753680354,114.91898254601335
3/7/20,379.0,76.0,6.0,99849.81281157368,39.679347956988124,122.50784046934304
3/8/20,420.0,76.0,6.0,99839.0036314206,42.385063922507385,130.611304656897
3/9/20,425.0,76.0,10.0,99827.4601616413,45.27387820955067,139.26596014915904
3/10/20,470.0,101.0,10.0,99815.13020769756,48.358615778579974,148.51117652386284
3/11/20,506.0,118.0,15.0,99801.9579331128,51.65295899120672,158.38910789599228
3/12/20,505.0,118.0,16.0,99787.88385947203,55.17144761019174,168.9446929177811
3/13/20,564.0,118.0,19.0,99772.84486642184,58.929478799445384,180.2256547787132
3/14/20,633.0,118.0,22.0,99756.77419167045,62.943307124027356,192.28250120552232
3/15/20,699.0,118.0,22.0,99739.60143098766,67.23004455014684,205.1685244621924
