,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.82281704752,2.1165476461896224,10.06063530629926
1/24/20,0.0,0.0,0.0,99999.63530935306,2.23988659834109,10.124804048598415
1/25/20,0.0,0.0,0.0,99999.4368374035,2.3704374739976983,10.192725122510799
1/26/20,0.0,0.0,0.0,99999.22673636502,2.5086375423406975,10.264626092640947
1/27/20,0.0,0.0,0.0,99999.00439530854,2.654888661855444,10.340716029613212
1/28/20,0.0,0.0,0.0,99998.76914530981,2.8096308296559185,10.421223860537662
1/29/20,0.0,0.0,0.0,99998.52025718782,2.9733436679776415,10.50639914420584
1/30/20,0.0,0.0,0.0,99998.25694150473,3.146546424177672,10.59651207109076
1/31/20,0.0,0.0,0.0,99997.97834856591,3.3297979707346075,10.691853463346913
2/1/20,0.0,0.0,0.0,99997.68356841995,3.5236968052485853,10.792734774810256
2/2/20,0.0,0.0,0.0,99997.37163085856,3.728881050441281,10.899488090998226
2/3/20,0.0,0.0,0.0,99997.04150541674,3.9460284541559085,11.012466129109725
2/4/20,0.0,0.0,0.0,99996.69210137262,4.175856389357223,11.132042238025134
2/5/20,0.0,0.0,0.0,99996.32226774757,4.419121854131516,11.258610398306306
2/6/20,0.0,0.0,0.0,99995.93079330612,4.6766214716866195,11.392585222196566
2/7/20,0.0,0.0,0.0,99995.51640655602,4.949191490351904,11.53440195362071
2/8/20,0.0,0.0,0.0,99995.07777574824,5.237707783578278,11.684516468185008
2/9/20,0.0,0.0,0.0,99994.6135088769,5.543085849938191,11.843405273177204
2/10/20,0.0,0.0,0.0,99994.12215367932,5.8662808131256305,12.011565507566516
2/11/20,0.0,0.0,0.0,99993.60219763604,6.208287421956122,12.189514942003628
2/12/20,0.0,0.0,0.0,99993.05206797081,6.570140050366731,12.377791978820706
2/13/20,0.0,0.0,0.0,99992.46983093319,6.953109992562866,12.577059074253008
2/14/20,0.0,0.0,0.0,99991.85318628843,7.358709177260246,12.788104534316554
2/15/20,0.0,0.0,0.0,99991.20051970166,7.787999787328447,13.011480511009982
2/16/20,0.0,0.0,0.0,99990.51004678338,8.242155787736777,13.247797428882723
2/17/20,0.0,0.0,0.0,99989.7797746776,8.72248812538632,13.49773719701427
2/18/20,0.0,0.0,0.0,99989.00750206187,9.230444729109923,13.762053209014171
2/19/20,0.0,0.0,0.0,99988.1908191473,9.767610509672217,14.041570343022034
2/20/20,0.0,0.0,0.0,99987.32710767852,10.335707359769593,14.337184961707521
2/21/20,0.0,0.0,0.0,99986.4135409337,10.936594154030228,14.649864912270356
2/22/20,0.0,0.0,0.0,99985.44708372455,11.572266749014057,14.980649526440322
2/23/20,0.0,0.0,0.0,99984.42449239631,12.244857983212796,15.330649620477253
2/24/20,0.0,0.0,0.0,99983.34231482778,12.956637677049935,15.701047495171048
2/25/20,0.0,0.0,0.0,99982.19689043128,13.710012632880726,16.093096935841658
2/26/20,0.0,0.0,0.0,99980.98435015266,14.507526634992207,16.5081232123391
2/27/20,0.0,0.0,0.0,99979.70061647135,15.351860449603175,16.947523079043435
2/28/20,0.0,0.0,0.0,99978.34140340026,16.24583182486421,17.4127647748648
2/29/20,0.0,0.0,0.0,99976.9022164859,17.192395490857653,17.905388023243376
3/1/20,0.0,0.0,0.0,99975.37835280826,18.194643159597632,18.427004032149405
3/2/20,0.0,0.0,0.0,99973.76490098088,19.255803525030032,18.97929549408319
3/3/20,0.0,0.0,0.0,99972.0567411509,20.37924226303252,19.564016586075084
3/4/20,0.0,0.0,0.0,99970.2485449989,21.568462031414533,20.182992969685507
3/5/20,0.0,0.0,0.0,99968.33477573907,22.82710246991728,20.83812179100494
3/6/20,0.0,0.0,0.0,99966.30968811913,24.158940200213742,21.53137168065391
3/7/20,0.0,0.0,0.0,99964.16732842031,25.567888825908668,22.264782753783003
3/8/20,0.0,0.0,0.0,99961.90153445739,27.057998932538585,23.04046661007287
3/9/20,0.0,0.0,0.0,99959.50433538517,28.63449975637847,23.861164858458075
3/10/20,0.0,0.0,0.0,99956.9650966327,30.304359127379985,24.730544239919816
3/11/20,0.0,0.0,0.0,99954.2773876047,32.07181419913266,25.650798196163432
3/12/20,0.0,0.0,0.0,99951.43418594544,33.94149073406594,26.624323320486795
3/13/20,0.0,0.0,0.0,99948.4275737617,35.918600765896386,27.653825472404975
3/14/20,0.0,0.0,0.0,99945.24873762272,38.00894259962767,28.742319777650224
3/15/20,0.0,0.0,0.0,99941.88796856027,40.218900811550604,29.893130628171992
3/16/20,0.0,0.0,0.0,99938.33466206862,42.5554462492431,31.109891682136926
3/17/20,0.0,0.0,0.0,99934.5773181045,45.02613603157019,32.39654586392886
3/18/20,3.0,0.0,0.0,99930.60354108717,47.63911354868402,33.75734536414881
3/19/20,3.0,0.0,0.0,99926.40003989836,50.403108462023894,35.196851639615005
3/20/20,6.0,0.0,0.0,99921.95262788232,53.32743670431616,36.71993541336285
3/21/20,14.0,0.0,0.0,99917.24622284577,56.422000479574365,38.331776674644935
3/22/20,14.0,0.0,0.0,99912.26484705797,59.6972882630991,40.03786467893107
3/23/20,16.0,0.0,0.0,99906.99162725061,63.16437480147813,41.843997947908235
3/24/20,42.0,0.0,0.0,99901.40879461794,66.83492111258633,43.7562842694806
3/25/20,44.0,0.0,0.0,99895.49768481664,70.72117448558566,45.781140697769544
3/26/20,44.0,0.0,0.0,99889.23873796596,74.83596848092523,47.92529355311362
3/27/20,58.0,0.0,0.0,99882.61149864759,79.19272293034126,50.195778422068585
3/28/20,58.0,0.0,0.0,99875.59461590573,83.8054439368571,52.599940157407374
3/29/20,84.0,0.0,0.0,99868.1658432471,88.68872387478318,55.14543287812013
3/30/20,91.0,3.0,0.0,99860.30203864088,93.85774138971709,57.84021996941418
3/31/20,104.0,3.0,0.0,99851.97916451874,99.32826139854352,60.69257408271405
4/1/20,108.0,3.0,0.0,99843.1722877749,105.11663508943427,63.711077135661455
4/2/20,111.0,5.0,0.0,99833.85557976604,111.23979992184829,66.90462031211527
4/3/20,123.0,6.0,1.0,99824.00231631132,117.71527962653161,70.28240406215164
4/4/20,134.0,9.0,1.0,99813.58487769242,124.5611842055174,73.85393810206381
4/5/20,137.0,9.0,1.0,99802.56774011071,131.80058486530936,77.63167502397675
4/6/20,179.0,33.0,4.0,99790.90311815895,139.46432648773964,81.63255535330292
4/7/20,191.0,33.0,4.0,99778.56079470181,147.57243620668777,85.86676909149558
4/8/20,233.0,33.0,4.0,99765.50799386973,156.14661116340602,90.34539496686197
4/9/20,241.0,35.0,4.0,99751.70809851887,165.2110166706895,95.08088481044572
4/10/20,258.0,35.0,5.0,99737.1206502311,174.79228621287618,100.08706355602689
4/11/20,290.0,44.0,5.0,99721.70134931403,184.9195214458469,105.37912924012201
4/12/20,318.0,54.0,5.0,99705.40205480099,195.6242921970253,110.973653001984
4/13/20,347.0,67.0,5.0,99688.17078445102,206.94063646537802,116.88857908360225
4/14/20,354.0,71.0,5.0,99669.95171474888,218.90506042141436,123.14322482970252
4/15/20,366.0,78.0,5.0,99650.68518090507,231.55653840718668,129.75828068774706
4/16/20,370.0,91.0,5.0,99630.30767685578,244.93651293629,136.75581020793453
4/17/20,370.0,114.0,5.0,99608.75185526293,259.08889469386236,144.15925004320002
4/18/20,371.0,130.0,5.0,99585.9465275142,274.0600625365846,151.99340994921502
4/19/20,416.0,133.0,5.0,99561.81666372293,289.89886349268045,160.2844727843875
4/20/20,360.0,201.0,7.0,99536.28339272822,306.6566127619164,169.05999450986184
4/21/20,367.0,216.0,7.0,99509.26400209487,324.3870937156019,178.34890418951886
4/22/20,351.0,254.0,7.0,99480.67193811343,343.14655789658923,188.18150398997577
4/23/20,321.0,302.0,8.0,99450.41680580014,362.99372501927354,198.58946918058624
4/24/20,312.0,345.0,8.0,99418.40436889697,383.98978296959274,209.60584813344036
4/25/20,312.0,345.0,8.0,99384.53654987161,406.1983878050278,221.2650623233647
4/26/20,304.0,370.0,8.0,99348.71142991747,429.68566375460244,233.60290632792226
4/27/20,292.0,395.0,8.0,99310.8232489537,454.520203218883,246.65654782741228
4/28/20,284.0,416.0,8.0,99270.76240562515,480.7730667699792,260.4645276048707
4/29/20,284.0,437.0,8.0,99228.41545730238,508.5177831515432,275.06675954606976
4/30/20,276.0,462.0,8.0,99183.66512008171,537.8303492787702,290.5045306395182
5/1/20,244.0,504.0,8.0,99136.39026878514,568.7892302383981,306.8205009764609
5/2/20,234.0,527.0,8.0,99086.46060309584,601.4769452685083,324.06245163565455
5/3/20,221.0,564.0,10.0,99033.70674981059,635.9922534041884,342.30099678523055
5/4/20,245.0,575.0,10.0,98977.9749296531,672.4370219379778,361.58804840893094
