,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.85079668098,2.106716433320194,10.042486885693629
1/24/20,0.0,0.0,0.0,99999.6936324078,2.219126804355366,10.087240787833537
1/25/20,0.0,0.0,0.0,99999.52805758137,2.3375526637476267,10.13438975486925
1/26/20,0.0,0.0,0.0,99999.35359904486,2.462332406978888,10.18406854814842
1/27/20,0.0,0.0,0.0,99999.16982771462,2.593772931962883,10.236399353404751
1/28/20,0.0,0.0,0.0,99998.97627847678,2.732206902812007,10.291514620392862
1/29/20,0.0,0.0,0.0,99998.77244780905,2.8779944499040933,10.349557741026661
1/30/20,0.0,0.0,0.0,99998.55779378072,3.031523169882408,10.410683049379335
1/31/20,0.0,0.0,0.0,99998.33173605266,3.193208125655654,10.475055821683354
2/1/20,0.0,0.0,0.0,99998.09365587727,3.3634918463979675,10.542852276330473
2/2/20,0.0,0.0,0.0,99997.84289609856,3.542844327548922,10.614259573871726
2/3/20,0.0,0.0,0.0,99997.57876115215,3.731763030813524,10.689475817017433
2/4/20,0.0,0.0,0.0,99997.30051706519,3.9307728841622165,10.768710050637194
2/5/20,0.0,0.0,0.0,99997.0073914564,4.140426281830877,10.852182261759893
2/6/20,0.0,0.0,0.0,99996.6985735361,4.361303084320818,10.940123379573697
2/7/20,0.0,0.0,0.0,99996.37321410616,4.594010618398787,11.032775275426053
2/8/20,0.0,0.0,0.0,99996.03042556006,4.839183677096971,11.130390762823694
2/9/20,0.0,0.0,0.0,99995.66928188285,5.097484519712982,11.233233597432633
2/10/20,0.0,0.0,0.0,99995.2888186511,5.369602871809876,11.341578477078167
2/11/20,0.0,0.0,0.0,99994.88803303303,5.6562559252161435,11.455711041744877
2/12/20,0.0,0.0,0.0,99994.46588378839,5.958188338025704,11.575927873576621
2/13/20,0.0,0.0,0.0,99994.02129126851,6.276172234597919,11.702536496876546
2/14/20,0.0,0.0,0.0,99993.55298051212,6.6111192318194165,11.835900256048058
2/15/20,0.0,0.0,0.0,99993.05930606529,6.964205549634357,11.97648838507301
2/16/20,0.0,0.0,0.0,99992.53915836778,7.33622490977624,12.124616722434656
2/17/20,0.0,0.0,0.0,99991.99135655959,7.728022040727884,12.280621399667375
2/18/20,0.0,0.0,0.0,99991.4145897335,8.14053462093236,12.444875645558458
2/19/20,0.0,0.0,0.0,99990.80741693504,8.574793278792992,12.617789786148114
2/20/20,0.0,0.0,0.0,99990.16826716259,9.031921592673346,12.799811244729465
2/21/20,1.0,0.0,0.0,99989.49543936725,9.513136090897245,12.991424541848557
2/22/20,1.0,0.0,0.0,99988.78710245294,10.019746251748762,13.193151295304345
2/23/20,1.0,0.0,0.0,99988.04129527637,10.553154503472214,13.405550220148701
2/24/20,1.0,0.0,0.0,99987.25592664703,11.114856224272177,13.629217128686415
2/25/20,1.0,0.0,0.0,99986.42877532721,11.70643974231347,13.864784930475196
2/26/20,2.0,0.0,0.0,99985.55749003195,12.329586335721164,14.11292363232566
2/27/20,2.0,0.0,0.0,99984.6395894291,12.986070232580579,14.37434033830135
2/28/20,2.0,0.0,0.0,99983.67246213934,13.67775861093729,14.64977924971872
2/29/20,4.0,0.0,0.0,99982.65336673605,14.40661159879712,14.940021665147135
3/1/20,10.0,0.0,0.0,99981.57943174546,15.174682274126134,15.24588598040889
3/2/20,13.0,0.0,0.0,99980.44765564657,15.98411666485066,15.568227688579181
3/3/20,13.0,0.0,0.0,99979.25490687115,16.83715374885727,15.907939379986129
3/4/20,12.0,1.0,0.0,99977.99792380379,17.736125453992777,16.26595074221077
3/5/20,15.0,1.0,0.0,99976.67331478184,18.683456658064266,16.643228560087053
3/6/20,21.0,1.0,0.0,99975.27755809545,19.681665188839055,17.040776715701845
3/7/20,21.0,1.0,0.0,99973.80700198756,20.733361824044714,17.459636188394935
3/8/20,31.0,1.0,0.0,99972.25786465386,21.841250291369064,17.90088505475902
3/9/20,31.0,1.0,0.0,99970.6262342429,23.00812726846018,18.36563848863971
3/10/20,39.0,1.0,1.0,99968.90806885593,24.236882382926385,18.855048761135546
3/11/20,57.0,1.0,3.0,99967.09919654706,25.53049821233625,19.370305240597972
3/12/20,57.0,1.0,3.0,99965.19463192759,26.892535620779487,19.91283245161739
3/13/20,73.0,1.0,3.0,99963.18661298935,28.328529196138522,20.48485781450453
3/14/20,89.0,1.0,3.0,99961.07060118744,29.841727174378946,21.087671638167766
3/15/20,106.0,1.0,3.0,99958.84207591273,31.43536670678494,21.722557380476474
3/16/20,106.0,1.0,3.0,99956.49595713547,33.1130837914635,22.39095907305718
3/17/20,114.0,3.0,3.0,99954.02660540535,34.87891327334442,23.094481321293596
3/18/20,127.0,3.0,3.0,99951.42782185148,36.7372888441803,23.834889304326612
3/19/20,149.0,4.0,4.0,99948.69284818239,38.693043042546535,24.61410877505428
3/20/20,155.0,4.0,4.0,99945.81436668601,40.751407253841336,25.434226060131838
3/21/20,179.0,4.0,4.0,99942.78450022974,42.91801171028572,26.29748805997169
3/22/20,236.0,8.0,4.0,99939.59481226033,45.198885490923495,27.206302248743416
3/23/20,255.0,8.0,4.0,99936.236306804,47.60045652162128,28.16323667437377
3/24/20,306.0,8.0,4.0,99932.69942846638,50.12955157506852,29.171019958546687
3/25/20,307.0,20.0,6.0,99928.9740624325,52.79339627077742,30.232541296703257
3/26/20,339.0,23.0,6.0,99925.04953446686,55.59961507508302,31.350850458041766
3/27/20,356.0,27.0,8.0,99920.91461091333,58.55623130114317,32.52915778551767
3/28/20,374.0,30.0,8.0,99916.55749869521,61.67166710893851,33.77083419584358
3/29/20,398.0,30.0,10.0,99911.96584531522,64.95474350527246,35.0794111794893
