,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88128655075,2.073344463260167,10.045368985990962
1/24/20,0.0,0.0,0.0,99999.75821977253,2.1493784771083493,10.092401750367836
1/25/20,0.0,0.0,0.0,99999.63063603106,2.2282031312960218,10.141160837652833
1/26/20,0.0,0.0,0.0,99999.49835931297,2.309927160082015,10.19171352695264
1/27/20,0.0,0.0,0.0,99999.36122612991,2.394651566595485,10.244122303487712
1/28/20,0.0,0.0,0.0,99999.2190660662,2.4824816332336592,10.298452300567533
1/29/20,0.0,0.0,0.0,99999.07169991948,2.5735280695956746,10.354772010926068
1/30/20,0.0,0.0,0.0,99998.9189397008,2.6679070124825763,10.413153286721759
1/31/20,0.0,0.0,0.0,99998.76058863457,2.7657400258973195,10.473671339537525
2/1/20,0.0,0.0,0.0,99998.59644115857,2.8671541010447665,10.536404740380764
2/2/20,0.0,0.0,0.0,99998.42628292399,2.97228165633169,10.601435419683352
2/3/20,0.0,0.0,0.0,99998.24989079533,3.0812605373667705,10.66884866730164
2/4/20,0.0,0.0,0.0,99998.06703285052,3.194234016960599,10.738733132516463
2/5/20,0.0,0.0,0.0,99997.87746838084,3.3113507951256724,10.811180824033128
2/6/20,0.0,0.0,0.0,99997.68094789094,3.432764999076401,10.886287109981424
2/7/20,0.0,0.0,0.0,99997.47721309886,3.5586361832290994,10.964150717915613
2/8/20,0.0,0.0,0.0,99997.26599693598,3.689129329201994,11.044873734814441
2/9/20,0.0,0.0,0.0,99997.0470235471,3.8244148458152187,11.128561607081128
2/10/20,0.0,0.0,0.0,99996.82000829036,3.9646685690908168,11.215323140543372
2/11/20,0.0,0.0,0.0,99996.5846577373,4.1100717622527405,11.305270500453352
2/12/20,0.0,0.0,0.0,99996.34066967279,4.2608111157268524,11.39851921148772
2/13/20,0.0,0.0,0.0,99996.08773309512,4.41707874714092,11.49518815774761
2/14/20,0.0,0.0,0.0,99995.82552821592,4.579072201324623,11.59539958275863
2/15/20,0.0,0.0,0.0,99995.55372646022,4.74699445030955,11.69927908947087
2/16/20,0.0,0.0,0.0,99995.271889983,4.92111582428234,11.806994192704503
2/17/20,0.0,0.0,0.0,99994.97958537213,5.101703935249314,11.918710692622415
2/18/20,0.0,0.0,0.0,99994.67650089263,5.2889514234231365,12.034547683948924
