,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.87666792015,2.0808076000085194,10.042524479839834
1/24/20,0.0,0.0,0.0,99999.74835292897,2.16487996486987,10.086767106149665
1/25/20,0.0,0.0,0.0,99999.61484733925,2.252353162579701,10.132799498180614
1/26/20,0.0,0.0,0.0,99999.47592819466,2.3433732614263043,10.180698543925535
1/27/20,0.0,0.0,0.0,99999.33138984993,2.4380749968307724,10.230535153241664
1/28/20,0.0,0.0,0.0,99999.18101614299,2.536599993841616,10.282383863179623
1/29/20,0.0,0.0,0.0,99999.02457835339,2.6390981039410324,10.336323542679889
1/30/20,0.0,0.0,0.0,99998.86183520239,2.7457274050449074,10.392437392572798
1/31/20,0.0,0.0,0.0,99998.69253285293,2.856654201502815,10.450812945578544
2/1/20,0.0,0.0,0.0,99998.5164049096,2.9720530240980185,10.511542066307175
2/2/20,0.0,0.0,0.0,99998.3331724187,3.0921066300474673,10.574720951258598
2/3/20,0.0,0.0,0.0,99998.14254386818,3.2170060030018006,10.640450128822575
2/4/20,0.0,0.0,0.0,99997.94421518769,3.3469503530453455,10.70883445927873
2/5/20,0.0,0.0,0.0,99997.73786974851,3.4821471166961167,10.779983134796536
2/6/20,0.0,0.0,0.0,99997.52317836367,3.6228119569058173,10.854009679435329
2/7/20,0.0,0.0,0.0,99997.29979928781,3.76916876305984,10.931031949144302
2/8/20,0.0,0.0,0.0,99997.06737821727,3.9214496509772623,11.011172131762498
2/9/20,0.0,0.0,0.0,99996.82554829007,4.079894962910854,11.094556747018824
2/10/20,0.0,0.0,0.0,99996.57393008593,4.24475326754707,11.181316646532045
2/11/20,0.0,0.0,0.0,99996.3121316262,4.416281360006055,11.271587013810777
2/12/20,0.0,0.0,0.0,99996.0397483739,4.59474426184164,11.365507364253494
2/13/20,0.0,0.0,0.0,99995.75636323381,4.780415221041348,11.46322154514853
2/14/20,0.0,0.0,0.0,99995.46154655231,4.9735757120263875,11.564877735674074
2/15/20,0.0,0.0,0.0,99995.1548321526,5.174531104931065,11.670636742467398
2/16/20,0.0,0.0,0.0,99994.83556182952,5.383712343857611,11.780725826627819
2/17/20,0.0,0.0,0.0,99994.50327440423,5.601421575221923,11.895304020550638
2/18/20,0.0,0.0,0.0,99994.15753490731,5.827943840036329,12.014521252659382
2/19/20,0.0,0.0,0.0,99993.79787176996,6.063588141153687,12.138540088890492
2/20/20,0.0,0.0,0.0,99993.42377682404,6.30868744326739,12.26753573269332
2/21/20,0.0,0.0,0.0,99993.03470530205,6.563598672911359,12.401696025030121
2/22/20,0.0,0.0,0.0,99992.63007583717,6.8287027184600495,12.541221444376067
2/23/20,0.0,0.0,0.0,99992.20927046315,7.104404430128448,12.68632510671923
2/24/20,0.0,0.0,0.0,99991.77163461447,7.391132619972074,12.837232765560602
2/25/20,0.0,0.0,0.0,99991.3164771262,7.689340061886975,12.994182811914076
2/26/20,0.0,0.0,0.0,99990.84307023408,7.9995034916097385,13.15742627430646
2/27/20,0.0,0.0,0.0,99990.35064957451,8.322123606717472,13.327226818777465
2/28/20,0.0,0.0,0.0,99989.83841418449,8.657725066627828,13.503860748879719
2/29/20,0.0,0.0,0.0,99989.30552650172,9.006856492598981,13.687617005678753
3/1/20,0.0,0.0,0.0,99988.75111236452,9.370090467729641,13.878797167753012
3/2/20,0.0,0.0,0.0,99988.17426101185,9.748023536959051,14.077715451193848
3/3/20,0.0,0.0,0.0,99987.57402508333,10.141276207066985,14.284698709605522
3/4/20,0.0,0.0,0.0,99986.94942061922,10.550492946673746,14.500086434105203
3/5/20,0.0,0.0,0.0,99986.29942706044,10.976342186240174,14.724230753322974
3/6/20,0.0,0.0,0.0,99985.62298724853,11.419516318067634,14.957496433401827
3/7/20,0.0,0.0,0.0,99984.9190074257,11.880731696298032,15.200260877997657
3/8/20,0.0,0.0,0.0,99984.18635723481,12.360728636913798,15.452914128279271
3/9/20,0.0,0.0,0.0,99983.42386971934,12.860271417737902,15.715858862928396
3/10/20,0.0,0.0,0.0,99982.63034132343,13.380148278433836,15.98951039813965
3/11/20,0.0,0.0,0.0,99981.80453189187,13.921171420505626,16.274296687620573
3/12/20,0.0,0.0,0.0,99980.9451646701,14.484177007297841,16.570658322591612
3/13/20,0.0,0.0,0.0,99980.05092630422,15.07002516399557,16.879048531786122
3/14/20,0.0,0.0,0.0,99979.12046684092,15.679599977624434,17.199933181450366
3/15/20,0.0,0.0,0.0,99978.15239972761,16.313809497050595,17.53379077534352
3/16/20,0.0,0.0,0.0,99977.14530181228,16.973585732980734,17.881112454737664
3/17/20,0.0,0.0,0.0,99976.09771334362,17.659884657962074,18.242401998417797
3/18/20,0.0,0.0,0.0,99975.00813797093,18.373686206382374,18.618175822681817
3/19/20,0.0,0.0,0.0,99973.87504274418,19.11599427446991,19.008962981340538
3/20/20,3.0,0.0,0.0,99972.69602275164,19.888380011225607,19.415597237138048
3/21/20,3.0,0.0,0.0,99971.46845759879,20.692555441161023,19.83898696004182
3/22/20,3.0,0.0,0.0,99970.19089598913,21.52947294738246,20.27963106348595
3/23/20,12.0,0.0,0.0,99968.8617471261,22.400176040005313,20.738076833901577
3/24/20,17.0,0.0,0.0,99967.47927160215,23.305805280449988,21.214923117401607
3/25/20,19.0,0.0,0.0,99966.04158139878,24.24759828144191,21.71082031978074
3/26/20,23.0,0.0,0.0,99964.54663988647,25.226889707011516,22.226470406515446
3/27/20,26.0,0.0,0.0,99962.99226182474,26.245111272494242,22.762626902763984
3/28/20,26.0,0.0,0.0,99961.3761133621,27.30379174453056,23.320094893366385
3/29/20,39.0,0.0,0.0,99959.69571203609,28.404556941065948,23.89973102284447
3/30/20,43.0,0.0,0.0,99957.94842677325,29.549129731350902,24.502443495401838
3/31/20,57.0,0.0,0.0,99956.13147788914,30.739330035940917,25.129192074923864
4/1/20,57.0,0.0,0.0,99954.24193708833,31.977074826696516,25.780988084977714
4/2/20,59.0,0.0,0.0,99952.2767274644,33.264378126783235,26.458894408812323
4/3/20,70.0,0.0,0.0,99950.23262349996,34.603351010671624,27.164025489358416
4/4/20,70.0,0.0,0.0,99948.10625106664,35.99620160413724,27.897547329228498
4/5/20,70.0,2.0,0.0,99945.89408742503,37.44523508426066,28.660677490716846
4/6/20,80.0,2.0,0.0,99943.59246122478,38.95285367942748,29.45468509579953
4/7/20,81.0,7.0,0.0,99941.19755250454,40.5215566693283,30.280890826134396
4/8/20,82.0,11.0,0.0,99938.70539269198,42.15394038495874,31.14066692306107
4/9/20,82.0,11.0,0.0,99936.11186460378,43.85269820861943,32.03543718760095
4/10/20,82.0,11.0,0.0,99933.41270244562,45.620620573916014,32.966676980457244
4/11/20,91.0,11.0,0.0,99930.60349181223,47.46059496575916,33.935913222014904
4/12/20,86.0,20.0,0.0,99927.67966968729,49.37560592036453,34.94472439234068
4/13/20,85.0,21.0,0.0,99924.63652444356,51.36873502525283,35.994740531183126
4/14/20,85.0,23.0,0.0,99921.46919584277,53.44316091924976,37.08764323797252
4/15/20,81.0,29.0,0.0,99918.17267503569,55.60215929248602,38.225165671820974
4/16/20,78.0,33.0,0.0,99914.74180456209,57.84910288639735,39.40909255152237
4/17/20,84.0,33.0,0.0,99911.17127835072,60.18746149372453,40.641260155552345
4/18/20,85.0,35.0,0.0,99907.45564171943,62.620801958513255,41.92355632206834
4/19/20,82.0,39.0,0.0,99903.58929137497,65.15278817611434,43.25792044890958
4/20/20,80.0,41.0,0.0,99899.56647541322,67.78718109318356,44.64634349359706
4/21/20,77.0,44.0,0.0,99895.38129331899,70.52783870768174,46.090867973333545
4/22/20,69.0,52.0,0.0,99891.02769596613,73.37871606887465,47.59358796500362
4/23/20,63.0,58.0,0.0,99886.49948561749,76.34386527733317,49.1566491051736
4/24/20,61.0,61.0,0.0,99881.79031592497,79.4274354849331,50.78224859009162
4/25/20,61.0,62.0,0.0,99876.89369192946,82.63367289485532,52.47263517568757
4/26/20,53.0,71.0,0.0,99871.80294833975,85.9669344966556,54.23011716358747
4/27/20,53.0,75.0,0.0,99866.5058912234,89.43508091319903,56.059027863404324
4/28/20,46.0,82.0,0.0,99860.99202813527,93.04491783705306,57.963054027683064
4/29/20,38.0,90.0,0.0,99855.25479667494,96.80077714368808,59.944426181376556
4/30/20,36.0,92.0,0.0,99849.28699212638,100.7074050173847,62.0056028562348
5/1/20,38.0,94.0,0.0,99843.08076745796,104.7699619512338,64.14927059080499
5/2/20,38.0,97.0,0.0,99836.62763332244,108.99402274713643,66.37834393043147
5/3/20,51.0,98.0,0.0,99829.91845805694,113.38557651580396,68.69596542725573
5/4/20,50.0,99.0,0.0,99822.94346768303,117.95102667675798,71.10550564021646
5/5/20,50.0,101.0,0.0,99815.69224590663,122.69719095833025,73.61056313504952
5/6/20,57.0,101.0,0.0,99808.15373411805,127.6313013976629,76.21496448428788
5/7/20,92.0,101.0,0.0,99800.31623139203,132.76100434070815,78.92276426726174
5/8/20,92.0,101.0,0.0,99792.16739448767,138.0943604422286,81.73824507009843
5/9/20,92.0,101.0,0.0,99783.69423784848,143.639844665797,84.66591748572245
5/10/20,92.0,101.0,0.0,99774.88313360234,149.40634628379632,87.71052011385547
5/11/20,85.0,101.0,0.0,99765.71981156156,155.4031688774199,90.87701956101634
5/12/20,85.0,101.0,0.0,99756.1893592228,161.64003033667112,94.17061044052105
5/13/20,105.0,107.0,0.0,99746.27622176716,168.12706286036376,97.59671537248275
5/14/20,122.0,108.0,0.0,99735.96420206006,174.87481295612187,101.16098498381177
5/15/20,126.0,112.0,0.0,99725.2364606514,181.89424144037955,104.86929790821564
5/16/20,169.0,114.0,0.0,99714.07551577542,189.1967234383813,108.727760786199
5/17/20,189.0,114.0,1.0,99702.46324335075,196.7940483841818,112.7427082650637
5/18/20,202.0,119.0,1.0,99690.38087698045,204.69842002064595,116.9207029989087
5/19/20,205.0,119.0,2.0,99677.80900795192,212.92245639944892,121.26853564863013
5/20/20,238.0,131.0,2.0,99664.72758523701,221.47918988107617,125.79322488192139
5/21/20,272.0,131.0,2.0,99651.1159154919,230.3820671348233,130.50201737327296
5/22/20,311.0,135.0,2.0,99636.95266305724,239.64494913879616,135.40238780397243
5/23/20,348.0,138.0,2.0,99622.21584995798,249.28211117991097,140.50203886210465
5/24/20,383.0,142.0,2.0,99606.88285590356,259.30824285389406,145.80890124255166
05/25/20,,,,99590.93041828772,269.73844806528194,151.33113364699253
05/26/20,,,,99574.33463218868,280.5882450274215,157.0771227839036
05/27/20,,,,99557.07095036897,291.87356626247,163.05548336855844
05/28/20,,,,99539.11418327558,303.6107586013944,169.27505812302752
05/29/20,,,,99520.43849903985,315.8165831839726,175.74491777617882
05/30/20,,,,99501.01742347753,328.5082154587923,182.47436106367726
05/31/20,,,,99480.82384008876,341.7032451832514,189.47291472798494
06/01/20,,,,99459.82999005808,355.41967642355837,196.75033351836123
06/02/20,,,,99438.00747225441,369.67592755473163,204.3166001908626
06/03/20,,,,99415.32724323106,384.49083126059986,212.18192550834263
06/04/20,,,,99391.75834579176,399.8842612965999,220.35739291163773
06/05/20,,,,99367.2515200559,415.8854650860916,228.8630148580211
06/06/20,,,,99341.76900727385,432.51874747692244,237.7122452492349
06/07/20,,,,99315.27722244627,449.80666566713904,246.91611188659422
06/08/20,,,,99287.740288397,467.77315176547575,256.4865598375193
06/09/20,,,,99259.12003577311,486.44351279135446,266.4364514355352
06/10/20,,,,99229.37600304485,505.8444306748848,276.77956628027255
06/11/20,,,,99198.46543650568,526.003962256864,287.53060123746656
06/12/20,,,,99166.34329027227,546.9515392887771,298.70517043895785
06/13/20,,,,99132.96222628452,568.7179684327966,310.31980528269196
06/14/20,,,,99098.2726143055,591.3354312617827,322.3919544327195
06/15/20,,,,99062.22253192152,614.8374842592834,334.93998381919636
06/16/20,,,,99024.75776454208,639.2590588195342,347.98317663838327
06/17/20,,,,98985.8218053999,664.6364612474581,361.54173335264613
06/18/20,,,,98945.35585555088,691.0073727586662,375.63677169045604
06/19/20,,,,98903.29882387415,718.410849479457,390.290326646389
06/20/20,,,,98859.58732707206,746.8873224468167,405.52535048112617
06/21/20,,,,98814.15568967014,776.4785976084188,421.36571272145375
06/22/20,,,,98766.93594401711,807.2278558226253,437.8362001602632
06/23/20,,,,98717.85783028496,839.1796528584849,454.9625168565508
06/24/20,,,,98666.84879646885,872.3799193957348,472.7712841354181
06/25/20,,,,98613.83399838714,906.8759610247987,491.29004058807163
06/26/20,,,,98558.73629968139,942.7164582467896,510.5472420718229
06/27/20,,,,98501.47627181641,979.9514664735068,530.572261710089
06/28/20,,,,98441.97219408018,1018.6324160274377,551.3953898923913
06/29/20,,,,98380.14005358389,1058.8121121417576,573.0478342743571
06/30/20,,,,98315.89354526196,1100.544734960329,595.5617197777182
07/01/20,,,,98249.144071872,1143.8858395377022,618.9700885903115
07/02/20,,,,98179.80074399481,1188.8923558391155,643.3069001660795
07/03/20,,,,98107.77038003445,1235.6225887404944,668.6070312250691
07/04/20,,,,98032.95750621812,1284.1362180284527,694.9062757534326
07/05/20,,,,97955.2643565963,1334.494298400291,722.2413450034277
07/06/20,,,,97874.59087304259,1386.7592594639978,750.6498674934165
07/07/20,,,,97790.83470525389,1440.9949057382496,780.1703890078667
07/08/20,,,,97703.89121075024,1497.266416652411,810.8423725973511
07/09/20,,,,97613.65345487493,1555.6403465465323,842.7061985785471
07/10/20,,,,97520.01221079442,1616.184624671354,875.8031645342376
07/11/20,,,,97422.8559594984,1678.9685551883022,910.1754853133106
07/12/20,,,,97322.07088979975,1744.062817169492,945.8662930307588
07/13/20,,,,97217.53912479177,1811.538997346227,982.9218778620019
07/14/20,,,,97109.12012353864,1881.4732323224057,1021.4066441389529
07/15/20,,,,96996.66743907353,1953.9567724037504,1061.3757885227296
07/16/20,,,,96880.03365783472,2029.0832798148735,1102.8830623504025
07/17/20,,,,96759.06867271502,2106.9470345384316,1145.9842927465527
07/18/20,,,,96633.61968306161,2187.642934315126,1190.7373826232715
07/19/20,,,,96503.53119467614,2271.2664946437017,1237.2023106801619
07/20/20,,,,96368.64501981472,2357.913848780949,1285.4411314043364
07/21/20,,,,96228.80027718788,2447.6817477417017,1335.517975070419
07/22/20,,,,96083.83339196062,2540.667560298839,1387.499047740544
07/23/20,,,,95933.57809575237,2636.969272983283,1441.4526312643568
07/24/20,,,,95777.86542663698,2736.6854900840017,1497.449083279013
07/25/20,,,,95616.52372914282,2839.915433648007,1555.5608372091788
07/26/20,,,,95449.37865425262,2946.758943480355,1615.8624022670317
07/27/20,,,,95276.2531594036,3057.316477144145,1678.4303634522594
07/28/20,,,,95096.96750848742,3171.689109960524,1743.3433815520602
07/29/20,,,,94911.33927185019,3289.9785350086795,1810.6821931411437
07/30/20,,,,94719.18332629243,3412.2870631258456,1880.5296105817292
07/31/20,,,,94520.31185506916,3538.717622907301,1952.9705220235476
08/01/20,,,,94314.5343478898,3669.3737607063676,2028.0918914038402
08/02/20,,,,94101.65760091823,3804.3596406344122,2105.9827584473587
08/03/20,,,,93881.48571677279,3943.780044560846,2186.734238666366
08/04/20,,,,93653.82010452625,4087.740372113125,2270.439523360634
08/05/20,,,,93418.45947970581,4236.346640676748,2357.1938796174486
