,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.06569624628,2.1120893092348267,10.8222144444884
1/24/20,0.0,0.0,0.0,99998.07904105414,2.230450927733531,11.690508018135969
1/25/20,3.0,0.0,0.0,99997.0369055224,2.355457365566602,12.607637112047009
1/26/20,4.0,0.0,0.0,99995.93622180566,2.4874749107616583,13.57630328358449
1/27/20,4.0,0.0,0.0,99994.77393996746,2.6268689022967506,14.599191130250077
1/28/20,4.0,0.0,0.0,99993.54674949816,2.774035345965484,15.679215155884801
1/29/20,7.0,0.0,0.0,99992.25107931496,2.9294009143770188,16.819519770669082
1/30/20,8.0,0.0,0.0,99990.88309776194,3.093422946956071,18.023479291122708
1/31/20,8.0,0.0,0.0,99989.43871260996,3.266589449942912,19.294697940104854
2/1/20,8.0,0.0,0.0,99987.91357105681,3.449419096393369,20.63700984681406
2/2/20,8.0,0.0,0.0,99986.30305972704,3.642461226178824,22.054479046788252
2/3/20,8.0,0.0,0.0,99984.60230467212,3.846295845986215,23.55139948190474
2/4/20,10.0,0.0,0.0,99982.8061713703,4.061533629318034,25.132295000380196
2/5/20,12.0,0.0,0.0,99980.90926472674,4.2888159164923305,26.80191935677068
2/6/20,12.0,0.0,0.0,99978.9059290734,4.528814714642708,28.565256211971622
2/7/20,11.0,1.0,0.0,99976.79024816907,4.782232697718326,30.427519133217835
2/8/20,15.0,1.0,0.0,99974.55604519944,5.049803206483899,32.39415159408352
2/9/20,15.0,1.0,0.0,99972.196882777,5.332290248519697,34.470826974482215
2/10/20,17.0,1.0,0.0,99969.70606294111,5.6304884982215455,36.6634485606669
2/11/20,15.0,3.0,0.0,99967.07648245848,5.9452376284030315,38.97827991311842
2/12/20,15.0,3.0,0.0,99964.29887065376,6.277599096725497,41.423530249516816
2/13/20,16.0,3.0,0.0,99961.36547531276,6.628496083734104,44.006028603514736
2/14/20,16.0,3.0,0.0,99958.26865788497,6.998850738699266,46.73249137633631
2/15/20,15.0,7.0,0.0,99955.00002490988,7.389669754945089,49.61030533517193
2/16/20,15.0,7.0,0.0,99951.55042801697,7.80204436984937,52.64752761317828
2/17/20,15.0,7.0,0.0,99947.90996392569,8.237150364843595,55.85288570947833
2/18/20,9.0,13.0,0.0,99944.06797444542,8.696248065412945,59.235777489161336
2/19/20,7.0,15.0,0.0,99940.01304647562,9.180682341096288,62.8062711832828
2/20/20,7.0,15.0,0.0,99935.73301200566,9.691882605486187,66.57510538886459
2/21/20,7.0,15.0,0.0,99931.21494811488,10.231362816228891,70.55368906889476
2/22/20,7.0,15.0,0.0,99926.44517697266,10.80072147502435,74.75410155232768
2/23/20,7.0,15.0,0.0,99921.4092658383,11.40164162762619,79.18909253408407
2/24/20,4.0,18.0,0.0,99916.09202706111,12.03589086384175,83.87208207505083
2/25/20,4.0,18.0,0.0,99910.47751808038,12.705321317532034,88.81716060208117
2/26/20,4.0,18.0,0.0,99904.5490414254,13.411869666611757,94.03908890799464
2/27/20,5.0,18.0,0.0,99898.28914471538,14.15755713304932,99.55329815157702
2/28/20,5.0,18.0,0.0,99891.67962065956,14.94448948286681,105.37588985758038
2/29/20,7.0,18.0,0.0,99884.70150705714,15.774857026140008,111.52363591672307
3/1/20,11.0,18.0,0.0,99877.33508679732,16.650934616998395,118.01397858568974
3/2/20,11.0,18.0,0.0,99869.55988785924,17.575081653625126,124.86503048713128
3/3/20,14.0,22.0,0.0,99861.35468331208,18.549742078257065,132.09557460966494
3/4/20,28.0,22.0,0.0,99852.69749131495,19.57744437718475,139.72506430787422
3/5/20,28.0,22.0,0.0,99843.56557511694,20.66080158075243,147.7736233023088
3/6/20,61.0,22.0,0.0,99833.93118427054,21.802596028246885,156.26621970121315
3/7/20,70.0,23.0,0.0,99823.76344636356,23.005935448704054,165.23061818773655
3/8/20,75.0,24.0,0.0,99813.03649818362,24.274087373978766,174.6894144423983
3/9/20,93.0,24.0,0.0,99801.72227207382,25.61051153896606,184.66721638720708
3/10/20,105.0,24.0,0.0,99789.79040524663,27.018860919011328,195.19073383434784
3/11/20,123.0,26.0,0.0,99777.20823978391,28.502981729910335,206.2887784861817
3/12/20,123.0,26.0,0.0,99763.94082263684,30.0669134279092,217.99226393524611
3/13/20,171.0,26.0,0.0,99749.95090562604,31.71488870970441,230.33420566425463
3/14/20,203.0,35.0,0.0,99735.19894544146,33.45133351244282,243.34972104609716
3/15/20,386.0,42.0,0.0,99719.64310364243,35.28086701372165,257.07602934383976
3/16/20,524.0,42.0,0.0,99703.23924665769,37.208301631588455,271.5524517107249
3/17/20,622.0,49.0,2.0,99685.94094578529,39.23864302454118,286.82041119017094
3/18/20,728.0,60.0,2.0,99667.6994771927,41.37709009152815,302.92343271577283
3/19/20,823.0,75.0,2.0,99648.46382191675,43.629034971948016,319.9071431113016
3/20/20,940.0,87.0,3.0,99628.18066586365,46.00006304564982,337.81927109070443
3/21/20,1065.0,114.0,4.0,99606.79439980896,48.49595293293294,356.70964725810495
3/22/20,1157.0,139.0,10.0,99584.24711939765,51.12267649454714,376.6302041078029
3/23/20,1365.0,139.0,14.0,99560.47862514404,53.886398831692546,397.6349760242741
3/24/20,1425.0,183.0,16.0,99535.4264224318,56.79347828601965,419.780099282171
3/25/20,1577.0,199.0,20.0,99509.02572151404,59.85046643962927,443.12381204632186
3/26/20,1793.0,215.0,23.0,99481.2094375132,63.06410811507264,467.7264543717315
3/27/20,1876.0,259.0,26.0,99451.90819042106,66.44134137535133,493.65046820358066
3/28/20,1973.0,320.0,27.0,99421.05030509886,69.98929752391727,520.9603973772267
3/29/20,2047.0,388.0,35.0,99388.56181127712,73.71530110467279,549.722887618203
3/30/20,2110.0,479.0,37.0,99354.36644355582,77.62686990197052,580.0066865422192
3/31/20,2186.0,537.0,43.0,99318.38564140422,81.73171494061351,611.8826436551609
4/1/20,2218.0,645.0,45.0,99280.55075204684,86.03186407981752,645.4173838733484
4/2/20,2299.0,767.0,50.0,99240.78998209856,90.52694703021878,680.6830708712146
4/3/20,2453.0,827.0,53.0,99198.99340275463,95.2311210061283,717.7754762392491
4/4/20,2511.0,915.0,57.0,99155.0483915954,100.15827853182867,756.7933298727684
4/5/20,2596.0,1005.0,61.0,99108.84058193622,105.32162569185296,797.837792371923
4/6/20,2490.0,1241.0,62.0,99060.25386282732,110.73368213098473,841.0124550416982
4/7/20,2579.0,1321.0,63.0,99009.17037905383,116.40628105425807,886.4233398919137
4/8/20,2567.0,1487.0,65.0,98955.47053113581,122.35056922695762,934.1788996372234
4/9/20,2553.0,1608.0,67.0,98899.03297532826,128.57700697461846,984.3900176971161
4/10/20,2446.0,1830.0,70.0,98839.73462362106,135.0953681830262,1037.1700081959148
4/11/20,2462.0,1995.0,73.0,98777.45064373901,141.914740298217,1092.6346159627772
4/12/20,2499.0,2108.0,76.0,98712.05445914183,149.04352432647747,1150.9020165316952
4/13/20,2464.0,2276.0,77.0,98643.41774902416,156.4894348343448,1212.092816141495
4/14/20,2427.0,2478.0,82.0,98571.41044831555,164.25949994860662,1276.330051735838
4/15/20,2342.0,2647.0,83.0,98495.90074768047,172.36006135630114,1343.7391909632192
4/16/20,2332.0,2766.0,84.0,98416.75509351831,180.79677430471705,1414.448132176969
4/17/20,2198.0,2967.0,86.0,98333.83818796335,189.5746076013935,1488.5872044352518
4/18/20,2115.0,3102.0,88.0,98247.0129888848,198.6978436141202,1566.289167501066
4/19/20,2103.0,3197.0,89.0,98156.14070988681,208.17007827093738,1647.6892118422456
4/20/20,2041.0,3295.0,89.0,98061.0808203084,217.99422106013583,1732.924958631458
4/21/20,2041.0,3349.0,92.0,97961.69104522353,228.17249503025664,1822.136459746205
4/22/20,1987.0,3452.0,93.0,97857.82736544107,238.70643679009163,1915.466197768824
4/23/20,1966.0,3542.0,95.0,97749.34401750482,249.59689650868313,2013.0590859864867
4/24/20,1932.0,3663.0,96.0,97636.09349369346,260.84403791532384,2115.062468391198
4/25/20,1882.0,3762.0,98.0,97517.92654202064,272.447338299557,2221.6261196797977
4/26/20,1820.0,3862.0,98.0,97394.69216623485,284.4055885111764,2332.902245253962
4/27/20,1764.0,3957.0,99.0,97266.23762581956,296.71689296022646,2449.045481220199
4/28/20,1719.0,4032.0,100.0,97132.40843599313,309.37866961700183,2570.2128943898515
4/29/20,1758.0,4087.0,100.0,96993.11578058814,322.3909721077425,2696.4932473041245
4/30/20,1729.0,4171.0,102.0,96848.42183821606,335.7537834731712,2827.824378310769
5/1/20,1758.0,4210.0,103.0,96698.16031227347,349.44601651294795,2964.39367121359
5/2/20,1747.0,4326.0,103.0,96542.16349711995,363.4437667409253,3106.392736139126
5/3/20,1780.0,4413.0,105.0,96380.28437801845,377.72171048931983,3253.993911492224
5/4/20,1764.0,4484.0,105.0,96212.39663113526,392.25310490871226,3407.350263956036
5/5/20,1710.0,4567.0,106.0,96038.39462353993,407.00978796804714,3566.595588492023
5/6/20,1619.0,4702.0,107.0,95858.19341320542,421.96217845463315,3731.844408339952
5/7/20,1584.0,4776.0,107.0,95671.72874900796,437.079275974143,3903.1919750178977
5/8/20,1564.0,4864.0,107.0,95478.95707072715,452.3286609506133,4080.714268322242
5/9/20,1552.0,4929.0,108.0,95279.85550904588,467.6764946264449,4264.467996327673
5/10/20,1523.0,5025.0,108.0,95074.42188555042,483.0875190624023,4454.490595387188
5/11/20,1504.0,5113.0,109.0,94862.6747127303,498.5250571376144,4650.800230132087
5/12/20,1410.0,5223.0,109.0,94644.65319397845,513.9510125495739,4853.395793471982
5/13/20,1387.0,5281.0,111.0,94420.41722359107,529.3258698141375,5062.25690659479
5/14/20,1356.0,5351.0,112.0,94190.04738676774,544.6086942655261,5277.343918966735
5/15/20,1304.0,5439.0,112.0,93953.64495961132,559.7571320563243,5498.597908332348
5/16/20,1247.0,5512.0,113.0,93711.33190912806,574.727410157481,5725.940680714468
5/17/20,1210.0,5571.0,113.0,93463.25089322745,589.4743363583091,5959.274770414239
5/18/20,1213.0,5615.0,113.0,93209.5652607224,603.9512992664853,6198.483440011118
5/19/20,1218.0,5646.0,114.0,92950.45905132909,618.1102683080505,6443.430680362857
5/20/20,1189.0,5706.0,114.0,92686.13699566707,631.9017937274098,6693.96121060553
5/21/20,1149.0,5796.0,114.0,92416.82451525917,645.2750065873316,6949.900478153508
5/22/20,1163.0,5859.0,115.0,92142.76772253159,658.1776187689491,7211.05465869947
5/23/20,1158.0,5912.0,115.0,91864.23342081383,670.5559229717592,7477.210656214406
5/24/20,1185.0,5945.0,115.0,91581.50910433877,682.3547927136228,7748.136102947614
05/25/20,,,,91294.90295824254,693.5176823307648,8023.579359426691
05/26/20,,,,91004.74385856469,703.9866269777742,8303.269514457548
05/27/20,,,,90711.381372248,713.7022426276039,8586.916385124405
05/28/20,,,,90415.18575713865,722.603726071571,8874.210516789783
05/29/20,,,,90116.54796198614,730.6288549193564,9164.823183094511
05/30/20,,,,89815.87962644327,737.7139875990051,9458.406385957729
05/31/20,,,,89513.6130810662,743.7940633569261,9754.59285557688
06/01/20,,,,89210.2013473144,748.8026022578927,10052.99605042772
06/02/20,,,,88906.11813755067,752.6717051850416,10353.210157264304
06/03/20,,,,88601.8586264797,755.3319189290679,10654.809454591215
06/04/20,,,,88297.99513164631,756.726264558569,10957.278603795115
06/05/20,,,,87995.00288668947,756.8917350461168,11260.105378264405
06/06/20,,,,87693.27361676244,755.8915117102637,11562.834871527299
06/07/20,,,,87393.18306483931,753.7872166246461,11865.029718536043
06/08/20,,,,87095.0909917151,750.638912617985,12166.270095666912
06/09/20,,,,86799.34117600569,746.5051032740853,12466.153720720216
06/10/20,,,,86506.26141414787,741.4427329318358,12764.295852920292
06/11/20,,,,86216.16352039928,735.50718668521,13060.329292915503
06/12/20,,,,85929.34332683848,728.7522903832647,13353.90438277825
06/13/20,,,,85646.0806833649,721.2303106301418,13644.689006004963
06/14/20,,,,85366.63945769884,712.9919547850668,13932.368587516095
06/15/20,,,,85091.26753538151,704.0863709623493,14216.64609365614
06/16/20,,,,84820.196819775,694.561148031383,14497.242032193615
06/17/20,,,,84553.64323206228,684.4623156166464,14773.89445232107
06/18/20,,,,84291.80671124722,673.8343440977012,15046.358944655083
06/19/20,,,,84034.87121415454,662.7201446091938,15314.408641236267
06/20/20,,,,83783.00471542988,651.1610690408546,15577.834215529261
06/21/20,,,,83536.35920753976,639.1969100374982,15836.443882422736
06/22/20,,,,83295.07070077158,626.8659009990233,16090.063398229395
06/23/20,,,,83059.25922323362,614.2047160804128,16338.536060685969
06/24/20,,,,82829.02882085505,601.2484701917335,16581.722708953217
06/25/20,,,,82604.46755738593,588.0307189981366,16819.501723615936
06/26/20,,,,82385.64751439719,574.5834589198574,17051.769026682945
06/27/20,,,,82172.62479128069,560.9371271322152,17278.438081587097
06/28/20,,,,81965.4395052491,547.1206015656136,17499.43989318528
06/29/20,,,,81764.11579133605,533.1612009055402,17714.723007758403
06/30/20,,,,81568.66180239602,519.0846845925669,17924.253513011412
07/01/20,,,,81379.06970910437,504.91525282234943,18128.01503807328
07/02/20,,,,81195.31569995735,490.67554654562815,18326.008753497015
07/03/20,,,,81017.35998127214,476.38664746822724,18518.25337125965
07/04/20,,,,80845.1467771867,462.06807805105495,18704.78514476225
07/05/20,,,,80678.60432966,447.73780151010374,18885.657868829912
07/06/20,,,,80517.6448984718,433.4122218164504,19060.942879711758
07/07/20,,,,80362.16476122281,419.10618369625564,19230.729055080952
07/08/20,,,,80212.04421333456,404.8329726307643,19395.12281403468
07/09/20,,,,80067.20720523677,390.6412880501865,19554.151506713035
07/10/20,,,,79927.77720391698,376.7097689251039,19707.51302715792
07/11/20,,,,79793.63610429964,363.06707968315993,19855.2968160172
07/12/20,,,,79664.63414275134,349.72025556824605,19997.645601680415
07/13/20,,,,79540.62368460574,336.6756479649243,20134.700667429333
07/14/20,,,,79421.45922416361,323.9389243984273,20266.601851437954
07/15/20,,,,79306.99738469285,311.51506853465816,20393.487546772485
07/16/20,,,,79197.09691842843,299.40838018019065,20515.494701391377
07/17/20,,,,79091.61870657242,287.622475282269,20632.7588181453
07/18/20,,,,78990.42575929404,276.16028592880815,20745.413954777152
07/19/20,,,,78893.38321572955,265.0240603483934,20853.592723922055
