,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.80581844474,2.0942548301190187,10.099926725137745
1/24/20,0.0,0.0,0.0,99999.60248605533,2.1929512249086662,10.204562719765105
1/25/20,0.0,0.0,0.0,99999.38955213058,2.2963079042361962,10.314139965185943
1/26/20,0.0,0.0,0.0,99999.16653780719,2.404557242514805,10.42890495029142
1/27/20,0.0,0.0,0.0,99998.93300471897,2.5179120103176036,10.549083270719716
1/28/20,0.0,0.0,0.0,99998.68848467748,2.6365994460107394,10.674915876516852
1/29/20,0.0,0.0,0.0,99998.4324766229,2.760862733057252,10.80666064405074
1/30/20,0.0,0.0,0.0,99998.16444662398,2.890961000017074,10.944592376011192
1/31/20,0.0,0.0,0.0,99997.88382787805,3.027169320547029,11.089002801409912
2/1/20,0.0,0.0,0.0,99997.59002071102,3.1697787134008344,11.240200575580502
2/2/20,0.0,0.0,0.0,99997.2823925774,3.319096142429099,11.398511280178461
2/3/20,0.0,0.0,0.0,99996.96027806024,3.4754445165793233,11.564277423181181
2/4/20,0.0,0.0,0.0,99996.62297887122,3.639162689895901,11.737858438887947
2/5/20,0.0,0.0,0.0,99996.26976385056,3.810605461520118,11.919630687919945
2/6/20,0.0,0.0,0.0,99995.8998689671,3.990143575690152,12.109987457220253
2/7/20,0.0,0.0,0.0,99995.51249731821,4.178163721741073,12.309338960053847
2/8/20,0.0,0.0,0.0,99995.1068191299,4.375068534104843,12.518112336007594
2/9/20,0.0,0.0,0.0,99994.6819717567,4.581276592310317,12.736751650990263
2/10/20,0.0,0.0,0.0,99994.2370596818,4.797222420983243,12.965717897232514
2/11/20,0.0,0.0,0.0,99993.77115451687,5.0233564898462575,13.205488993286902
2/12/20,0.0,0.0,0.0,99993.28329500226,5.260145213718895,13.456559784027883
2/13/20,0.0,0.0,0.0,99992.77248700683,5.508070952517577,13.719442040651803
2/14/20,0.0,0.0,0.0,99992.23769323813,5.767636974996535,13.994669786867892
2/15/20,0.0,0.0,0.0,99991.67743639971,6.039558911801615,14.283004688482487
2/16/20,0.0,0.0,0.0,99991.09051456848,6.3244197452747155,14.585065686245407
2/17/20,0.0,0.0,0.0,99990.47589687142,6.62272014023718,14.901382988340556
2/18/20,0.0,0.0,0.0,99989.83245007497,6.935010329369038,15.232539595659713
2/19/20,0.0,0.0,0.0,99989.15893858498,7.261890113208999,15.579171301802546
2/20/20,0.0,0.0,0.0,99988.45402444676,7.604008860154458,15.941966693076598
2/21/20,0.0,0.0,0.0,99987.71626734504,7.962065506461492,16.321667148497298
