,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.8006257147,2.1440912922815287,10.055282993008525
1/24/20,0.0,0.0,0.0,99999.58688790217,2.2985632351769034,10.11454886265371
1/25/20,0.0,0.0,0.0,99999.35769040791,2.464207984693363,10.178101607382695
1/26/20,0.0,0.0,0.0,99999.11191745564,2.6418318881123604,10.24625065623999
1/27/20,0.0,0.0,0.0,99998.84847793233,2.8322235089922536,10.319298558661893
1/28/20,0.0,0.0,0.0,99998.56615351967,3.0362633275476005,10.397583152767528
1/29/20,0.0,0.0,0.0,99998.26359785697,3.2549243452287837,10.481477797785693
1/30/20,0.0,0.0,0.0,99997.93933654121,3.4892720847220113,10.571391374054878
1/31/20,0.0,0.0,0.0,99997.59176712701,3.7404645899493163,10.667768283023243
2/1/20,0.0,0.0,0.0,99997.21915912667,4.009752426068554,10.771088447248635
2/2/20,0.0,0.0,0.0,99996.81965401012,4.2984786794734084,10.881867310398581
2/3/20,0.0,0.0,0.0,99996.39126520495,4.608078957793385,11.000655837250292
2/4/20,0.0,0.0,0.0,99995.93187809641,4.940081389893817,11.128040513690653
2/5/20,0.0,0.0,0.0,99995.4392500274,5.296106625875858,11.264643346716237
2/6/20,0.0,0.0,0.0,99994.91101029849,5.677867837076491,11.411121864433296
2/7/20,0.0,0.0,0.0,99994.34466016786,6.0871707160685204,11.568169116057762
2/8/20,0.0,0.0,0.0,99993.73757285142,6.525913476660578,11.736513671915247
2/9/20,0.0,0.0,0.0,99993.08692974487,6.99613286376361,11.916937391371222
2/10/20,0.0,0.0,0.0,99992.3888556929,7.500628040840491,12.110516266249727
2/11/20,0.0,0.0,0.0,99991.64025385474,8.041637072626054,12.318109072632764
2/12/20,0.0,0.0,0.0,99990.83805578868,8.62137789754014,12.54056631377327
2/13/20,0.0,0.0,0.0,99989.9787468558,9.242390694502129,12.778862449681869
2/14/20,0.0,0.0,0.0,99989.05836621994,9.907537882930942,13.034095897126864
2/15/20,0.0,0.0,0.0,99988.07250684762,10.620004122745044,13.307489029634242
2/16/20,0.0,0.0,0.0,99987.01631550815,11.38329631436245,13.600388177487678
2/17/20,0.0,0.0,0.0,99985.88449277356,12.201243598700705,13.914263627728525
2/18/20,0.0,0.0,0.0,99984.67129301866,13.077997357176905,14.250709624155824
2/19/20,0.0,0.0,0.0,99983.37052442096,14.018031211707687,14.611444367326294
2/20/20,0.0,0.0,0.0,99981.97554896073,15.026141024709231,14.998310014554345
2/21/20,0.0,0.0,0.0,99980.47928242099,16.10744489909726,15.413272679912065
2/22/20,0.0,0.0,0.0,99978.87419438748,17.267383178287037,15.858422434229226
2/23/20,0.0,0.0,0.0,99977.15230824871,18.511718446193374,16.335973305093287
2/24/20,0.0,0.0,0.0,99975.30520119592,19.846535527230614,16.848263276849387
2/25/20,0.0,0.0,0.0,99973.32400422309,21.278241486312663,17.39775429060035
2/26/20,0.0,0.0,0.0,99971.19940212693,22.813565628852945,17.98703224420668
2/27/20,0.0,0.0,0.0,99968.92163350695,24.459559500764442,18.618806992286572
2/28/20,0.0,0.0,0.0,99966.48049076532,26.223596888459674,19.2959123462159
2/29/20,0.0,0.0,0.0,99963.86532010701,28.113373818850715,20.02130607412822
3/1/20,0.0,0.0,0.0,99961.06207483189,30.139022889652196,20.798902278446135
3/2/20,0.0,0.0,0.0,99958.05401504153,32.31261653424705,21.633368424208516
3/3/20,0.0,0.0,0.0,99954.82970259043,34.64243180049231,22.527865609074073
3/4/20,0.0,0.0,0.0,99951.37596706038,37.13799414788113,23.486038791745237
3/5/20,0.0,0.0,0.0,99947.67769941148,39.81022545166296,24.512075136861238
3/6/20,0.0,0.0,0.0,99943.71785198216,42.671444002843536,25.610704014998106
3/7/20,0.0,0.0,0.0,99939.47743848914,45.7353645081849,26.78719700266868
3/8/20,1.0,0.0,0.0,99934.93553402746,49.01709809020538,28.047367882322597
3/9/20,1.0,0.0,0.0,99930.06927507048,52.533152287179604,29.397572642346304
3/10/20,3.0,0.0,0.0,99924.85385946979,56.30143105313847,30.84470947706304
3/11/20,3.0,0.0,0.0,99919.2625464554,60.341234757869195,32.39621878673286
3/12/20,3.0,0.0,0.0,99913.26665663553,64.67326018691527,34.06008317755262
3/13/20,6.0,0.0,0.0,99906.83557199677,69.31960054157649,35.84482746165597
3/14/20,12.0,0.0,0.0,99899.93673590398,74.30374543890893,37.75951865711336
3/15/20,23.0,0.0,0.0,99892.53565310033,79.650580911725,39.81376598793208
3/16/20,23.0,0.0,0.0,99884.59588970734,85.38638940859332,42.01772088405616
3/17/20,29.0,1.0,0.0,99876.07907322478,91.53884979383889,44.382076981366495
3/18/20,28.0,1.0,1.0,99866.94489253077,98.13703734754294,46.918070121680756
3/19/20,47.0,1.0,1.0,99857.1510978817,105.21142376554303,49.6374783527534
3/20/20,64.0,1.0,1.0,99846.65350091229,112.79387715943301,52.55262192827572
3/21/20,78.0,1.0,1.0,99835.40597463556,120.91766205656299,55.67636330787579
3/22/20,92.0,1.0,1.0,99823.36045344283,129.61743940003942,59.0221071571185
3/23/20,107.0,1.0,1.0,99810.45844737226,138.93518070390107,62.606371923822884
3/24/20,122.0,2.0,1.0,99796.61980546241,148.92811934152488,66.45207519606203
3/25/20,146.0,2.0,1.0,99781.78947909422,159.63622383089995,70.57429707486763
3/26/20,174.0,2.0,1.0,99765.9069169666,171.10342099686113,74.98966203652999
3/27/20,195.0,2.0,2.0,99748.90309737733,183.37965920887967,79.71724341378241
3/28/20,227.0,2.0,2.0,99730.70052822313,196.52090838106326,84.77856339580109
3/29/20,259.0,2.0,2.0,99711.21324699963,210.58915997215618,90.19759302820519
3/30/20,281.0,15.0,2.0,99690.3468208014,225.65242698553914,96.00075221305684
3/31/20,331.0,18.0,4.0,99667.99834632191,241.78474396922928,102.21690970886112
4/1/20,395.0,23.0,5.0,99644.05644985355,259.0661670158803,108.87738313056606
4/2/20,476.0,23.0,6.0,99618.40128728765,277.5827737627824,116.01593894956264
4/3/20,557.0,26.0,8.0,99590.90454411444,297.4266633918621,123.66879249368475
4/4/20,711.0,29.0,12.0,99561.42943542311,318.69595662968277,131.8746079472093
4/5/20,819.0,30.0,15.0,99529.8307059017,341.49479574744373,140.67449835085614
4/6/20,909.0,37.0,19.0,99495.95462983723,365.93334456098125,150.11202560178802
4/7/20,994.0,40.0,22.0,99459.63901111562,392.1277884307678,160.23320045361066
4/8/20,1107.0,40.0,27.0,99420.71318322171,420.2003342619125,171.08648251637277
4/9/20,1210.0,50.0,29.0,99378.99800923927,450.27921050416086,182.722780256566
4/10/20,1353.0,56.0,29.0,99334.30588185097,482.49866715189495,195.1954509971249
4/11/20,1455.0,75.0,30.0,99286.44072333843,516.9989757441332,208.56030091742713
4/12/20,1537.0,94.0,31.0,99235.19798558217,553.9264293645306,222.87558505329304
4/13/20,1570.0,107.0,35.0,99180.36465006163,593.4333426413787,238.2020072969861
4/14/20,1760.0,134.0,40.0,99121.71532549337,635.6798666022042,254.60480790442566
4/15/20,1832.0,171.0,46.0,99058.95680481318,680.8631406420823,272.1800545447295
4/16/20,1865.0,235.0,54.0,98991.80834063957,729.1854597687106,291.00619959171615
4/17/20,1932.0,276.0,56.0,98919.98106086493,780.8588673834101,311.16007175165817
4/18/20,1930.0,391.0,57.0,98843.15861662352,836.1133326669529,332.72805070952467
4/19/20,1948.0,457.0,67.0,98760.99718229145,895.1967505795617,355.80606712898214
4/20/20,2021.0,457.0,70.0,98673.12545548669,958.3749418609098,380.4996026523938
4/21/20,2037.0,505.0,72.0,98579.14465706905,1025.9316530301214,406.9236899008199
4/22/20,2143.0,560.0,75.0,98478.6285311402,1098.1685563857723,435.2029124740178
4/23/20,2185.0,661.0,80.0,98371.12334504367,1175.4052500058879,465.4714049504417
4/24/20,2271.0,755.0,84.0,98256.1478893648,1257.9792577479448,497.87285288724286
4/25/20,2385.0,825.0,94.0,98133.19347793085,1346.2460292488713,532.5604928202694
4/26/20,2417.0,895.0,96.0,98001.72394781088,1440.5789399250457,569.6971122640666
4/27/20,2454.0,925.0,102.0,97861.17565931582,1541.3692909722968,609.4550497118765
4/28/20,2560.0,975.0,103.0,97710.95749599845,1649.026309365905,652.0161946356384
4/29/20,2546.0,1114.0,111.0,97550.45086465341,1763.9771478606012,697.5719874859883
4/30/20,2599.0,1182.0,116.0,97379.00969531717,1886.6668849905668,746.3234196922594
5/1/20,2586.0,1272.0,122.0,97195.96044126808,2017.5585250694348,798.4810336624819
5/2/20,2594.0,1334.0,124.0,97000.60207902633,2157.1329981902886,854.2649227833826
5/3/20,2614.0,1382.0,125.0,96792.20610835394,2305.8891602256617,913.9047314203856
5/4/20,2693.0,1423.0,132.0,96570.01655225483,2464.34379282754,977.6396549176122
5/5/20,2683.0,1544.0,136.0,96333.24995697476,2633.0316034273587,1045.7184395978802
5/6/20,2675.0,1658.0,143.0,96081.09539200128,2812.505225236004,1118.3993827627044
5/7/20,2713.0,1747.0,145.0,95813.1339397412,3002.9289910279017,1195.9370692308999
5/8/20,2752.0,1826.0,150.0,95528.62777751604,3204.731828282853,1278.6403942010943
5/9/20,2781.0,1925.0,161.0,95226.22157359148,3418.9078270129417,1366.8705993955678
5/10/20,2800.0,1958.0,169.0,94904.58805870474,3646.408171956569,1461.003769338677
5/11/20,2840.0,1980.0,175.0,94562.42826905691,3888.14091118778,1561.4308197553064
5/12/20,2903.0,2069.0,182.0,94198.47154631285,4144.970956116271,1668.5574975708664
5/13/20,3045.0,2176.0,185.0,93811.47553760132,4417.720081487385,1782.8043809112946
5/14/20,3131.0,2228.0,194.0,93400.22619551483,4707.166925382112,1904.606879103056
5/15/20,3315.0,2228.0,202.0,92963.53777810976,5014.046989217091,2034.415232673141
5/16/20,3383.0,2344.0,207.0,92500.25284890631,5339.052637744608,2172.6945133490676
5/17/20,3505.0,2344.0,211.0,92009.24227688852,5682.833099052599,2319.924624058881
5/18/20,3496.0,2425.0,217.0,91489.40523650419,6045.9944645646465,2476.600298931153
5/19/20,3611.0,2508.0,221.0,90939.66920766504,6429.099689039978,2643.2311032949806
5/20/20,3372.0,2953.0,228.0,90358.98997574652,6832.668590573478,2820.3414336799906
5/21/20,3518.0,2953.0,233.0,89746.351631588,7257.177850595666,3008.4705178163344
5/22/20,3241.0,3369.0,237.0,89100.76657149258,7703.061013872719,3208.17241463469
5/23/20,3300.0,3452.0,242.0,88421.27549722727,8170.708488506461,3420.0160142662644
5/24/20,3130.0,3713.0,250.0,87706.94741602284,8660.467545934362,3644.5850380427887
05/25/20,,,,86956.87964057393,9172.642320929537,3882.478038496523
05/26/20,,,,86170.19778903897,9707.493811600754,4134.308399360252
05/27/20,,,,85346.05578504025,10265.239879392428,4400.70433556729
05/28/20,,,,84483.63585766389,10846.05524908462,4682.308893251477
05/29/20,,,,83582.15352011428,11450.07367621591,4979.772803669802
05/30/20,,,,82641.37968916933,12077.445618906764,5293.174691923893
05/31/20,,,,81661.26883566506,12727.741969851453,5622.989194483478
06/01/20,,,,80641.71989300018,13400.19235141655,5970.0877555832685
06/02/20,,,,79582.83437087802,14093.893612913489,6335.272016208487
06/03/20,,,,78484.91635530657,14807.80983059855,6719.273814094871
06/04/20,,,,77348.47250859845,15540.77230767287,7122.755183728668
06/05/20,,,,76174.2120693709,16291.479574282444,7546.308356346637
06/06/20,,,,74963.04685254581,17058.497387518117,7990.4557599360505
06/07/20,,,,73716.0912493497,17840.258731415594,8455.650019234692
06/08/20,,,,72434.6622273137,18635.063816955422,8942.273955730856
06/09/20,,,,71120.27933027362,19441.080082063017,9450.640587663354
06/10/20,,,,69774.66467836985,20256.34219160864,9980.9931300215
06/11/20,,,,68399.74296804745,21078.75203740741,10533.504994545128
06/12/20,,,,66997.6414720561,21906.078738219294,11108.279789724587
06/13/20,,,,65570.69003945014,22735.95863974912,11705.351320800723
06/14/20,,,,64121.42109558851,23565.895314646572,12324.68358976491
06/15/20,,,,62652.56964213478,24393.259562506177,12966.170795359027
06/16/20,,,,61167.0732570572,25215.289409867335,13629.637333075461
06/17/20,,,,59668.072094628595,26029.090110214274,14314.837795157122
06/18/20,,,,58158.90888542646,26831.6341439761,15021.456970597423
06/19/20,,,,56643.12893633293,27619.761218526768,15749.109845140287
06/20/20,,,,55124.48013053475,28390.178268185082,16497.34160128016
06/21/20,,,,53606.91292752331,29139.459454214688,17265.62761826199
06/22/20,,,,52094.580363094625,29864.046164824118,18053.373472081243
06/23/20,,,,50591.83804934936,30560.24701516673,18859.914935483896
06/24/20,,,,49103.244174692816,31224.23784734075,19684.517977966425
06/25/20,,,,47633.361199266204,31852.22491393192,20526.413886801864
06/26/20,,,,46182.82318535528,32443.921308861296,21385.25550578341
06/27/20,,,,44752.664787592585,32999.29181461337,22260.043397794037
06/28/20,,,,43344.84037184845,33517.620645787,23149.538982364542
06/29/20,,,,41961.16430267117,33998.30629329078,24052.529404038047
06/30/20,,,,40603.31094328698,34440.86152434303,24967.827532369978
07/01/20,,,,39272.81465560008,34844.91338247183,25894.271961928076
07/02/20,,,,37971.069800192614,35210.203187514984,26830.727012292395
07/03/20,,,,36699.33073632468,35536.58653562002,27776.08272805529
07/04/20,,,,35458.711821934325,35824.033299244235,28729.254878821434
07/05/20,,,,34250.18741363755,36072.62762715464,29689.18495920781
07/06/20,,,,33074.591866728304,36282.567944427974,30654.84018884371
07/07/20,,,,31932.619535178506,36454.16695245074,31625.21351237074
07/08/20,,,,30824.82477163801,36587.85162891917,32599.32359944281
07/09/20,,,,29751.62192743463,36684.16322783921,33576.21484472615
07/10/20,,,,28713.28535257412,36743.75727952659,34554.95736789929
07/11/20,,,,27709.9493957402,36767.403590606715,35534.647013653084
07/12/20,,,,26741.608404294526,36755.98624401479,36514.40535169067
07/13/20,,,,25808.116724276733,36710.50359899572,37493.37967672755
07/14/20,,,,24909.188700404393,36632.068291104144,38470.74300849147
07/15/20,,,,24044.39867607301,36521.90723220446,39445.69409172253
07/16/20,,,,23213.180993356076,36381.3616104708,40417.45739617313
07/17/20,,,,22414.829993005016,36211.88689038701,41385.28311660798
07/18/20,,,,21648.50001444921,36015.0528127467,42348.44717280411
07/19/20,,,,20913.205395795987,35792.5433946532,43306.25120955083
07/20/20,,,,20207.82047383063,35546.15692951958,44258.022596649804
07/21/20,,,,19531.079584016377,35277.80598706867,45203.114428914974
07/22/20,,,,18881.69913969584,34989.41863961179,46140.88222069236
07/23/20,,,,18259.240372331133,34682.15245061574,47070.60717705312
07/24/20,,,,17662.808122812385,34357.36819978068,47991.82367740693
07/25/20,,,,17091.373899841466,34016.492379451454,48904.13372070707
07/26/20,,,,16543.94086486173,33660.8958284134,49807.16330672487
07/27/20,,,,16019.543832057972,33291.89373189234,50700.56243604967
07/28/20,,,,15517.249268356483,32910.74562155463,51584.005110088874
07/29/20,,,,15036.15529342501,32518.655375507107,52457.18933106787
07/30/20,,,,14575.391679672764,32116.7712182971,53319.83710203012
07/31/20,,,,14134.119852250438,31706.185720912465,54171.694426837086
08/01/20,,,,13711.53288905018,31287.935800781535,55012.53131016827
08/02/20,,,,13306.85552070562,30863.002721773166,55842.1417575212
08/03/20,,,,12919.344130591842,30432.3120941967,56660.34377521145
08/04/20,,,,12548.28675482541,29996.733874801983,57466.97937037259
08/05/20,,,,12193.003082264357,29557.082366779374,58261.91455095625
08/06/20,,,,11852.844454508175,29114.11621975972,59045.03932573209
08/07/20,,,,11527.193865897832,28668.538429814373,59816.26770428778
08/08/20,,,,11215.465963515768,28220.996339455192,60575.53769702902
