,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.88507990117,2.0679176063451186,10.047002492480305
1/24/20,0.0,0.0,0.0,99999.76625739996,2.138141469870263,10.095601130183688
1/25/20,0.0,0.0,0.0,99999.64339725474,2.2107515110748044,10.145851234179997
1/26/20,0.0,0.0,0.0,99999.51635395309,2.2858337173307377,10.197812329576935
1/27/20,0.0,0.0,0.0,99999.38499155555,2.363468424033563,10.251540020413252
1/28/20,0.0,0.0,0.0,99999.24916920342,2.443738873442818,10.30709192312615
1/29/20,0.0,0.0,0.0,99999.10873942483,2.5267322150525486,10.364528360103598
1/30/20,0.0,0.0,0.0,99998.96354813472,2.6125395055913123,10.423912359684342
1/31/20,0.0,0.0,0.0,99998.81343463481,2.7012557090221754,10.485309656157899
2/1/20,0.0,0.0,0.0,99998.65823161369,2.792979696542715,10.548788689764555
2/2/20,0.0,0.0,0.0,99998.49776514672,2.887814246585016,10.614420606695367
2/3/20,0.0,0.0,0.0,99998.33185469608,2.9858660448156766,10.68227925909217
2/4/20,0.0,0.0,0.0,99998.16031311081,3.0872456841358016,10.75244120504756
2/5/20,0.0,0.0,0.0,99997.98294662671,3.1920676646810078,10.824985708604915
2/6/20,0.0,0.0,0.0,99997.79955486642,3.3004503938214214,10.89999473975838
2/7/20,0.0,0.0,0.0,99997.60993083938,3.4125161861616773,10.977552974452873
2/8/20,0.0,0.0,0.0,99997.41386094187,3.5283912635409216,11.05774779458408
2/9/20,0.0,0.0,0.0,99997.21112495696,3.6482057550328104,11.140669287998461
2/10/20,0.0,0.0,0.0,99997.00149605455,3.7720936969455092,11.226410248493252
2/11/20,0.0,0.0,0.0,99996.78474079135,3.900193032821693,11.315066175816455
2/12/20,0.0,0.0,0.0,99996.5606191109,4.0326456134385475,11.406735275666842
2/13/20,0.0,0.0,0.0,99996.3288843435,4.169597196807768,11.501518459693964
2/14/20,0.0,0.0,0.0,99996.08928320633,4.311197448175559,11.599519345498138
2/15/20,0.0,0.0,0.0,99995.84155580334,4.457599940022637,11.700844256630456
2/16/20,0.0,0.0,0.0,99995.58540309862,4.608981323401239,11.80561557796266
2/17/20,0.0,0.0,0.0,99995.32043407772,4.76557247040892,11.91399345186731
2/18/20,0.0,0.0,0.0,99995.0463918691,4.92752520232105,12.026082928575143
2/19/20,0.0,0.0,0.0,99994.76301855905,5.094991972938003,12.14198946799576
2/20/20,0.0,0.0,0.0,99994.47003842848,5.268135749043994,12.261825822464568
2/21/20,0.0,0.0,0.0,99994.16715795285,5.4471300104070774,12.385712036742783
2/22/20,0.0,0.0,0.0,99993.8540658022,5.6321587497791485,12.513775448017423
2/23/20,0.0,0.0,0.0,99993.5304328412,5.823416472895944,12.646150685901313
2/24/20,0.0,0.0,0.0,99993.19591212909,6.021108198477039,12.782979672433088
2/25/20,0.0,0.0,0.0,99992.85013891969,6.22544945822585,12.924411622077184
2/26/20,0.0,0.0,0.0,99992.49273066144,6.436666296829637,13.070603041723842
2/27/20,0.0,0.0,0.0,99992.12328699735,6.6549952719594945,13.221717730689116
2/28/20,0.0,0.0,0.0,99991.74138976501,6.880683454270361,13.37792678071486
2/29/20,1.0,0.0,0.0,99991.34660299662,7.113988427401017,13.539408575968736
3/1/20,1.0,0.0,0.0,99990.93847291898,7.355178287974079,13.706348793044208
3/2/20,1.0,0.0,0.0,99990.51652795344,7.604531645596008,13.878940400960555
3/3/20,1.0,0.0,0.0,99990.08027871598,7.862337622857104,14.057383661162856
3/4/20,1.0,0.0,0.0,99989.62921801714,8.128895855331507,14.241886127521992
3/5/20,1.0,0.0,0.0,99989.16282086208,8.404516491577198,14.43266264633466
3/6/20,1.0,0.0,0.0,99988.68054445053,8.689520193135994,14.629935356323355
3/7/20,1.0,0.0,0.0,99988.18182817682,8.984238134533562,14.83393368863638
3/8/20,1.0,0.0,0.0,99987.66609362987,9.289012003279403,15.044894366847846
3/9/20,1.0,0.0,0.0,99987.13274459317,9.60419399986686,15.26306140695767
3/10/20,1.0,0.0,0.0,99986.58116704483,9.930146837773115,15.48868611739157
3/11/20,1.0,0.0,0.0,99986.01072915754,10.26724374345919,15.722027099001075
3/12/20,2.0,0.0,0.0,99985.42078129856,10.615868456369952,15.96335024506352
3/13/20,2.0,0.0,0.0,99984.81065602977,10.976415228934105,16.212928741282045
