,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.93403494159,2.062901555522425,10.003063502885603
1/24/20,0.0,0.0,0.0,99999.86599527884,2.1277813659420968,10.006223355204769
1/25/20,0.0,0.0,0.0,99999.79581468257,2.1947026798175573,10.009482637605299
1/26/20,0.0,0.0,0.0,99999.72342176839,2.263733565997188,10.012844665610212
1/27/20,0.0,0.0,0.0,99999.64874949893,2.3349379483692574,10.01631255269305
1/28/20,0.0,0.0,0.0,99999.57172881073,2.40838168283536,10.01988950643101
1/29/20,0.0,0.0,0.0,99999.4922876801,2.4841334479814434,10.023578871911411
1/30/20,0.0,0.0,0.0,99999.41035112318,2.5622647450778064,10.027384131731704
1/31/20,0.0,0.0,0.0,99999.32584119591,2.6428498980791018,10.031308905999463
2/1/20,0.0,0.0,0.0,99999.23867699403,2.7259660536243344,10.035356952332386
2/2/20,0.0,0.0,0.0,99999.1487746531,2.811693181036861,10.039532165858297
2/3/20,0.0,0.0,0.0,99999.05604734845,2.900114072324392,10.04383857921515
2/4/20,0.0,0.0,0.0,99998.96040529526,2.991314342178989,10.04828036255102
2/5/20,0.0,0.0,0.0,99998.8617557485,3.0853824279770685,10.052861823524111
2/6/20,0.0,0.0,0.0,99998.76000300291,3.1824095897793967,10.05758740730275
2/7/20,0.0,0.0,0.0,99998.65504839309,3.282489910331095,10.062461696565391
2/8/20,0.0,0.0,0.0,99998.54679029343,3.3857202950616343,10.067489411500615
2/9/20,0.0,0.0,0.0,99998.4351241181,3.492200472084842,10.072675409807129
2/10/20,0.0,0.0,0.0,99998.3199423211,3.6020329921988936,10.07802468669376
2/11/20,0.0,0.0,0.0,99998.20113439622,3.715323228886321,10.08354237487947
2/12/20,0.0,0.0,0.0,99998.07858687709,3.8321793783140072,10.08923374459334
2/13/20,0.0,0.0,0.0,99997.95218333708,3.9527124593331875,10.095104203574577
2/14/20,0.0,0.0,0.0,99997.82180438944,4.077036313479449,10.101159297072519
2/15/20,0.0,0.0,0.0,99997.68732768718,4.205267604972734,10.107404707846625
2/16/20,0.0,0.0,0.0,99997.54862647703,4.337527199487483,10.113846323480294
2/17/20,0.0,0.0,0.0,99997.40551671304,4.473990588712627,10.120492698240529
2/18/20,0.0,0.0,0.0,99997.25785351588,4.614795921130166,10.127350562974756
2/19/20,0.0,0.0,0.0,99997.10551945849,4.760055171350857,10.134425370146129
2/20/20,0.0,0.0,0.0,99996.94838933664,4.909887729661512,10.141722933689703
2/21/20,0.0,0.0,0.0,99996.78633016895,5.064420402024995,10.14924942901244
2/22/20,0.0,0.0,0.0,99996.61920119693,5.223787410080223,10.157011392993201
2/23/20,0.0,0.0,0.0,99996.44685388487,5.388130391142169,10.165015723982748
2/24/20,0.0,0.0,0.0,99996.26913192,5.557598398201859,10.173269681803747
2/25/20,0.0,0.0,0.0,99996.08587121232,5.732347899926371,10.181780887750763
2/26/20,0.0,0.0,0.0,99995.89689989474,5.912542780658838,10.19055732459027
2/27/20,0.0,0.0,0.0,99995.70203832301,6.098354340418447,10.199607336560634
2/28/20,0.0,0.0,0.0,99995.50109907573,6.289961294900437,10.208939629372132
2/29/20,0.0,0.0,0.0,99995.29388695431,6.487549775476103,10.218563270206936
3/1/20,0.0,0.0,0.0,99995.08019898308,6.691313329192791,10.228487687719126
3/2/20,0.0,0.0,0.0,99994.85982440918,6.901452918773903,10.238722672034678
3/3/20,0.0,0.0,0.0,99994.63254470262,7.118176922618893,10.249278374751475
3/4/20,0.0,0.0,0.0,99994.39813355626,7.341701134803268,10.2601653089393
3/5/20,0.0,0.0,0.0,99994.15635688578,7.572248765078591,10.271394349139838
3/6/20,0.0,0.0,0.0,99993.90697282976,7.8100504388724765,10.282976731366675
3/7/20,0.0,0.0,0.0,99993.6497317496,8.055344197288598,10.294924053105301
3/8/20,0.0,0.0,0.0,99993.38437622957,8.30837549710667,10.307248273313107
3/9/20,0.0,0.0,0.0,99993.1106410768,8.569397210782476,10.319961712419385
3/10/20,1.0,0.0,0.0,99992.82825332122,8.838669626447842,10.33307705232533
3/11/20,1.0,0.0,0.0,99992.53693221568,9.116460447910653,10.34660733640404
3/12/20,1.0,0.0,0.0,99992.23638923584,9.403044794654846,10.360565969500511
3/13/20,1.0,0.0,0.0,99991.92632808023,9.698705201840411,10.374966717931647
3/14/20,1.0,0.0,0.0,99991.60644467021,10.003731620303395,10.389823709486251
3/15/20,1.0,0.0,0.0,99991.27642715002,10.318421416555893,10.405151433425024
3/16/20,1.0,0.0,0.0,99990.93595588673,10.643079372786056,10.420964740480578
3/17/20,5.0,0.0,0.0,99990.58470347027,10.978017686858095,10.437278842857417
3/18/20,6.0,0.0,0.0,99990.22233471346,11.323555972312263,10.454109314231953
3/19/20,6.0,0.0,0.0,99989.84850665188,11.680021258364876,10.4714720897525
3/20/20,6.0,0.0,0.0,99989.46286854404,12.047747989908297,10.489383466039273
3/21/20,10.0,0.0,0.0,99989.0650618713,12.427078027510952,10.507860101184388
3/22/20,10.0,0.0,0.0,99988.65472033783,12.818360647417304,10.526919014751861
3/23/20,10.0,0.0,0.0,99988.23146987068,13.221952541547893,10.546577587777616
3/24/20,10.0,0.0,0.0,99987.79492861973,13.638217817499292,10.566853562769476
3/25/20,10.0,0.0,0.0,99987.34470695774,14.067527998544136,10.587765043707162
3/26/20,11.0,0.0,0.0,99986.88040748032,14.510262023631114,10.609330496042304
3/27/20,11.0,0.0,0.0,99986.4016250059,14.966806247384966,10.631568746698427
3/28/20,12.0,0.0,0.0,99985.90794657581,15.437554440106489,10.654498984070965
3/29/20,12.0,0.0,0.0,99985.39863673924,15.923207768834292,10.678155491925047
3/30/20,10.0,2.0,0.0,99984.87294310545,16.42448355984767,10.70257333470574
3/31/20,10.0,2.0,0.0,99984.33049883398,16.941731650523916,10.72776951550067
4/1/20,12.0,2.0,0.0,99983.77090673117,17.475330817108844,10.753762451732275
4/2/20,12.0,2.0,0.0,99983.19373840388,18.025689581339368,10.780572014781376
4/3/20,12.0,2.0,0.0,99982.59853425957,18.59324621044351,10.80821952998718
4/4/20,12.0,2.0,0.0,99981.98480350622,19.178468717140404,10.836727776647285
4/5/20,12.0,2.0,0.0,99981.35202415235,19.78185485964029,10.866120988017668
4/6/20,13.0,2.0,0.0,99980.69964300704,20.403932141644507,10.896424851312698
4/7/20,11.0,4.0,0.0,99980.02707567996,21.045257812345508,10.927666507705128
4/8/20,12.0,4.0,0.0,99979.33370658125,21.706418866426848,10.959874552326097
4/9/20,12.0,4.0,0.0,99978.61888892167,22.388032044063195,10.993079034265131
4/10/20,12.0,4.0,0.0,99977.88194471251,23.09074383092031,11.02731145657014
4/11/20,12.0,4.0,0.0,99977.1221647656,23.815230458155078,11.062604776247422
4/12/20,12.0,4.0,0.0,99976.33880869333,24.562197902415477,11.09899340426166
4/13/20,13.0,4.0,0.0,99975.53110490863,25.332381885840597,11.136513205535927
4/14/20,25.0,5.0,0.0,99974.69825062499,26.126547876060638,11.175201498951678
4/15/20,25.0,5.0,0.0,99973.83941185646,26.9454910861969,11.215097057348753
4/16/20,26.0,5.0,0.0,99972.95372341761,27.790036474861793,11.256240107525382
4/17/20,26.0,5.0,0.0,99972.0402889236,28.66103874615883,11.298672330238182
4/18/20,26.0,5.0,0.0,99971.09818079011,29.559382349682632,11.342436860202149
4/19/20,25.0,7.0,0.0,99970.12644023339,30.485981480518934,11.387578286090674
4/20/20,26.0,7.0,0.0,99969.12407727021,31.44178007924457,11.434142650535529
4/21/20,26.0,8.0,0.0,99968.09007071795,32.42775183192748,11.482177450126873
4/22/20,27.0,8.0,0.0,99967.02336819447,33.444900170126715,11.53173163541325
4/23/20,27.0,9.0,0.0,99965.9228861182,34.494258270892416,11.582855610901595
4/24/20,28.0,9.0,0.0,99964.78750970819,35.576889056765864,11.635601235057223
4/25/20,28.0,9.0,0.0,99963.61609298392,36.693885195779416,11.690021820303839
4/26/20,29.0,9.0,0.0,99962.40745876552,37.84636910145656,11.746172133023531
4/27/20,28.0,10.0,0.0,99961.16039867363,39.03549293281185,11.80410839355678
4/28/20,28.0,10.0,0.0,99959.87367312945,40.262438594351,11.863888276202445
4/29/20,28.0,10.0,0.0,99958.54601135472,41.52841773607079,11.925570909217775
4/30/20,28.0,10.0,0.0,99957.17611137172,42.83467175345913,11.989216874818405
5/1/20,28.0,10.0,0.0,99955.76264000333,44.18247178749502,12.054888209178355
5/2/20,29.0,10.0,0.0,99954.30423287292,45.57311872464857,12.122648402430034
5/3/20,29.0,10.0,0.0,99952.79949440446,47.007943196881016,12.192562398664233
5/4/20,28.0,12.0,0.0,99951.24699782243,48.488305581644674,12.264696595930134
5/5/20,28.0,13.0,0.0,99949.64528515188,50.01559600188297,12.339118846235301
5/6/20,28.0,13.0,0.0,99947.99286721843,51.59123432603045,12.415898455545687
5/7/20,28.0,13.0,0.0,99946.2882236482,53.21667016801277,12.495106183785627
5/8/20,29.0,13.0,0.0,99944.52980286791,54.893382887246666,12.576814244837847
5/9/20,28.0,14.0,0.0,99942.71602210483,56.62288158864003,12.661096306543456
5/10/20,28.0,14.0,0.0,99940.84526738671,58.406705122591774,12.748027490701954
5/11/20,28.0,14.0,0.0,99938.91589354194,60.24642208499203,12.83768437307122
5/12/20,27.0,15.0,0.0,99936.92622419941,62.14363081722193,12.930144983367523
5/13/20,27.0,15.0,0.0,99934.87455178858,64.09995940615377,13.025488805265518
5/14/20,83.0,15.0,0.0,99932.75913753945,66.11706568415097,13.123796776398247
5/15/20,78.0,20.0,0.0,99930.57821148257,68.19663722906802,13.225151288357136
5/16/20,115.0,20.0,0.0,99928.32995560547,70.34040739517444,13.329636999352836
5/17/20,115.0,21.0,0.0,99926.0102240934,72.55232516820485,13.437450738386428
5/18/20,116.0,24.0,0.0,99923.61579514836,74.83546048138743,13.548744370252985
5/19/20,114.0,26.0,0.0,99921.14508024575,77.19132899775033,13.663590756496536
5/20/20,114.0,26.0,0.0,99918.59634556064,79.62158481719607,13.782069622168013
5/21/20,114.0,26.0,0.0,99915.96771196766,82.12802047650153,13.904267555825244
5/22/20,113.0,28.0,0.0,99913.25715504115,84.71256694931799,14.030278009532966
5/23/20,111.0,30.0,0.0,99910.46250505497,87.37729364617111,14.160201298862809
5/24/20,109.0,32.0,0.0,99907.58144698264,90.12440841446096,14.294144602893311
05/25/20,,,,99904.61152049733,92.95625753846194,14.43222196420991
05/26/20,,,,99901.55011997177,95.87532573932289,14.57455428890494
05/27/20,,,,99898.39449447836,98.88423617506697,14.721269346577643
05/28/20,,,,99895.14174778906,101.98575044059181,14.872501770334155
05/29/20,,,,99891.78883837553,105.18276856766934,15.028393056787522
05/30/20,,,,99888.33257940899,108.47832902494594,15.189091566057687
05/31/20,,,,99884.76963876028,111.87560871794231,15.354752521771491
06/01/20,,,,99881.09653899987,115.37792298905357,15.525538011062679
06/02/20,,,,99877.30965739787,118.98872561754925,15.701616984571901
06/03/20,,,,99873.40522592398,122.7116088195732,15.883165256446702
06/04/20,,,,99869.37933124752,126.5503032481437,16.07036550434153
06/05/20,,,,99865.22791473742,130.50867799315344,16.26340726941774
06/06/20,,,,99860.94677246228,134.5907405813694,16.46248695634358
06/07/20,,,,99856.53155519027,138.800636976433,16.667807833294198
06/08/20,,,,99851.97776838919,143.14265157886007,16.879580031951658
06/09/20,,,,99847.28077222646,147.62120722604084,17.09802054750491
06/10/20,,,,99842.4357815691,152.24086519223977,17.32335323864981
06/11/20,,,,99837.43786598381,157.0063251885959,17.55580882758911
06/12/20,,,,99832.28194973685,161.92242536312253,17.795624900032482
06/13/20,,,,99826.96281179409,166.99414230070738,18.043045905196475
06/14/20,,,,99821.47508582108,172.22659102311263,18.298323155804557
06/15/20,,,,99815.81326018294,177.62502498897467,18.561714828087087
06/16/20,,,,99809.97167794441,183.1948360938044,18.833485961781328
06/17/20,,,,99803.94453686988,188.9415546699871,19.11390846013145
06/18/20,,,,99797.72588942332,194.8708494867824,19.403261089888517
06/19/20,,,,99791.30964276836,200.98852775032435,19.701829481310494
06/20/20,,,,99784.68955876821,207.30053510362134,20.00990612816225
06/21/20,,,,99777.85925398572,213.8129556265561,20.32779038771556
06/22/20,,,,99770.81219968337,220.5320118358859,20.655788480749088
06/23/20,,,,99763.5417218232,227.4640646852422,20.99421349154841
06/24/20,,,,99756.04100106696,234.6156135651311,21.34338536790601
06/25/20,,,,99748.30307277595,241.9932963029328,21.703630921121245
06/26/20,,,,99740.32082701109,249.60388916290196,22.075283826000398
06/27/20,,,,99732.08700853297,257.45430684616787,22.45868462085665
06/28/20,,,,99723.59421680175,265.5516024907338,22.854180707510082
06/29/20,,,,99714.83490597723,273.90296767147777,23.262126351287662
06/30/20,,,,99705.80138491883,282.51573240015193,23.682882681023287
07/01/20,,,,99696.48581718556,291.397365125383,24.116817689057726
07/02/20,,,,99686.88022103609,300.5554727326719,24.564306231238675
07/03/20,,,,99676.97646942869,309.997800544394,25.025730026920705
07/04/20,,,,99666.76629002123,319.7322323197992,25.50147765896531
07/05/20,,,,99656.24126517125,329.76679025501153,25.991944573740874
07/06/20,,,,99645.39283193584,340.10963498302976,26.497533081122697
07/07/20,,,,99634.21228207178,350.7690655737266,27.018652354492954
07/08/20,,,,99622.68554025385,361.75848302743503,27.55597671871811
07/09/20,,,,99610.79741345106,373.0923557688042,28.11023078013185
07/10/20,,,,99598.53768545776,384.78042422129613,28.681890320945012
07/11/20,,,,99585.89563939176,396.83290482818603,29.271455780054595
07/12/20,,,,99572.86005537625,409.26049225551657,29.879452368233796
07/13/20,,,,99559.41921053977,422.0743593920979,30.50643006813201
07/14/20,,,,99545.56087901622,435.2861573495076,31.15296363427482
07/15/20,,,,99531.27233194484,448.9080154620907,31.819652593064028
07/16/20,,,,99516.54033747026,462.9525412869598,32.507121242777615
07/17/20,,,,99501.35116074243,477.4328206039947,33.21601865356976
07/18/20,,,,99485.69056391668,492.3624174158429,33.947018667470864
07/19/20,,,,99469.5438061537,507.75537394791934,34.700819898387486
07/20/20,,,,99452.89564361949,523.6262106484063,35.47814573210242
07/21/20,,,,99435.73032948546,539.9899261882537,36.27974432627464
07/22/20,,,,99418.03161392838,556.8619974611785,37.10638861043931
07/23/20,,,,99399.78274413032,574.2583795836657,37.95887628600781
07/24/20,,,,99380.96646427877,592.1955058949675,38.8380298262677
07/25/20,,,,99361.5650155665,610.6902879571032,39.74469647638277
07/26/20,,,,99341.56013619175,629.7601155548604,40.67974825339296
07/27/20,,,,99320.933061358,649.4228566957933,41.644081946214456
07/28/20,,,,99299.66452327413,669.6968576102239,42.63861911563959
07/29/20,,,,99277.73475115442,690.6009427512419,43.66430609433695
07/30/20,,,,99255.12347121844,712.1544147947039,44.72211398685127
07/31/20,,,,99231.80990669117,734.3770546392348,45.81303866960353
08/01/20,,,,99207.77277780288,757.2891214062258,46.93810079089084
08/02/20,,,,99182.99030178928,780.9113524398368,48.098345770886596
08/03/20,,,,99157.44019289136,805.2649633069943,49.29484380164031
08/04/20,,,,99131.09966235553,830.3716477973926,50.52868984707775
08/05/20,,,,99103.9454184335,856.2535779234931,51.80100364300085
08/06/20,,,,99075.95366638238,882.9334039205254,53.11292969708775
08/07/20,,,,99047.10010846463,910.4342542464859,54.46563728889279
08/08/20,,,,99017.35994394802,938.7797355821385,55.860320469846506
