,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.9334185554,2.066581288638944,10.000000155946772
1/24/20,0.0,0.0,0.0,99999.86462062105,2.1353790618499984,10.000000317085103
1/25/20,0.0,0.0,0.0,99999.79353097921,2.2064685372070953,10.000000483591185
1/26/20,0.0,0.0,0.0,99999.7200686353,2.2799307090491396,10.000000655654741
1/27/20,0.0,0.0,0.0,99999.6441578594,2.355841307156556,10.000000833453154
1/28/20,0.0,0.0,0.0,99999.5657203194,2.4342786634305766,10.000001017169902
1/29/20,0.0,0.0,0.0,99999.4846740877,2.5153247053055563,10.00000120699689
1/30/20,0.0,0.0,0.0,99999.40093364113,2.599064955748973,10.000001403134439
1/31/20,0.0,0.0,0.0,99999.31440986095,2.6855885332614275,10.000001605791303
2/1/20,0.0,0.0,0.0,99999.22501003294,2.7749881518766437,10.00000181518465
2/2/20,0.0,0.0,0.0,99999.1326378473,2.867360121161468,10.000002031540081
2/3/20,0.0,0.0,0.0,99999.03719339869,2.9628043462158704,10.000002255091614
2/4/20,0.0,0.0,0.0,99998.93857318624,3.0614243276729436,10.00000248608169
2/5/20,0.0,0.0,0.0,99998.83667011354,3.163327161698903,10.000002724761181
2/6/20,0.0,0.0,0.0,99998.73137348863,3.2686235399930865,10.000002971389375
2/7/20,0.0,0.0,0.0,99998.62256902398,3.3774277497879557,10.000003226233984
2/8/20,0.0,0.0,0.0,99998.51013883659,3.4898576738490954,10.00000348957115
2/9/20,0.0,0.0,0.0,99998.39396144784,3.606034790475213,10.00000376168543
2/10/20,0.0,0.0,0.0,99998.27391178363,3.7260841734981383,10.000004042869811
2/11/20,0.0,0.0,0.0,99998.1498611743,3.850134492282824,10.000004333425704
2/12/20,0.0,0.0,0.0,99998.02167735461,3.978318011727348,10.000004633662936
2/13/20,0.0,0.0,0.0,99997.88922446384,4.110770592262906,10.000004943899764
2/14/20,0.0,0.0,0.0,99997.75236304569,4.247631689853824,10.00000526446287
2/15/20,0.0,0.0,0.0,99997.61095004831,4.389044355997543,10.000005595687352
2/16/20,0.0,0.0,0.0,99997.46482802034,4.535166041712685,10.0000059379421
2/17/20,0.0,0.0,0.0,99997.31377640698,4.6862173012777255,10.000006291744134
2/18/20,0.0,0.0,0.0,99997.15764727393,4.842346068627803,10.000006657439958
2/19/20,0.0,0.0,0.0,99996.99630055518,5.003692409457122,10.000007035357582
2/20/20,0.0,0.0,0.0,99996.8295865202,5.170406053951075,10.000007425847668
2/21/20,0.0,0.0,0.0,99996.65734577393,5.342646396786259,10.000007829283529
2/22/20,0.0,0.0,0.0,99996.4794092568,5.520582497130459,10.000008246061137
2/23/20,0.0,0.0,0.0,99996.29559824476,5.70439307864266,10.000008676599114
2/24/20,0.0,0.0,0.0,99996.10572434918,5.894266529473041,10.000009121338742
2/25/20,0.0,0.0,0.0,99995.90958951699,6.090400902262977,10.000009580743951
