,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.86774700144,2.1322527621305847,10.00000023643891
1/24/20,0.0,0.0,0.0,99999.7267488208,2.273250690695196,10.000000488512601
1/25/20,0.0,0.0,0.0,99999.57639180493,2.4236074377418824,10.00000075731829
1/26/20,0.0,0.0,0.0,99999.41604674669,2.583952209326947,10.000001043980989
1/27/20,0.0,0.0,0.0,99999.24511406546,2.7548845849679706,10.000001349572617
1/28/20,0.0,0.0,0.0,99999.06292940512,2.9370689196006556,10.000001675280936
1/29/20,0.0,0.0,0.0,99998.86876263951,3.1312353380759514,10.00000202241133
1/30/20,0.0,0.0,0.0,99998.66181787245,3.33817973516006,10.000002392386808
1/31/20,0.0,0.0,0.0,99998.44123343771,3.558763775534433,10.000002786748002
2/1/20,0.0,0.0,0.0,99998.20608189906,3.7939148937957707,10.000003207153163
2/2/20,0.0,0.0,0.0,99997.95537005017,4.044626294456027,10.00000365537817
2/3/20,0.0,0.0,0.0,99997.68803891474,4.311956951942401,10.000004133316521
2/4/20,0.0,0.0,0.0,99997.40296374643,4.5970316105973446,10.00000464297934
2/5/20,0.0,0.0,0.0,99997.09895402883,4.901040784678563,10.000005186495372
2/6/20,0.0,0.0,0.0,99996.77475347553,5.225240758359007,10.000005766110984
2/7/20,0.0,0.0,0.0,99996.42904003008,5.57095358572688,10.00000638419017
2/8/20,0.0,0.0,0.0,99996.060425866,5.9395670907856335,10.000007043214541
2/9/20,0.0,0.0,0.0,99995.66745738676,6.332534867453972,10.000007745783337
2/10/20,0.0,0.0,0.0,99995.24861522582,6.751376279565846,10.000008494613416
2/11/20,0.0,0.0,0.0,99994.8019218238,7.198068882958291,10.000009293243162
2/12/20,0.0,0.0,0.0,99994.32534779057,7.674642064133922,10.000010145303118
2/13/20,0.0,0.0,0.0,99993.81730241145,8.182686534913385,10.000011053636007
2/14/20,0.0,0.0,0.0,99993.27596823353,8.724019744983366,10.00001202149044
2/15/20,0.0,0.0,0.0,99992.69929784838,9.300689099103243,10.000013052526699
2/16/20,0.0,0.0,0.0,99992.08501389208,9.914971957105083,10.000014150816732
2/17/20,0.0,0.0,0.0,99991.43060904527,10.569375633893648,10.000015320844152
2/18/20,0.0,0.0,0.0,99990.73334603306,11.266637399446388,10.000016567504245
2/19/20,0.0,0.0,0.0,99989.99025762509,12.009724478813448,10.000017896103959
2/20/20,0.0,0.0,0.0,99989.19814663552,12.801834052117663,10.000019312361905
2/21/20,0.0,0.0,0.0,99988.35358592305,13.64639325455456,10.00002082240837
2/22/20,0.0,0.0,0.0,99987.45291839083,14.547059176392363,10.000022432785302
2/23/20,0.0,0.0,0.0,99986.49225698659,15.507718862971974,10.000024150446317
2/24/20,0.0,0.0,0.0,99985.46748470255,16.532489314707,10.000025982756698
2/25/20,0.0,0.0,0.0,99984.37425457544,17.625717487083733,10.000027937493396
2/26/20,0.0,0.0,0.0,99983.2079896865,18.79198029066116,10.000030022845028
2/27/20,0.0,0.0,0.0,99981.96388316153,20.03608459107096,10.000032247411875
2/28/20,0.0,0.0,0.0,99980.63689817078,21.363067209017494,10.000034620205893
2/29/20,0.0,0.0,0.0,99979.22176792908,22.778194920277834,10.000037150650694
3/1/20,0.0,0.0,0.0,99977.71299569572,24.286964455701728,10.000039848581567
3/2/20,1.0,0.0,0.0,99976.10485477454,25.89510250121161,10.00004272424546
3/3/20,1.0,0.0,0.0,99974.3913885139,27.608565697802632,10.000045788300994
3/4/20,1.0,0.0,0.0,99972.56539313841,29.434557807927092,10.0000490536629
3/5/20,2.0,0.0,0.0,99970.61634844188,31.383599018870243,10.000052539244715
3/6/20,2.0,0.0,0.0,99968.53785445288,33.46208929065832,10.000056256465262
3/7/20,2.0,0.0,0.0,99966.32310451631,35.67683526621821,10.00006021746569
3/8/20,2.0,0.0,0.0,99963.96426187895,38.035673684810384,10.000064436240503
3/9/20,2.0,0.0,0.0,99961.45245968933,40.5474713820288,10.000068928637553
3/10/20,2.0,0.0,1.0,99958.77780099784,43.222125289801,10.000073712358047
3/11/20,4.0,0.0,1.0,99955.92935875665,46.07056243638802,10.000078806956537
3/12/20,5.0,0.0,1.0,99952.89517581978,49.104739946384484,10.000084233840933
3/13/20,5.0,1.0,1.0,99949.662264943,52.33764504071853,10.00009001627249
3/14/20,15.0,1.0,1.0,99946.21660878399,55.783295036651815,10.000096179365816
3/15/20,26.0,1.0,1.0,99942.54315990214,59.45673734777958,10.000102750088873
3/16/20,27.0,1.0,1.0,99938.6258407587,63.374049484030586,10.000109757262969
3/17/20,35.0,1.0,2.0,99934.44754371677,67.5523390516671,10.000117231562767
3/18/20,46.0,1.0,2.0,99929.9901310412,72.00974375328498,10.00012520551628
3/19/20,60.0,1.0,2.0,99925.23443489868,76.7654313878136,10.00013371350487
3/20/20,73.0,1.0,3.0,99920.16025735773,81.83959985051587,10.00014279176325
3/21/20,90.0,3.0,3.0,99914.74637038863,87.25347713298827,10.00015247837949
3/22/20,108.0,3.0,4.0,99908.97051586355,93.02932132316076,10.000162813295002
3/23/20,136.0,3.0,4.0,99902.8094055564,99.19042060529686,10.000173838304558
3/24/20,159.0,6.0,5.0,99896.23872114294,105.76109325999369,10.000185597056273
3/25/20,212.0,7.0,6.0,99889.23311420076,112.76668766418182,10.000198135051619
3/26/20,256.0,8.0,11.0,99881.76620620923,120.2335822911254,10.000211499645415
3/27/20,311.0,11.0,23.0,99873.81058854953,128.18918571042218,10.000225740045833
3/28/20,366.0,11.0,25.0,99865.33782250468,136.6619365880033,10.000240907314394
3/29/20,440.0,13.0,26.0,99856.30731715907,145.6924257651763,10.000257075749223
3/30/20,508.0,15.0,33.0,99846.67045764021,155.3292680252741,10.000274334513659
3/31/20,557.0,24.0,36.0,99836.39793767175,165.60176959322817,10.000292735015728
4/1/20,586.0,29.0,39.0,99825.45602834129,176.54365932192135,10.000312336793602
4/2/20,633.0,31.0,44.0,99813.80603658358,188.19363020785184,10.000333208560114
4/3/20,686.0,57.0,48.0,99801.40430518067,200.5953393911334,10.000355428202752
4/4/20,794.0,66.0,59.0,99788.20221276172,213.79740815549516,10.000379082783663
4/5/20,875.0,76.0,70.0,99774.14617380318,227.8534219282818,10.000404268539654
4/6/20,959.0,81.0,80.0,99759.17763862867,242.82193028045336,10.000431090882188
4/7/20,1001.0,93.0,90.0,99743.23309340901,258.7664469265854,10.000459664397386
4/8/20,1085.0,97.0,93.0,99726.24406016228,275.75544972486887,10.000490112846029
4/9/20,1168.0,109.0,97.0,99708.13709675372,293.8623806771103,10.000522569163556
4/10/20,1219.0,122.0,107.0,99688.83379689581,313.16564592873164,10.00055717546006
4/11/20,1288.0,146.0,111.0,99668.2507901482,333.74861576877015,10.000594083020298
4/12/20,1366.0,177.0,118.0,99646.29974191781,355.69962462987866,10.000633452303683
4/13/20,1434.0,203.0,126.0,99622.88735345873,379.11197108832556,10.000675452944284
4/14/20,1545.0,217.0,126.0,99597.91536187225,404.08391786399443,10.000720263750832
4/15/20,1668.0,229.0,127.0,99571.2805401069,430.7186918203846,10.000768072706714
4/16/20,1904.0,249.0,130.0,99542.87469695842,459.12448396461093,10.000819076969975
4/17/20,2148.0,281.0,135.0,99512.58467706972,489.4144494474032,10.000873482873319
4/18/20,2234.0,314.0,137.0,99480.29236093097,521.7067075631069,10.000931505924106
4/19/20,2387.0,327.0,141.0,99445.8746648795,556.1243417496834,10.000993370804357
4/20/20,2553.0,350.0,143.0,99409.20354109992,592.795399588709,10.00105931137075
4/21/20,2671.0,393.0,145.0,99370.14597762396,631.8528928053755,10.001129570654621
4/22/20,2880.0,417.0,149.0,99328.56399833065,673.4347972684906,10.001204400861967
4/23/20,2957.0,456.0,155.0,99284.31466294614,717.6840529904771,10.001284063373436
4/24/20,3114.0,486.0,158.0,99237.21078127169,764.7878497801723,10.001368948139335
4/25/20,3201.0,537.0,159.0,99187.04281575428,814.955724764135,10.001459481589263
4/26/20,3311.0,593.0,161.0,99133.63996842824,868.3584756295388,10.001555942223805
4/27/20,3263.0,695.0,162.0,99076.81200177128,925.1863395781786,10.001658650541202
4/28/20,3309.0,778.0,165.0,99016.34883797704,985.6493940526461,10.001767970305504
4/29/20,3225.0,928.0,168.0,98952.02055895512,1049.9775567363304,10.001884308546565
4/30/20,3269.0,984.0,170.0,98883.57740633102,1118.4205855534174,10.002008115560049
5/1/20,3315.0,1083.0,171.0,98810.7497814462,1191.2480786688905,10.002139884907423
5/2/20,3300.0,1256.0,173.0,98733.24824535806,1268.7494744885303,10.002280153415967
5/3/20,3291.0,1438.0,174.0,98650.7635188399,1351.2340516589143,10.00242950117876
5/4/20,3221.0,1653.0,179.0,98562.96648238103,1439.0309290674172,10.002588551554698
5/5/20,3200.0,1838.0,181.0,98469.50817618662,1532.4890658422114,10.002757971168476
5/6/20,3208.0,2017.0,183.0,98370.01980017782,1631.9772613522657,10.002938469910598
5/7/20,3186.0,2179.0,183.0,98264.11271399171,1737.8841552073468,10.003130800937377
5/8/20,3201.0,2324.0,186.0,98151.37843698131,1850.6182272580177,10.003335760670932
5/9/20,3263.0,2461.0,186.0,98031.38864821556,1970.6077975956393,10.003554188799189
5/10/20,3321.0,2554.0,188.0,97903.69518647935,2098.30102655237,10.00378696827588
5/11/20,3282.0,2811.0,188.0,97767.83005027351,2234.165914701164,10.004035025320546
5/12/20,3239.0,2991.0,188.0,97623.30539781481,2378.690302855773,10.004299329418533
5/13/20,3193.0,3131.0,188.0,97469.61354703593,2532.3818720707486,10.004580893320997
5/14/20,3107.0,3310.0,190.0,97306.22697558552,2695.768143641435,10.004880773044897
5/15/20,3062.0,3400.0,190.0,97132.59832082815,2869.396479103976,10.005200067873002
5/16/20,3062.0,3487.0,192.0,96948.16037984432,3053.834080235315,10.005539920353888
5/17/20,3018.0,3660.0,192.0,96752.3261094305,3249.6679890531877,10.005901516301934
5/18/20,3002.0,3758.0,192.0,96544.48862609908,3457.50508781613,10.006286084797335
5/19/20,2929.0,3901.0,193.0,96324.02120607834,3677.9720990234728,10.006694898186083
5/20/20,2841.0,4098.0,194.0,96090.33845391928,3911.6544168089736,10.007129271749541
5/21/20,2735.0,4280.0,196.0,95843.47970157258,4158.512707782138,10.007590645285928
5/22/20,2758.0,4377.0,197.0,95582.5693703516,4419.422548928232,10.008080720160788
5/23/20,2570.0,4638.0,198.0,95306.43028263933,4695.561116033695,10.008601326975578
5/24/20,2531.0,4703.0,199.0,95013.90148754203,4988.08935805413,10.009154403847567
05/25/20,,,,94703.83826088929,5298.151997114299,10.009741996409836
05/26/20,,,,94375.11210523406,5626.877528508127,10.010366257811276
05/27/20,,,,94026.61074985258,5975.378220698701,10.011029448716585
05/28/20,,,,93657.23815074442,6344.750115318266,10.011733937306275
05/29/20,,,,93265.9144906325,6736.07302716823,10.012482199276667
05/30/20,,,,92851.576178963,7150.410544219161,10.013276817839893
05/31/20,,,,92413.17585190549,7588.810027610792,10.014120483723893
06/01/20,,,,91949.68237235282,8052.302611652011,10.015015995172421
06/02/20,,,,91460.08082992118,8541.903203820875,10.01596625794504
06/03/20,,,,90943.37254095009,9058.610484764591,10.016974285317122
06/04/20,,,,90398.57504850237,9603.406908299541,10.018043198079852
06/05/20,,,,89824.7221223642,10177.258701411254,10.019176224540223
06/06/20,,,,89220.86375904504,10781.115864254434,10.020376700521037
06/07/20,,,,88586.0661817777,11415.912170152933,10.021648069360912
06/08/20,,,,87919.4118405183,12082.565165599775,10.022993881914271
06/09/20,,,,87219.99941194631,12781.976170257141,10.024417796551353
06/10/20,,,,86486.94379946447,13515.030276956368,10.025923579158198
06/11/20,,,,85719.3761331989,14282.596351697957,10.027515103136666
06/12/20,,,,84916.44376999901,15085.527033651582,10.029196349404423
06/13/20,,,,84077.31029343753,15924.658735156063,10.030971406394945
06/14/20,,,,83201.15551381055,16800.81164171939,10.03284447005752
06/15/20,,,,82287.17546813743,17714.7897120187,10.034819843857246
06/16/20,,,,81334.5824201609,18667.380677900313,10.036901938775031
06/17/20,,,,80342.83606576777,19659.12484262492,10.039091607312557
06/18/20,,,,79311.78644498481,20690.172165479777,10.041389535408694
06/19/20,,,,78241.24937018151,21760.706827164446,10.043802654041116
06/20/20,,,,77131.22180772357,22870.73185466422,10.04633761220733
06/21/20,,,,75981.88451929139,24020.066479989502,10.049000719114053
06/22/20,,,,74793.60206188004,25208.346140175785,10.051797944177222
06/23/20,,,,73566.9227877993,26435.022477283677,10.054734917021985
06/24/20,,,,72302.57884467363,27699.36333839889,10.057816927482703
06/25/20,,,,71001.48617544217,29000.452775632228,10.061048925602954
06/26/20,,,,69664.74451835876,30337.191046119613,10.064435521635525
06/27/20,,,,68293.6374069919,31708.294612022062,10.067980986042423
06/28/20,,,,66889.63217022481,33112.2961405257,10.071689249494863
06/29/20,,,,65454.37993225538,34547.54450384174,10.075563902873279
06/30/20,,,,63989.7156125962,36012.20477920653,10.079608197267314
07/01/20,,,,62497.657926074535,37504.25824888149,10.08382504397583
07/02/20,,,,60980.409382832324,39021.502400153164,10.0882170145069
07/03/20,,,,59440.356288326235,40561.550925333184,10.092786340577812
07/04/20,,,,57880.06874332759,42121.83372175829,10.097534914115066
07/05/20,,,,56302.3006439224,43699.596891790345,10.102464287254378
07/06/20,,,,54709.989681511375,45291.90274281628,10.107575672340676
07/07/20,,,,53106.2573428099,46895.62978724817,10.112869941928105
07/08/20,,,,51494.40890984807,48507.472742523154,10.11834762878002
07/09/20,,,,49877.933459970634,50123.9425311035,10.124008925868994
07/10/20,,,,48260.50386583706,51741.36628047658,10.12985368637681
07/11/20,,,,46645.97679542148,53355.887323154835,10.13588142369447
07/12/20,,,,45038.39271201272,54963.465196675854,10.142091311422181
07/13/20,,,,43441.97587421431,56559.875643602325,10.148482183369374
07/14/20,,,,41861.13433594445,58140.71061152201,10.155052533554692
07/15/20,,,,40300.459946436014,59701.37825304779,10.161800516205982
07/16/20,,,,38764.7283502366,61237.10292581766,10.16872394576032
07/17/20,,,,37256.145523784326,62745.67865503138,10.175821184308807
07/18/20,,,,35772.66063541835,64229.156273802,10.183090779649685
07/19/20,,,,34316.2547419303,65685.5547290034,10.19052906630886
