,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90652833694,2.0855315686245524,10.00794009443665
1/24/20,0.0,0.0,0.0,99999.80905938645,2.1747208610438102,10.016219752518275
1/25/20,1.0,0.0,0.0,99999.70741604823,2.267729931984626,10.02485401979232
1/26/20,1.0,0.0,0.0,99999.60140851312,2.3647324649007593,10.033859021994925
1/27/20,1.0,0.0,0.0,99999.49086248653,2.4658879481072193,10.043249565371488
1/28/20,1.0,0.0,0.0,99999.3755937828,2.571364920637624,10.053041296572468
1/29/20,1.0,0.0,0.0,99999.25540672182,2.6813424392266123,10.06325083896379
1/30/20,1.0,0.0,0.0,99999.13009412907,2.7960100783098456,10.073895792626844
1/31/20,1.0,0.0,0.0,99998.99943733563,2.9155679300240047,10.084994734358498
2/1/20,1.0,0.0,0.0,99998.86320617812,3.040226604206794,10.09656721767108
2/2/20,1.0,0.0,0.0,99998.72115899881,3.1702072283969356,10.10863377279239
2/3/20,1.0,0.0,0.0,99998.57304264551,3.3057414478341762,10.121215906665698
2/4/20,1.0,0.0,0.0,99998.4185924716,3.447071425459282,10.134336102949744
2/5/20,1.0,0.0,0.0,99998.25753233608,3.59444984191404,10.148017822018733
2/6/20,1.0,0.0,0.0,99998.08957460351,3.74813989554126,10.162285500962343
2/7/20,1.0,0.0,0.0,99997.91442014404,3.9084153023847703,10.177164553585715
2/8/20,1.0,0.0,0.0,99997.73175833341,4.0755602961894235,10.192681370409465
2/9/20,1.0,0.0,0.0,99997.54126705293,4.249869628401091,10.208863318669676
2/10/20,1.0,0.0,0.0,99997.34261268952,4.431648568166667,10.2257387423179
2/11/20,1.0,0.0,0.0,99997.13545013565,4.621212902334065,10.243336962021155
2/12/20,0.0,1.0,0.0,99996.91942278939,4.81888893545222,10.261688275161934
2/13/20,0.0,1.0,0.0,99996.6941625544,5.0250134897710925,10.28082395583819
2/14/20,0.0,1.0,0.0,99996.4592898399,5.239933905241658,10.300776254863356
2/15/20,0.0,1.0,0.0,99996.21435984735,5.464057176667902,10.321582975996458
2/16/20,0.0,1.0,0.0,99995.95880173684,5.697905605243245,10.343292657929748
2/17/20,0.0,1.0,0.0,99995.69223697962,5.9418255706744905,10.36593744970916
2/18/20,0.0,1.0,0.0,99995.41427289655,6.196176402978244,10.389550700485875
2/19/20,0.0,1.0,0.0,99995.12448219564,6.461349101506583,10.414168702864881
2/20/20,0.0,1.0,0.0,99994.82240297216,6.7377663349470565,10.43983069290497
2/21/20,0.0,1.0,0.0,99994.50753870857,7.025882441322685,10.466578850118742
2/22/20,0.0,1.0,0.0,99994.17935827454,7.32618342799196,10.494458297472605
2/23/20,0.0,1.0,0.0,99993.83729592698,7.639186971648845,10.523517101386771
2/24/20,0.0,1.0,0.0,99993.48075130995,7.965442418322775,10.553806271735258
2/25/20,0.0,1.0,0.0,99993.10908945478,8.305530783378657,10.585379761845893
2/26/20,0.0,1.0,0.0,99992.72164078,8.660064751516868,10.61829446850031
2/27/20,0.0,1.0,0.0,99992.3177010913,9.029688676773258,10.652610231933943
2/28/20,0.0,1.0,0.0,99991.89653158166,9.41507858251915,10.688389835836043
2/29/20,0.0,1.0,0.0,99991.4573588312,9.81694216146133,10.725699007349656
3/1/20,0.0,1.0,0.0,99990.9993748073,10.23601877564207,10.764606417071644
3/2/20,0.0,1.0,0.0,99990.52173686452,10.6730794564391,10.80518367905267
3/3/20,0.0,1.0,0.0,99990.02356774465,11.128926904565628,10.847505350797203
3/4/20,0.0,1.0,0.0,99989.50395557667,11.604395490070335,10.891648933263523
3/5/20,0.0,1.0,0.0,99988.96195387682,12.100351252337369,10.937694870863714
3/6/20,0.0,1.0,0.0,99988.39658154846,12.617691900086347,10.985726551463664
3/7/20,0.0,1.0,0.0,99987.80682288225,13.15734681137237,11.03583030638307
3/8/20,0.0,1.0,0.0,99987.19162755604,13.720277033586003,11.08809541039544
3/9/20,0.0,1.0,0.0,99986.54991063483,14.307475283453273,11.142614081728077
3/10/20,0.0,1.0,0.0,99985.88055257092,14.919965947035697,11.1994814820621
3/11/20,0.0,1.0,0.0,99985.18239920375,15.558805079730249,11.25879571653243
3/12/20,0.0,1.0,0.0,99984.45426176001,16.22508040626938,11.320657833727799
3/13/20,0.0,1.0,0.0,99983.6949168536,16.919911320721013,11.385171825690739
3/14/20,0.0,1.0,0.0,99982.90310648561,17.64444888648854,11.452444627917595
3/15/20,0.0,1.0,0.0,99982.07753804434,18.399875836310834,11.522586119358513
3/16/20,0.0,1.0,0.0,99981.21688430534,19.18740657226222,11.59570912241745
3/17/20,0.0,1.0,0.0,99980.3197834313,20.008287165752513,11.671929402952163
3/18/20,0.0,1.0,0.0,99979.38465526012,20.863963288240566,11.751381451661478
3/19/20,0.0,1.0,0.0,99978.40873208821,21.756966220381262,11.834301691419384
