,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.80470509989,2.1947253644643157,10.00056953564731
1/24/20,0.0,0.0,0.0,99999.59039626521,2.408409212150794,10.00119452263278
1/25/20,0.0,0.0,0.0,99999.35512957774,2.6429897915561735,10.001880630703745
1/26/20,0.0,0.0,0.0,99999.09693709452,2.9004293061322524,10.002633599336338
1/27/20,0.0,0.0,0.0,99998.81372361358,3.18281684750774,10.003459538915147
1/28/20,0.0,0.0,0.0,99998.50308548467,3.492549055648012,10.00436545967924
1/29/20,0.0,0.0,0.0,99998.16231060942,3.832330118855112,10.005359271722167
1/30/20,0.0,0.0,0.0,99997.78837844124,4.205171773767751,10.006449784991958
1/31/20,0.0,0.0,0.0,99997.37795998534,4.6143933053613075,10.007646709291118
2/1/20,0.0,0.0,0.0,99996.92741779877,5.063621546947824,10.008960654276638
2/2/20,0.0,0.0,0.0,99996.43280599036,5.556790880176015,10.01040312945999
2/3/20,0.0,0.0,0.0,99995.88987022077,6.098143235031259,10.011986544207119
2/4/20,0.0,0.0,0.0,99995.29404770242,6.6922280898356,10.013724207738456
2/5/20,0.0,0.0,0.0,99994.64042191954,7.343947618803951,10.01563046165599
2/6/20,0.0,0.0,0.0,99993.92253928508,8.059736572405379,10.017724142516224
2/7/20,0.0,0.0,0.0,99993.13468764588,8.845290444169427,10.020021909943587
2/8/20,0.0,0.0,0.0,99992.27092822838,9.706530691826542,10.022541079795483
2/9/20,0.0,0.0,0.0,99991.3242333976,10.650464454434625,10.025302147970262
2/10/20,0.0,0.0,0.0,99990.28648665722,11.685184552379033,10.02832879040722
2/11/20,0.0,0.0,0.0,99989.14848264954,12.819869487372571,10.0316478630866
2/12/20,0.0,0.0,0.0,99987.89992715552,14.06478344245551,10.035289402029592
2/13/20,0.0,0.0,0.0,99986.52943709471,15.431276281995567,10.039286623298333
2/14/20,0.0,0.0,0.0,99985.02454052532,16.931783551687914,10.0436759229959
2/15/20,0.0,0.0,0.0,99983.37167664418,18.579826478555177,10.048496877266329
2/16/20,0.0,0.0,0.0,99981.55619578676,20.390011970947434,10.05379224229459
2/17/20,0.0,0.0,0.0,99979.56235942715,22.37803261854223,10.059607954306603
2/18/20,0.0,0.0,0.0,99977.37334017809,24.560666692344547,10.065993129569241
2/19/20,0.0,0.0,0.0,99974.97122179093,26.95577814468684,10.073000064390314
2/20/20,0.0,0.0,0.0,99972.33699915565,29.58231660922899,10.080684235118586
2/21/20,0.0,0.0,0.0,99969.44688275352,32.46400200981382,10.089115236659689
2/22/20,0.0,0.0,0.0,99966.27192058458,35.629701593197396,10.098377822220389
2/23/20,0.0,0.0,0.0,99962.79026094524,39.10120349088387,10.10853556386464
2/24/20,0.0,0.0,0.0,99958.9756868307,42.90464833172331,10.119664837575135
2/25/20,0.0,0.0,0.0,99954.79708704246,47.07105656740405,10.131856390126265
2/26/20,0.0,0.0,0.0,99950.21845618846,51.63632847245273,10.145215339084118
2/27/20,1.0,0.0,0.0,99945.19889468295,56.64124414423427,10.159861172806483
2/28/20,1.0,0.0,0.0,99939.6926087466,62.13146350295186,10.175927750442842
2/29/20,6.0,0.0,0.0,99933.64891040641,68.157526291647,10.193563301934379
3/1/20,10.0,0.0,0.0,99927.01221749578,74.77485207619944,10.212930428013976
3/2/20,18.0,0.0,0.0,99919.72205365446,82.04374024532724,10.23420610020621
3/3/20,24.0,0.0,0.0,99911.71304832859,90.02937001058673,10.257581660827357
3/4/20,38.0,0.0,0.0,99902.91493677064,98.80180040637254,10.283262822985394
3/5/20,82.0,0.0,0.0,99893.2525600395,108.43597028991755,10.311469670579994
3/6/20,127.0,0.0,1.0,99882.6458650004,119.011698341293,10.342436658302525
3/7/20,187.0,0.0,1.0,99871.00990432495,130.6136830634083,10.376412611636058
3/8/20,262.0,0.0,3.0,99858.25483649113,143.33150278201126,10.413660726855358
3/9/20,318.0,0.0,3.0,99844.27033347423,157.27515879804994,10.454507727729377
3/10/20,378.0,0.0,4.0,99828.910645591,172.58996565672567,10.499388752278367
3/11/20,498.0,0.0,5.0,99812.07067423771,189.38071974334008,10.548606018954708
3/12/20,498.0,0.0,5.0,99793.62663962795,207.77084286958515,10.602517502457934
3/13/20,796.0,0.0,10.0,99773.43122579192,227.90722189208373,10.661552316002032
3/14/20,948.0,2.0,12.0,99751.3135805763,249.96020871238926,10.726210711315437
3/15/20,1116.0,2.0,20.0,99727.07931564437,274.123620276986,10.797064078641027
3/16/20,1390.0,2.0,24.0,99700.51050647597,300.61473857728885,10.874754946736129
3/17/20,1666.0,2.0,43.0,99671.36569236749,329.6743106496434,10.959996982872516
3/18/20,1998.0,2.0,58.0,99639.37987643183,361.566548575326,11.053574992836412
3/19/20,2388.0,2.0,77.0,99604.26452559853,396.5791294805437,11.156344920928483
3/20/20,2894.0,2.0,107.0,99565.70757061361,435.0231955364344,11.269233849963845
3/21/20,3501.0,2.0,137.0,99523.37340603967,477.23335395906645,11.39324000127206
3/22/20,4035.0,2.0,180.0,99476.90289025586,523.5676770094391,11.529432734697139
3/23/20,4548.0,2.0,214.0,99425.91334545793,574.4077019934822,11.678952548597536
3/24/20,5300.0,3.0,277.0,99369.9985576581,630.1584312620564,11.843011079846157
3/25/20,6077.0,4.0,357.0,99308.72877668522,691.2483322109532,12.022891103830354
3/26/20,7027.0,6.0,435.0,99241.65071618465,758.1293372808944,12.219946534451921
3/27/20,8094.0,6.0,547.0,99168.22694918628,831.3371343133103,12.435916500417807
3/28/20,9173.0,6.0,640.0,99087.80988623071,911.517197770893,12.67291599839939
3/29/20,9905.0,253.0,772.0,98999.80054995185,999.266878829355,12.932571218807274
3/30/20,10699.0,253.0,865.0,98903.51308398001,1095.2701027882363,13.216813231758158
3/31/20,11374.0,253.0,1040.0,98798.16995236171,1200.3021429710998,13.52790466718912
4/1/20,12261.0,260.0,1175.0,98682.90193955961,1315.2296207255347,13.868439714857628
4/2/20,13185.0,260.0,1341.0,98556.7481504525,1441.010505423153,14.241344124341538
4/3/20,14069.0,260.0,1490.0,98418.65601033537,1578.6941144595926,14.649875205039084
4/4/20,14807.0,262.0,1656.0,98267.48126491932,1729.421113254515,15.097621826168893
4/5/20,15923.0,257.0,1771.0,98101.98798033163,1894.4235152516062,15.588504416769975
4/6/20,16792.0,258.0,1874.0,97920.84854311573,2075.024681918577,16.126774965701728
4/7/20,17327.0,272.0,2108.0,97722.6436602312,2272.639322747162,16.717017021643933
4/8/20,18153.0,272.0,2255.0,97505.86235905379,2488.773495253122,17.36414569309676
4/9/20,19220.0,278.0,2403.0,97268.90198737539,2725.0246049762404,18.07340764838076
4/10/20,20440.0,287.0,2520.0,97010.06821340404,2983.0814054803254,18.85038111563687
4/11/20,21625.0,291.0,2653.0,96727.57502576396,3264.72399835321,19.700975882826427
4/12/20,22701.0,295.0,2747.0,96419.54473349551,3571.8238332067526,20.631433297731135
4/13/20,23579.0,295.0,2833.0,96084.00796605521,3906.3437076768355,21.648326267953088
4/14/20,24325.0,297.0,2955.0,95719.20381058639,4270.037615977069,22.758573436559242
4/15/20,24864.0,304.0,3145.0,95324.13172900412,4663.89812361258,23.970147383308532
4/16/20,25742.0,311.0,3327.0,94895.39433610435,5091.313144210925,25.292519684733726
4/17/20,26830.0,315.0,3471.0,94429.33185812293,5555.932157074831,26.735984802249213
4/18/20,27833.0,317.0,3613.0,93922.37656506385,6061.311822603906,28.311612332257923
4/19/20,28814.0,322.0,3697.0,93371.05277069921,6610.915982294646,30.031247006151325
4/20/20,29497.0,322.0,3764.0,92771.97683256927,7208.115658740428,31.907508690309424
4/21/20,30309.0,74.0,3929.0,92121.85715198239,7856.18905563152,33.95379238610076
4/22/20,30858.0,101.0,4068.0,91417.49417401505,8558.32155775507,36.18426822988242
4/23/20,31623.0,101.0,4192.0,90655.7803875119,9317.605730995112,38.613881493000015
4/24/20,32318.0,102.0,4304.0,89833.70032508565,10137.041322332567,41.25835258178771
4/25/20,32853.0,102.0,4424.0,88948.3305631172,11019.535259845237,44.13417703756819
4/26/20,33427.0,117.0,4491.0,87996.83972175555,11967.901652707813,47.2586255366527
4/27/20,33784.0,117.0,4534.0,86976.4884649178,12984.861791191866,50.649743890340986
4/28/20,33908.0,117.0,4582.0,85884.62950028921,14073.044146665863,54.326353044921376
4/29/20,34147.0,119.0,4727.0,84718.70757932319,15234.984371595145,58.30804908167072
4/30/20,34571.0,125.0,4811.0,83476.2594972412,16473.125299541935,62.615203216854376
5/1/20,34936.0,138.0,4909.0,82154.91409303292,17789.816945165356,67.26896180172628
5/2/20,35287.0,138.0,5003.0,80752.3957464523,19187.31310210753,72.2911514401884
5/3/20,35553.0,138.0,5072.0,79267.36128641907,20666.948545943713,77.69016763723309
5/4/20,35726.0,138.0,5098.0,77699.45722095916,22229.056637552683,83.48614148817767
5/5/20,35956.0,139.0,5185.0,76048.81918186364,23873.469960436665,89.71085769970672
5/6/20,36145.0,146.0,5221.0,74316.4028140919,25599.20344948853,96.393736419585
5/7/20,36514.0,147.0,5306.0,72503.98377577154,27404.4543909918,103.56183323665734
5/8/20,36762.0,147.0,5377.0,70614.15773819851,29286.60242262065,111.23983918084872
5/9/20,36985.0,149.0,5441.0,68650.34038583694,31242.2095334399,119.45008072316428
5/10/20,37212.0,149.0,5459.0,66616.7674163193,33267.020063905016,128.21251977568926
5/11/20,37357.0,149.0,5475.0,64518.494540446285,35355.960705862126,137.54475369158905
5/12/20,37499.0,149.0,5529.0,62361.397482186876,37503.140502548005,147.46201526510913
5/13/20,37672.0,151.0,5581.0,60152.171978678336,39701.850848590075,157.97717273157514
5/14/20,37912.0,153.0,5609.0,57898.33378022618,41944.56549000641,169.10072976739286
5/15/20,38059.0,153.0,5662.0,55608.2186503042,44222.940524205726,180.8408254900482
5/16/20,38214.0,161.0,5689.0,53290.98236555446,46527.8143999874,193.20323445810712
5/17/20,38329.0,161.0,5699.0,50956.600715787274,48849.20791754147,206.19136667121586
5/18/20,38461.0,161.0,5713.0,48615.86950398126,51176.32422844859,219.80626757010072
5/19/20,38548.0,161.0,5734.0,46280.40454628328,53497.54883568008,234.04661803656802
5/20/20,38711.0,163.0,5767.0,43962.64167200847,55800.449593597936,248.9087343935043
5/21/20,38937.0,163.0,5794.0,41675.83672364024,58071.77670795478,264.38656840487636
5/22/20,39107.0,168.0,5807.0,39434.02501132862,60297.503242265215,280.4717464061787
5/23/20,39261.0,168.0,5830.0,37243.27438739201,62471.56667921278,297.1589333952214
5/24/20,39422.0,168.0,5841.0,35105.92038098664,64591.64498985549,314.4346291578776
05/25/20,,,,33027.73069168005,66651.99029760901,332.2790107109548
05/26/20,,,,31013.837661235106,68647.49019723514,350.67214152977425
05/27/20,,,,29068.73827360999,70573.66775484185,369.59397154817066
05/28/20,,,,27196.294154958196,72426.68150788332,389.02433715849236
05/29/20,,,,25399.731573628545,74203.32546515987,408.9429612116013
05/30/20,,,,23681.64144016515,75901.02910681798,429.3294530168728
05/31/20,,,,22043.979307307465,77517.85738435035,450.16330834219605
06/01/20,,,,20488.06536999025,79052.51072059578,471.42390941397366
06/02/20,,,,19014.58446534358,80504.3250097393,493.0905249171218
06/03/20,,,,17623.586072692848,81873.27161731207,515.1423099950701
06/04/20,,,,16314.484313558762,83159.95738019147,537.5583062497622
06/05/20,,,,15086.057951657349,84365.62460660099,560.3174417416549
06/06/20,,,,13936.450392899944,85492.15107611033,583.3985309897184
06/07/20,,,,12863.169685393208,86542.05003963533,606.7802749714372
06/08/20,,,,11863.088519439112,87518.47021943805,630.4412611228087
06/09/20,,,,10932.444227534943,88425.19580912669,654.3599633383442
06/10/20,,,,10066.838784373318,89266.64647365558,678.5147419710684
06/11/20,,,,9261.251734880743,90047.8643878948,702.8838772244651
06/12/20,,,,8512.845383669333,90771.70183539913,727.4527809315624
06/13/20,,,,7819.709709545748,91440.08000783331,752.2102826209565
06/14/20,,,,7178.671905535529,92056.18564769591,777.1424467685805
06/15/20,,,,6586.607174037972,92623.15691930287,802.2359066591848
06/16/20,,,,6040.438726826125,93144.08340878756,827.4778643863376
06/17/20,,,,5537.13778504679,93622.00612410081,852.8560908524245
06/18/20,,,,5073.723579220514,94059.91749501086,878.3589257686485
06/19/20,,,,4647.263349241604,94460.76137310339,903.9752776550304
06/20/20,,,,4254.743339929018,94827.56257134244,929.6940887285662
06/21/20,,,,3893.345843724026,95163.1488433315,955.505312944496
06/22/20,,,,3561.12650926051,95469.47102770892,981.4024630305895
06/23/20,,,,3256.219140840445,95748.40152870685,1007.379330452722
06/24/20,,,,2976.7911783654968,96001.77901816485,1033.4298034696756
06/25/20,,,,2721.0436973370256,96231.40843552985,1059.5478671331387
06/26/20,,,,2487.2114088560825,96439.06098785622,1085.727603287706
06/27/20,,,,2273.5626596234106,96626.47414980573,1111.963190570879
06/28/20,,,,2078.3994319394483,96795.35166364751,1138.2489044130655
06/29/20,,,,1900.0573437043222,96947.36353925812,1164.5791170375794
06/30/20,,,,1736.9056484178536,97084.14605412152,1190.9482974606415
07/01/20,,,,1587.3472351795554,97207.30175332908,1217.3510114913786
07/02/20,,,,1449.9077648094933,97318.3098860189,1243.7823491716329
07/03/20,,,,1323.927371940304,97417.83161308215,1270.241014977581
07/04/20,,,,1208.679535234115,97506.59550506034,1296.7249597055788
07/05/20,,,,1103.375818285651,97585.39242098268,1323.231760731689
07/06/20,,,,1007.2536783584812,97654.98724734942,1349.7590742921195
07/07/20,,,,919.5764663850235,97716.11889813178,1376.3046354832225
07/08/20,,,,839.6334269665415,97769.50031477198,1402.866258261496
07/09/20,,,,766.7396983731453,97815.8184661833,1429.441835443582
07/10/20,,,,700.2363125437926,97855.73434874996,1456.0293387062684
07/11/20,,,,639.4901950862867,97889.88298632725,1482.6268185864874
07/12/20,,,,583.8941652772784,97918.87343024144,1509.2324044813165
07/13/20,,,,532.9373213389156,97943.21812872442,1535.8445499366976
07/14/20,,,,486.33163058671033,97963.20592734904,1562.4624420642658
07/15/20,,,,443.7646152828798,97979.15023628238,1589.0851484347695
07/16/20,,,,404.93085067127026,97991.35739402815,1615.7117553006035
07/17/20,,,,369.5349304829099,98000.12369116193,1642.3413783551814
07/18/20,,,,337.29146693600876,98005.73537033108,1668.973162732935
07/19/20,,,,307.9250907359587,98008.46862625475,1695.6062830093138
07/20/20,,,,281.17045107533306,98008.5896057239,1722.2399432007862
07/21/20,,,,256.7722156338874,98006.3544076013,1748.8733767648384
07/22/20,,,,234.48507057855863,98002.00908282149,1775.5058465999755
07/23/20,,,,214.07372510304964,97995.78962983673,1802.1366450602422
07/24/20,,,,195.3698684659249,97987.86485719444,1828.7652743396663
07/25/20,,,,178.27456083304153,97978.3339898438,1855.3914493231803
07/26/20,,,,162.66948145813254,97967.31569858479,1882.014819957109
07/27/20,,,,148.44012633959616,97954.9248263274,1908.6350473330212
07/28/20,,,,135.47580822049613,97941.2723880918,1935.2518036877293
07/29/20,,,,123.66965658856154,97926.46557100817,1961.864772403289
07/30/20,,,,112.91861767618697,97910.60773431684,1988.4736480069996
07/31/20,,,,103.12345446043221,97893.79840936819,2015.0781361714046
08/01/20,,,,94.18874666302274,97876.13329962271,2041.6779537142904
08/02/20,,,,86.02289075034912,97857.70428065099,2068.2728285986873
08/03/20,,,,78.5393888965609,97838.59810723667,2094.862503866799
08/04/20,,,,71.69524405145691,97818.8579011529,2121.446854795681
08/05/20,,,,65.4486560340428,97798.52558413033,2148.025759835654
08/06/20,,,,59.7484340450093,97777.65249747844,2174.5990684765775
08/07/20,,,,54.54684504409237,97756.28651447275,2201.166640483182
08/08/20,,,,49.79961375007328,97734.47204035489,2227.7283458950687
