,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.91550378715,2.084495940285479,10.000000272568219
1/24/20,0.0,0.0,0.0,99999.82743786392,2.172561579434407,10.000000556651868
1/25/20,0.0,0.0,0.0,99999.73564613772,2.2643530095223494,10.000000852754516
1/26/20,0.0,0.0,0.0,99999.63996121843,2.3600376201569904,10.000001161416197
1/27/20,0.0,0.0,0.0,99999.54022927811,2.459769238766047,10.000001483133147
1/28/20,0.0,0.0,0.0,99999.4362879547,2.5637102268782197,10.000001818429132
1/29/20,0.0,0.0,0.0,99999.3279649055,2.6720329266340768,10.000002167860131
1/30/20,0.0,0.0,0.0,99999.2150778072,2.784919660786053,10.000002532014323
1/31/20,0.0,0.0,0.0,99999.09743435579,2.9025627326984487,10.000002911512091
2/1/20,0.0,0.0,0.0,99998.97483226664,3.0251644263474327,10.000003307006025
2/2/20,0.0,0.0,0.0,99998.8470592745,3.1529370063210402,10.00000371918092
2/3/20,0.0,0.0,0.0,99998.71389313343,3.2861027178191735,10.000004148753774
2/4/20,0.0,0.0,0.0,99998.57510161688,3.4248937866536,10.00000459647379
2/5/20,0.0,0.0,0.0,99998.43044251764,3.569552419247956,10.000005063122378
2/6/20,0.0,0.0,0.0,99998.27966364785,3.7203308026377444,10.000005549513148
2/7/20,0.0,0.0,0.0,99998.12250283905,3.8774911044703333,10.00000605649192
2/8/20,0.0,0.0,0.0,99997.95868794207,4.041305473004959,10.000006584936713
2/9/20,0.0,0.0,0.0,99997.78793682714,4.212056037112724,10.000007135757759
2/10/20,0.0,0.0,0.0,99997.60995738383,4.3900349062765995,10.000007709897485
2/11/20,0.0,0.0,0.0,99997.42444752109,4.575544170591421,10.000008308330532
2/12/20,0.0,0.0,0.0,99997.23109516717,4.76889590076389,10.000008932063736
2/13/20,0.0,0.0,0.0,99997.02957826975,4.97041214811258,10.000009582136148
2/14/20,0.0,0.0,0.0,99996.81956479582,5.180424944567923,10.000010259619016
2/15/20,0.0,0.0,0.0,99996.60067352613,5.399315508123877,10.000010965742602
2/16/20,0.0,0.0,0.0,99996.37239968119,5.627588616665227,10.000011702136723
2/17/20,0.0,0.0,0.0,99996.13440775347,5.865579776636527,10.000012469883538
2/18/20,0.0,0.0,0.0,99995.88635632454,6.113630405371689,10.000013270084166
2/19/20,0.0,0.0,0.0,99995.62787409365,6.372111802400048,10.000014103936211
2/20/20,0.0,0.0,0.0,99995.35855987782,6.641425149446362,10.000014972733767
2/21/20,0.0,0.0,0.0,99995.07798261169,6.922001510430813,10.000015877867423
2/22/20,0.0,0.0,0.0,99994.7856813477,7.214301831469008,10.000016820824253
2/23/20,0.0,0.0,0.0,99994.48116525593,7.518816940871975,10.000017803187822
2/24/20,0.0,0.0,0.0,99994.16391362422,7.836067549146169,10.000018826638186
2/25/20,0.0,0.0,0.0,99993.83337585806,8.166604248993467,10.00001989295189
2/26/20,0.0,0.0,0.0,99993.48897148068,8.511007515311169,10.000021004001967
2/27/20,0.0,0.0,0.0,99993.13009013304,8.869887705192,10.000022161757943
2/28/20,0.0,0.0,0.0,99992.75609157378,9.24388505792411,10.00002336828583
2/29/20,0.0,0.0,0.0,99992.36630567926,9.633669694991069,10.000024625748138
3/1/20,0.0,0.0,0.0,99991.96003244352,10.039941620071874,10.000025936403855
3/2/20,0.0,0.0,0.0,99991.53654197835,10.463430719040947,10.000027302608466
3/3/20,0.0,0.0,0.0,99991.09507451321,10.904896759968128,10.000028726813946
3/4/20,0.0,0.0,0.0,99990.6348403953,11.365129393118682,10.00003021156876
3/5/20,0.0,0.0,0.0,99990.15502008953,11.844948150953307,10.000031759517856
3/6/20,0.0,0.0,0.0,99989.65476417847,12.345202448128116,10.000033373402681
3/7/20,0.0,0.0,0.0,99989.13319336245,12.866771581494643,10.000035056061167
3/8/20,0.0,0.0,0.0,99988.58939845947,13.410564730099853,10.000036810427737
3/9/20,0.0,0.0,0.0,99988.02244040527,13.977520955186133,10.000038639533303
3/10/20,0.0,0.0,0.0,99987.4313502533,14.568609200191291,10.000040546505266
3/11/20,0.0,0.0,0.0,99986.81512917468,15.18482829074856,10.00004253456752
3/12/20,0.0,0.0,0.0,99986.17274845827,15.827206934686602,10.000044607040445
3/13/20,0.0,0.0,0.0,99985.50314951062,16.49680372202949,10.000046767340914
3/14/20,0.0,0.0,0.0,99984.80524385601,17.194707124996732,10.000049018982288
3/15/20,0.0,0.0,0.0,99984.07791313643,17.922035498003268,10.00005136557442
3/16/20,0.0,0.0,0.0,99983.32000911151,18.67993707765943,10.00005381082365
3/17/20,0.0,0.0,0.0,99982.53035365869,19.469589982771005,10.000056358532806
3/18/20,0.0,0.0,0.0,99981.70773514094,20.292205846447633,10.00005901261305
3/19/20,0.0,0.0,0.0,99980.84998802369,21.14995019622204,10.000061780082634
3/20/20,1.0,0.0,0.0,99979.9552927975,22.04464253567157,10.000064666828006
3/21/20,1.0,0.0,0.0,99979.0225218767,22.97741044682057,10.000067676477766
3/22/20,2.0,0.0,0.0,99978.05042167676,23.949507510172793,10.000070813068763
3/23/20,3.0,0.0,0.0,99977.03761261424,24.96231330471142,10.000074081046087
3/24/20,3.0,0.0,0.0,99975.98258910683,26.017333407899038,10.000077485263075
3/25/20,6.0,0.0,1.0,99974.88371957334,27.116199395677654,10.000081030981313
3/26/20,9.0,0.0,1.0,99973.73924643366,28.260668842468704,10.000084723870629
3/27/20,9.0,0.0,1.0,99972.54728610882,29.452625321173024,10.000088570009094
3/28/20,9.0,0.0,1.0,99971.30582902094,30.694078403170877,10.000092575883029
3/29/20,17.0,0.0,1.0,99970.0127395933,31.987163658321947,10.000096748387001
3/30/20,24.0,0.0,3.0,99968.66575625021,33.33414265496532,10.000101094823817
3/31/20,24.0,0.0,3.0,99967.26249141718,34.737402959919514,10.000105622904536
4/1/20,69.0,0.0,5.0,99965.80043152077,36.199458138482456,10.00011034074846
4/2/20,93.0,0.0,5.0,99964.27693698868,37.72294775443149,10.00011525688313
4/3/20,115.0,0.0,5.0,99962.68924224973,39.310637370023386,10.000120380244347
4/4/20,136.0,0.0,8.0,99961.03445573382,40.965418545994325,10.000125720176142
4/5/20,161.0,13.0,10.0,99959.30955987201,42.69030884155991,10.0001312864308
4/6/20,217.0,26.0,10.0,99957.51141109642,44.48845181441514,10.000137089168852
4/7/20,241.0,26.0,11.0,99955.63673984031,46.363117020734464,10.000143138959071
4/8/20,303.0,28.0,11.0,99953.68215053805,48.31770001517172,10.000149446778476
4/9/20,359.0,40.0,11.0,99951.64412162513,50.355722350860184,10.000156024012334
4/10/20,386.0,41.0,11.0,99949.51900553814,52.48083157941254,10.000162882454154
4/11/20,439.0,41.0,11.0,99947.30302871477,54.69680125092088,10.000170034305693
4/12/20,442.0,75.0,12.0,99944.99229159387,57.007530913956735,10.000177492176954
4/13/20,442.0,75.0,12.0,99942.58276861535,59.41704611557103,10.000185269086181
4/14/20,466.0,90.0,14.0,99940.07030822025,61.929498401294126,10.000193378459869
4/15/20,480.0,90.0,14.0,99937.45063285073,64.54916531513578,10.000201834132758
4/16/20,480.0,90.0,14.0,99934.71933895006,67.2804503995852,10.000210650347826
4/17/20,499.0,110.0,18.0,99931.87189696264,70.12788319561099,10.000219841756309
4/18/20,507.0,113.0,19.0,99928.90365133392,73.09611924266113,10.000229423417677
4/19/20,511.0,117.0,20.0,99925.80982051053,76.18994007866311,10.00023941079965
4/20/20,511.0,117.0,20.0,99922.5854969402,79.41425324002377,10.000249819778196
4/21/20,510.0,127.0,20.0,99919.22564707174,82.77409226162938,10.000260666637525
4/22/20,447.0,193.0,22.0,99915.72511135509,86.27461667684561,10.000271968070093
4/23/20,391.0,256.0,24.0,99912.07860424131,89.92111201751761,10.000283741176602
4/24/20,368.0,289.0,24.0,99908.28071418256,93.71898981396987,10.000296003466001
4/25/20,332.0,325.0,27.0,99904.3233566806,97.6763345379015,10.00030878148833
4/26/20,317.0,350.0,29.0,99900.1948641805,101.80481370564588,10.000322113845645
4/27/20,287.0,385.0,29.0,99895.89003453296,106.10962944991965,10.0003360171125
4/28/20,275.0,403.0,31.0,99891.40342604052,110.59622345085782,10.00035050861938
4/29/20,246.0,435.0,32.0,99886.72899760243,115.27063678988047,10.000365607673984
