,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.82099827954,2.1368192202196337,10.042182500248172
1/24/20,0.0,0.0,0.0,99999.62975153686,2.28299778877078,10.087250674357366
1/25/20,0.0,0.0,0.0,99999.4253714812,2.4392146319054437,10.135413886905933
1/26/20,0.0,0.0,0.0,99999.20695026222,2.6061636304864253,10.18688610729144
1/27/20,0.0,0.0,0.0,99998.97361368265,2.784512972491457,10.241873344858849
1/28/20,0.0,0.0,0.0,99998.72439015127,2.97500527829057,10.300604570439148
1/29/20,0.0,0.0,0.0,99998.45820959492,3.1784584319758262,10.363331973115471
1/30/20,0.0,0.0,0.0,99998.17390345842,3.395765581361322,10.430330960223102
1/31/20,0.0,0.0,0.0,99997.87020470467,3.6278951379831854,10.501900157349482
2/1/20,0.0,0.0,0.0,99997.54574781457,3.875890777099577,10.578361408334203
2/2/20,0.0,0.0,0.0,99997.19906878704,4.140871437690691,10.66005977526901
2/3/20,0.0,0.0,0.0,99996.82860513905,4.424031322458756,10.7473635384978
2/4/20,0.0,0.0,0.0,99996.43269590556,4.7266398978280275,10.840664196616618
2/5/20,0.0,0.0,0.0,99996.00958163958,5.0500418939448,10.940376466473673
2/6/20,0.0,0.0,0.0,99995.55740441216,5.395657304677398,11.046938283169313
2/7/20,0.0,0.0,0.0,99995.07420781233,5.764981387616178,11.160810800056048
2/8/20,0.0,0.0,0.0,99994.5579369472,6.159584664073531,11.282478388738536
2/9/20,0.0,0.0,0.0,99994.00643844185,6.581112919083882,11.412448639073588
2/10/20,0.0,0.0,0.0,99993.41730749069,7.031403947894742,11.551288561418259
2/11/20,0.0,0.0,0.0,99992.78733012617,7.512913332510845,11.699756541322227
2/12/20,0.0,0.0,0.0,99992.11412835302,8.027458801269473,11.858412845726495
2/13/20,0.0,0.0,0.0,99991.39518876439,8.576961660832488,12.027849574781225
2/14/20,0.0,0.0,0.0,99990.62765463044,9.163605491564939,12.208739877990375
2/15/20,0.0,0.0,0.0,99989.80832589827,9.789836147535059,12.401837954211702
2/16/20,0.0,0.0,0.0,99988.93365919184,10.458361756514265,12.60797905165676
2/17/20,0.0,0.0,0.0,99987.99976781214,11.172152719977163,12.828079467890896
2/18/20,0.0,0.0,0.0,99987.00242173707,11.934441713101538,13.06313654983326
2/19/20,0.0,0.0,0.0,99985.93704762148,12.748723684768366,13.314228693756792
2/20/20,0.0,0.0,0.0,99984.79872879716,13.618755857561805,13.582515345288236
2/21/20,0.0,0.0,0.0,99983.58220527283,14.548557727769197,13.869236999408127
2/22/20,0.0,0.0,0.0,99982.28187373417,15.542411065381074,14.175715200450803
2/23/20,0.0,0.0,0.0,99980.8917875438,16.604859914091143,14.503352542104388
2/24/20,2.0,0.0,0.0,99979.40565674129,17.740710591296313,14.853632667410816
2/25/20,2.0,0.0,0.0,99977.81684804315,18.955031688096657,15.228120268765807
2/26/20,4.0,0.0,0.0,99976.11838484279,20.253154069295448,15.628461087918886
2/27/20,4.0,0.0,0.0,99974.30294721063,21.640670873399145,16.056381915973375
2/28/20,4.0,0.0,0.0,99972.362871894,23.123437512617386,16.513690593386382
2/29/20,5.0,1.0,0.0,99970.29015231717,24.707571672862983,17.002276009968824
3/1/20,5.0,1.0,0.0,99968.07643858137,26.399453313751955,17.524108104885407
3/2/20,5.0,1.0,0.0,99965.71303746475,28.205724668603494,18.08123786665464
3/3/20,10.0,2.0,0.0,99963.18756601459,30.135834111956278,18.676599873462525
3/4/20,13.0,2.0,0.0,99960.48693492525,32.199772220244064,19.313292854509097
3/5/20,14.0,2.0,0.0,99957.60199195163,34.40454195291383,19.993466095475636
3/6/20,14.0,2.0,0.0,99954.52211334667,36.75826823764685,20.71961841569555
3/7/20,14.0,2.0,0.0,99951.2351744039,39.27022035720395,21.494605238900093
3/8/20,14.0,2.0,0.0,99947.72754945737,41.95081194942544,22.321638593218367
3/9/20,14.0,2.0,0.0,99943.9841118816,44.81160100723124,23.20428711117731
3/10/20,9.0,9.0,0.0,99939.9882340917,47.86528987862074,24.146476029701724
3/11/20,9.0,9.0,0.0,99935.72178754323,51.1257252666729,25.152487190114236
3/12/20,9.0,9.0,0.0,99931.16514273234,54.60789822954618,26.226959038135323
3/13/20,10.0,9.0,0.0,99926.29716919565,58.32794418047861,27.374886623883313
3/14/20,10.0,9.0,0.0,99921.09523551035,62.30314288778774,28.601621601874385
3/15/20,13.0,9.0,0.0,99915.53520929412,66.55191847487066,29.91287223102254
3/16/20,13.0,9.0,0.0,99909.59145720517,71.09383942020395,31.314703374639638
