,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.76584156438,2.1880512435813464,10.046107192037288
1/24/20,0.0,0.0,0.0,99999.50966701406,2.393783373940305,10.096549611988628
1/25/20,0.0,0.0,0.0,99999.22929999178,2.6189441422658715,10.151755865948566
1/26/20,0.0,0.0,0.0,99998.92253950083,2.8653011173484093,10.212159381824947
1/27/20,0.0,0.0,0.0,99998.58706393333,3.134718753771733,10.278217312893604
1/28/20,0.0,0.0,0.0,99998.22021850095,3.4293290515546886,10.350452447494423
1/29/20,0.0,0.0,0.0,99997.81901523481,3.751531556151158,10.429453209031337
1/30/20,0.0,0.0,0.0,99997.38013298558,4.103993358450053,10.515873655972328
1/31/20,0.0,0.0,0.0,99996.89991742338,4.489649094775322,10.610433481849428
2/1/20,0.0,0.0,0.0,99996.37438103785,4.911700946885944,10.713918015258718
2/2/20,0.0,0.0,0.0,99995.79920313816,5.373618641975931,10.827178219860329
2/3/20,0.0,0.0,0.0,99995.16972985295,5.879139452674329,10.95113069437844
2/4/20,0.0,0.0,0.0,99994.48097413035,6.432268197045219,11.086757672601278
2/5/20,0.0,0.0,0.0,99993.72761573803,7.037277238587713,11.23510702338112
2/6/20,0.0,0.0,0.0,99992.90323338516,7.699322511274684,11.397444103555552
2/7/20,0.0,0.0,0.0,99992.00070099585,8.424125861750065,11.575173142385754
2/8/20,0.0,0.0,0.0,99991.01385845264,9.216634880514189,11.769506666831619
2/9/20,0.0,0.0,0.0,99989.93542578236,10.082696141300726,11.981878076337425
2/10/20,0.0,0.0,0.0,99988.75695122054,11.02909686418037,12.213951915275862
2/11/20,0.0,0.0,0.0,99987.46881121148,12.063564915560853,12.46762387294803
2/12/20,0.0,0.0,0.0,99986.06021040822,13.194768808186925,12.74502078358344
2/13/20,0.0,0.0,0.0,99984.51918167251,14.43231770114038,13.048500626340019
2/14/20,0.0,0.0,0.0,99982.83258607484,15.786761399840035,13.3806525253041
2/15/20,0.0,0.0,0.0,99980.98611289446,17.269590356041732,13.744296749490431
2/16/20,0.0,0.0,0.0,99978.96427961931,18.89323566783835,14.142484712842172
2/17/20,0.0,0.0,0.0,99976.7504319461,20.671069079659794,14.57849897423089
2/18/20,0.0,0.0,0.0,99974.32674378026,22.61740298227301,15.05585323745657
2/19/20,0.0,0.0,0.0,99971.67421723597,24.747490412781946,15.578292351247603
2/20/20,0.0,0.0,0.0,99968.7726826361,27.077525054627618,16.149792309260796
2/21/20,0.0,0.0,0.0,99965.60079851233,29.62464123758804,16.774560250081365
2/22/20,0.0,0.0,0.0,99962.130542591,32.41131904969186,17.458138359311906
2/23/20,0.0,0.0,0.0,99958.33091084959,35.4624351637817,18.206653986621067
2/24/20,0.0,0.0,0.0,99954.1772087282,38.79783498309122,19.024956288700793
2/25/20,0.0,0.0,0.0,99949.63973046863,42.44138050868903,19.918889022684567
2/26/20,2.0,0.0,0.0,99944.68361000431,46.421069534288755,20.895320461396853
2/27/20,2.0,0.0,0.0,99939.2688209604,50.76903564624904,21.9621433933531
2/28/20,2.0,0.0,0.0,99933.35017665366,55.52154822357353,23.12827512275974
2/29/20,4.0,0.0,0.0,99926.87733009257,60.71901243791094,24.403657469514187
3/1/20,4.0,0.0,0.0,99919.79477397724,66.40596925355496,25.79925676920485
3/2/20,4.0,0.0,0.0,99912.04184069944,72.63109542744428,27.327063873111115
3/3/20,5.0,0.0,0.0,99903.55270234263,79.44720350916266,29.00009414820335
3/4/20,5.0,0.0,0.0,99894.2563706819,86.9112418409389,30.832387477142916
3/5/20,5.0,0.0,0.0,99884.07669718406,95.08429455764673,32.83900825828215
3/6/20,6.0,0.0,0.0,99872.93237300753,104.03158158680496,35.03604540566438
3/7/20,6.0,0.0,0.0,99860.73692900239,113.82245864857741,37.44061234902393
3/8/20,5.0,1.0,0.0,99847.39873571043,124.53041725577297,40.07084703378608
3/9/20,5.0,1.0,0.0,99832.82100336508,136.23308471384541,42.94591192106711
3/10/20,15.0,1.0,0.0,99816.89204175466,149.0198745144153,46.08808373091785
3/11/20,17.0,2.0,0.0,99799.45653692442,163.0147010309969,49.52876204457047
3/12/20,18.0,2.0,0.0,99780.39567533693,178.31319213154853,53.29113253152124
3/13/20,26.0,2.0,0.0,99759.57619739229,195.02255371442436,57.40124889328309
3/14/20,29.0,2.0,0.0,99736.84179156579,213.268316950171,61.88989148403166
3/15/20,51.0,2.0,0.0,99712.01309440786,233.1943382815278,66.79256731060535
3/16/20,134.0,2.0,0.0,99684.88769054406,254.96279942342676,72.14951003250528
3/17/20,234.0,2.0,0.0,99655.2401126751,278.7542073629924,78.00567996189535
3/18/20,297.0,2.0,0.0,99622.82184157685,304.7673943595419,84.41076406360216
3/19/20,439.0,13.0,2.0,99587.3613061003,333.21951794458505,91.41917595511505
3/20/20,485.0,13.0,3.0,99548.56388317158,364.34606092182446,99.09005590658617
3/21/20,714.0,13.0,3.0,99506.11189779201,398.4008313671549,107.48727084083029
3/22/20,766.0,5.0,5.0,99459.664623038,435.65596262866416,116.67941433332501
3/23/20,864.0,5.0,6.0,99408.85828006115,476.40191332663244,126.73980661221066
3/24/20,947.0,18.0,7.0,99353.30603808817,520.9474673535328,137.74649455829027
3/25/20,1034.0,21.0,8.0,99292.59801442093,569.6197338740308,149.78225170502964
3/26/20,1171.0,21.0,9.0,99226.30127443645,622.7641473249842,162.93457823855732
3/27/20,1339.0,23.0,11.0,99153.95958973086,680.7446191066855,177.2957911624469
3/28/20,1454.0,29.0,12.0,99075.00613877401,744.0013677288927,192.99249349708344
3/29/20,1554.0,29.0,14.0,98988.83227496021,813.0178529891717,210.1498720506135
3/30/20,1620.0,76.0,21.0,98894.81894604105,888.2959967271709,228.88505723176638
3/31/20,1836.0,76.0,26.0,98792.26909720855,970.3965774233345,249.33432536809505
4/1/20,1997.0,94.0,27.0,98680.4076710951,1059.9392301989033,271.6530987059763
4/2/20,2262.0,125.0,34.0,98558.38160777347,1157.6024468159142,296.01594541061047
4/3/20,2520.0,126.0,40.0,98425.25984475677,1264.1235756772007,322.61657956602176
4/4/20,2646.0,131.0,41.0,98280.03331699854,1380.2988218263931,351.66786117505796
4/5/20,2899.0,211.0,47.0,98121.61495689268,1506.983246947917,383.40179615939064
4/6/20,3454.0,259.0,53.0,97948.83969427348,1645.0907693669956,418.069536359515
4/7/20,3549.0,429.0,57.0,97760.46445641559,1795.5941640496467,455.94137953475
4/8/20,3735.0,467.0,61.0,97555.16816803407,1959.5250626026868,497.30676936323835
4/9/20,3852.0,572.0,65.0,97331.55175128432,2137.9739532737262,542.4742954419464
4/10/20,3902.0,727.0,66.0,97088.13812576215,2332.090180951174,591.7716932866642
